,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Jazz In The Present Tense,0poAcsyKGAMc8goHsV0Dxm,Solsonics,0hRcHqu2R885utzNyofwbj,Jazz In The Present Tense,2003-01-01,258106,False,1,29,2024-11-06,0.765,0.509,8,-12.017,1,0.0557,0.375,0.753,0.109,0.61,96.212,4,"['acid jazz', 'instrumental funk']",28,4635
1,Jazz 3033,2AXB038JgrBxIpNUfJMWQN,Joey Beltram,4OW0w5K2UNaWtbpRqzWqI0,Classics,1996-01-01,210360,False,2,24,2024-11-06,0.732,0.994,10,-8.624,0,0.0349,0.0111,0.88,0.079,0.299,121.555,4,"['acid house', 'techno']",32,38562
2,Jupiter Jazz,2T6rMXWYc934IWMudx1H1X,Galaxy 2 Galaxy,2JW9UTb6ViFLYf7VQxBJqD,Galaxy 2 Galaxy: A High Tech Jazz Compilation,2005,270746,False,11,33,2024-11-06,0.645,0.877,7,-10.616,1,0.0456,0.00657,0.858,0.127,0.473,124.697,4,"['acid house', 'detroit house', 'detroit techno', 'livetronica', 'techno']",26,18368
3,Montuno Funk,1HwXgiTt6K0MtxxBriAQEl,Solsonics,0hRcHqu2R885utzNyofwbj,Jazz In The Present Tense,2003-01-01,249933,False,3,30,2024-11-06,0.699,0.617,0,-13.465,1,0.0384,0.272,0.911,0.237,0.814,100.789,4,"['acid jazz', 'instrumental funk']",28,4635
4,"Special Love - Micky More & Andy Tee 7"" Jazz Mix",49oV3dPlR3cyzuL8xYZruD,Jestofunk,6mbMvxJiHaK9mNPyKSPGjA,"Special Love (Micky More & Andy Tee 7"" Jazz Mix)",2024-08-16,297067,False,1,35,2024-11-06,0.665,0.943,0,-4.793,1,0.0491,0.00205,0.0248,0.0521,0.803,120.015,4,"['acid jazz', 'italo house']",36,31085
5,Jazzy Jeff's Theme,3fq2MlCsLZuLRCFRsltNNp,Nuyorican Soul,2pMSfxqqpW87tzVwPQxeFw,Nuyorican Soul,1997-01-01,173293,False,13,8,2024-11-06,0.696,0.736,0,-10.405,1,0.139,0.407,0.904,0.149,0.788,116.712,3,"['acid jazz', 'broken beat']",34,35820
6,Jazz In The House,0lqSmarezU6GnXKldFXGmY,Count Basic,6j8m6cVc4301niMvVMP0kz,Life Think It Over,1995,334706,False,10,24,2024-11-06,0.761,0.83,0,-7.479,1,0.0553,0.129,9.93e-05,0.0644,0.696,109.869,4,['acid jazz'],33,10271
7,Hi-Tech Jazz,2ZKF8jc6zt1jb28AXZWnfW,Galaxy 2 Galaxy,2JW9UTb6ViFLYf7VQxBJqD,Galaxy 2 Galaxy: A High Tech Jazz Compilation,2005,336160,False,1,26,2024-11-06,0.643,0.741,4,-12.522,1,0.0428,0.008,0.614,0.0909,0.504,126.448,4,"['acid house', 'detroit house', 'detroit techno', 'livetronica', 'techno']",26,18368
8,Now This How We Do It,0ti3Kr7sb9yn1WvSNydlUV,Solsonics,0hRcHqu2R885utzNyofwbj,Jazz In The Present Tense,2003-01-01,168733,False,9,29,2024-11-06,0.643,0.576,5,-12.843,1,0.0383,0.0157,0.903,0.066,0.734,94.582,4,"['acid jazz', 'instrumental funk']",28,4635
9,Gotta Jazz - Remix,2gX87sxVIYmWqSkL0N9BDJ,Count Basic,6j8m6cVc4301niMvVMP0kz,The Remix Hit Collection Vol. 1,1996-07-08,329066,False,2,30,2024-11-06,0.673,0.32,9,-18.011,1,0.0595,0.435,0.669,0.0912,0.396,91.901,4,['acid jazz'],33,10271
10,Kobrasmile,5LZz2RfxDxIbE470ZqTPcw,Barrio Jazz Gang,6YJDoRq0kg9PcRboJSI6RJ,"Barrio Jazz Gang, Vol. 2",2010-01-19,243591,False,1,38,2024-11-06,0.862,0.676,0,-9.899,1,0.0439,0.378,0.561,0.112,0.909,121.993,4,"['acid jazz', 'electro jazz', 'funky breaks', 'nu jazz']",36,12512
11,I LOVE MY BABY my baby loves jazz,5YDbcDxtwEz1MOvz1bReJC,United Future Organization,0V4fAktrp2psvXpQb2KSWh,Jazzin’,1992,401466,False,4,26,2024-11-06,0.816,0.581,10,-13.548,0,0.0611,0.00453,0.744,0.335,0.587,108.092,4,"['acid jazz', 'japanese jazz', 'japanese jazztronica', 'jazztronica']",28,23746
