,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Bloom - Bonus Track,1HMQmOWrkieKYWlFsjUP3D,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,Woodland,2013-03-05,210080,False,6,76,2024-11-06,0.591,0.416,1,-9.794,1,0.0246,0.882,0.000641,0.112,0.415,96.003,4,"['acoustic pop', 'australian indie folk', 'indie anthem-folk', 'indie folk', 'stomp and flutter', 'stomp and holler']",71,818300
1,Paint,6uHvbKL0Yi37AuvNRmUfMw,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,Young North,2013-03-05,191773,False,4,73,2024-11-06,0.364,0.308,4,-13.052,1,0.0402,0.895,0.0023,0.123,0.387,73.328,4,"['acoustic pop', 'australian indie folk', 'indie anthem-folk', 'indie folk', 'stomp and flutter', 'stomp and holler']",71,818300
2,Love Song,4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM,Little Voice,2007-07-03,258826,False,1,72,2024-11-06,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,4,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']",65,1953520
3,Blister In The Sun,7jIAttgQTpLDoNtykIQXjH,Violent Femmes,0rpMdBzQXf7aYRnu5fDBJy,Violent Femmes,1983-01-01,145706,False,1,69,2024-11-06,0.726,0.537,0,-8.896,1,0.114,0.316,0.0,0.0707,0.882,96.889,4,"['acoustic punk', 'alternative rock', 'punk']",60,754754
4,Hold On,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,5D3muNJhYYunbRkh3FKgX0,Hold On,2017-02-03,198853,False,1,77,2024-11-06,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4,['acoustic pop'],64,263046
5,I'm Yours,3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),2008-05-01,242946,False,2,77,2024-11-06,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,"['acoustic pop', 'dance pop', 'neo mellow', 'pop']",73,7252031
6,You Are the Best Thing,1jyddn36UN4tVsJGtaJfem,Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj,Gossip In The Grain,2008-10-13,231840,False,1,66,2024-11-06,0.578,0.727,10,-4.872,1,0.0332,0.0304,1.99e-05,0.172,0.885,170.593,4,"['acoustic pop', 'indie folk', 'neo mellow', 'new americana', 'stomp and holler']",66,1051863
7,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,We Sing. We Dance. We Steal Things.,2008-05-12,242946,False,2,74,2024-11-06,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,"['acoustic pop', 'dance pop', 'neo mellow', 'pop']",73,7252031
8,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,Love Is a Four Letter Word (Deluxe Edition),2012-04-13,240165,False,4,66,2024-11-06,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,3,"['acoustic pop', 'dance pop', 'neo mellow', 'pop']",73,7252031
9,I Was Born To Love You,24CcvMOaNniXXcxA8HjUw1,Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj,I Was Born To Love You,2022-08-04,265843,False,1,66,2024-11-06,0.65,0.271,9,-11.081,1,0.0314,0.794,6.9e-05,0.196,0.21,78.036,4,"['acoustic pop', 'indie folk', 'neo mellow', 'new americana', 'stomp and holler']",66,1051863
