,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Oye Cómo Va,73uEbChpBB29ttwVnwuNVE,Tito Puente,6SPpCqM8gOzrtICAxN5NuX,El Rey Bravo,1962-01-01,274018,False,2,55,2024-11-06,0.658,0.738,7,-6.717,1,0.0315,0.747,0.00605,0.0624,0.963,123.261,4,"['afro-cuban percussion', 'jazz puertorriqueno', 'latin jazz', 'mambo', 'musica tradicional cubana', 'salsa']",49,187382
1,Fried Neck Bones And Some Home Fries,19AO4YUP1Uau61hXotfRu3,Willie Bobo,74Dnr5flGLfLeyV85l0NUr,Uno Dos Tres 1-2-3,1966-02-13,183293,False,8,46,2024-11-06,0.776,0.452,0,-13.225,0,0.0339,0.766,0.582,0.07,0.761,111.468,4,"['afro-cuban percussion', 'boogaloo', 'latin jazz']",43,50906
2,Evil Ways,6LoiJXXZuZejbG6VjmjzA4,Willie Bobo,74Dnr5flGLfLeyV85l0NUr,Talkin' Verve,1997-01-01,160826,False,6,40,2024-11-06,0.811,0.447,2,-11.298,0,0.0433,0.546,0.0,0.0615,0.92,111.435,4,"['afro-cuban percussion', 'boogaloo', 'latin jazz']",43,50906
3,Sofrito,0FpBO0Pyoh4MZVmNO3zwnc,Mongo Santamaria,2oVwztjpHpJlAvlVVuqVa0,Sofrito,1976-01-01,366200,False,4,46,2024-11-06,0.644,0.519,10,-8.895,1,0.0373,0.275,0.0192,0.0793,0.453,117.739,4,"['afro-cuban percussion', 'boogaloo', 'cuban rumba', 'jazz cubano', 'latin jazz', 'musica tradicional cubana']",44,75936
4,River,6ybkewfx53Quy6rjo4IKDi,Ibeyi,5Q8NEHGX70m1kkojbtm8wa,Ibeyi,2015-02-17,252095,False,4,35,2024-11-06,0.654,0.292,2,-12.977,1,0.474,0.095,0.00309,0.106,0.102,153.547,4,"['afropop', 'cuban alternative', 'etherpop', 'world']",50,337820
5,Linda Guajira,1Ml7gX2S2UVzB1K32puq4W,Mongo Santamaria,2oVwztjpHpJlAvlVVuqVa0,Our Man In Havana,1993-01-01,183800,False,7,45,2024-11-06,0.76,0.566,7,-14.129,1,0.0399,0.633,0.724,0.0262,0.97,132.887,4,"['afro-cuban percussion', 'boogaloo', 'cuban rumba', 'jazz cubano', 'latin jazz', 'musica tradicional cubana']",44,75936
6,Ran Kan Kan,3FCN9xduajof2MGIJbWdGe,Tito Puente,6SPpCqM8gOzrtICAxN5NuX,The Latin World Of Tito Puente,1963-12-31,190416,False,1,40,2024-11-06,0.714,0.941,2,-6.177,1,0.0422,0.864,0.817,0.0944,0.773,102.102,4,"['afro-cuban percussion', 'jazz puertorriqueno', 'latin jazz', 'mambo', 'musica tradicional cubana', 'salsa']",49,187382
7,Spanish Grease,4FOFC3YNvDgLesoVqRthZh,Willie Bobo,74Dnr5flGLfLeyV85l0NUr,Spanish Grease,1965-09-04,168733,False,1,42,2024-11-06,0.795,0.569,3,-10.72,1,0.0346,0.258,5.78e-06,0.277,0.862,127.259,4,"['afro-cuban percussion', 'boogaloo', 'latin jazz']",43,50906
8,Mambo Gozon,0hk1gSyn3wKgdxqF6qaKUZ,Tito Puente,6SPpCqM8gOzrtICAxN5NuX,Hoy y Ayer,2001,168986,False,6,37,2024-11-06,0.711,0.43,4,-15.717,0,0.0816,0.0562,0.883,0.258,0.602,104.986,4,"['afro-cuban percussion', 'jazz puertorriqueno', 'latin jazz', 'mambo', 'musica tradicional cubana', 'salsa']",49,187382
9,El Cayuco,292yiMUvysKNUHCjRRrROQ,Tito Puente,6SPpCqM8gOzrtICAxN5NuX,No Hay Mejor,1975-01-01,156771,False,12,29,2024-11-06,0.744,0.656,7,-7.501,1,0.089,0.577,0.353,0.0524,0.822,126.27,4,"['afro-cuban percussion', 'jazz puertorriqueno', 'latin jazz', 'mambo', 'musica tradicional cubana', 'salsa']",49,187382
10,Watermelon Man,6SZ0ueEid4fess4o8jiFgG,Mongo Santamaria,2oVwztjpHpJlAvlVVuqVa0,Watermelon Man,1963,146400,False,1,36,2024-11-06,0.856,0.472,3,-14.427,1,0.0366,0.529,0.507,0.0662,0.937,120.986,4,"['afro-cuban percussion', 'boogaloo', 'cuban rumba', 'jazz cubano', 'latin jazz', 'musica tradicional cubana']",44,75936
11,Tremendo Rumbón,5X3uNlWuAsPjjJTSwcyaoh,Joe Cuba,5MlfccEEOw6kihsT8eQtbh,Cocinando la Salsa,1976-12-31,167080,False,8,39,2024-11-06,0.605,0.787,10,-3.854,0,0.047,0.379,0.0267,0.138,0.787,109.201,4,"['afro-cuban percussion', 'boogaloo', 'latin jazz', 'salsa']",41,115471
12,Watermelon Man,5ZCHcxVW3vMPzJMTW9wBpc,Poncho Sanchez,7wIvJyLDNfkgdKFVxJl5tL,Conga Blue,1996-01-01,225960,False,7,38,2024-11-06,0.757,0.413,5,-10.313,1,0.0512,0.437,0.592,0.687,0.803,119.741,4,"['afro-cuban percussion', 'latin jazz']",40,62459
