,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,Rema,46pWGuE3dSwY3bMMXGBvVS,Calm Down (with Selena Gomez),2022-08-25,239317,False,1,79,2024-11-06,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4,"['afrobeats', 'nigerian pop']",79,5634953
1,Free Mind,2mzM4Y0Rnx2BDZqRnhQ5Q6,Tems,687cZJR45JO7jhk1LHIbgq,For Broken Ears,2020-09-25,247578,False,3,72,2024-11-06,0.562,0.463,6,-7.478,1,0.0787,0.442,0.000145,0.157,0.416,125.15,5,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78,2490893
2,Higher,2QdSb68BzZGMgCbsrFmSLc,Tems,687cZJR45JO7jhk1LHIbgq,For Broken Ears,2020-09-25,196204,False,5,72,2024-11-06,0.609,0.581,2,-10.854,1,0.277,0.509,0.0,0.283,0.528,102.964,3,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78,2490893
3,Am I Wrong,1fidCEsYlaVE3pHwKCvpFZ,Nico & Vinz,0awl5piYwO0CDTHEkCjUhn,Black Star Elephant,2014,245866,False,2,75,2024-11-06,0.729,0.675,8,-6.003,1,0.0312,0.175,1.58e-06,0.55,0.779,119.968,4,['afrobeats'],62,539584
4,Replay,2dFqK2ZkYB9Xc47gr3xXWl,Tems,687cZJR45JO7jhk1LHIbgq,If Orange Was A Place,2021-09-14,179999,False,3,71,2024-11-06,0.613,0.549,9,-8.187,1,0.231,0.097,0.0,0.116,0.78,123.879,5,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78,2490893
5,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),09gysnJpfQ3ublBmJDfcEC,Amaarae,21UPYSRWFKwtqvSAnFnSvS,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021-09-16,204763,True,1,73,2024-11-06,0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-05,0.113,0.319,110.02,4,"['afro r&b', 'afrobeats', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",69,448935
6,Calm Down (with Selena Gomez),1s7oOCT8vauUh01PbJD6ps,Rema,46pWGuE3dSwY3bMMXGBvVS,Rave & Roses Ultra,2023-04-27,239317,False,22,74,2024-11-06,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4,"['afrobeats', 'nigerian pop']",79,5634953
7,Essence (feat. Tems),5FG7Tl93LdH117jEKYl3Cm,Wizkid,3tVQdUvClmAT7URs9V3rsp,Made In Lagos,2020-10-29,248040,False,11,70,2024-11-06,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027,4,"['afrobeats', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']",80,6266251
8,People,26b3oVLrRUaaybJulow9kz,Libianca,7kjSuFGKhLm8b5qXoMhRkJ,People,2022-12-06,184791,False,1,77,2024-11-06,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,5,['afrobeats'],66,512293
9,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,CKay,048LktY5zMnakWq7PTtFrz,CKay The First,2019-08-30,145800,True,2,74,2024-11-06,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,4,"['afro r&b', 'afrobeats']",69,1548575
10,Found (feat. Brent Faiyaz),0GGfGINoVYiSFXPOjg3RHj,Tems,687cZJR45JO7jhk1LHIbgq,Found (feat. Brent Faiyaz),2021-09-09,209454,False,1,66,2024-11-06,0.821,0.412,7,-7.795,1,0.0341,0.625,1.64e-05,0.0985,0.333,109.977,4,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78,2490893
11,Atrévete-Te-Te,1q8NdCAQ9QUjpYiqzdd3mv,Calle 13,0yNSzH5nZmHzeE2xn6Xshb,Calle 13 (Explicit Version),2005,239306,True,10,72,2024-11-06,0.829,0.878,9,-5.951,1,0.101,0.0959,0.0,0.776,0.883,87.991,4,"['latin afrobeat', 'latin alternative', 'latin hip hop', 'latin rock', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol']",70,2929328
12,soso,1wADwLSkYhrSmy4vdy6BRn,Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,Boy Alone,2022-07-14,183056,False,11,74,2024-11-06,0.711,0.725,3,-8.315,0,0.0941,0.424,0.129,0.11,0.53,105.016,4,['afrobeats'],76,3498960
13,Last Heartbreak Song (feat. Giveon),1A1ifX8sWzelNpkL5PxcHT,Ayra Starr,3ZpEKRjHaHANcpk10u6Ntq,The Year I Turned 21,2024-05-30,149677,False,9,71,2024-11-06,0.685,0.624,0,-5.101,1,0.235,0.318,0.0,0.107,0.618,89.972,4,['afrobeats'],78,3810506
14,"Soweto (with Don Toliver, Rema & Tempoe)",25Kyv5SeEenT0EETpP2hYn,Victony,1E5hfn5BduN2nnoZCJmUVG,"Soweto (with Don Toliver, Rema and Tempoe)",2023-03-22,219500,True,1,72,2024-11-06,0.719,0.756,5,-5.392,0,0.0761,0.0541,0.0,0.109,0.647,105.024,4,"['afrobeats', 'nigerian pop']",71,1277476
15,Me & U,31kxPC3ZB9AYwCLyHaqEVX,Tems,687cZJR45JO7jhk1LHIbgq,Born in the Wild,2024-06-06,192751,False,15,68,2024-11-06,0.795,0.571,10,-9.835,1,0.0433,0.121,0.00781,0.0853,0.248,112.048,4,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78,2490893
16,Free Fall (feat. J. Cole),3cuUZnjDwk4cUJCFinYbAC,Tems,687cZJR45JO7jhk1LHIbgq,Born in the Wild,2024-06-06,192065,True,12,66,2024-11-06,0.744,0.529,9,-6.559,0,0.0543,0.469,0.0447,0.105,0.795,92.044,4,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78,2490893
17,Angels in Tibet,23uUytja1B1mUOOIoygf6u,Amaarae,21UPYSRWFKwtqvSAnFnSvS,Fountain Baby,2023-06-09,142613,True,2,68,2024-11-06,0.798,0.664,5,-6.043,0,0.102,0.282,0.294,0.135,0.555,140.038,4,"['afro r&b', 'afrobeats', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",69,448935
18,Holy Ghost,0zVk3uuV9UhxAt48F3OL12,Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,Holy Ghost,2023-11-09,186153,False,1,71,2024-11-06,0.823,0.415,5,-10.845,0,0.0637,0.471,0.0316,0.128,0.488,113.976,4,['afrobeats'],76,3498960
19,Burning,1D1M805zV8DwhYXsvJdQZx,Tems,687cZJR45JO7jhk1LHIbgq,Born in the Wild,2024-06-06,175237,False,3,66,2024-11-06,0.831,0.293,1,-8.047,0,0.0571,0.378,2.04e-05,0.0724,0.419,92.007,4,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78,2490893
20,Didn't I,6Dq2LzijkY9WNPwBGDah4L,Darondo,4JfFdF9Row7UXtdsKtT6tc,Let My People Go,2005-01-24,209160,False,3,63,2024-11-06,0.463,0.382,5,-11.682,1,0.0278,0.897,0.263,0.108,0.638,74.573,4,"['afrobeat', 'classic soul', 'funk']",53,127813
21,Commas,4GXW3Ne1jzdORKHvHjK31V,Ayra Starr,3ZpEKRjHaHANcpk10u6Ntq,The Year I Turned 21,2024-05-30,157089,False,3,71,2024-11-06,0.779,0.628,1,-5.231,1,0.0433,0.0351,5.33e-05,0.351,0.617,100.028,4,['afrobeats'],78,3810506
22,Santorini Coffee,6TTR7tXftck5lU7BPRY7bV,melvitto,4Xj0nxVO4r7PLEaw7LRiBa,THENIGHTISYOUNG.,2019-02-22,134365,False,4,69,2024-11-06,0.801,0.37,9,-6.283,0,0.0536,0.794,0.000595,0.185,0.836,102.003,4,"['afrobeats', 'nigerian pop']",65,166060
23,Monalisa,3baPniPXS0iEII8rDUJdYP,Lojay,3ONGmday8YN8AkbsRk01iL,Monalisa,2022-05-19,212975,False,1,71,2024-11-06,0.828,0.726,10,-6.389,0,0.0419,0.106,0.00101,0.103,0.67,113.017,4,"['afrobeats', 'alte', 'nigerian pop']",65,511222
24,Love Me JeJe,47hsUYxvbTlBAN3sP9dEOd,Tems,687cZJR45JO7jhk1LHIbgq,Love Me JeJe,2024-04-25,178041,False,1,68,2024-11-06,0.838,0.537,11,-10.28,1,0.119,0.156,0.446,0.107,0.56,103.95,4,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78,2490893
25,Me & U,4nFrcGM7MY1mpoQCC7Kefj,Tems,687cZJR45JO7jhk1LHIbgq,Me & U,2023-10-05,192935,False,1,66,2024-11-06,0.775,0.662,10,-7.755,1,0.0408,0.117,0.0648,0.0928,0.257,112.014,4,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78,2490893
26,City Boys,4RoKNqyZ9622tcAeNPNv5k,Burna Boy,3wcj11K77LjEY1PkEazffa,I Told Them...,2023-08-24,153346,True,10,69,2024-11-06,0.832,0.612,2,-7.58,0,0.141,0.065,0.0,0.132,0.591,100.013,4,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",81,10515620
27,Wickedest,0D6XSXGNj5CTGQQzKQKQQ2,Tems,687cZJR45JO7jhk1LHIbgq,Born in the Wild,2024-06-06,156763,False,4,66,2024-11-06,0.848,0.418,2,-7.846,1,0.193,0.371,0.00035,0.1,0.598,81.921,5,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78,2490893
28,Soweto,5Ju8uIo67PEzN8z2T8HzPH,Victony,1E5hfn5BduN2nnoZCJmUVG,Soweto,2023-03-21,148000,True,1,71,2024-11-06,0.748,0.666,5,-7.073,0,0.0363,0.0293,0.000133,0.102,0.575,104.972,4,"['afrobeats', 'nigerian pop']",71,1277476
