,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Somebody Told Me,6PwjJ58I4t7Mae9xfZ9l9v,The Killers,0C0XlULifJtAgn6ZNCW2eu,Hot Fuss,2004,197200,False,4,79,2024-11-06,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,4,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",79,7533664
1,Paralyzer,28IEbk5a7twNTbUEvWslUb,Finger Eleven,0niJkG4tKkne3zwr7I8n9n,Them Vs. You Vs. Me (Deluxe Edition),2007-01-01,208106,False,1,74,2024-11-06,0.644,0.939,11,-3.486,0,0.0456,0.157,0.0,0.233,0.861,106.031,4,"['alternative metal', 'canadian rock', 'funk metal', 'nu metal', 'post-grunge']",63,765786
2,Monster,2UREu1Y8CO4jXkbvqAtP7g,Skillet,49bzE5vRBRIota4qeHtQM8,Awake,2009-08-21,178013,False,2,78,2024-11-06,0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,4,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock']",76,5336899
3,Out of My League,2AYEOC02WLhUiOoaig2SEH,Fitz and The Tantrums,4AcHt3JxKy59IX7JNNlZn4,More Than Just a Dream (Deluxe Edition),2013-05-07,209386,False,1,72,2024-11-06,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,4,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'pov: indie']",68,947034
4,Californication,48UPSzbZjgc449aqz8bxox,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Californication (Deluxe Edition),1999-06-08,329733,False,6,82,2024-11-06,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",84,21549023
5,Last Resort,5W8YXBz9MTIDyrpYaCg2Ky,Papa Roach,4RddZ3iHvSpGV4dvATac9X,Infest,2001-04-25,199906,True,2,80,2024-11-06,0.589,0.89,4,-3.719,0,0.06,0.000481,0.00082,0.201,0.687,90.586,4,"['alternative metal', 'nu metal', 'rap metal', 'rap rock', 'rock']",74,5407264
6,Lonely Day,1VNWaY3uNfoeWqb5U8x2QX,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,Hypnotize,2005-11-22,167906,False,11,79,2024-11-06,0.47,0.796,8,-3.277,0,0.0336,0.362,1.1e-06,0.133,0.215,113.108,3,"['alternative metal', 'nu metal', 'rap metal', 'rock']",82,11599655
7,No Surprises,10nyNJ6zNy2YVYLrcwLccB,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,OK Computer,1997-05-28,229120,False,10,81,2024-11-06,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",84,10799183
8,Duality,61mWefnWQOLf90gepjOCb3,Slipknot,05fG473iIaoy82BF1aGhL8,Vol. 3: The Subliminal Verses,2004,252613,False,4,79,2024-11-06,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4,"['alternative metal', 'nu metal', 'rap metal', 'rock']",81,12066073
9,Tongue Tied,0GO8y8jQk1PkHzS31d699N,GROUPLOVE,3kVUvbeRdcrqQ3oHk5hPdx,Never Trust a Happy Song,2011-09-02,218013,False,2,76,2024-11-06,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,4,"['indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'pov: indie']",64,1203844
10,Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Superunknown (Deluxe Edition),1994-03-09,318586,False,7,76,2024-11-06,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,4,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'rock']",69,4567294
11,Buddy Holly,3mwvKOyMmG77zZRunnxp9E,Weezer,3jOstUTkEu2JkjvRdBA5Gu,Weezer,1994-05-10,159226,False,4,75,2024-11-06,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,4,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",76,3900314
12,Mirage,1w327AHTCoChRIkJUprAnV,Orion Sun,2efrqekWSHlvhATD50AG3m,A Collection of Fleeting Moments and Daydreams,2020-01-06,57495,False,3,76,2024-11-06,0.683,0.468,9,-10.058,0,0.0743,0.87,0.673,0.108,0.47,117.095,4,"['alternative r&b', 'bedroom pop']",68,352679
13,Say It Ain't So - Original Mix,6VoIBz0VhCyz7OdEoRYDiA,Weezer,3jOstUTkEu2JkjvRdBA5Gu,Weezer,1994-05-10,258826,False,7,74,2024-11-06,0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,4,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",76,3900314
14,Savior,1vcxF91pWs9uNwDROuiCPB,Rise Against,6Wr3hh341P84m3EI8qdn9O,Appeal To Reason,2008-01-01,242280,False,11,76,2024-11-06,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000139,0.425,0.478,112.488,4,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']",72,2764415
15,The Red,1gyee1JuFFiP476LQpRMYU,Chevelle,56dO9zeHKuU5Gvfc2kxHNw,Wonder What's Next (Expanded Edition),2002,238400,False,5,72,2024-11-06,0.509,0.843,1,-3.318,0,0.0488,0.000671,0.000803,0.348,0.332,140.055,3,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge']",66,1914957
16,Be Quiet and Drive (Far Away),4Uiw0Sl9yskBaC6P4DcdVD,Deftones,6Ghvu1VvMGScGpOUJBAHNH,Around the Fur,1997-10-27,299866,False,6,75,2024-11-06,0.206,0.965,1,-5.116,1,0.079,9.91e-06,0.827,0.367,0.168,92.615,4,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",81,6139717
17,The Kids Aren't Alright,4EchqUKQ3qAQuRNKmeIpnf,The Offspring,5LfGQac0EIXyAN8aUwmNAQ,Americana,1998-11-16,180160,False,5,81,2024-11-06,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,4,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",79,5895646
18,Aerials,4e9eGQYsOiBcftrWXwsVco,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,Toxicity,2001-09-04,235053,False,14,78,2024-11-06,0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,4,"['alternative metal', 'nu metal', 'rap metal', 'rock']",82,11599655
19,Man in the Box,6gZVQvQZOFpzIy3HblJ20F,Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,Facelift,1990-08-01,285200,True,2,74,2024-11-06,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,4,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']",75,5367912
20,Cold,6ZxrUCaynLgKSUudACOTwj,Crossfade,4IR8ZkpbyyKrqsIzchF3NB,Crossfade,2004-04-13,194226,False,2,72,2024-11-06,0.451,0.815,2,-5.55,0,0.0368,6.06e-05,0.0,0.27,0.618,147.974,4,"['alternative metal', 'nu metal', 'post-grunge']",62,939850
21,Friends,7uDUb37h7Xdhza1eWMkoJv,Chase Atlantic,7cYEt1pqMgXJdq00hAwVpT,Nostalgia - EP,2015-02-21,230010,False,5,82,2024-11-06,0.328,0.608,11,-6.368,0,0.038,0.0117,6.45e-06,0.108,0.0796,107.384,3,['alternative r&b'],83,8363905
22,Face Down,4wzjNqjKAKDU82e8uMhzmr,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo,Don't You Fake It,2006-01-01,192000,False,4,75,2024-11-06,0.545,0.932,7,-2.189,0,0.0399,0.000665,0.0,0.127,0.464,92.956,4,"['alternative metal', 'neon pop punk', 'pop punk', 'post-grunge', 'screamo']",65,1415471
23,Like a Stone,3YuaBvuZqcwN3CEAyyoaei,Audioslave,2ziB7fzrXBoh1HUPS6sVFn,Audioslave,2002-11-17,293960,False,5,78,2024-11-06,0.614,0.568,7,-5.477,0,0.0276,0.00797,0.0,0.0997,0.516,107.849,4,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']",70,4653036
24,The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,The Strokes,0epOFNiUfyON9EYx7Tpr6V,The New Abnormal,2020-04-10,309053,False,1,78,2024-11-06,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",78,5943774
25,Even Flow,6QewNVIDKdSl8Y3ycuHIei,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Ten,1991-08-27,292580,True,2,77,2024-11-06,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,4,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'permanent wave', 'rock']",76,9125963
26,Paranoid - 2012 - Remaster,1Y373MqadDRtclJNdnUXVc,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Paranoid (Remaster),1970-09-18,168405,False,2,71,2024-11-06,0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,4,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",74,8261217
