,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,290616,False,4,87,2024-11-06,0.369,0.468,5,-9.013,1,0.0273,0.0205,0.566,0.109,0.18,94.434,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
1,Sunsetz,0SpkyS1Q4MD8GaVcP5YjT4,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,215150,False,3,83,2024-11-06,0.41,0.48,9,-9.417,0,0.0294,0.0561,0.814,0.0972,0.129,75.303,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
2,Cry,3p4hRhMcb6ch8OLtATMaLw,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cry,2019-10-25,256799,False,7,84,2024-11-06,0.408,0.398,7,-10.448,1,0.0277,0.758,0.654,0.112,0.165,142.834,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
3,K.,1FWsomP9StpCcXNWmJk8Cl,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,320030,False,1,82,2024-11-06,0.454,0.401,3,-10.251,1,0.0264,0.14,0.837,0.136,0.319,93.703,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
4,Sweet,6ilc4vQcwMPlvAHFfsTGng,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,292110,False,6,81,2024-11-06,0.449,0.51,6,-9.075,1,0.0278,0.351,0.761,0.139,0.115,96.425,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
5,Heavenly,70YTBH8vOGJNMhy6186yFm,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cry,2019-10-25,286773,False,3,77,2024-11-06,0.536,0.436,8,-9.187,1,0.0248,0.672,0.697,0.11,0.134,105.13,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
6,Poison Tree,6Q5uDNuuFYa8ToL3CCoHPC,Grouper,31uyAcnY0kjjKKIQZMKX4i,Inca Ore / Grouper,2008-06-03,196893,False,2,76,2024-11-06,0.224,0.139,11,-22.587,1,0.0354,0.961,0.913,0.108,0.213,111.316,4,"['ambient', 'ambient pop', 'art pop', 'dream pop', 'drone', 'electra', 'experimental ambient', 'experimental pop', 'modern dream pop', 'spectra']",63,307551
7,Nothing's Gonna Hurt You Baby,7cs7MLtAWvsdf3w5kBvfK2,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,I.,2012-07-21,286293,False,1,76,2024-11-06,0.495,0.328,4,-14.079,1,0.0274,0.262,0.149,0.107,0.0927,97.241,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
8,Anchor,7qH9Z4dJEN0l9bidizW7fq,Novo Amor,0rZp7G3gIH6WkyeXbrZnGi,Bathing Beach,2017-05-26,257533,False,3,77,2024-11-06,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,4,"['ambient folk', 'indie folk']",74,1222605
9,Present,6Zrs6gUUaSkM1Z7d0FxOlF,Lloyd Vaan,3HFWqhd60hrJB8fpyjrTLu,Lens Flare,2021-10-29,146000,False,8,72,2024-11-06,0.227,0.00268,3,-27.348,1,0.06,0.951,0.912,0.109,0.228,64.26,4,"['ambient lo-fi', 'corecore']",59,27199
10,State Lines,7CoMBpPTwQi2wPT0U0Nr9b,Novo Amor,0rZp7G3gIH6WkyeXbrZnGi,Birthplace,2018-10-19,208653,False,7,73,2024-11-06,0.509,0.31,9,-10.623,1,0.0313,0.959,0.229,0.0963,0.151,137.474,3,"['ambient folk', 'indie folk']",74,1222605
11,John Wayne,6TWcSqCntZhH5vyc35kkob,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,258483,False,9,72,2024-11-06,0.453,0.465,3,-8.392,1,0.0287,0.351,0.883,0.0985,0.178,123.84,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
12,i was only temporary,0X4YYZtZcvqNqYIpMd93IT,my head is empty,7pxIYxdkx2675ZGKSAPBAy,i was only temporary,2023-10-20,98621,False,1,74,2024-11-06,0.332,0.222,7,-30.108,0,0.0394,0.621,0.76,0.109,0.0336,107.067,4,['ambient lo-fi'],68,194076
13,Falling In Love,0O0bttAxJKKWqAqY2Nq4mC,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cry,2019-10-25,245840,False,8,73,2024-11-06,0.475,0.269,7,-11.641,1,0.027,0.722,0.017,0.125,0.357,140.654,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
14,Ww,5PHSyGMwRTpB2iP6pYjoWV,Other Nothing,4DXOz58gkpdeCcsW4Xjxgd,Not Songs,2019-06-28,93000,False,8,70,2024-11-06,0.0,0.0284,5,-29.914,1,0.0,0.945,0.833,0.112,0.0,0.0,0,['ambient lo-fi'],59,36727
15,Experience,1BncfTJAWxrsxyT9culBrj,Ludovico Einaudi,2uFUBdaVGtyMqckSeCl0Qj,In A Time Lapse,2013-01-01,315426,False,12,75,2024-11-06,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,4,"['compositional ambient', 'neo-classical']",80,3588414
16,Idea 10,1lb3H41lbvAN28N7yqRNL9,Gibran Alcocer,5nWYvcpaqKtp08cYxjOfFr,Idea 10,2022-07-09,128000,False,1,76,2024-11-06,0.339,0.242,7,-20.446,0,0.0383,0.978,0.871,0.104,0.711,87.053,3,['ambient lo-fi'],74,504851
17,Touch,1l4pW7Tklvcc3k38rDFMkk,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cry,2019-10-25,292853,False,5,71,2024-11-06,0.484,0.5,6,-9.403,1,0.0241,0.366,0.918,0.102,0.369,95.996,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
18,retire (final),1hwX5UMu9aUV44INM8GdPv,Alvedon,6nFwmnSA3mMtoePROXi5LT,hurry up mixtape,2021-08-01,214588,False,4,68,2024-11-06,0.223,0.417,8,-21.095,0,0.0468,0.814,0.93,0.12,0.389,135.402,4,['ambient lo-fi'],55,24738
19,green to blue - slowed + reverbed,1MrSbSu9UNo7Aucwrf32WJ,daniel.mp3,5OE8eZn0x45cNNc8GCpvmC,green to blue (slowed + reverbed),2022-10-06,187068,False,1,70,2024-11-06,0.202,0.0335,4,-28.549,0,0.0397,0.977,0.97,0.131,0.0954,66.03,4,['ambient lo-fi'],68,88362
20,You're All I Want,4nvLuqwTOZdEJI1fcHXv8h,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,You're All I Want,2020-05-26,264453,False,1,70,2024-11-06,0.443,0.472,5,-10.94,1,0.0243,0.364,0.825,0.113,0.264,90.948,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
21,New Home (Slowed),6h6runZeeczWEuEW2pFvYW,Austin Farwell,3gfeKrOBLlmoaUXfGJzmS5,New Home (Slowed),2021-05-26,174521,False,1,69,2024-11-06,0.356,0.00558,11,-27.72,1,0.0417,0.99,0.934,0.0991,0.122,70.012,4,['ambient lo-fi'],68,141499
22,Idea 9,3TdROUy5JZz1OcBKMZjeux,Gibran Alcocer,5nWYvcpaqKtp08cYxjOfFr,Idea 9,2023-05-26,137547,False,1,72,2024-11-06,0.34,0.138,2,-24.95,0,0.0357,0.984,0.846,0.112,0.325,128.563,4,['ambient lo-fi'],74,504851
23,Tejano Blue,383EQ8PDAlqzSe4ayyn2Ct,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,X's,2024-07-12,234453,True,2,70,2024-11-06,0.54,0.46,4,-9.992,1,0.0369,0.546,0.439,0.116,0.285,81.999,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
24,Adieux,1ymzdmQYjO3ThdlToYZnTq,Ludovico Einaudi,2uFUBdaVGtyMqckSeCl0Qj,Adieux,2024-01-05,175492,False,1,69,2024-11-06,0.225,0.00407,3,-37.107,1,0.0464,0.987,0.936,0.112,0.32,73.595,4,"['compositional ambient', 'neo-classical']",80,3588414
25,X's,4ImeysCxPlYmM4LRFp7z9f,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,X's,2024-07-12,183761,True,1,69,2024-11-06,0.587,0.442,11,-10.837,0,0.0296,0.445,0.816,0.109,0.215,133.251,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
26,QKThr,4LIM4qmpHABufePRrLWbiM,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,Drukqs,2001-10-22,87466,False,19,68,2024-11-06,0.451,0.0223,1,-26.117,1,0.0461,0.993,0.768,0.13,0.0573,79.042,3,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",67,1512283
27,Waltz,73fZnvwSUlWwt9LLRkknzs,Fabrizio Paterlini,0jrFMgW018F1XVnLtCXOKi,Transitions III,2020-06-05,64788,False,8,71,2024-11-06,0.27,0.0516,8,-33.766,0,0.0442,0.986,0.953,0.112,0.199,87.587,4,['compositional ambient'],72,159273
28,Stop Waiting,1xbOdb9kv5YKBIzJSrKNEy,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Bubblegum,2023-07-18,362973,False,2,68,2024-11-06,0.456,0.336,2,-15.466,1,0.0264,0.333,0.799,0.0737,0.0762,87.435,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
29,Hesitation,3HDsUtYD9XztWhwQY2smjt,Kapa Boy,02WFtZreToLN0ARfpZukYI,Tastes Like Velvet,2022-11-23,123560,False,1,69,2024-11-06,0.713,0.117,10,-25.012,0,0.0857,0.927,0.0109,0.138,0.501,80.208,4,['ambient lo-fi'],62,32542
30,Sesame Syrup,53k1gKFpKrDbktUzrB80f0,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Crush,2018-07-09,303296,False,2,69,2024-11-06,0.424,0.413,4,-11.383,1,0.0246,0.0402,0.382,0.107,0.348,93.636,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
31,Pistol,2nD9CUfMMUVxL0UyFs8fGG,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Pistol,2022-11-15,234174,False,1,69,2024-11-06,0.651,0.441,7,-11.74,1,0.0346,0.519,0.708,0.0959,0.373,109.979,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
32,Goodness of God (Live),0HE3SH6fvxdRIUq54HjVq0,Bethel Music,26T4yOaOoFJvUvxR87Y9HO,Victory (Live),2019-01-25,296400,False,2,65,2024-11-06,0.466,0.669,8,-4.701,1,0.0297,0.156,0.0,0.145,0.396,126.143,4,"['ambient worship', 'ccm', 'deep ccm', 'world worship', 'worship']",72,1939352
33,memories,4VkRQSpG16JxrXaVlNyWdX,leadwave,4v6Vm2UFM3PS4iHY9TZfcb,memories,2022-09-23,86319,False,1,70,2024-11-06,0.252,0.0823,5,-27.338,1,0.0344,0.951,0.928,0.0857,0.0381,67.238,4,['ambient lo-fi'],60,39924
34,you not the same,4txrAyGAWA9JqZzoNHiPRh,TileKid,7HaSqpaqnOWSaqvezpdhX4,you not the same,2021-03-05,128798,False,1,69,2024-11-06,0.102,0.0272,9,-31.537,0,0.0444,0.972,0.856,0.0755,0.116,66.714,4,['ambient lo-fi'],59,53750
35,Idea 22,1FCsK0oKWCtDOYRPYSrYgO,Gibran Alcocer,5nWYvcpaqKtp08cYxjOfFr,Idea 22,2022-12-16,152000,False,1,73,2024-11-06,0.328,0.0704,0,-20.147,0,0.0319,0.986,0.946,0.108,0.15,51.696,4,['ambient lo-fi'],74,504851
36,New Home,707BRCe5feUySwv7141QeA,Austin Farwell,3gfeKrOBLlmoaUXfGJzmS5,New Home,2021-05-11,126359,False,1,68,2024-11-06,0.378,0.014,5,-22.794,1,0.0515,0.994,0.87,0.116,0.198,71.865,1,['ambient lo-fi'],68,141499
37,Opera House,6XdoudbyF67XLcwarEPy0L,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,365150,False,7,68,2024-11-06,0.367,0.292,5,-14.146,1,0.0348,0.726,0.832,0.0971,0.0674,115.337,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
