,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Norman fucking Rockwell,3RIgHHpnFKj5Rni1shokDj,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Norman Fucking Rockwell!,2019-08-30,248934,True,1,72,2024-11-06,0.215,0.203,5,-12.65,1,0.0346,0.968,0.0585,0.0923,0.143,78.287,1,"['art pop', 'pop']",92,41238192
1,Rock 'n' Roll Suicide - 2012 Remaster,1k5iH4KDKi56MFvlnrALNV,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),1972-06-06,178265,False,11,55,2024-11-06,0.457,0.308,0,-11.474,1,0.0398,0.309,1.64e-06,0.107,0.271,103.11,3,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",78,10858596
2,Rockaria!,7vUfTjiMjFfXe7Brz62tXH,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,A New World Record,1976-09-01,192840,False,3,45,2024-11-06,0.45,0.689,2,-6.686,1,0.0342,0.338,3.68e-06,0.119,0.665,146.736,4,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",73,4154969
3,Rock 'N' Roll Is King,6s30tYL0EJbROLV4Yzsw0D,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,Secret Messages,1983-06-15,193906,False,13,50,2024-11-06,0.403,0.88,9,-6.089,1,0.0939,0.356,0.0,0.165,0.882,160.443,4,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",73,4154969
4,Cinnamon Girl,2mdEsXPu8ZmkHRRtAdC09e,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Norman Fucking Rockwell!,2019-08-30,300683,False,7,81,2024-11-06,0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,5,"['art pop', 'pop']",92,41238192
5,Summer Bummer (feat. A$AP Rocky & Playboi Carti),5QqyRUZeBE04yJxsD1OC0I,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Lust For Life,2017-07-21,260672,True,6,63,2024-11-06,0.76,0.574,1,-8.57,1,0.126,0.0155,2.02e-05,0.199,0.137,134.981,4,"['art pop', 'pop']",92,41238192
6,Groupie Love (feat. A$AP Rocky),03hqMhmCZiNKMSPmVabPLP,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Lust For Life,2017-07-21,264037,True,7,62,2024-11-06,0.359,0.6,9,-7.317,1,0.0398,0.113,1.32e-06,0.0952,0.195,175.894,4,"['art pop', 'pop']",92,41238192
7,Doin' Time,0Oqc0kKFsQ6MhFOLBNZIGX,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Norman Fucking Rockwell!,2019-08-30,202192,True,5,77,2024-11-06,0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,4,"['art pop', 'pop']",92,41238192
8,Rock and Sing,5kfH55pli3gCkprV3OJerd,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,Two Hands,2019-10-11,123320,False,1,35,2024-11-06,0.692,0.136,10,-16.008,1,0.0787,0.903,1.55e-06,0.343,0.235,106.783,3,"['art pop', 'brooklyn indie', 'chamber pop', 'countrygaze', 'indie pop', 'indie rock', 'pov: indie', 'small room']",71,962288
9,Supersonic Rocket Ship,1fSdAkbofT03q7ddO2jdss,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Everybody's in Show-Biz (Super Deluxe),1972-08-25,211578,False,8,49,2024-11-06,0.612,0.42,7,-15.645,1,0.0443,0.855,0.0166,0.1,0.874,150.125,4,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock', 'singer-songwriter']",66,2646640
10,Happiness is a butterfly,3lG6OtGDsYAOALxEmubQQm,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Norman Fucking Rockwell!,2019-08-30,272485,False,13,73,2024-11-06,0.467,0.119,2,-10.99,1,0.0401,0.969,1.4e-06,0.0973,0.156,70.499,4,"['art pop', 'pop']",92,41238192
