,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,"Orange Was The Color Of Her Dress, Then Silk Blues",2oTBIvoBVpRiKDsfrEferk,Charles Mingus,1W8TbFzNS15VwsempfY12H,Mingus Plays Piano,1963,254173,False,7,25,2024-11-06,0.533,0.113,8,-16.959,1,0.0446,0.993,0.901,0.159,0.29,94.432,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
1,Bird Calls,1D4XiMlAFbuC66Qizj2xGo,Charles Mingus,1W8TbFzNS15VwsempfY12H,Mingus Ah Um,1959,377533,False,6,26,2024-11-06,0.485,0.481,1,-13.403,1,0.0934,0.281,5.97e-05,0.406,0.662,151.775,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
2,Boogie Stop Shuffle,4FGv56aPO9C1rcPDdvNz8l,Charles Mingus,1W8TbFzNS15VwsempfY12H,Mingus Ah Um,1959,222906,False,3,26,2024-11-06,0.483,0.657,1,-10.035,0,0.0687,0.376,0.00701,0.366,0.488,128.828,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
3,Astral Traveling,51Aj6qKToRKiA5BgThTIRk,Pharoah Sanders,3JLUCojZaHrX2LaUkSj7Ud,Priceless Jazz 10: Pharoah Sanders,1997-01-01,352360,False,1,12,2024-11-06,0.459,0.397,10,-15.21,1,0.104,0.237,0.0215,0.14,0.501,131.024,4,"['avant-garde jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz saxophone', 'spiritual jazz']",46,168181
4,Super Blonde,2QUgj9f4cxtHkNvn59WaWd,Sun Ra,0tIODqvzGUoEaK26rK4pvX,Supersonic Jazz,2014-04-03,155369,False,4,10,2024-11-06,0.541,0.688,5,-8.45,1,0.041,0.591,0.0541,0.18,0.938,96.866,4,"['afrofuturism', 'avant-garde jazz', 'experimental', 'free jazz', 'jazz', 'spiritual jazz']",43,204698
5,Preview,77dajnKkFhv7zd2bIcniGu,Pharoah Sanders,3JLUCojZaHrX2LaUkSj7Ud,The Jazz Composer's Orchestra,1968,210226,False,4,3,2024-11-06,0.298,0.761,4,-7.951,0,0.0852,0.242,0.527,0.313,0.297,118.872,3,"['avant-garde jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz saxophone', 'spiritual jazz']",46,168181
6,Pithecanthropus Erectus,094e3zZ9XLLbqlknjRY6Pc,Charles Mingus,1W8TbFzNS15VwsempfY12H,Jazz in Detroit / Strata Concert Gallery / 46 Selden,2019-03-01,1504839,False,1,5,2024-11-06,0.305,0.603,5,-11.734,0,0.0655,0.556,0.186,0.22,0.633,91.01,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
7,What Is This Thing Called Love,6HeADMdA7GNTfAfHs0wOjh,Charles Mingus,1W8TbFzNS15VwsempfY12H,Jazzical Moods,1955,486866,False,1,5,2024-11-06,0.492,0.376,5,-10.748,0,0.0451,0.724,0.0412,0.147,0.582,105.965,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
8,Purple Heart,5hGgQA8WQTbmYlikz2yTxV,Charles Mingus,1W8TbFzNS15VwsempfY12H,Jazz Composers Workshop,1955,336533,False,1,3,2024-11-06,0.411,0.251,5,-13.671,0,0.0366,0.773,0.000231,0.0938,0.446,96.508,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
9,Celia,158L9sb16tvsZLiJSbajdP,Charles Mingus,1W8TbFzNS15VwsempfY12H,Mingus Mingus Mingus Mingus Mingus,1963,374800,False,3,25,2024-11-06,0.269,0.486,1,-9.931,1,0.0375,0.251,0.0565,0.299,0.233,91.575,3,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
10,Pussy Cat Dues,7F1gWw4gM7IdQJKBNCGJwH,Charles Mingus,1W8TbFzNS15VwsempfY12H,Mingus Ah Um,1959,552826,False,8,25,2024-11-06,0.523,0.105,8,-19.272,1,0.0686,0.81,0.202,0.108,0.285,68.463,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
11,Possession,385RUwXNi226DiCcF1CYNV,Sun Ra,0tIODqvzGUoEaK26rK4pvX,Jazz by Sun Ra,2014-08-11,297933,False,4,4,2024-11-06,0.415,0.214,9,-15.56,0,0.0396,0.824,0.244,0.378,0.279,137.853,4,"['afrofuturism', 'avant-garde jazz', 'experimental', 'free jazz', 'jazz', 'spiritual jazz']",43,204698
12,I'll Take Romance,2pIwvI2Krjf6XOozkWkyxz,Max Roach,6jrlNnS5B830kpi40j3S6g,Jazz In 3/4 Time,1957-01-01,271786,False,3,6,2024-11-06,0.43,0.519,5,-10.115,1,0.0409,0.535,0.121,0.0876,0.664,181.486,3,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'free jazz', 'hard bop', 'jazz', 'jazz drums']",42,91862
13,The Most Beautiful Girl in the World,5jBovSRGIii1yTrQfzKHAM,Max Roach,6jrlNnS5B830kpi40j3S6g,Jazz In 3/4 Time,1957-01-01,425306,False,6,5,2024-11-06,0.391,0.517,2,-9.729,0,0.0346,0.583,0.0652,0.212,0.527,163.369,3,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'free jazz', 'hard bop', 'jazz', 'jazz drums']",42,91862
14,Eventually,4oRR06xIyJkQ6C20FZ5vPP,Ornette Coleman,47odibUtrN3lnWx0p0pk2P,Jazz of the 1950s,2018-06-25,263466,False,3,5,2024-11-06,0.541,0.392,11,-13.363,1,0.111,0.179,0.0213,0.257,0.486,92.827,4,"['avant-garde jazz', 'contemporary post-bop', 'free jazz', 'jazz', 'jazz saxophone']",35,137489
