,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Gymnopédie No. 1,5NGtFXVpXSvwunEIGeviY3,Erik Satie,459INk8vcC0ebEef82WjIK,Erik Satie & Friends,2016-04-01,205866,False,3,67,2024-11-06,0.468,0.0127,7,-36.856,1,0.123,0.994,0.937,0.094,0.356,72.776,3,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",68,865419
1,Satie / Orch. Ducros: Gymnopédie No. 1,0Seumg0NAq7KS1r0Yso52H,Erik Satie,459INk8vcC0ebEef82WjIK,Satie: Masterpieces,2023-12-27,172120,False,1,62,2024-11-06,0.0921,0.0183,7,-31.858,1,0.0513,0.942,0.94,0.195,0.039,166.979,3,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",68,865419
2,"Satie: 3 Gymnopédies: No. 1, Lent et douloureux",1viXzbEBGcnxDst98C5lhm,Erik Satie,459INk8vcC0ebEef82WjIK,Relaxing Piano,2024-10-27,189026,False,11,22,2024-11-06,0.585,0.025,7,-27.829,1,0.084,0.991,0.878,0.101,0.597,80.555,3,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",68,865419
3,"Satie: 6 Gnossiennes: No. 1, Lent",5shBTRYUqBOVBvmS4105Fs,Erik Satie,459INk8vcC0ebEef82WjIK,Relaxing Piano,2024-10-27,205066,False,17,20,2024-11-06,0.386,0.00246,5,-28.015,0,0.0883,0.995,0.85,0.101,0.0441,72.317,1,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",68,865419
4,Gnossienne No. 1,5fdp9rXfEixCGLM1Og4EN1,Erik Satie,459INk8vcC0ebEef82WjIK,Gnossienne No. 1,2013,296480,False,1,62,2024-11-06,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,4,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",68,865419
5,Notturno for Strings and Harp,7nGA1sRfLDWXYb3VPstnZf,Arnold Schoenberg,5U827e4jbYz6EjtN0fIDt9,Schoenberg: Notturno for Strings and Harp,2020-01-17,192419,False,1,58,2024-11-06,0.0979,0.0801,8,-19.643,1,0.0458,0.941,0.431,0.115,0.0608,75.314,4,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'post-romantic era', 'serialism']",47,79448
6,Michelle,3YmxwafE7wiBGOM7WnWdY3,Yusef Lateef,33XkS6h90eeK7e6OJHw0mq,Suite 16,1970,104506,False,5,58,2024-11-06,0.387,0.0948,2,-21.094,0,0.038,0.977,0.924,0.109,0.221,76.614,3,"['avant-garde', 'bebop', 'free jazz', 'jazz', 'jazz saxophone']",51,143241
7,Gymnopédie No. 1,5OPT7l9b5SMwfTQgLPoNl7,Erik Satie,459INk8vcC0ebEef82WjIK,Entremont Plays Satie,1981,205866,False,3,57,2024-11-06,0.469,0.0128,7,-36.856,1,0.119,0.994,0.937,0.0941,0.354,72.765,3,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",68,865419
8,Scheherazade: The Tale of the Kalendar Prince,04eShjKTWijeJJqGnhxpYK,Nikolai Rimsky-Korsakov,2kXJ68O899XvWOBdpzlXgs,Rimsky-Korsakov: Scheherezade,1999-02-01,200360,False,4,57,2024-11-06,0.235,0.0639,11,-24.404,0,0.049,0.962,0.603,0.466,0.0781,120.736,3,"['avant-garde', 'classical', 'early modern classical', 'late romantic era', 'russian romanticism']",54,123096
9,3 Gymnopédies: No. 1 Lent et douloureux,7kTVe6XhIveidvkt8nb7jK,Erik Satie,459INk8vcC0ebEef82WjIK,Satie: The Magic of Satie,2002-01-01,219760,False,1,54,2024-11-06,0.59,0.00399,7,-36.497,1,0.242,0.996,0.946,0.0683,0.182,74.381,3,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",68,865419
