,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Eres Mía,6I86RF3odBlcuZA9Vfjzeq,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"Fórmula, Vol. 2 (Deluxe Edition)",2014-02-25,250640,False,6,80,2024-11-06,0.843,0.729,6,-3.634,0,0.0374,0.401,1.2e-06,0.206,0.903,123.046,4,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",85,22950404
1,Propuesta Indecente,5PycBIeabfvX3n9ILG7Vrv,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"Fórmula, Vol. 2 (Deluxe Edition)",2014-02-25,235133,False,13,80,2024-11-06,0.757,0.632,2,-6.83,1,0.0549,0.499,0.0,0.0723,0.742,122.936,4,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",85,22950404
2,Dile al Amor,2Bhmj4XK33InfhqKPxcJ1v,Aventura,1qto4hHid1P71emI6Fd8xi,The Last,2009-06-09,229360,False,5,78,2024-11-06,0.825,0.605,11,-9.71,1,0.0376,0.0764,0.0,0.314,0.944,124.005,4,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",82,8979315
3,Odio (feat. Drake),1iLv1ieT9BZ3qsti9yTCnG,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"Fórmula, Vol. 2 (Deluxe Edition)",2014-02-25,225000,False,7,76,2024-11-06,0.802,0.725,0,-5.965,0,0.0676,0.574,0.0,0.0821,0.598,128.04,4,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",85,22950404
4,El Perdedor,27ze5t5tIDPlVits0KRbxT,Aventura,1qto4hHid1P71emI6Fd8xi,K.O.B. Live,2006-12-19,215213,False,4,79,2024-11-06,0.779,0.589,5,-10.645,1,0.0345,0.332,0.0,0.12,0.894,128.044,4,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",82,8979315
5,Imitadora,6r46lnXFbE9fr2d3KNaGbe,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,Golden,2017-07-21,234828,False,16,76,2024-11-06,0.737,0.709,8,-6.889,0,0.045,0.333,0.0,0.289,0.556,125.997,4,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",85,22950404
6,Corazón Sin Cara,0u4N6w5lBw5xMrzJitRWUo,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,Prince Royce,2010,211453,False,2,72,2024-11-06,0.704,0.83,11,-3.139,1,0.0297,0.0489,0.0,0.111,0.957,127.103,4,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",77,8043002
7,Ella Y Yo - Featuring Don Omar,6G4U9avyBNEfP0fAIduev3,Aventura,1qto4hHid1P71emI6Fd8xi,God's Project,2005-04-26,267786,False,9,77,2024-11-06,0.732,0.708,9,-7.905,0,0.262,0.534,0.0,0.237,0.717,175.924,4,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",82,8979315
8,Obsesion,65H6t1WQBim6q93yM8fEwn,Aventura,1qto4hHid1P71emI6Fd8xi,We Broke The Rules,2002-06-01,254720,False,1,76,2024-11-06,0.804,0.56,1,-6.912,0,0.0397,0.416,0.0,0.0608,0.768,133.682,4,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",82,8979315
9,Un Beso,1SaEt8dwTuLDzenUu5BqI6,Aventura,1qto4hHid1P71emI6Fd8xi,God's Project,2005-04-26,263346,False,10,74,2024-11-06,0.732,0.64,0,-9.859,1,0.0378,0.586,1.81e-05,0.104,0.715,125.015,4,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",82,8979315
10,Los Infieles,0HDHY6RSHHG2ZTE0cMT4GJ,Aventura,1qto4hHid1P71emI6Fd8xi,K.O.B. Live,2006-12-19,257186,False,2,76,2024-11-06,0.745,0.716,9,-8.221,0,0.0411,0.202,0.0,0.059,0.817,132.932,4,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",82,8979315
11,Volví,2vmfvSoZBFAt9hhRoEByLi,Aventura,1qto4hHid1P71emI6Fd8xi,Volví,2021-08-03,230125,True,1,74,2024-11-06,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,4,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",82,8979315
12,El Malo,217bRMES4HVbPdUe8l8ECN,Aventura,1qto4hHid1P71emI6Fd8xi,The Last,2009-06-09,238720,False,4,75,2024-11-06,0.812,0.506,1,-10.729,1,0.0533,0.143,0.0,0.132,0.701,125.941,4,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",82,8979315
13,Necio (feat. Carlos Santana),3DKWF8is9hzp84aSxnhlag,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"Fórmula, Vol. 2 (Deluxe Edition)",2014-02-25,264266,False,3,73,2024-11-06,0.869,0.684,1,-4.915,1,0.0456,0.362,0.0,0.0737,0.88,115.052,4,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",85,22950404
14,La Diabla,252UPuQsncbBFhTrx4Ytcc,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,Fórmula Vol. 1 (Deluxe Edition),2012-08-27,239026,False,2,73,2024-11-06,0.859,0.747,0,-4.176,1,0.0623,0.461,1.14e-06,0.34,0.882,124.966,4,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",85,22950404
15,Te Extraño - Bachata Version,0muI8DpTEpLqqibPm3sKYf,Xtreme,47bVt95bvBMpmJFWoyhH0C,Xtreme,2005-01-01,212973,False,1,67,2024-11-06,0.795,0.605,6,-4.407,0,0.0333,0.786,0.0,0.0877,0.903,129.942,4,['bachata'],56,512135
16,Sobredosis (feat. Ozuna),1WbXIpiGBJkCiv3hn40iPB,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,Golden,2017-07-21,198332,False,7,73,2024-11-06,0.759,0.639,4,-8.085,0,0.0511,0.207,0.0,0.23,0.682,128.01,4,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",85,22950404
17,Rechazame,07p0kLnvfQQ2bLujHyzSGK,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,Prince Royce,2010,223200,False,5,71,2024-11-06,0.73,0.867,7,-1.946,1,0.0325,0.0749,6.81e-06,0.0712,0.929,130.02,4,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",77,8043002
18,Mi Corazoncito,5I76YtdZkFQReVgKppRd78,Aventura,1qto4hHid1P71emI6Fd8xi,K.O.B. Live,2006-12-19,234240,False,3,70,2024-11-06,0.814,0.639,1,-8.078,0,0.0463,0.0979,0.0,0.13,0.961,133.035,4,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",82,8979315
19,Darte un Beso,6cJLfIqwh0tCKRjYM3WpZ5,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,Soy el Mismo,2013-10-08,206933,False,3,71,2024-11-06,0.757,0.711,1,-4.643,0,0.0349,0.36,0.0,0.121,0.817,139.962,4,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",77,8043002
20,Llévame Contigo,0uLwWjN1KFO678WNJcZDkw,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,Fórmula Vol. 1 (Deluxe Edition),2012-08-27,226400,False,4,72,2024-11-06,0.813,0.694,7,-5.092,0,0.0319,0.602,1.37e-06,0.0919,0.92,119.079,4,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",85,22950404
21,Cancioncitas de Amor,6bcdiJvYNX115yvbh3wASz,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"Fórmula, Vol. 2 (Deluxe Edition)",2014-02-25,237093,False,5,74,2024-11-06,0.783,0.781,4,-3.079,1,0.0419,0.574,0.0,0.323,0.771,125.9,4,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",85,22950404
