,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs (Deluxe Edition),2009,251840,False,1,73,2024-11-06,0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,4,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']",79,6892892
1,Running Up That Hill (A Deal With God),1PtQJZVZIdWIYdARpZRDFO,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Hounds Of Love,1985-09-16,298933,False,1,79,2024-11-06,0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,4,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",72,2195856
2,We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,fun.,5nCi3BB41mBaMH9gfr6Su0,Some Nights,2012-02-21,250626,False,3,71,2024-11-06,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,4,"['baroque pop', 'metropopolis', 'neo mellow']",68,3073332
3,Fourth of July,5Qnrgqy1pAm9GyNQOgyVFz,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,Carrie & Lowell,2015-03-31,279316,False,6,77,2024-11-06,0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,4,"['art pop', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'singer-songwriter']",72,2108368
4,Young Folks,4dyx5SzxPPaD8xQIid5Wjj,Peter Bjorn and John,6u11Qbko2N2hP4lTBYjX86,Writer's Block,2006-01-01,276693,False,3,75,2024-11-06,0.699,0.812,0,-6.005,1,0.0377,0.0164,0.000763,0.105,0.662,138.185,4,"['alternative dance', 'baroque pop', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'swedish alternative rock', 'swedish indie pop']",62,400993
5,Time of the Season - Mono Version,6ub8sQIKHkyYK4KlB9gbxh,The Zombies,2jgPkn6LuUazBoBk6vvjh5,Odessey and Oracle,1968-04-30,214040,False,12,69,2024-11-06,0.542,0.562,11,-10.727,0,0.0368,0.134,4.75e-06,0.411,0.709,116.972,4,"['baroque pop', 'british invasion', 'classic rock', 'folk rock', 'psychedelic rock']",61,1001824
6,A-Punk,3AydAydLzyyZutA0375XIz,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,2008-01-29,137760,False,3,66,2024-11-06,0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,4,"['baroque pop', 'chamber pop', 'garage rock', 'indie rock', 'indietronica', 'modern rock']",67,1986189
7,Some Nights,6t6oULCRS6hnI7rm0h5gwl,fun.,5nCi3BB41mBaMH9gfr6Su0,Some Nights,2012-02-21,277040,True,2,65,2024-11-06,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,4,"['baroque pop', 'metropopolis', 'neo mellow']",68,3073332
8,Army Dreamers - 2018 Remaster,5QYUNHT2dQwoNHorXznygN,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Never for Ever (2018 Remaster),1980-09-07,179160,False,10,63,2024-11-06,0.696,0.119,4,-18.617,0,0.0581,0.728,5.56e-05,0.0637,0.312,143.527,3,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",72,2195856
9,Good Vibrations - Remastered 2001,5t9KYe0Fhd5cW6UYT4qP8f,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Smiley Smile (Remastered),1967-09-18,219026,False,6,69,2024-11-06,0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,4,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",73,4690809
10,Kokomo,5qHYXcVvc9xsFB2uH7GpMN,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,The Very Best Of The Beach Boys: Sounds Of Summer,2003-01-01,217692,False,25,69,2024-11-06,0.682,0.635,0,-10.05,1,0.0346,0.00863,0.0,0.137,0.927,115.584,4,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",73,4690809
11,Wouldn't It Be Nice,4IHc6SzGPnzSPuHVEPzpJc,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Pet Sounds,1966-05-16,153240,False,1,69,2024-11-06,0.392,0.629,5,-7.056,1,0.0334,0.718,3.65e-06,0.129,0.72,124.511,4,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",73,4690809
12,Army Dreamers,2LTCVKCcbKQBoqofOkI0fB,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Never for Ever,1980-09-08,178640,False,10,62,2024-11-06,0.679,0.0742,4,-22.23,0,0.0664,0.74,9.6e-05,0.0897,0.318,144.002,3,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",72,2195856
13,Surfin' U.S.A. - Remastered 2001,0wz1LjDb9ZNEYwOmDJ3Q4b,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Surfin' USA (Remastered),1963-03-25,149373,False,1,70,2024-11-06,0.55,0.854,3,-5.968,1,0.036,0.661,0.0,0.112,0.965,159.231,4,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",73,4690809
14,You've Got The Love,6u9RqxALwkjJ1ukB1y8vuP,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs (Deluxe Edition),2009,168666,False,13,63,2024-11-06,0.574,0.704,6,-4.72,1,0.0319,0.00455,0.0,0.107,0.368,109.999,4,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']",79,6892892
15,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",61dYvvfIRtIDFuqZypPAta,Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,Bach: Unaccompanied Cello Suites (Remastered),1983,151733,False,1,62,2024-11-06,0.218,0.111,7,-21.375,1,0.0688,0.895,0.834,0.165,0.27,77.423,4,"['baroque', 'classical', 'early music', 'german baroque']",78,4491877
