,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Take Five,1YQWosTIljIvxAgHWTp7KP,The Dave Brubeck Quartet,4iRZAbYvBqnxrbs6K25aJ7,Time Out,1959-12-14,324133,False,3,67,2024-11-06,0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,5,"['bebop', 'jazz', 'jazz quartet']",58,307909
1,The Girl From Ipanema,7znjbX9XdoQayIrVNdd50Z,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,320253,False,1,66,2024-11-06,0.654,0.147,10,-17.844,0,0.039,0.867,0.000923,0.0986,0.472,130.359,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
2,Autumn Nocturne,4zPDjRgceGrR0Sm54YDTTf,Lou Donaldson,063xkuRULzZu8fcoPR2rKR,Blues Walk,1958,294666,False,5,59,2024-11-06,0.539,0.0678,0,-18.039,1,0.0468,0.967,0.168,0.114,0.263,124.105,4,"['bebop', 'hard bop', 'jazz saxophone', 'soul jazz']",49,55799
3,It's Easy To Remember,1lZ41PumDFX0e82XTGx4sE,John Coltrane Quartet,67PZTxaHKMZBFRUh8wIzCy,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),1963,165560,False,7,60,2024-11-06,0.497,0.125,5,-11.461,0,0.0346,0.925,0.00577,0.129,0.215,69.159,4,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz quartet', 'jazz saxophone']",55,218404
4,Blue And Sentimental,78ntGe4xyecZHg9exQWwK6,Oscar Peterson,6zkX5fhrSD4tdVOmimR9wB,Oscar Peterson Plays Count Basie,1956-01-01,146093,False,7,58,2024-11-06,0.551,0.114,3,-24.78,0,0.0451,0.977,0.874,0.141,0.124,70.141,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz piano', 'stride', 'vocal jazz']",57,289461
5,My One And Only Love,0uPkCpuoERqrkBL06Art50,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,John Coltrane And Johnny Hartman,1963-01-01,295240,False,3,61,2024-11-06,0.472,0.0676,0,-16.101,1,0.0352,0.963,0.00286,0.14,0.252,114.416,4,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
6,There Will Never Be Another You,6oSm3mBWFxJHEnjE2IqhmA,Lester Young,05E3NBxNMdnrPtxF9oraJm,The President Plays With The Oscar Peterson Trio,1959-06-02,205666,False,11,59,2024-11-06,0.588,0.0387,0,-17.944,0,0.06,0.978,0.823,0.116,0.342,83.4,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz saxophone']",55,152052
7,The Girl From Ipanema - Single Version,4qGfJb2KByjvzrwo8HNibg,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,167533,False,17,60,2024-11-06,0.696,0.17,5,-16.603,0,0.0385,0.944,0.00174,0.106,0.52,130.966,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
8,The Last Time I Saw Paris,1CgkKs5fgX1BiYyYZ6ZzZE,Johnny Hodges,7lRFrrINQTY35g8hq0kXY5,Not So Dukish,1958-11-20,174960,False,8,58,2024-11-06,0.548,0.00931,0,-21.426,1,0.0573,0.986,0.0609,0.106,0.521,82.127,4,"['bebop', 'jazz saxophone']",51,45255
9,Michelle,3YmxwafE7wiBGOM7WnWdY3,Yusef Lateef,33XkS6h90eeK7e6OJHw0mq,Suite 16,1970,104506,False,5,58,2024-11-06,0.387,0.0948,2,-21.094,0,0.038,0.977,0.924,0.109,0.221,76.614,3,"['avant-garde', 'bebop', 'free jazz', 'jazz', 'jazz saxophone']",51,143241
10,Só Danço Samba,5je0CDv1Z1hT82Nek1Fjhl,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Jazz Samba Encore!,1963,216226,False,2,60,2024-11-06,0.578,0.364,2,-15.162,1,0.0441,0.683,0.0539,0.105,0.723,78.073,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
11,I Got It Bad And That Ain't Good,4ol2UyMTiklHVujAWg02nE,Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Night Train (Expanded Edition),1963-01-01,306226,False,9,58,2024-11-06,0.507,0.0527,5,-27.332,1,0.0481,0.971,0.911,0.0882,0.196,49.246,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz trio']",59,198002
12,Gary's Theme - Remastered 2003,3f9KhpRN6mMYoVnpuozgHD,Bill Evans,4jXfFzeP66Zy67HM2mvIIF,You Must Believe In Spring (Remastered Version),1981-02-02,257693,False,3,57,2024-11-06,0.421,0.08,7,-21.795,1,0.04,0.903,0.859,0.135,0.0546,122.044,3,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz piano', 'vocal jazz']",63,714791
13,Corcovado (Quiet Nights Of Quiet Stars),0Wh99eifNTNqDFRtzWhCE2,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,256560,False,5,61,2024-11-06,0.519,0.132,0,-17.856,1,0.0478,0.916,0.00106,0.246,0.376,127.214,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
14,Nancy (With The Laughing Face),2HdvZsLXBmO9sc4cV8d4BA,John Coltrane Quartet,67PZTxaHKMZBFRUh8wIzCy,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),1963,191866,False,8,55,2024-11-06,0.47,0.139,5,-13.774,1,0.044,0.984,0.189,0.152,0.297,95.566,3,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz quartet', 'jazz saxophone']",55,218404
15,Skating In Central Park,1cpANF6zMBoFoxkoIjZHjv,Bill Evans,4jXfFzeP66Zy67HM2mvIIF,Undercurrent,1962,324200,False,5,56,2024-11-06,0.478,0.0294,0,-25.319,1,0.0453,0.993,0.948,0.105,0.148,124.308,3,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz piano', 'vocal jazz']",63,714791
16,Corcovado (Quiet Nights Of Quiet Stars) - Single Version,5nU7dvOfzYs9QVVL7YVNPE,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,139986,False,18,59,2024-11-06,0.531,0.198,9,-15.811,0,0.039,0.952,0.00267,0.119,0.437,128.043,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
17,It Never Entered My Mind,6QlkHjQmo2YncQN5MQXgPZ,Miles Davis Quintet,71Ur25Abq58vksqJINpGdx,Workin' With The Miles Davis Quintet,1959,323186,False,1,55,2024-11-06,0.476,0.217,8,-10.75,1,0.0308,0.892,6.09e-05,0.0966,0.121,116.079,4,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz']",51,308340
18,Skal Brothers,5pZctiRuY12nxYpxM3VbPH,Tommy Flanagan,6dUZplQfg5blo0h9HiJ94d,Keyboard Virtuoso,2022-02-11,152693,False,1,48,2024-11-06,0.681,0.376,1,-15.681,1,0.0412,0.845,0.838,0.0754,0.552,127.269,4,"['bebop', 'jazz', 'jazz piano']",45,45021
19,They Say It's Wonderful,2TFzmt2xRoSd3KNelJcUxZ,John Coltrane Quartet,67PZTxaHKMZBFRUh8wIzCy,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),1963,182626,False,1,54,2024-11-06,0.49,0.091,6,-17.217,1,0.0412,0.994,0.71,0.1,0.0688,71.263,5,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz quartet', 'jazz saxophone']",55,218404
20,Misty,4Mdo6FZj42vID4oDi6P4ZW,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,This Is Jazz #14,1996-08-07,323226,False,4,49,2024-11-06,0.328,0.0421,6,-22.933,1,0.0426,0.993,0.525,0.0964,0.179,52.793,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
21,Early Autumn,22DysDIxio06fLuxT0f6g8,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Cool Velvet: Stan Getz And Strings,1960-11-17,285333,False,3,48,2024-11-06,0.305,0.173,10,-14.703,1,0.0341,0.964,0.0885,0.0953,0.26,59.314,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
22,Say It (Over And Over Again),016HKF7A4O7tatoJ9BgZM1,John Coltrane Quartet,67PZTxaHKMZBFRUh8wIzCy,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),1963,255960,False,1,54,2024-11-06,0.532,0.124,3,-13.034,1,0.0408,0.963,0.376,0.246,0.217,66.774,4,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz quartet', 'jazz saxophone']",55,218404
23,Stardust,2KfxK9sO9xnjeFxizuXljy,Ben Webster,34W7ZCX0LZeJd8q6boKGOk,See You At The Fair,1964,146773,False,7,54,2024-11-06,0.445,0.033,1,-21.925,1,0.0665,0.971,0.546,0.157,0.514,181.659,3,"['bebop', 'jazz', 'jazz saxophone']",54,100484
24,These Foolish Things,7wlWVDaD3IGAWySnJ5ybRY,Lester Young,05E3NBxNMdnrPtxF9oraJm,Blue Lester: The Immortal Lester Young,1956-01-01,179440,False,5,53,2024-11-06,0.591,0.129,3,-15.649,1,0.0454,0.985,0.872,0.127,0.478,75.031,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz saxophone']",55,152052
25,I Don't Stand A Ghost Of A Chance With You,1U40ZDyutQGASuOrNlVM2S,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz In Stockholm,1956-01-01,348546,False,3,48,2024-11-06,0.428,0.0429,1,-24.025,1,0.0398,0.991,0.803,0.112,0.423,140.824,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
26,Quintessence,4dUVpbIu8FW7R76gejw3cq,Coleman Hawkins Quartet,4dW1iedUigtloIFhrGK5uC,Today And Now,1963-08-01,284680,False,2,51,2024-11-06,0.438,0.129,5,-15.984,1,0.0346,0.957,0.0459,0.0884,0.127,84.845,3,"['bebop', 'hard bop', 'jazz quartet']",46,11298
27,My Foolish Heart,6yKkA8HzwWTZ5taIMaG4Nm,Bill Evans Trio,3VEG6gxFIMfl4Cdog26avS,Waltz For Debby (Original Jazz Classics Remaster 2010),1961,297320,False,1,54,2024-11-06,0.395,0.121,9,-23.427,1,0.0325,0.937,0.405,0.697,0.138,114.396,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz trio']",54,280683
28,Alone Together - Rudy Van Gelder Remaster 2006,3GOZbK2epuHzCt5YvvVFHO,Kenny Dorham,2fMvylhnE23sAlyePKK8er,Quiet Kenny,1992-01-01,190400,False,4,54,2024-11-06,0.336,0.0619,5,-20.494,0,0.0363,0.985,0.891,0.11,0.197,60.705,4,"['bebop', 'hard bop', 'jazz', 'jazz trumpet']",46,83525
29,Georgia On My Mind,7p6ZeiNtEHJKmc4YWBZELG,Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Night Train (Expanded Edition),1963-01-01,223973,False,3,53,2024-11-06,0.431,0.113,8,-24.017,1,0.049,0.976,0.903,0.107,0.127,99.108,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz trio']",59,198002
30,"Softly As In A Morning Sunrise - Rudy Van Gelder Edition, 2008 Digital Remaster",6I0I8uMyDHtA1nfyP8c5WE,Paul Chambers Quintet,42ckVhl96fQSAXsR2Gm1My,Paul Chambers Quintet (Remastered),2009-01-01,190120,False,3,53,2024-11-06,0.477,0.236,10,-18.393,0,0.0423,0.876,0.846,0.0731,0.598,169.308,4,"['bebop', 'hard bop']",39,8638
31,Misty,6oanIhkNbxXnX19RTtkpEL,Erroll Garner,6C65D20ASusYqHGSIktfED,Plays Misty,1955-01-01,171000,False,1,46,2024-11-06,0.431,0.161,10,-17.707,0,0.0389,0.952,0.799,0.106,0.173,98.018,4,"['bebop', 'jazz', 'jazz piano']",51,116678
32,"Love Song From ""Apache""",1ifTvBXU6MNgPnPMY4RsBq,Coleman Hawkins Quartet,4dW1iedUigtloIFhrGK5uC,Today And Now,1963-08-01,252173,False,4,52,2024-11-06,0.472,0.0436,9,-15.173,0,0.0437,0.98,0.0125,0.108,0.283,124.426,1,"['bebop', 'hard bop', 'jazz quartet']",46,11298
33,Moonlight In Vermont,6vUv75b49uBNR9H0zenin6,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,The Essential Stan Getz: The Getz Songbook,1992-11-03,147906,False,13,52,2024-11-06,0.338,0.354,1,-10.931,1,0.0363,0.919,0.0753,0.223,0.343,115.553,5,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
34,But Beautiful,1XCBWtTJZuHbwa6GLUutjo,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz & Bill Evans,1973-03-01,280840,False,2,54,2024-11-06,0.499,0.0539,11,-21.882,1,0.0396,0.972,0.0287,0.0839,0.324,72.981,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
35,Para Machuchar Meu Coracao,5UaJ4zxtCIi5WZomhoZIeq,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,307253,False,3,57,2024-11-06,0.5,0.142,3,-18.151,1,0.0402,0.935,0.00474,0.106,0.426,131.588,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
36,These Foolish Things - Remastered 1995,7AHF3V7qRPhZV7gzJLZ3CL,Lester Young,05E3NBxNMdnrPtxF9oraJm,The Complete Aladdin Recordings Of Lester Young,1995-01-01,190933,False,7,53,2024-11-06,0.593,0.103,10,-14.961,1,0.081,0.986,0.6,0.12,0.443,66.283,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz saxophone']",55,152052
37,Misty - Remastered 2020,2yiISACbYnL2hApy1ffKKs,Erroll Garner,6C65D20ASusYqHGSIktfED,Gemini (Octave Remastered Series),2020-04-17,167121,False,9,53,2024-11-06,0.327,0.145,5,-20.443,1,0.0397,0.945,0.884,0.091,0.136,178.966,1,"['bebop', 'jazz', 'jazz piano']",51,116678
38,A Taste Of Honey,71ZgxJIApKmssV44AD1Zva,Lionel Hampton,2PjgZkwAEk7UTin4jP6HLP,You Better Know It!!!,1964-01-01,164373,False,9,52,2024-11-06,0.473,0.0203,4,-28.519,0,0.0611,0.976,0.597,0.117,0.336,73.561,4,"['bebop', 'big band', 'dixieland', 'jazz', 'stride', 'swing', 'vintage jazz']",45,68135
39,I'm In The Mood For Love,50G4bmpZt73jslY5PzymvY,Erroll Garner,6C65D20ASusYqHGSIktfED,The Complete Savoy Master Takes,1998-10-06,175000,False,18,51,2024-11-06,0.558,0.105,1,-15.077,1,0.0428,0.904,0.8,0.106,0.359,135.013,4,"['bebop', 'jazz', 'jazz piano']",51,116678
40,Moanin',4Vkk3iD1VrENHJEACNddvt,Art Blakey & The Jazz Messengers,6ykfXAed2KOLOMI3R0TZdz,Moanin' (Expanded Edition),1959-01-01,570720,False,2,56,2024-11-06,0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358,4,"['bebop', 'hard bop', 'jazz', 'jazz drums']",49,232386
41,A Nightingale Sang In Berkeley Square,1xaTXPoDk4VOU9XhYX4KJM,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Recorded Fall '61,1961-01-01,419626,False,5,54,2024-11-06,0.425,0.0429,1,-24.86,1,0.0408,0.951,0.0184,0.148,0.255,96.097,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
42,Desafinado,2tcfbkABIwzpepPyaFsYF4,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,248013,False,4,55,2024-11-06,0.501,0.186,10,-17.522,1,0.0544,0.912,0.00269,0.116,0.422,144.083,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
43,All The Things You Are,6LPqphk2rbt2i63bR2o247,Dizzy Gillespie,5RzjqfPS0Bu4bUMkyNNDpn,Odyssey: 1945-1952,2002-05-21,169506,False,3,50,2024-11-06,0.564,0.0822,8,-17.658,1,0.0453,0.962,0.583,0.11,0.483,127.422,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz trumpet', 'vocal jazz']",50,439278
44,Body and Soul,2xm9ihELo6xwrRKrBbPql9,Coleman Hawkins,0JM134st8VY7Ld9T2wQiH0,Body & Soul,1996-05-21,182360,False,4,52,2024-11-06,0.659,0.113,10,-16.756,0,0.0569,0.976,0.88,0.179,0.738,95.063,4,"['bebop', 'jazz', 'jazz saxophone']",52,136821
45,I Should Care - Remastered 2006,2rrpSnItbu4ONFsF9gkHwe,Hank Mobley,5cbutZUQE7SUCA6MsEMbBv,Another Workout,2006-01-01,459826,False,2,45,2024-11-06,0.618,0.111,5,-14.968,0,0.0433,0.982,0.176,0.0914,0.33,107.18,4,"['bebop', 'hard bop', 'jazz', 'jazz saxophone']",50,96240
46,September In the Rain,253VASytYpIZrZGpTlHyHQ,Roy Hargrove,49zXTngyUTielHTbbH5YKs,Approaching Standards,1994-08-16,453200,False,5,45,2024-11-06,0.629,0.143,3,-17.662,1,0.0365,0.817,0.152,0.0685,0.402,119.076,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz trumpet']",48,161033
47,I Can't Get Started,0kC4Rrdb4B4hAgt3PMoARe,Lester Young,05E3NBxNMdnrPtxF9oraJm,The President Plays With The Oscar Peterson Trio,1959-06-02,217760,False,6,51,2024-11-06,0.588,0.0207,0,-21.139,1,0.0794,0.981,0.688,0.105,0.167,116.882,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz saxophone']",55,152052
48,Saudade Vem Correndo,3QxAadrRx8aSEVd6Qzr8KF,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Jazz Samba Encore!,1963,219093,False,8,52,2024-11-06,0.634,0.288,4,-16.798,1,0.0377,0.946,0.163,0.366,0.671,90.633,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
49,That's All,53VuyKap8WiDjkrtm5d4h3,Ben Webster,34W7ZCX0LZeJd8q6boKGOk,King Of The Tenors,1954-01-01,227760,False,4,49,2024-11-06,0.483,0.126,7,-13.156,0,0.0583,0.888,0.000135,0.112,0.388,79.656,3,"['bebop', 'jazz', 'jazz saxophone']",54,100484
50,A Foggy Day,31sgA9RhIPIKf0QAhjnHbi,Oscar Peterson,6zkX5fhrSD4tdVOmimR9wB,Oscar Peterson Plays The George Gershwin Song Book,1959-01-01,174946,False,5,50,2024-11-06,0.433,0.0701,0,-28.291,1,0.0364,0.957,0.897,0.103,0.232,99.009,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz piano', 'stride', 'vocal jazz']",57,289461
51,Goodbye Pork Pie Hat,3PJMsxg6rz9FOo6xNiASXz,Charles Mingus,1W8TbFzNS15VwsempfY12H,Mingus Ah Um,1959,342373,False,2,52,2024-11-06,0.356,0.0937,8,-16.64,0,0.0353,0.957,0.096,0.209,0.278,86.669,3,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
52,Blue Lester,427fYkFx1Arn2qGQeGVGNT,Lester Young,05E3NBxNMdnrPtxF9oraJm,Blue Lester: The Immortal Lester Young,1956-01-01,205373,False,10,50,2024-11-06,0.724,0.0542,8,-19.512,1,0.0484,0.984,0.896,0.108,0.542,119.471,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz saxophone']",55,152052
53,Song For My Father,1CDBaGlisZlOJzvx88lL8A,Horace Silver,5ZATfKurLqflrBhv2FLht5,Song For My Father,1999-01-01,438280,False,1,53,2024-11-06,0.742,0.671,5,-8.142,0,0.0407,0.794,0.00441,0.122,0.591,127.359,4,"['bebop', 'hard bop', 'jazz', 'jazz piano']",46,123794
54,Autumn Leaves,0X5DcGkbxCXSadgj01ZXd7,Cannonball Adderley,5v74mT11KGJqadf9sLw4dA,Somethin' Else (Rudy Van Gelder Edition),1958,659520,False,1,53,2024-11-06,0.535,0.258,7,-9.499,0,0.033,0.768,8.95e-05,0.115,0.281,110.953,4,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz blues', 'soul jazz']",58,218331
55,I Know Why (And So Do You),3DsIu9DB0AZufrQHR4yJKL,Red Garland,35iymrFS4VnsKn35ebHKX9,Red Garland's Piano,1957,287613,False,6,50,2024-11-06,0.528,0.0847,0,-16.575,0,0.0405,0.984,0.893,0.131,0.0431,111.49,4,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz piano']",53,66160
56,Summertime,6cU4urQRUieTBH08yKHAqj,Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,April In Paris: The Genius Of Charlie Parker #2,1957-08-08,167121,False,2,53,2024-11-06,0.339,0.342,7,-7.596,0,0.0313,0.962,0.319,0.162,0.393,132.599,3,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",53,637946
57,My One And Only Love,7Gf896pRsrMkQpQTkqMI09,Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Oscar Peterson For Lovers (Deluxe Edition),2021-08-06,308066,False,1,47,2024-11-06,0.281,0.251,8,-18.417,1,0.0383,0.972,0.874,0.113,0.0708,49.499,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz trio']",59,198002
58,Stardust,5gHPj9g3L9e2cu81LZUc5F,Lester Young,05E3NBxNMdnrPtxF9oraJm,The President Plays With The Oscar Peterson Trio,1959-06-02,212600,False,7,50,2024-11-06,0.474,0.0494,10,-18.849,0,0.0912,0.984,0.749,0.106,0.226,62.287,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz saxophone']",55,152052
59,My Favorite Things,2JOEPbuwVf0nafGnMSVEhH,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,My Favorite Things (Deluxe Edition),1961,824133,False,1,52,2024-11-06,0.277,0.242,4,-18.442,1,0.0342,0.694,0.464,0.113,0.285,175.384,3,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
60,Nobody Else But Me,2QDrvpbDt5WnHIwqGZZSX0,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Nobody Else But Me,1994-09-27,251346,False,6,49,2024-11-06,0.451,0.156,0,-15.422,0,0.0415,0.964,0.0478,0.0993,0.379,137.405,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
61,Blue Rondo à la Turk,7CrNF9zL7tIQ2269DVxzST,The Dave Brubeck Quartet,4iRZAbYvBqnxrbs6K25aJ7,Time Out,1959-12-14,403640,False,1,48,2024-11-06,0.588,0.4,7,-11.914,0,0.036,0.851,0.352,0.11,0.468,113.615,4,"['bebop', 'jazz', 'jazz quartet']",58,307909
62,'Round Midnight,1wl5b2lw3YagQtZiYZbQWP,Thelonious Monk,4PDpGtF16XpqvXxsrFwQnN,"Genius Of Modern Music (Vol.1, Expanded Edition)",1951,193840,False,20,51,2024-11-06,0.542,0.32,8,-9.975,1,0.0387,0.907,0.649,0.0609,0.206,116.648,4,"['bebop', 'contemporary post-bop', 'jazz', 'jazz piano', 'jazz trio']",53,678287
63,Emily,6joG9hvPqUH0Bm4Zff7Nru,Paul Desmond,68l2i6GeNtwQlhKS59u5bu,Summertime,1968-01-01,287373,False,4,46,2024-11-06,0.381,0.0233,0,-26.621,0,0.0381,0.993,0.914,0.111,0.147,62.031,3,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz saxophone']",53,164914
