,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Hot Mallets,3Bj1fTJC5zIqAUybuCyRl2,Lionel Hampton,2PjgZkwAEk7UTin4jP6HLP,"The Complete Victor Lionel Hampton Sessions, Vol. 2",2007-04-14,136746,False,14,35,2024-11-06,0.755,0.558,10,-10.753,0,0.0299,0.578,0.559,0.0676,0.96,122.736,4,"['bebop', 'big band', 'dixieland', 'jazz', 'stride', 'swing', 'vintage jazz']",45,68135
1,Moonlight Serenade,5vumagh31rpxXZPOu3mcqR,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,The Centennial Collection,2004-05-10,202600,False,1,30,2024-11-06,0.344,0.132,3,-12.019,1,0.0266,0.869,0.115,0.201,0.11,77.757,3,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
2,I Cried For You,3K9SMKlffROYQ99bcFtJYM,Benny Goodman Quartet,26vAEAV08relvScS4FUsIt,"Trio, Quartet, Big Band and Guests, Vol. 3 (1936 - 1939)",2021-07-06,198043,False,13,36,2024-11-06,0.689,0.21,2,-14.839,0,0.036,0.97,0.759,0.178,0.738,147.01,4,"['adult standards', 'big band', 'dixieland', 'jazz clarinet', 'jazz quartet', 'swing']",38,54572
3,Juke Box Saturday Night - Remastered 2001,0ISppEuiaQQ9GNs0OwxtBW,Glenn Miller & The Army Air Force Band,3HctCWU4lLBrnCm3Zac5km,Army Air Force Band,2001-07-10,183733,False,11,28,2024-11-06,0.592,0.443,0,-9.296,0,0.121,0.791,0.0,0.15,0.543,78.511,4,['big band'],27,3958
4,Goodbye Pork Pie Hat,3bXv1lhx723X4TCDRgxmgN,Mingus Big Band,54YNxT02JdAApvFBhD8ea0,Blues & Politics,1999,585693,False,3,24,2024-11-06,0.489,0.2,3,-14.569,0,0.0482,0.829,0.554,0.0995,0.251,109.355,4,"['big band', 'jazz orchestra', 'modern big band']",34,24217
5,Tuxedo Junction,1GFBBzqU8trjyVgpLB6Acm,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,Pure Gold,1980-04-09,205160,False,6,35,2024-11-06,0.714,0.108,10,-15.872,1,0.06,0.933,0.717,0.178,0.412,113.581,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
6,In the Mood,60y1f6NuDgQrY3BUdeTzzK,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,The Centennial Collection,2004-05-10,216440,False,6,30,2024-11-06,0.643,0.342,8,-12.713,1,0.0732,0.927,0.0715,0.0712,0.881,81.452,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
7,Fables of Faubus,13F7JPLraYS1Jb5TZq97zH,Mingus Big Band,54YNxT02JdAApvFBhD8ea0,Gunslinging Birds,1995,583840,False,5,22,2024-11-06,0.362,0.67,5,-8.781,0,0.136,0.453,0.63,0.481,0.606,151.164,4,"['big band', 'jazz orchestra', 'modern big band']",34,24217
8,Moonlight Cocktail - Remastered,0UyLoHPx72zTUF2O4uO3WF,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,The Essential Glenn Miller,1996,195640,False,16,32,2024-11-06,0.473,0.15,4,-11.873,0,0.0337,0.985,0.00316,0.294,0.329,80.558,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
9,You Made Me Love You,6M1oqntTIPSlotKT2IFDC2,Harry James,5MpELOfAiq7aIBTij30phD,Ultimate Big Band Collection: Harry James,2011-03-01,192960,False,6,23,2024-11-06,0.461,0.173,7,-11.876,0,0.0306,0.942,0.888,0.548,0.24,83.503,4,"['big band', 'jazz trumpet', 'swing']",52,105831
10,American Patrol,4mOa9R5U0RdKDYDgr2J9O2,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,Pure Gold,1980-04-09,196800,False,9,30,2024-11-06,0.64,0.398,10,-11.058,1,0.0449,0.926,0.921,0.0773,0.789,92.906,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
11,American Patrol,15AxDcEv579wQjIU7Tw1WV,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,The Essential Glenn Miller,1996,196520,False,7,36,2024-11-06,0.651,0.45,10,-9.317,1,0.0319,0.831,0.58,0.123,0.826,92.107,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
12,Tiger of San Pedro,4hmSczuXPWu7MevnpFnFgf,John La Barbera Big Band,1vriRpOqOmWENGsFgQteyu,On the Wild Side - Grammy Nominee 2004,2004-01-01,266466,False,3,31,2024-11-06,0.491,0.615,5,-7.286,1,0.092,0.306,0.00987,0.102,0.467,130.525,4,"['jazz orchestra', 'modern big band']",21,1253
13,Pennsylvania 6-5000,4fsVfD5wWq6xGGkoS3xTB9,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,Ultimate Big Band Collection: Glenn Miller,1939,193306,False,4,21,2024-11-06,0.735,0.267,1,-12.015,1,0.0719,0.896,0.219,0.238,0.692,145.256,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
14,All Or Nothing At All,0m7jSL1UmvJR3So3gtqgZr,Harry James,5MpELOfAiq7aIBTij30phD,Ultimate Big Band Collection: Harry James,2011-03-01,177413,False,7,23,2024-11-06,0.314,0.105,2,-16.065,0,0.0333,0.985,0.00639,0.242,0.253,130.771,4,"['big band', 'jazz trumpet', 'swing']",52,105831
15,Moonlight Serenade,2yjXmFrSSg7UNi9mMMPVXz,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,Greatest Hits,1996-04-14,201066,False,2,36,2024-11-06,0.317,0.146,3,-11.529,1,0.0292,0.955,0.212,0.179,0.0835,78.347,3,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
16,Dreams,1XNTozUC4qBhAsRV63qOvQ,The Him,5WdqBAQhGFCrZvBKXiPIu7,Dreams,2023-09-15,229687,False,1,37,2024-11-06,0.621,0.836,0,-7.226,1,0.0903,0.13,2.16e-05,0.421,0.232,127.944,4,"['big room', 'deep tropical house', 'pop dance', 'pop edm']",47,111289
17,At the Jazz Band Ball,3YYDlIXMlPmalb7fNzAyBl,Bix Beiderbecke,3kfbYBrL3MCPAMUwKDRpc7,Vol. II: At The Jazz Band Ball,1990-09-25,169600,False,7,15,2024-11-06,0.541,0.522,0,-12.795,1,0.0861,0.987,0.894,0.732,0.91,205.503,4,"['big band', 'dixieland', 'jazz trumpet', 'swing', 'vintage jazz']",37,33017
18,Trick Or Treat,7dHaoXre1JQztW4sYTJksP,Lionel Hampton,2PjgZkwAEk7UTin4jP6HLP,You Better Know It!!!,1964-01-01,362080,False,6,27,2024-11-06,0.66,0.299,0,-14.146,0,0.0413,0.837,0.000288,0.122,0.438,117.746,4,"['bebop', 'big band', 'dixieland', 'jazz', 'stride', 'swing', 'vintage jazz']",45,68135
19,Love For Sale,1LjvXnEvVhlYXlY1UgLmky,Lionel Hampton,2PjgZkwAEk7UTin4jP6HLP,The Song Is You: Best Of The Verve Songbooks,1996-01-01,209160,False,14,31,2024-11-06,0.668,0.238,6,-17.534,1,0.0429,0.848,0.669,0.0859,0.516,114.745,4,"['bebop', 'big band', 'dixieland', 'jazz', 'stride', 'swing', 'vintage jazz']",45,68135
20,A String of Pearls,0I6EzSrwtxcVwjVQVBPqHV,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,The Essential Glenn Miller,1996,193200,False,10,32,2024-11-06,0.768,0.178,0,-11.266,0,0.0377,0.917,0.782,0.107,0.689,131.181,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
21,Tuxedo Junction,3D5u1ogWkKELEKmwZbToxY,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,The Centennial Collection,2004-05-10,206293,False,5,27,2024-11-06,0.775,0.101,10,-14.022,1,0.0366,0.954,0.41,0.259,0.541,111.802,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
22,A String of Pearls,06dLUjB37qFyyGLnit71fU,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,The Centennial Collection,2004-05-10,193466,False,10,27,2024-11-06,0.768,0.172,8,-11.296,1,0.0369,0.922,0.784,0.105,0.669,131.098,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
23,The Jazz Police,3MmtFohpZUmEzwUQgJvg0I,Gordon Goodwin's Big Phat Band,5CyMmYYHMIfK9YYcKLXzO1,XXL,2003-09-23,319173,False,9,32,2024-11-06,0.551,0.918,5,-0.837,1,0.0858,0.121,0.578,0.0723,0.557,169.819,4,"['big band', 'jazz orchestra', 'modern big band']",37,43668
24,In A Sentimental Mood,5I0PyDPmeG5iyGzHeon3iL,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,Moonlight Serenade,1991,200240,False,3,33,2024-11-06,0.322,0.277,5,-12.352,0,0.0301,0.95,0.903,0.158,0.303,79.874,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
25,Juke Box Saturday Night,5nOQQGwiInpbngjc40U21l,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,The Complete Glenn Miller and His Orchestra,1991-09-24,184360,False,17,30,2024-11-06,0.486,0.222,11,-10.639,0,0.14,0.942,0.000444,0.751,0.655,161.315,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
26,Dippermouth Blues,1ellvuD5W8qe7qXUCr5wsV,King Oliver's Creole Jazz Band,08Zk65toyJllap1MnzljxZ,Louis Armstrong And King Oliver,1992-01-01,146933,False,7,29,2024-11-06,0.581,0.345,0,-12.977,1,0.0645,0.996,0.932,0.111,0.876,94.048,4,"['big band', 'dixieland', 'hot jazz', 'swing', 'vintage jazz']",23,11790
27,Rag Mop,5SOjgaven2icwH6GrRgzGL,Lionel Hampton,2PjgZkwAEk7UTin4jP6HLP,Hamp The Legendary Decca Recordings Of Lionel Hampton,1996-03-12,169493,False,12,29,2024-11-06,0.715,0.341,0,-11.612,1,0.0439,0.371,0.0,0.123,0.889,94.602,4,"['bebop', 'big band', 'dixieland', 'jazz', 'stride', 'swing', 'vintage jazz']",45,68135
28,Lullaby In Ragtime - Remastered 2004,2qWd3A2fbTe7EteVS2bpnH,Danny Kaye,4r6DXcqtllstKwEx3ndKMj,The Five Pennies (Original Motion Picture Soundtrack / Remastered 2004),1959-01-01,155320,False,8,31,2024-11-06,0.617,0.195,5,-13.079,0,0.0534,0.835,0.0,0.515,0.44,104.233,4,"['adult standards', 'big band', 'comic', 'lounge', 'swing', 'tin pan alley']",42,49808
29,Falling Leaves,3lfDQ201DJsgfpUMajkuyM,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,Glenn Miller 1940,2019-03-26,197010,False,9,29,2024-11-06,0.401,0.206,4,-13.341,0,0.033,0.977,0.852,0.118,0.263,86.54,4,"['adult standards', 'big band', 'dixieland', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",58,530342
30,Stompin' at the Savoy - Take 2,6RuU0VL53jrSoVd38VQ1BS,Benny Goodman,1pBuKaLHJlIlqYxQQaflve,Ultimate Big Band Collection: Benny Goodman,1935,192040,False,6,17,2024-11-06,0.707,0.261,10,-13.824,0,0.0553,0.775,0.933,0.0378,0.876,77.575,4,"['adult standards', 'big band', 'dixieland', 'jazz', 'jazz clarinet', 'swing', 'vintage jazz', 'vocal jazz']",53,390477
