,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,A Room With A View,2PpjmNnm63ZjWsse9vVMcD,Artie Shaw,5wam12nGWDBIrLDV78TNSF,The Essential Artie Shaw,2005-06-28,208640,False,11,30,2024-11-06,0.546,0.138,7,-11.52,0,0.0363,0.908,0.0014,0.167,0.47,120.035,4,"['big band', 'dixieland', 'jazz clarinet', 'swing', 'vintage jazz']",50,109933
1,Rose Room - Instrumental,5ggF26J7bDuWLAPvBVwp01,Benny Goodman Trio,6alI0NXWBVryqxHQrrl9A0,B. G. In Hi Fi,1990-01-01,234360,False,13,24,2024-11-06,0.734,0.181,1,-12.267,1,0.0449,0.981,0.618,0.0611,0.712,136.938,4,"['big band', 'dixieland', 'swing']",40,42606
2,Room 208,25qvdqs4wFmLkSCDP9Oyaq,The Future Sound Of London,2qhmNI4ZHPpeDutdg473Z3,Lifeforms,1994-01-01,372973,False,9,16,2024-11-06,0.586,0.616,1,-14.196,0,0.0607,0.337,0.428,0.153,0.39,98.033,4,"['abstract', 'big beat', 'breakbeat', 'electronica', 'intelligent dance music', 'trip hop']",40,154236
3,Rose Room,0iNj3zcyW5oSRUcAe36wxy,Benny Goodman Sextet,33N6sGOKJwLGOnq31ZmEl1,The Genius Of The Electric Guitar,1987-09-15,165160,False,1,23,2024-11-06,0.719,0.213,8,-16.839,1,0.0363,0.964,0.456,0.12,0.786,146.7,4,"['big band', 'dixieland', 'swing', 'vintage jazz']",41,35516
4,Room 1411,1pW1kmr2jlkGeFDHGVeIGd,Benny Goodman,1pBuKaLHJlIlqYxQQaflve,The Young Benny Goodman 1928-1931,2005,156346,False,5,7,2024-11-06,0.746,0.568,3,-8.698,1,0.0659,0.84,0.875,0.287,0.946,116.415,4,"['adult standards', 'big band', 'dixieland', 'jazz', 'jazz clarinet', 'swing', 'vintage jazz', 'vocal jazz']",53,390477
5,Rose Room (feat. Charlie Christian),5CQvsgBwGrZBSKfkNcOx3o,Benny Goodman Sextet,33N6sGOKJwLGOnq31ZmEl1,The Essential Benny Goodman,2007-05-22,168013,False,6,16,2024-11-06,0.737,0.241,8,-12.294,1,0.0389,0.986,0.26,0.0904,0.859,145.829,4,"['big band', 'dixieland', 'swing', 'vintage jazz']",41,35516
6,Crazy - Tiësto's Big Room Mix,6r74sRwWCW5UOVfmOkhpIE,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"CLUBLIFE, VOL. 5: CHINA",2017-11-10,218090,False,11,29,2024-11-06,0.685,0.891,2,-4.62,0,0.0661,0.000214,0.312,0.227,0.0382,130.017,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
7,Carry You Home (feat. StarGate & Aloe Blacc) - Tiësto's Big Room Mix,5EAKqGs4gGk0bwQy7igcHJ,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"CLUBLIFE, VOL. 5: CHINA",2017-11-10,226875,False,4,30,2024-11-06,0.61,0.747,0,-4.614,0,0.0757,0.0194,4.99e-06,0.557,0.28,127.973,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
8,Roomin' House Boogie,3svh8U8U9qZgVqZcKUjwdN,Cab Calloway,03cwCzIWQ8BRmXjGPDAL04,Jukebox Hits 1930-1950,2005-03-29,205213,False,19,5,2024-11-06,0.517,0.623,8,-9.302,1,0.0453,0.976,0.000204,0.103,0.631,65.3,4,"['big band', 'harlem renaissance', 'jazz blues', 'swing']",42,149898
9,Jackie Chan - Tiësto Big Room Mix,75lRIHDteNPr9hEjLEjCZ6,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"Jackie Chan (Remixes, Vol. 1)",2018-08-31,198749,True,1,27,2024-11-06,0.841,0.83,10,-4.641,0,0.0733,0.022,4.31e-06,0.398,0.508,127.98,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
10,The White Room,7ee9Ru5ZI5Wss1Z4KNgMd1,The KLF,6dYrdRlNZSKaVxYg5IrvCH,The White Room (Director's Cut),2021-04-23,226770,False,7,28,2024-11-06,0.691,0.89,1,-8.932,1,0.054,0.014,0.876,0.0854,0.736,122.021,4,"['acid house', 'ambient house', 'big beat', 'hip house']",43,118146
11,Rose Room (feat. Charlie Christian),2t7nKJSR3HfLhYc3YG3xat,Benny Goodman Sextet,33N6sGOKJwLGOnq31ZmEl1,The Essential Charlie Christian,2017-11-03,167480,False,3,11,2024-11-06,0.739,0.267,8,-10.956,1,0.039,0.967,0.279,0.103,0.877,145.835,4,"['big band', 'dixieland', 'swing', 'vintage jazz']",41,35516
12,Rave Room,6dymbPD1NUa30RrDOV5Swu,Olly James,04Ze9i5w3NXno5DdMNpJZC,Rave Room,2022-01-26,171562,False,1,20,2024-11-06,0.51,0.927,10,-4.783,0,0.0484,0.0125,0.914,0.135,0.303,144.999,4,['big room'],53,48168
13,Big Room Revolution,37tMoUY11vJNslZKwr9AxB,Justin Prime,0TFdkHvlyUVl9zrb4seHxJ,Big Room Revolution,2022-07-29,182343,False,1,18,2024-11-06,0.549,0.962,8,-3.189,0,0.0769,0.000644,0.177,0.393,0.0813,128.044,4,"['big room', 'progressive electro house', 'sky room']",41,17911
14,No Worries (feat. Natalola) - Tiësto's Big Room Mix,4TLmdQseuUNzppwFUsckB4,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"CLUBLIFE, VOL. 5: CHINA",2017-11-10,243749,False,5,23,2024-11-06,0.638,0.84,0,-4.654,1,0.0298,0.000563,0.000979,0.141,0.151,127.968,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
15,Living Room,6FY5zLoW1stwp4Q6x4igD8,Basement Jaxx,4YrKBkKSVeqDamzBPWVnSJ,Kish Kash,2003-10-20,145466,False,13,10,2024-11-06,0.793,0.82,11,-3.791,0,0.0901,0.614,0.0622,0.294,0.828,92.503,4,"['alternative dance', 'big beat', 'electronica']",55,540957
16,Carry You Home - Tiësto's Big Room Mixcut,7KPTmOfzv8iIAS8vpeGdAY,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"CLUBLIFE, VOL. 5: CHINA",2017-11-10,220398,False,4,20,2024-11-06,0.577,0.773,0,-4.525,0,0.0658,0.0111,3.02e-06,0.14,0.214,128.488,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
17,Crazy - Tiësto's Big Room Mixcut,4hHYMXM0y2WtUfxkqQUGuq,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"CLUBLIFE, VOL. 5: CHINA",2017-11-10,212926,False,11,17,2024-11-06,0.656,0.937,11,-4.652,0,0.0565,0.000113,0.265,0.0936,0.0399,128.485,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
18,Rose Room (feat. Charlie Christian),2FDC4FNF6aFVk5CEanskLB,Benny Goodman Sextet,33N6sGOKJwLGOnq31ZmEl1,Ken Burns Jazz-The Story Of America's Music,2000-05-07,167240,False,8,4,2024-11-06,0.746,0.385,8,-6.488,1,0.035,0.971,0.0872,0.116,0.76,145.141,4,"['big band', 'dixieland', 'swing', 'vintage jazz']",41,35516
19,Rose Room,5J6heAUrzsAUDKzruobp76,Woody Herman,2KSxJY1WxGGVYSmoM0N54P,Lionel Hampton Presents Woody Herman,1977-09-17,395389,False,2,10,2024-11-06,0.749,0.232,0,-18.908,0,0.0454,0.87,0.122,0.0881,0.613,121.294,4,"['big band', 'cool jazz', 'swing', 'vintage jazz']",28,29726
20,A Room with a View (Rerecorded),0rWRp0E517q3JVO2HZ1ofJ,Artie Shaw,5wam12nGWDBIrLDV78TNSF,16 Best of Artie Shaw,2008-01-01,206106,False,3,5,2024-11-06,0.493,0.343,3,-6.934,1,0.0296,0.955,0.00572,0.184,0.466,122.544,4,"['big band', 'dixieland', 'jazz clarinet', 'swing', 'vintage jazz']",50,109933
21,Rose Room (feat. Charlie Christian),0HeuuJsjA4X4YOREiF80By,Benny Goodman Sextet,33N6sGOKJwLGOnq31ZmEl1,Ken Burns Jazz-Benny Goodman,1928,168253,False,14,7,2024-11-06,0.728,0.249,8,-12.301,1,0.0414,0.986,0.304,0.0905,0.874,146.227,4,"['big band', 'dixieland', 'swing', 'vintage jazz']",41,35516
22,The Blue Room,3H72pSEdR1uFe3f6CBLbmo,Tommy Dorsey,4WoGga7UeRcmjD4ufif4nG,Swing-Sation: Tommy Dorsey & Artie Shaw,1999-01-01,198506,False,2,9,2024-11-06,0.67,0.311,8,-8.73,1,0.0412,0.687,0.0157,0.0556,0.412,135.643,4,"['adult standards', 'big band', 'dixieland', 'jazz trombone', 'swing', 'tin pan alley', 'vintage jazz']",52,138157
23,Big Room Army,1vonEItLtCIt3Nov7p0dgd,Nick Havsen,1MISHmlS06R8ba7RVsn0A3,Big Room Army,2021-08-20,187846,False,1,10,2024-11-06,0.55,0.773,1,-6.372,1,0.0474,0.00103,0.00152,0.327,0.0388,129.975,4,['deep big room'],27,8876
24,Rose Room - Instrumental,5VDYsTVSH8rhh6AT81OgSn,Benny Goodman Trio,6alI0NXWBVryqxHQrrl9A0,The Complete Capitol Trios,1999-01-01,237160,False,19,6,2024-11-06,0.735,0.17,1,-13.129,1,0.0414,0.963,0.421,0.0646,0.699,135.778,4,"['big band', 'dixieland', 'swing']",40,42606
25,Blue Room - Live,5hBF3Kz7PiI8g83PGatpod,Benny Goodman,1pBuKaLHJlIlqYxQQaflve,Live At Carnegie Hall-1938 Complete,1938,156173,False,4,5,2024-11-06,0.586,0.461,1,-13.887,1,0.0375,0.761,0.785,0.0791,0.503,170.728,4,"['adult standards', 'big band', 'dixieland', 'jazz', 'jazz clarinet', 'swing', 'vintage jazz', 'vocal jazz']",53,390477
26,No Worries - Tiësto's Big Room Mixcut,6Rc5v9hOZFDVe1uxN6ULsG,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"CLUBLIFE, VOL. 5: CHINA",2017-11-10,239087,False,5,16,2024-11-06,0.644,0.865,0,-5.051,1,0.0334,0.00164,0.000517,0.284,0.163,128.455,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
27,Madrugada Eterna - Club Mix,1GgPYE0LpU2OAJrs3HTtPr,The KLF,6dYrdRlNZSKaVxYg5IrvCH,The White Room (Director's Cut),2021-04-23,181684,False,3,29,2024-11-06,0.64,0.869,0,-7.322,1,0.0409,0.115,0.89,0.357,0.548,118.025,4,"['acid house', 'ambient house', 'big beat', 'hip house']",43,118146
28,Build A Fire,4vyxHwDQOt8t6MPrPHaKEu,The KLF,6dYrdRlNZSKaVxYg5IrvCH,The White Room (Director's Cut),2021-04-23,281174,False,6,27,2024-11-06,0.518,0.561,0,-9.697,1,0.0301,0.08,0.75,0.105,0.0395,110.342,4,"['acid house', 'ambient house', 'big beat', 'hip house']",43,118146
29,Rose Room (Live),6NNbhb0oVMt9tCdRr9kQZP,Benny Goodman,1pBuKaLHJlIlqYxQQaflve,"All that Jazz, Vol. 33: Benny Goodman – The Essentials, Vol. 2: Live at Basin Street (Remastered 2015)",2015-06-02,176523,False,7,2,2024-11-06,0.493,0.339,8,-10.464,1,0.0498,0.986,0.894,0.618,0.664,95.077,4,"['adult standards', 'big band', 'dixieland', 'jazz', 'jazz clarinet', 'swing', 'vintage jazz', 'vocal jazz']",53,390477
