,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Black Metal,3867OELXCNpXgtLMPRRlNd,Venom,5fwaejlOHVBAw1KhIPPaQe,In League With Satan,1981-01-01,224160,False,12,45,2024-11-06,0.265,0.756,1,-12.136,1,0.0571,0.000939,1.32e-05,0.201,0.444,80.076,4,"['black metal', 'black thrash', 'british black metal', 'death metal', 'metal', 'nwobhm', 'old school thrash', 'speed metal', 'thrash metal']",46,547117
1,Metal Movie Marijuana Massacre Meltdown,2TModwRteQteAR5usUsNSa,Acid Witch,2oSfMWbje3XOK5QvxljrdB,Stoned,2011-01-18,203200,False,9,23,2024-11-06,0.392,0.884,6,-3.975,0,0.0693,9.78e-05,0.715,0.0779,0.413,119.404,4,"['black sludge', 'doom metal', 'sludge metal']",32,37435
2,Metal Arms,2ydIKKKimLhmH7C93RzRqE,Hannibal Buress,4GIqbOr0FgE9qmJ31kVYdD,My Name is Hannibal,2010-07-27,150999,True,4,18,2024-11-06,0.489,0.755,6,-8.658,0,0.956,0.911,4.38e-05,0.687,0.17,86.142,1,"['black comedy', 'comedy', 'deep comedy', 'new comedy']",37,81632
3,Death Metal,4BIxY4hmAvaJJBqGGxfHdJ,Possessed,0ZEpcKtaM4ItvzHJCg5udc,Seven Churches,1985,194666,False,10,34,2024-11-06,0.204,0.989,11,-4.866,1,0.103,3.76e-05,0.000466,0.112,0.0312,100.954,4,"['black metal', 'brutal death metal', 'death metal', 'deathgrind', 'deathrash', 'metal', 'speed metal', 'thrash metal']",37,202227
4,Black Metal,3GlVq6iVOxZJQ8gPm84avl,Venom,5fwaejlOHVBAw1KhIPPaQe,Black Metal,1982-11-01,221693,False,1,35,2024-11-06,0.291,0.758,1,-12.103,1,0.0556,0.000918,6.84e-06,0.291,0.446,80.601,4,"['black metal', 'black thrash', 'british black metal', 'death metal', 'metal', 'nwobhm', 'old school thrash', 'speed metal', 'thrash metal']",46,547117
5,Metallic Crucifixion,5fFMnpqk6NkczDRy6b6YNA,Toxic Holocaust,0WVXlaglIOtQueNbucPjZ0,Hell on Earth,2005-09-10,107920,True,2,21,2024-11-06,0.399,0.995,10,-2.381,0,0.209,1.74e-05,0.000413,0.106,0.136,99.226,4,"['black thrash', 'crossover thrash', 'death metal', 'metal', 'portland metal', 'speed metal', 'thrash metal']",39,153004
6,Waiting for Black Metal Records to Come in the Mail,3uIA46kBcrbOII0DEXFfkI,Have A Nice Life,0FRKTwQSToXpCxYMhyUzYY,Deathconsciousness,2008-01-01,375000,False,8,39,2024-11-06,0.33,0.78,1,-6.512,0,0.0374,0.00344,0.407,0.363,0.0538,77.489,4,"['blackgaze', 'doomgaze', 'dream pop', 'nu gaze']",55,422228
7,Heavy Metal Maniac,2HcMXZJ8TR0CFiePEqhHLW,Exciter,1jH2JkQvdH6R63yORA8GTd,Heavy Metal Maniac,1983,227453,False,3,31,2024-11-06,0.219,0.919,8,-5.379,1,0.0833,4e-06,0.0022,0.164,0.399,119.522,4,"['black thrash', 'canadian metal', 'metal', 'speed metal', 'thrash metal']",28,71046
8,Metal Heart,2gWvDFPsXwX0fzwxPaTbQk,Dimmu Borgir,6e8ISIsI7UQZPyEorefAhK,Godless Savage Garden,1998-07-13,277200,False,5,24,2024-11-06,0.19,0.948,7,-4.921,1,0.0761,0.00314,0.0273,0.163,0.212,132.035,4,"['black metal', 'gothic metal', 'melodic death metal', 'metal', 'norwegian black metal', 'norwegian metal', 'power metal', 'speed metal', 'symphonic black metal', 'symphonic metal', 'viking metal']",52,536140
9,Black Metal Ist Krieg,0F9UVimDz55393WK4U5Si2,Nargaroth,0aIcU4OHpKl7lpcRQp32Eo,Black Metal Ist Krieg,2001-01-01,305613,True,2,35,2024-11-06,0.216,0.998,10,-8.274,0,0.141,0.0218,0.897,0.278,0.0183,106.064,4,"['autonomous black metal', 'black metal', 'german black metal']",39,122750
