,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Daylight,5BlGmys9VqmHZbf7eswxG1,Watchhouse,675tsBPpaZtqyiBwEf3ZEP,Such Jubilee,2015-05-05,193533,False,9,68,2024-11-06,0.582,0.371,2,-9.585,0,0.028,0.912,0.00784,0.108,0.163,128.756,4,"['new americana', 'north carolina roots', 'progressive bluegrass', 'stomp and holler']",64,339172
1,Old Ties and Companions,6n7Aj8Ok0kyktLxFjcUreo,Watchhouse,675tsBPpaZtqyiBwEf3ZEP,Such Jubilee,2015-05-05,188946,False,1,64,2024-11-06,0.657,0.368,7,-9.978,1,0.0281,0.884,0.00293,0.109,0.522,116.221,4,"['new americana', 'north carolina roots', 'progressive bluegrass', 'stomp and holler']",64,339172
2,Where Rainbows Never Die,2gE58DQyqgsvsK87SWUN62,The Steeldrivers,3bLSAQPeix7Xm2e5Gtn48R,Reckless,2010-01-01,229880,False,3,63,2024-11-06,0.603,0.341,4,-8.892,1,0.0264,0.921,0.00314,0.102,0.365,113.452,4,"['bluegrass', 'neo-traditional bluegrass', 'new americana']",61,387923
3,If It Hadn't Been For Love,7DQjWFjaiPULrsqgsZueF3,The Steeldrivers,3bLSAQPeix7Xm2e5Gtn48R,The SteelDrivers,2008-01-15,239640,False,6,63,2024-11-06,0.49,0.445,9,-7.19,0,0.0469,0.695,1.16e-05,0.106,0.54,159.318,4,"['bluegrass', 'neo-traditional bluegrass', 'new americana']",61,387923
4,Dust in a Baggie,2Lk8XTulavagQOrYqFpGB8,Billy Strings,1ZN1c1qWEGZNX1pGeKCPpf,Billy Strings - EP,2016-06-10,174173,False,6,60,2024-11-06,0.519,0.776,7,-7.051,1,0.0309,0.252,2.92e-05,0.157,0.653,137.29,4,"['jam band', 'jamgrass', 'progressive bluegrass']",66,453304
5,When You Say Nothing At All,6HveTIMynTMzTc5L0TcS20,Alison Krauss & Union Station,0OTnx2X2FDXeewcm72lavT,Now That I've Found You: A Collection,1995-01-01,260800,False,12,61,2024-11-06,0.514,0.243,3,-12.348,1,0.0288,0.752,0.00054,0.0822,0.388,171.816,4,['progressive bluegrass'],53,201333
6,Blue Side Of The Mountain,5RQsNib1m9Hxo2AIjJcdpK,The Steeldrivers,3bLSAQPeix7Xm2e5Gtn48R,The SteelDrivers,2008-01-15,209413,False,1,59,2024-11-06,0.586,0.657,9,-5.082,1,0.0286,0.631,0.00833,0.125,0.512,134.358,4,"['bluegrass', 'neo-traditional bluegrass', 'new americana']",61,387923
7,Gild the Lily,181YsWsKwhTmoHYZ4xtiuZ,Billy Strings,1ZN1c1qWEGZNX1pGeKCPpf,Highway Prayers,2024-09-27,305543,False,4,57,2024-11-06,0.568,0.587,7,-7.657,1,0.0406,0.719,1.62e-06,0.22,0.43,76.46,4,"['jam band', 'jamgrass', 'progressive bluegrass']",66,453304
8,I Choose You,56QIi1ES8speRvNHIHaHHl,The Steeldrivers,3bLSAQPeix7Xm2e5Gtn48R,Bad For You,2020-02-07,185022,False,4,58,2024-11-06,0.641,0.547,2,-7.792,1,0.0289,0.576,4.1e-06,0.158,0.692,103.988,4,"['bluegrass', 'neo-traditional bluegrass', 'new americana']",61,387923
9,Wagon Wheel,5aAHai9OzUlkYPk2TJ4LLp,Old Crow Medicine Show,4DBi4EYXgiqbkxvWUXUzMi,O.C.M.S.,2004-02-24,232133,False,11,60,2024-11-06,0.621,0.403,9,-8.211,1,0.0359,0.581,0.0,0.114,0.634,145.523,4,"['indie folk', 'modern old-time', 'new americana', 'old-time', 'progressive bluegrass', 'stomp and holler']",54,438550
