,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Rocky Mountain Way,2XHjFJVXYlEzoDvN82h8s5,Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,"The Smoker You Drink, The Player You Get",1973-06-18,315400,False,1,59,2024-11-06,0.493,0.376,4,-15.045,1,0.0435,0.0241,0.792,0.102,0.419,86.47,4,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'southern rock']",55,1285507
1,Run Rudolph Run,2pnPe4pJtq7689i5ydzvJJ,Chuck Berry,293zczrfYafIItmnmM3coR,Rock 'N' Roll Rarities,1986-01-01,165733,False,15,66,2024-11-06,0.681,0.715,7,-10.609,0,0.0912,0.812,9.43e-06,0.0777,0.957,152.134,4,"['blues', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",69,2062599
2,"Rock and Roll, Hoochie Koo",4VDHlRakaVHzHE8PUdcU49,Rick Derringer,1FX4aA0cUcWndv39j1YoTm,All American Boy (Expanded Edition),1973-10-19,225306,False,1,46,2024-11-06,0.435,0.882,9,-8.996,0,0.0908,0.15,0.00837,0.0992,0.56,199.263,4,"['blues rock', 'country rock', 'southern rock']",41,78772
3,Rock Candy,6mpAOrpdrq5mJTGo8nrvSO,Montrose,0VdoLGGpWcDZnzep6SSTdP,Montrose,1973,303800,False,6,44,2024-11-06,0.393,0.633,9,-9.343,1,0.0303,0.00405,0.00188,0.151,0.752,78.715,4,"['album rock', 'blues rock', 'country rock', 'glam metal', 'hard rock', 'southern rock']",39,222223
4,Rock and Roll Doctor,3uvEsp3LWHowImpBbZnAtS,Little Feat,0ZIwOAzDuGPspzK7yiTc4S,Feats Don't Fail Me Now,1974,178666,False,1,43,2024-11-06,0.512,0.532,9,-12.432,1,0.0645,0.571,1.02e-06,0.157,0.846,75.75,4,"['blues rock', 'country rock', 'electric blues', 'folk', 'folk rock', 'jam band', 'mellow gold', 'roots rock', 'southern rock', 'swamp rock']",53,466900
5,Rock And Roll Music,09hxCc0SgV8u46gWsfeqJA,Chuck Berry,293zczrfYafIItmnmM3coR,One Dozen Berry's,1958-03-01,151773,False,9,48,2024-11-06,0.529,0.768,8,-6.201,1,0.0446,0.418,0.000947,0.0655,0.871,165.225,4,"['blues', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",69,2062599
6,Rock & Roll Woman,3VcJYPMFO0Cq4ixhjZD7i6,Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Buffalo Springfield Again,1967-10-30,165846,False,9,43,2024-11-06,0.409,0.636,9,-13.542,0,0.111,0.603,0.0154,0.347,0.567,144.682,4,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'southern rock']",64,847413
7,Cry to Me,0sDeU2murnLh4yVHQ5IV70,Solomon Burke,4nts0oxMT67lVUoi5Kjxrb,Rock 'N Soul,1964,154906,False,1,68,2024-11-06,0.733,0.624,4,-9.849,1,0.0374,0.623,0.0,0.407,0.912,114.586,4,"['soul', 'soul blues', 'southern soul']",58,273480
8,Rocky Mountain Way - Live At Santa Monica Civic Auditorium/1976,3lzOduAewOElinON9U0m7z,Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,You Can't Argue With A Sick Mind,1976-02-03,460760,False,3,42,2024-11-06,0.325,0.669,11,-14.276,0,0.0366,0.00355,0.0902,0.699,0.717,83.338,4,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'southern rock']",55,1285507
9,Rockin' All Over The World,1ydpGKWD5D8tvTHWN8h58q,Status Quo,4gIdjgLlvgEOz7MexDZzpM,Rockin' All Over The World,2005-01-01,217453,False,7,43,2024-11-06,0.617,0.962,0,-5.314,1,0.0449,0.129,0.00171,0.511,0.968,131.434,4,"['blues rock', 'british blues', 'glam rock']",60,810126
