,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Melophobia,2013-10-08,208760,False,10,79,2024-11-06,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,4,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",76,3906958
1,Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant (Expanded Edition),2009-03-24,175493,False,3,76,2024-11-06,0.636,0.849,0,-7.075,1,0.106,0.0438,0.0,0.372,0.917,156.036,4,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",76,3906958
2,Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,The White Stripes,4F84IBURUo98rz4r61KF70,Elephant,2003-04-01,232106,False,1,82,2024-11-06,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",72,3248376
3,(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,Otis Redding,60df5JBRRPcnSpsIMxxwQm,The Dock of the Bay (Mono),1968,163755,False,1,79,2024-11-06,0.768,0.367,2,-11.226,1,0.0315,0.683,1.79e-05,0.081,0.532,103.621,4,"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul', 'vocal jazz']",72,2325737
4,For What It's Worth,1qRA5BS78u3gME0loMl9AA,Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Buffalo Springfield,1966-12-05,153693,False,1,76,2024-11-06,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,4,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'southern rock']",64,847413
5,Come a Little Closer,4sebUbjqbcgDSwG6PbSGI0,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Melophobia,2013-10-08,229346,False,2,72,2024-11-06,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,4,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",76,3906958
6,La Grange (2005 Remaster),0u6JFVn0KHHlidZxNL9gVE,ZZ Top,2AM4ilv6UzW0uMRuqKtDgN,Tres Hombres (Expanded 2006 Remaster),1973-07-26,230480,False,8,78,2024-11-06,0.509,0.641,4,-9.936,0,0.264,0.00249,0.0304,0.196,0.612,161.74,4,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'rock']",72,4524885
7,Coming Home,65GbQI9VDTs7vo6MJL2iJA,Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Coming Home (Deluxe),2015-06-23,206386,False,1,74,2024-11-06,0.424,0.465,6,-6.595,1,0.0297,0.461,5.52e-05,0.154,0.462,112.418,3,"['indie folk', 'modern blues', 'neo mellow', 'neo soul', 'soul']",75,1745824
8,Sharp Dressed Man (2008 Remaster),0bRNszTbTFLNlunAeh7eom,ZZ Top,2AM4ilv6UzW0uMRuqKtDgN,Eliminator,1983-03-23,258026,False,3,75,2024-11-06,0.601,0.859,5,-5.264,1,0.0276,0.000359,0.00124,0.0871,0.446,125.144,4,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'rock']",72,4524885
9,Howlin' for You,0grFc6klR3hxoHLcgCYsF4,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Brothers,2010-05-18,191800,False,4,69,2024-11-06,0.705,0.735,11,-6.646,1,0.0931,0.028,0.0783,0.112,0.448,132.627,4,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",73,4050237
10,I'd Rather Go Blind,1kPBT8S2wJFNAyBMnGVZgL,Etta James,0iOVhN3tnSvgDbcg25JoJb,Tell Mama,1968-04-18,156653,False,2,76,2024-11-06,0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,3,"['jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",71,1769650
11,Let's Stay Together,63xdwScd1Ai1GigAwQxE8y,Al Green,3dkbV4qihUeMsqN4vBGg93,Let's Stay Together,1972,199396,False,1,74,2024-11-06,0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,4,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']",67,2052220
12,Midnight Rider,1hHGUdFaiJHw9hVZGJWYO2,Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,Idlewild South (Deluxe Edition Remastered),1970-09-18,180066,False,3,69,2024-11-06,0.585,0.532,7,-9.673,1,0.0268,0.209,0.00797,0.227,0.68,94.461,4,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'southern rock']",64,1684838
13,At Last,4Hhv2vrOTy89HFRcjU3QOx,Etta James,0iOVhN3tnSvgDbcg25JoJb,At Last!,1960,179693,False,7,75,2024-11-06,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3,"['jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",71,1769650
14,Johnny B. Goode,2QfiRTz5Yc8DdShCxG1tB2,Chuck Berry,293zczrfYafIItmnmM3coR,Berry Is On Top,1959-07-01,161560,False,6,76,2024-11-06,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,4,"['blues', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",69,2062599
15,Green Onions,4fQMGlCawbTkH9yPPZ49kP,Booker T. & the M.G.'s,2vDV0T8sxx2ENnKXds75e5,Green Onions,1962,176333,False,1,73,2024-11-06,0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,4,"['blues', 'classic soul', 'instrumental funk', 'instrumental soul', 'memphis soul', 'soul', 'southern soul', 'traditional blues']",61,311821
16,River,3hhbDnFUb2bicI2df6VurK,Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Coming Home (Deluxe),2015-06-23,240200,False,10,71,2024-11-06,0.635,0.184,8,-10.785,1,0.0456,0.665,0.0,0.146,0.177,128.424,4,"['indie folk', 'modern blues', 'neo mellow', 'neo soul', 'soul']",75,1745824
17,Ooh La La,4lJ6YVXQ0jUk5ILu0PSrA4,Faces,3v4feUQnU3VEUqFrjmtekL,Ooh La La,1973,214080,False,10,68,2024-11-06,0.601,0.574,2,-8.166,1,0.03,0.579,1.14e-05,0.216,0.8,147.964,4,"['blues rock', 'classic rock', 'country rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'roots rock', 'singer-songwriter']",58,415054
18,Trouble,5n0CTysih20NYdT2S0Wpe8,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Tell Me I'm Pretty,2015-12-18,225973,False,6,69,2024-11-06,0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,4,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",76,3906958
