,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,"Chuttamalle (From ""Devara Part 1"")",1bxzr3JK05fMTcweGAZUHp,Shilpa Rao,19LIHDDSHBD5NyYHI3gpzB,"Chuttamalle (From ""Devara Part 1"")",2024-08-05,222063,False,1,79,2024-11-06,0.677,0.623,4,-7.404,1,0.0797,0.136,5.24e-06,0.161,0.616,145.56,3,"['filmi', 'modern bollywood']",78,2511104
1,"Naina (From ""Crew"")",1eZefeDb8uOsjvcbl1fJrG,Diljit Dosanjh,2FKWNmZWDBZR4dE5KX4plR,"Naina (From ""Crew"")",2024-03-05,180000,False,1,76,2024-11-06,0.84,0.715,0,-5.141,1,0.187,0.176,0.0,0.0935,0.542,96.98,4,"['filmi', 'modern bollywood', 'punjabi pop']",81,25090797
2,"Sajni (From ""Laapataa Ladies"")",5zCnGtCl5Ac5zlFHXaZmhy,Ram Sampath,3PpjqSKBer3obW6lDflOBx,"Sajni (From ""Laapataa Ladies"")",2024-02-12,170044,False,1,79,2024-11-06,0.428,0.413,0,-7.783,1,0.0281,0.827,9.35e-06,0.108,0.355,79.646,4,"['filmi', 'modern bollywood']",67,568032
3,"Aayi Nai (From ""Stree 2"")",2TnmSSPkcPdHYYw2Lu84C1,Amitabh Bhattacharya,2fMqTqiTxUDlmcOEPaQSsx,"Aayi Nai (From ""Stree 2"")",2024-08-01,178780,False,1,63,2024-11-06,0.862,0.645,1,-5.42,0,0.0418,0.589,0.000535,0.077,0.862,122.998,4,['modern bollywood'],82,1388539
4,"Aaj Ki Raat (From ""Stree 2"")",7EFfeGN5U0zm9C6KpOeNBH,Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,"Aaj Ki Raat (From ""Stree 2"")",2024-07-24,228620,False,1,66,2024-11-06,0.716,0.866,2,-5.306,0,0.0581,0.299,1.26e-05,0.144,0.653,116.025,4,"['filmi', 'gujarati pop', 'modern bollywood']",83,3600649
5,"Soni Soni (From ""Ishq Vishk Rebound"")",36N5awamOX6XX5pQn3aFXZ,Darshan Raval,2GoeZ0qOTt6kjsWW4eA6LS,"Soni Soni (From ""Ishq Vishk Rebound"")",2024-05-24,176875,False,1,75,2024-11-06,0.803,0.694,8,-7.83,0,0.0527,0.551,0.000626,0.128,0.484,108.035,4,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']",77,23187702
6,Heeriye (feat. Arijit Singh),5PUXKVVVQ74C3gl5vKy9Li,Jasleen Royal,74OaRjmyh0XyRZsQQQ5l7c,Heeriye (feat. Arijit Singh),2023-07-25,194857,False,1,76,2024-11-06,0.728,0.494,6,-9.628,0,0.0256,0.516,0.00384,0.0759,0.558,105.007,4,"['desi pop', 'filmi', 'indian singer-songwriter', 'modern bollywood']",71,2437776
7,Millionaire,78BWCd70D1X6LMkDZm1UoF,Yo Yo Honey Singh,7uIbLdzzSEqnX0Pkrb56cR,GLORY,2024-08-26,199114,True,1,79,2024-11-06,0.749,0.828,7,-5.609,0,0.142,0.472,6.24e-05,0.231,0.398,95.981,4,"['filmi', 'hindi hip hop', 'modern bollywood']",80,21303054
8,Hass Hass,72vuBPMhwFNlSYpTSf6fVD,Diljit Dosanjh,2FKWNmZWDBZR4dE5KX4plR,Hass Hass,2023-10-26,153016,False,1,73,2024-11-06,0.726,0.804,6,-4.775,0,0.078,0.0348,5.59e-06,0.361,0.644,90.983,4,"['filmi', 'modern bollywood', 'punjabi pop']",81,25090797
9,Tum Se Hi,7eQl3Yqv35ioqUfveKHitE,Pritam,1wRPtKGflJrBx9BmLsSwlU,Jab We Met,2007-09-21,321225,False,2,76,2024-11-06,0.609,0.538,6,-7.842,1,0.0273,0.328,0.0,0.125,0.608,130.015,4,"['filmi', 'indian instrumental', 'modern bollywood']",89,40551792
