,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Nova Bossa Nova,68K8VaazzURRjLf84yaOA3,Marcos Valle,5I0EPnV9gwrZYTbScjnaOk,Nova Bossa Nova,1998-08-10,245200,False,7,52,2024-11-06,0.615,0.592,1,-15.665,1,0.0452,0.419,0.71,0.138,0.885,96.325,4,"['bossa nova', 'brazilian boogie']",52,125308
1,Bossa Nova Cha Cha,2yWmBpgvwr8G5W71mTVwDt,Luiz Bonfá,174ThXFgQg2VCq9r3m8ceb,Luiz Bonfá Plays And Sings Bossa Nova,1963-01-01,200613,False,13,47,2024-11-06,0.6,0.199,2,-16.572,1,0.0568,0.9,0.571,0.446,0.564,147.153,4,"['bossa nova', 'brazilian jazz', 'jazz guitar', 'samba-jazz', 'violao']",56,108811
2,Dancing In the Moonlight,5MINUtX7hvYaaWwNRrp1hl,Bossa Nova Covers,6lkrkVSqgzJZz2jguafSAy,Bossa Nova Covers,2020-05-08,212689,False,3,62,2024-11-06,0.889,0.339,5,-11.996,1,0.0458,0.791,0.0,0.065,0.84,119.876,3,['bossa nova cover'],66,71057
3,Novas Idéias,4xAArKDZeMfozKADrtRmlT,Bebel Gilberto,6gk4ierjjSVPoZep27VfZz,Tudo,2014-08-15,206920,False,4,30,2024-11-06,0.759,0.415,7,-10.568,1,0.14,0.272,0.000151,0.133,0.632,94.058,4,"['bossa nova', 'downtempo']",50,139376
4,IDGAF - Bossa Nova Version,5ncBfaUmarog3U2sKCqCmY,Nova Bossa Ltd.,2jDHvU3y5xMaBc8u3O85nu,IDGAF (Bossa Nova Version),2023-09-15,171250,True,1,49,2024-11-06,0.723,0.619,1,-9.619,0,0.0929,0.0563,0.0,0.214,0.579,93.98,4,"['bossa nova cover', 'coverchill']",52,3909
5,Last Friday Night (T.G.I.F.),6auWMxgWWn4BYFyYwTq4ih,Anakelly,4BoBwZFmzlSepZqWiok2Z9,Last Friday Night (T.G.I.F.),2020-09-18,210066,False,1,51,2024-11-06,0.894,0.362,1,-11.633,0,0.0635,0.399,0.0989,0.0823,0.809,119.977,4,"['bossa nova cover', 'coverchill']",55,10634
6,That's What I Like,6CPTL6sgyCnoPwxllkvRZf,Bossa Nova Covers,6lkrkVSqgzJZz2jguafSAy,Bossa Nova Covers,2020-05-08,201499,False,2,59,2024-11-06,0.848,0.319,11,-15.442,1,0.0685,0.795,2.75e-05,0.13,0.841,143.965,4,['bossa nova cover'],66,71057
7,Go Your Own Way,5UwOc7LbaoGEeemqLwSSTu,Nova Bossa Ltd.,2jDHvU3y5xMaBc8u3O85nu,Go Your Own Way,2019-03-22,167110,False,1,47,2024-11-06,0.815,0.216,2,-16.36,0,0.0435,0.645,0.0208,0.11,0.618,119.997,4,"['bossa nova cover', 'coverchill']",52,3909
8,Again,1yxugaSdX1IFH3j1MF353O,BossArt Ensemble,3OvwaCrQZ9yTmwuQdwHOM1,Again,2021-01-29,168000,False,1,49,2024-11-06,0.905,0.479,9,-11.743,1,0.0456,0.44,0.00383,0.112,0.544,95.003,4,"['bossa nova cover', 'coverchill']",53,4949
9,スウェイ・イット・フラ・ガール,5CzhAD9QczjC4IYwmlfDPH,Lisa Ono,4WJ4FSFiEsJbK4SpGi4w1k,Bossa Hula Nova,2001-07-11,265933,False,12,53,2024-11-06,0.677,0.324,10,-12.724,1,0.0411,0.865,0.0325,0.182,0.694,120.781,4,"['bossa nova', 'japanese vocal jazz']",57,381418
