,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Everytime We Touch,5YJtMNWKe55yr49cyJgxva,Cascada,0N0d3kjwdY2h7UVuTdJGfp,Everytime We Touch (Premium Edition),2010-02-12,197124,False,1,73,2024-11-06,0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,4,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",69,551786
1,Back That Azz Up,6o2g1BJvtYQssH84kBYs7y,JUVENILE,0rG0AZBscc8S8q1ahIsasI,400 Degreez,1998-11-03,265600,True,13,64,2024-11-06,0.873,0.714,7,-6.664,1,0.129,0.0157,0.0,0.0968,0.541,95.826,4,"['bounce', 'crunk', 'dirty south rap', 'new orleans rap', 'southern hip hop', 'trap']",59,1038075
2,Freaks - Radio Edit,4f3NHOxgC8Bg21IJBg4cZ3,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,Freaks,2014-03-10,169160,False,1,66,2024-11-06,0.882,0.965,4,-0.818,1,0.13,0.0136,0.388,0.206,0.759,128.129,4,"['australian dance', 'big room', 'melbourne bounce', 'melbourne bounce international', 'pop dance']",73,1197899
3,Five More Hours,3MOECVkNshqHYTPt5DZcdN,Deorro,6VD4UEUPvtsemqD3mmTqCR,Good Evening,2017-03-31,211975,False,26,70,2024-11-06,0.699,0.883,5,-3.226,0,0.219,0.0288,0.0,0.817,0.499,127.961,4,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']",67,1258704
4,Beggin',74nEGIzIefJhJ5qX7NeIAz,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,Beggin',2023-04-20,183397,False,1,69,2024-11-06,0.801,0.691,8,-5.971,0,0.051,0.161,0.298,0.119,0.715,125.976,4,"['bass house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'tech house', 'uk dance']",70,354333
5,Slow Motion,6ihObRBTB8xdSH2mlERtOX,JUVENILE,0rG0AZBscc8S8q1ahIsasI,Juve The Great,2003-01-01,248200,True,17,61,2024-11-06,0.713,0.734,0,-4.894,0,0.325,0.548,0.0,0.0687,0.89,172.872,4,"['bounce', 'crunk', 'dirty south rap', 'new orleans rap', 'southern hip hop', 'trap']",59,1038075
6,Turn off the Lights,7dsImih2L25fa6qjNphBI7,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,Turn off the Lights,2018-02-23,210546,False,1,64,2024-11-06,0.825,0.745,11,-5.49,0,0.0754,0.0467,3.19e-05,0.198,0.888,125.004,4,"['bass house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'tech house', 'uk dance']",70,354333
7,Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,3wLPRjw2XQpmowqXUXb3UF,Bingo Players,1pbHrVayIcVpHI9z97u4bK,Get Up (Rattle) [feat. Far East Movement],2012-12-08,166932,False,1,72,2024-11-06,0.801,0.985,7,-2.69,1,0.0647,0.0205,6.86e-06,0.297,0.72,127.99,4,"['big room', 'dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'progressive house']",60,473382
8,Summertime Blues (feat. Nathan Nicholson),6q36Cqt2d3O5jqrQR9uXCp,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,Summertime Blues (feat. Nathan Nicholson),2024-04-26,251201,False,1,65,2024-11-06,0.723,0.875,1,-5.052,0,0.0605,0.259,0.0283,0.224,0.496,130.015,4,"['bass house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'tech house', 'uk dance']",70,354333
9,In The Yuma (feat. Aatig),2e2yKavdT6WQzzMHwNtPFa,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,In The Yuma (feat. Aatig),2022-11-11,156215,False,1,63,2024-11-06,0.83,0.897,1,-4.796,0,0.0626,0.000251,0.779,0.132,0.936,126.028,4,"['bass house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'tech house', 'uk dance']",70,354333
10,Evacuate The Dancefloor - Radio Edit,360ZhWvMnyXKYFG9Mqsm89,Cascada,0N0d3kjwdY2h7UVuTdJGfp,Evacuate The Dancefloor,2009,205884,False,1,63,2024-11-06,0.76,0.696,0,-5.811,1,0.0491,0.0195,0.0,0.278,0.903,127.029,4,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",69,551786
11,Dumb Dick (feat. Ms. Trill),2bngdHLbrOmgQJwrFTZ08i,Level,7x6piCyJR9YpMWhTRyHRvJ,Dumb Dick (feat. Ms. Trill),2016-08-25,279106,True,1,60,2024-11-06,0.79,0.525,9,-8.134,1,0.182,0.0764,0.0,0.383,0.764,158.41,4,"['bounce', 'deep southern trap', 'rap metalcore']",47,33003
12,Five Hours,6r7FXNO57mlZCBY6PXcZZT,Deorro,6VD4UEUPvtsemqD3mmTqCR,Five Hours,2014-10-14,326887,False,1,61,2024-11-06,0.88,0.821,5,-2.545,0,0.118,0.0197,0.661,0.234,0.575,127.907,4,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']",67,1258704
13,More Baby,02QE4LsAj7DBjMRxolGE8a,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,More Baby,2023-09-15,175856,False,1,61,2024-11-06,0.754,0.871,11,-7.006,1,0.0564,0.00119,0.63,0.108,0.967,126.001,4,"['bass house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'tech house', 'uk dance']",70,354333
14,Like A G6 (with Naeleck),46Tjel8UJ2nR0uFgXkT9Y7,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,Like A G6 (with Naeleck),2024-05-10,148751,False,1,70,2024-11-06,0.54,0.965,3,-5.008,1,0.211,0.0289,0.0108,0.324,0.281,145.059,4,"['australian dance', 'big room', 'melbourne bounce', 'melbourne bounce international', 'pop dance']",73,1197899
15,Perdoname (feat. DyCy & Adrian Delgado),5cR7culxUEPLhzIC0KWAH1,Deorro,6VD4UEUPvtsemqD3mmTqCR,Perdoname (feat. DyCy & Adrian Delgado),2014-12-02,270053,False,1,64,2024-11-06,0.855,0.856,9,-2.574,0,0.105,0.000926,0.00271,0.959,0.516,127.989,4,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']",67,1258704
16,Turn off the Lights - Cages Remix,5JeBHduTGxXxytZFXBcIlB,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,Turn off the Lights,2018-02-23,208857,False,2,58,2024-11-06,0.667,0.839,11,-6.677,0,0.0542,0.00324,0.00288,0.476,0.337,125.03,4,"['bass house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'tech house', 'uk dance']",70,354333
17,in2minds,3zaExCzGSQDEAI03RfneN0,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,in2minds,2024-09-20,201979,False,1,58,2024-11-06,0.707,0.914,9,-6.851,1,0.101,0.00314,0.809,0.295,0.619,136.045,4,"['bass house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'tech house', 'uk dance']",70,354333
18,Bailar (feat. Pitbull & Elvis Crespo),1A5yplwEk6cJbAL63L6bkp,Deorro,6VD4UEUPvtsemqD3mmTqCR,Bailar (feat. Pitbull & Elvis Crespo),2016-09-02,160304,False,1,60,2024-11-06,0.75,0.891,9,-3.738,1,0.227,0.0249,6.48e-06,0.0569,0.553,128.065,4,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']",67,1258704
19,Monster,0YU17F0BlVXvmx5ytsR43w,LUM!X,0TKFPt9w0AAEnhB9bd0pLy,Monster,2019-04-19,154226,False,1,68,2024-11-06,0.83,0.794,8,-6.279,0,0.432,0.0253,0.0248,0.106,0.607,128.16,4,"['melbourne bounce international', 'slap house']",68,197400
20,Do U?,3GUZHOhbl6hQEqsHCkUDDd,Do Or Die,0u6b6Qa5VJEvr3SgzzeVOB,Pimpin Ain't Dead,2013-08-15,251960,True,2,51,2024-11-06,0.617,0.882,1,-2.701,0,0.101,0.168,0.0,0.12,0.267,145.933,4,"['bounce', 'chicago rap', 'gangster rap', 'memphis hip hop', 'southern hip hop']",47,438448
21,Mad World,6WsaEpK2Bky9ZGCCaQPyg4,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,Mad World,2020-12-04,153303,False,12,65,2024-11-06,0.54,0.892,11,-4.985,1,0.11,0.233,9.35e-05,0.195,0.152,106.594,3,"['australian dance', 'big room', 'melbourne bounce', 'melbourne bounce international', 'pop dance']",73,1197899
