,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Wonderwall - Remastered,7ygpwy2qP3NbrxVkHvUhXY,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory? (Deluxe Remastered Edition),1995,258773,False,3,78,2024-11-06,0.375,0.893,2,-4.097,1,0.0406,0.000509,0.0,0.187,0.434,174.323,4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",82,10837293
1,Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur (Special Edition),1997-02-10,121160,False,2,78,2024-11-06,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",71,3510480
2,Bitter Sweet Symphony - Remastered 2016,57iDDD9N9tTWe75x6qhStw,The Verve,2cGwlqi3k18jFpUyTrsR84,Urban Hymns (Remastered 2016),1997-09-29,357266,False,1,79,2024-11-06,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,4,"['britpop', 'permanent wave', 'rock', 'shoegaze']",68,2429363
3,There She Goes,4c6vZqYHFur11FbWATIJ9P,The La's,47Z8LEl3LnQkcpva0xSthT,The La's,1990,162186,False,5,76,2024-11-06,0.533,0.761,7,-10.632,1,0.0298,0.013,0.829,0.207,0.917,122.777,4,['britpop'],64,255793
4,Ghost Town,6ewN9MaFbi78oDLT9wYDgn,The Specials,6xnvNmSzmeOE1bLKnYXKW3,"Stereo-Typical: A's, B's & Rarities",2000-08-21,219306,False,15,71,2024-11-06,0.664,0.765,10,-9.454,0,0.0507,0.0493,0.333,0.113,0.907,73.676,4,"['britpop', 'new wave', 'punk', 'ska', 'ska revival']",61,663928
5,Wonderwall,1qPbGZqppFwLwcBC1JQ6Vr,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory?,1995-10-02,258906,False,3,71,2024-11-06,0.41,0.854,2,-5.609,1,0.0366,0.00236,0.0,0.133,0.456,174.584,4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",82,10837293
6,Alright (2015 Remaster),05ajrG3EAcIe3j7NuqRV9B,Supergrass,0sHeX8oQ6o7xic3wMf4NBU,I Should Coco (20th Anniversary Collector's Edition),1995-05-15,181266,False,4,73,2024-11-06,0.463,0.967,4,-5.781,0,0.0901,0.000322,0.357,0.308,0.741,145.915,4,"['alternative rock', 'britpop', 'oxford indie']",61,624286
7,Don't Look Back In Anger - Remastered,12dU3vAh6AFoJkisorfoUl,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory? (Deluxe Remastered Edition),1995,289560,False,4,74,2024-11-06,0.328,0.936,0,-3.254,1,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",82,10837293
8,There She Goes,0SMkzFGJOBFDI9KfYD55L0,The La's,47Z8LEl3LnQkcpva0xSthT,The La's (Deluxe Edition),1990,162160,False,5,64,2024-11-06,0.536,0.854,7,-6.907,1,0.0298,0.0129,0.743,0.156,0.905,122.733,4,['britpop'],64,255793
9,Champagne Supernova - Remastered,2A7GGXmTlXuH9LOvBXgOX4,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory? (Deluxe Remastered Edition),1995,451320,False,12,69,2024-11-06,0.293,0.817,2,-3.786,1,0.039,0.458,0.0509,0.355,0.138,150.249,4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",82,10837293
10,Laid,2CdS3DRqWR5LAhy4hM5X9W,James,0qLNsNKm8bQcMoRFkR8Hmh,Laid,1993,156666,False,11,66,2024-11-06,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998,4,"['britpop', 'madchester', 'permanent wave', 'pop rock']",60,576079
11,Live Forever - Remastered,6TlQ5fbojNRuG0hPQMbxeW,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Definitely Maybe (Deluxe Edition Remastered),1994,276666,False,3,69,2024-11-06,0.286,0.822,9,-3.366,0,0.0381,2.31e-05,1.31e-05,0.353,0.19,90.96,4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",82,10837293
12,Don't Look Back In Anger,7ppPZa3TRUSGKaks9wH7VT,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory?,1995-10-02,287826,False,4,67,2024-11-06,0.349,0.917,0,-3.645,1,0.071,0.026,7.25e-06,0.0968,0.206,164.036,4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",82,10837293
13,Stop Crying Your Heart Out,0SlpFHdk4UHBDzCEoXzy14,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Heathen Chemistry,2002-07-01,303120,False,4,68,2024-11-06,0.331,0.558,2,-5.506,1,0.031,0.0689,1.96e-06,0.124,0.0985,150.19,4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",82,10837293
14,Our House,1qV6e4ITnfGmA6m6Vklvbi,Madness,4AYkFtEBnNnGuoo8HaHErd,Madness,1983-01,201133,False,1,56,2024-11-06,0.601,0.649,7,-10.57,1,0.0554,0.0285,7.71e-05,0.127,0.708,121.66,4,"['britpop', 'new romantic', 'new wave', 'ska', 'ska revival']",62,798295
15,Song 2,3GfOAdcoc3X5GPiiXmpBjK,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur: The Best Of,2000-10-23,121880,False,2,66,2024-11-06,0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.701,4,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",71,3510480
16,Champagne Supernova,6EMynpZ10GVcwVqiLZj6Ye,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory?,1995-10-02,450506,False,12,62,2024-11-06,0.303,0.853,2,-2.26,1,0.0366,0.223,0.00159,0.361,0.119,150.381,4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",82,10837293
17,Child Psychology,7Bj4wIqRzM6vx278EFYoBh,Black Box Recorder,6Hd3xhv1sj3rlojjvGLkGR,England Made Me,1998-07-06,248266,False,6,60,2024-11-06,0.354,0.394,2,-11.567,1,0.0534,0.135,0.0432,0.131,0.17,160.555,3,['britpop'],51,97774
18,Unbelievable,5VYTKiOnHw4iTrB9pG3yum,EMF,39oSLGo3HkaeYXzUEGgAGQ,Schubert Dip,1991-05-07,209813,True,6,63,2024-11-06,0.636,0.848,1,-6.854,1,0.0362,0.000339,0.0402,0.141,0.934,104.073,4,"['britpop', 'dance rock', 'grebo', 'indietronica', 'madchester']",50,76691
19,Girls & Boys,5CeL9C3bsoe4yzYS1Qz8cw,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur: The Best Of,2000-10-23,259385,False,10,68,2024-11-06,0.693,0.875,7,-8.354,0,0.0315,0.00986,0.0,0.0601,0.899,120.048,4,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",71,3510480
20,Roll To Me,7LF0YY1gON8rBECsyEs0Wb,Del Amitri,2Q4FnG5T6NTUcAAZwuMV5K,Twisted,1995-01-01,132306,False,7,56,2024-11-06,0.567,0.821,6,-5.894,1,0.0371,0.418,0.0,0.108,0.895,150.106,4,"['britpop', 'melancholia', 'new wave pop', 'scottish rock']",48,103406
21,A Girl Like You,0MteK167vtyb6hoJNC3Uz3,Edwyn Collins,5Qlt3zQ63Z99mNhuun0JAT,Gorgeous George,2011-10-19,236583,False,2,66,2024-11-06,0.619,0.781,5,-7.456,0,0.0393,0.0245,0.000293,0.402,0.533,126.266,4,"['britpop', 'scottish new wave', 'solo wave']",52,57103
22,Supersonic - Remastered,4jJfa4mO5JjV9Tz2aAxE2M,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Definitely Maybe (Deluxe Edition Remastered),1994,283786,False,6,66,2024-11-06,0.359,0.913,9,-2.865,1,0.0391,6.31e-05,0.0121,0.0954,0.589,104.058,4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",82,10837293
23,I Wanna Be Adored - Remastered 2009,758wEKVqfYopJIHYWdLVd4,The Stone Roses,1lYT0A0LV5DUfxr6doRP3d,The Stone Roses,1989-05-02,292800,False,1,64,2024-11-06,0.494,0.862,4,-9.158,0,0.0273,0.012,0.213,0.228,0.59,112.596,4,"['britpop', 'dance rock', 'madchester']",62,1602838
24,Beetlebum - 2012 Remaster,4OHVCeQYPncEwZOtNAJZZx,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur (Special Edition),1997-02-10,305213,False,1,62,2024-11-06,0.542,0.627,0,-7.105,1,0.0243,0.0794,0.000517,0.277,0.814,89.734,4,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",71,3510480
25,She's Electric - Remastered,60QLLec3yKDwloXCyummPy,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory? (Deluxe Remastered Edition),1995,220920,False,9,65,2024-11-06,0.484,0.905,9,-3.506,1,0.0481,0.146,1.13e-06,0.24,0.486,125.414,4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",82,10837293
26,Right Here Right Now,3fcGGP62sllcNEhuFJVYeC,Jesus Jones,0roeI3yPusDWwWRzAqTopw,Doubt,1991-01-28,189293,False,5,55,2024-11-06,0.657,0.608,2,-13.565,1,0.0287,0.0088,3.45e-06,0.103,0.723,106.862,4,"['britpop', 'dance rock', 'grebo']",42,55047
27,Lucky Man,2mxPSHEwjJWOQS7lGw6btF,The Verve,2cGwlqi3k18jFpUyTrsR84,Urban Hymns (Deluxe / Remastered 2016),1997-09-29,293586,False,9,65,2024-11-06,0.407,0.663,2,-7.591,1,0.0305,0.255,0.000166,0.0913,0.211,75.989,4,"['britpop', 'permanent wave', 'rock', 'shoegaze']",68,2429363
