,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Take My Hand,3jz9pzisivCijrIXvyt6PK,Wayne Toups,7G8P56tQgw4QNhGxeic5oS,Toups: The New Blues Sessions,1997-10-14,266960,False,6,31,2024-11-06,0.604,0.48,11,-8.983,1,0.0315,0.0787,0.0,0.105,0.553,142.686,4,"['bosstown sound', 'cajun', 'swamp pop', 'zydeco']",35,16668
1,Tupelo Honey,4eAhcwVAUIsautuiO6RGOO,Wayne Toups,7G8P56tQgw4QNhGxeic5oS,Blast From The Bayou,1989-01-01,316040,False,4,31,2024-11-06,0.683,0.47,9,-8.653,1,0.0312,0.351,0.0,0.226,0.347,121.995,4,"['bosstown sound', 'cajun', 'swamp pop', 'zydeco']",35,16668
2,La danse de Mardi Gras,4DzulM7McOqTZ4OSmLJUmF,The Balfa Brothers,3oXyi8Qg1omMK96jXg8Wic,"The Balfa Brothers Play Traditional Cajun Music, Vol. 1 & 2",1990-07-18,142240,False,5,33,2024-11-06,0.56,0.264,7,-16.773,1,0.0325,0.531,0.0,0.43,0.916,90.895,4,"['cajun', 'zydeco']",26,5809
3,I Got Loaded,6m7DBPYA9MjDIbDrg5EHOS,Keith Frank & The Soileau Zydeco Band,02tyD6uuhrGHotsQDbmoW2,Ready Or Not,2000-03-14,224066,False,5,28,2024-11-06,0.622,0.78,9,-6.042,0,0.137,0.0761,6e-06,0.194,0.782,172.127,4,"['cajun', 'swamp pop', 'zydeco']",24,8931
4,Two-Step Mamou,5Qpx4EJgDhpxITNeqRwrAX,Zydecajun,5Qb9Imdm56SW3Y2wcI94K5,Blast From The Bayou,1989-01-01,204973,False,6,27,2024-11-06,0.432,0.866,2,-9.14,1,0.0587,0.0636,0.00707,0.291,0.612,176.049,4,"['cajun', 'swamp pop', 'zydeco']",31,1877
5,That's What I Love About My Baby,4xv7ovIV4A4wBaL8ur7ceA,Wayne Toups,7G8P56tQgw4QNhGxeic5oS,Toups: The New Blues Sessions,1997-10-14,252533,False,3,27,2024-11-06,0.411,0.369,11,-9.636,1,0.0371,0.213,1.17e-05,0.0554,0.438,68.371,4,"['bosstown sound', 'cajun', 'swamp pop', 'zydeco']",35,16668
6,Vibrator,5PEaP89NmTQwmNWc13qb6E,Travis Matte And The Zydeco Kingpins,5JtwIud6tl836KLWsNNkkL,Zydeco Train,2005,189413,False,16,26,2024-11-06,0.462,0.841,5,-4.92,1,0.113,0.0343,0.0,0.0954,0.747,175.808,4,"['cajun', 'swamp pop', 'zydeco']",23,3809
7,Oh Louisiana,2f0NexFHfrXYpKKL6ji2e0,Wayne Toups,7G8P56tQgw4QNhGxeic5oS,Little Wooden Box,2000-04-11,225666,False,3,26,2024-11-06,0.651,0.59,6,-6.615,0,0.0283,0.0867,0.0,0.153,0.695,129.768,4,"['bosstown sound', 'cajun', 'swamp pop', 'zydeco']",35,16668
8,Johnnie Can't Dance,2W2fyGpjk1cF0CcIBXFxN1,Zydecajun,5Qb9Imdm56SW3Y2wcI94K5,Blast From The Bayou,1989-01-01,171600,False,3,25,2024-11-06,0.651,0.908,2,-9.404,1,0.0481,0.0286,0.000437,0.0297,0.36,93.103,4,"['cajun', 'swamp pop', 'zydeco']",31,1877
9,Shake It Shake It Baby,1XTdfvxCi3vpFXV4lSPiso,Jamie Bergeron & The Kickin' Cajuns,4QLh4tPzUrgKErf04gCC5q,Squeezeville,2008-03-25,207893,False,12,25,2024-11-06,0.62,0.888,0,-7.441,1,0.0413,0.169,2.06e-06,0.46,0.986,175.341,4,"['cajun', 'swamp pop', 'zydeco']",24,4167
