,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Sri Venkateshwara Suprabhatham,5sEHcA6KQ0bmnbF9maaxUr,M. S. Subbulakshmi,35NVYJXOwkjY8bpul6OBQl,Sri Venkatesa Suprabhatham,2001-08-30,1242280,False,4,40,2024-11-06,0.655,0.404,7,-7.33,1,0.48,0.965,0.0,0.404,0.771,100.65,4,"['carnatic', 'carnatic vocal', 'indian classical']",51,258242
1,Zara Zara,5gUuhtkbrISUIlqjD3oYgv,Bombay Jayashri,5OTt6O4Q22YsqZDaWV6FqC,Rehnaa Hai Terre Dil Mein (Original Motion Picture Soundtrack),2001-10-19,298266,False,4,44,2024-11-06,0.643,0.268,11,-15.073,0,0.09,0.593,2.06e-06,0.316,0.62,143.813,4,"['carnatic', 'carnatic vocal', 'filmi', 'indian classical']",64,852030
2,"Panchasuktha Pavamanam, Pt. 1",3EI92g2loyQy5InrkO5pLF,T.Sivaprasad,7AutmNQynw0f6nuuKHqNY2,"Panchasuktha Pavamanam, Vol. 1",2008-12-12,67426,False,1,49,2024-11-06,0.465,0.397,9,-8.645,1,0.0513,0.866,0.0,0.183,0.436,90.469,1,"['carnatic', 'indian classical', 'mantra']",43,31145
3,Zara Zara,1fCUBgnId0eLuHNl5M4Xmm,Bombay Jayashri,5OTt6O4Q22YsqZDaWV6FqC,Rehnaa Hai Terre Dil Mein (Original Motion Picture Soundtrack),2001-12-01,298266,False,5,40,2024-11-06,0.635,0.268,11,-15.073,0,0.0895,0.594,2.04e-06,0.316,0.62,143.771,4,"['carnatic', 'carnatic vocal', 'filmi', 'indian classical']",64,852030
4,Skandha Sashti Kavacham,5ccVQVwIHn5akXKgahaBDf,Soolamangalam Sisters,6gQPz9cuV4hTsMFOuw7eSf,Sri Skandha Guru Kavasam,1973-08-01,1223800,False,1,41,2024-11-06,0.677,0.351,2,-16.1,0,0.0507,0.838,0.0,0.0978,0.715,117.438,4,"['carnatic', 'carnatic vocal', 'indian classical']",47,63977
5,Bhaja Govindam,1IkR0OgVI1gydC4S6jnG2B,M. S. Subbulakshmi,35NVYJXOwkjY8bpul6OBQl,Bhaja Govindam - Vishnu Sahasranamam,2013-01-18,661293,False,3,33,2024-11-06,0.352,0.424,10,-8.009,1,0.0634,0.965,0.0,0.242,0.605,75.466,1,"['carnatic', 'carnatic vocal', 'indian classical']",51,258242
6,Durga Suktham,2yhJwnIK3pyqf5X8ZQqvq3,Seven,6q09698EoQ3z1BuSQx6HnY,Sacred Chants,2005-01-01,141106,False,4,46,2024-11-06,0.478,0.255,2,-8.973,1,0.0625,0.655,0.0,0.115,0.0359,83.344,1,"['carnatic', 'indian classical', 'mantra']",46,11270
7,Lalitha Sahasranama Sthothram,0syWP6hExPrVVfq8yVL0oa,Priya Sisters,78qmjdCxeGrzTTPSlvieS7,Lalitha Pancharatnam,1993,1755311,False,2,44,2024-11-06,0.54,0.438,9,-8.409,1,0.0765,0.815,0.0,0.388,0.777,89.848,1,"['carnatic', 'carnatic vocal', 'indian classical']",43,99974
8,Pibare Ramarasam - Yamunakalyani - Adi,6mVZ46TZ8S4XLknpAXUfhI,M. S. Subbulakshmi,35NVYJXOwkjY8bpul6OBQl,Anubhti - The 'MS' Experience,2015-04-13,187480,False,3,46,2024-11-06,0.469,0.477,11,-9.399,1,0.0401,0.995,0.89,0.41,0.6,84.425,4,"['carnatic', 'carnatic vocal', 'indian classical']",51,258242
9,Kanakadharashtavam,2gfHHU73yMdvSRSyxJ3sbs,M. S. Subbulakshmi,35NVYJXOwkjY8bpul6OBQl,Bhaja Govindam - Vishnu Sahasranamam,2013-01-18,524973,False,7,31,2024-11-06,0.575,0.326,2,-8.55,1,0.0812,0.971,0.0,0.38,0.324,125.554,4,"['carnatic', 'carnatic vocal', 'indian classical']",51,258242
