,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Breakeven,285hMzLhJwHVLe9QT9qilk,The Script,3AQRLZ9PuTAozP28Skbq8V,The Script,2008-07-14,261426,False,5,78,2024-11-06,0.63,0.696,10,-4.501,1,0.0242,0.144,0.0,0.0835,0.491,94.034,4,"['celtic rock', 'pop']",78,8261685
1,Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz,The Script,3AQRLZ9PuTAozP28Skbq8V,#3,2012-09-10,202533,False,3,68,2024-11-06,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,4,"['celtic rock', 'pop']",78,8261685
2,The Man Who Can't Be Moved,3nqqDo8CcCLke3ZoTgiOKf,The Script,3AQRLZ9PuTAozP28Skbq8V,The Script,2008-07-14,241373,False,4,80,2024-11-06,0.605,0.629,10,-5.051,1,0.0279,0.437,0.0,0.097,0.308,99.894,4,"['celtic rock', 'pop']",78,8261685
3,I'm Shipping Up To Boston,7rSERmjAT38lC5QhJ8hnQc,Dropkick Murphys,7w9jdhcgHNdiPeNPUoFSlx,The Warrior's Code,2005-07-19,153600,False,11,67,2024-11-06,0.452,0.928,2,-3.133,1,0.079,0.000706,0.000637,0.226,0.6,129.188,4,"['boston punk', 'boston rock', 'celtic punk', 'celtic rock', 'punk']",62,1263905
4,Breakeven,38xWaVFKaxZlMFvzNff2aW,The Script,3AQRLZ9PuTAozP28Skbq8V,The Script,2008-09-08,261426,False,5,63,2024-11-06,0.627,0.699,10,-4.504,1,0.0244,0.174,0.0,0.0789,0.535,94.003,4,"['celtic rock', 'pop']",78,8261685
5,Only Time,6FLwmdmW77N1Pxb1aWsZmO,Enya,6uothxMWeLWIhsGeF7cyo4,A Day Without Rain,2000-11-11,218546,False,3,71,2024-11-06,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,4,"['celtic', 'gregorian dance', 'operatic pop']",74,2280682
6,Superheroes,37sINbJZcFdHFAsVNsPq1i,The Script,3AQRLZ9PuTAozP28Skbq8V,No Sound Without Silence,2014-09-15,245466,False,2,71,2024-11-06,0.49,0.885,3,-4.121,1,0.0396,0.00218,0.0,0.0741,0.64,166.996,4,"['celtic rock', 'pop']",78,8261685
7,For the First Time,09ZcYBGFX16X8GMDrvqQwt,The Script,3AQRLZ9PuTAozP28Skbq8V,Science & Faith,2011-01-18,252853,True,2,58,2024-11-06,0.396,0.629,9,-4.78,1,0.0287,0.0328,0.0,0.183,0.358,173.794,4,"['celtic rock', 'pop']",78,8261685
8,Caribbean Blue,31TAub5WKWEsVTJcdksxq7,Enya,6uothxMWeLWIhsGeF7cyo4,Shepherd Moons,1991-11-15,239600,False,2,55,2024-11-06,0.386,0.319,4,-16.512,1,0.0332,0.776,0.965,0.106,0.661,157.614,3,"['celtic', 'gregorian dance', 'operatic pop']",74,2280682
9,Orinoco Flow,14EUcXXpqrC03Dzzdj8bGr,Enya,6uothxMWeLWIhsGeF7cyo4,Watermark,1988,266333,False,7,55,2024-11-06,0.686,0.308,0,-17.283,1,0.0306,0.799,0.288,0.0941,0.561,114.992,4,"['celtic', 'gregorian dance', 'operatic pop']",74,2280682
