,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Crossover - Raga Gayathri Harmonised - Taal Ashtami,5gawdiT8yhgdH4Dqk9h2Vy,Purbayan Chatterjee,7cOq32s7XaaDAgYnMp7aPW,Classical Unclassical,2018-10-01,864478,False,2,6,2024-11-06,0.472,0.851,7,-5.118,1,0.0612,0.679,0.569,0.0981,0.631,118.952,4,"['hindustani classical', 'indian classical', 'sitar']",31,38668
1,Embraceable You,0BGqwndbWeZBnr66LxBkcQ,George Gershwin,1YuknfkSYTTbolRpwZBOv4,Gershwin: The Crossover Composer,2020-09-12,203827,False,6,4,2024-11-06,0.326,0.228,3,-11.146,1,0.0378,0.954,0.935,0.25,0.051,86.136,4,"['american modern classical', 'classical', 'early modern classical', 'tin pan alley']",49,327299
2,Die Wuth Ueber Den Verlorenen Euro,0QvUDe8SVRAO3Q3IxjGXYB,marcus schinkel trio,4WcxJVWPbLBMXU4nLyt50I,Crossover Beethoven,2015,416786,False,2,0,2024-11-06,0.38,0.457,4,-14.525,0,0.0317,0.675,0.872,0.104,0.215,124.534,4,"['classical jazz fusion', 'gypsy jazz']",18,1513
3,Meanwhile,7cIWVijZM9tRtUqR2Xd4p7,Jan Dušek,4ewKqdT8VVelQuc4dD9s5u,Crossover,2013-07-01,418906,False,3,5,2024-11-06,0.266,0.0824,4,-17.995,0,0.0421,0.987,0.359,0.121,0.0393,75.209,3,['czech contemporary classical'],24,242
4,Going On The 5Th,5d1UCTigJVB55XjphDFkNf,marcus schinkel trio,4WcxJVWPbLBMXU4nLyt50I,Crossover Beethoven,2015,314653,False,3,0,2024-11-06,0.377,0.294,8,-17.309,1,0.0296,0.856,0.835,0.0866,0.0633,111.168,4,"['classical jazz fusion', 'gypsy jazz']",18,1513
5,Phil Woods: Sonata for Alto Saxophone & Piano - Medium Fast,2kiycCFtEtHpEjAOZpVUpO,Scott Turpen,5CUtgXEJNrLAI72RGKAsKp,Crossover,2009-07-01,344533,False,3,1,2024-11-06,0.345,0.0431,2,-23.502,0,0.041,0.995,0.858,0.121,0.16,131.172,5,['classical saxophone'],4,43
6,Minor Mood,5igeF8Hc5DgFtclgTch3zj,marcus schinkel trio,4WcxJVWPbLBMXU4nLyt50I,Crossover Beethoven,2015,309813,False,1,0,2024-11-06,0.396,0.348,7,-16.574,0,0.0279,0.87,0.936,0.124,0.128,94.86,4,"['classical jazz fusion', 'gypsy jazz']",18,1513
7,Jazz Suite No. 1: 1. Walzer,2uXzXPFB2bbYhGoE40NNzw,Dmitri Shostakovich,6s1pCNXcbdtQJlsnM1hRIA,Crossover,2014-03-18,152586,False,2,0,2024-11-06,0.286,0.0261,0,-26.332,0,0.0437,0.983,0.887,0.105,0.348,173.51,3,"['classical', 'compositional ambient', 'russian modern classical']",61,473729
8,Marche Royale,4PbYW2j13ehi8UiRuPxlpv,Jean-Baptiste Lully,19v0Cnq5D4SKom8SVlXhkw,Crossover,2011-01-04,80770,False,2,0,2024-11-06,0.662,0.165,7,-17.632,1,0.0425,0.992,0.904,0.159,0.481,129.257,4,"['baroque', 'classical', 'early music', 'french baroque', 'french opera']",49,63684
9,Metafolkphoses,1EWWnwvfUMTOdiffDjUmUL,Tomáš Pálka,0B5uOfTutEzVF1aFRbsAhh,Crossover,2013-07-01,538373,False,4,2,2024-11-06,0.287,0.0429,7,-20.452,0,0.0501,0.989,0.544,0.11,0.0381,135.778,3,['czech contemporary classical'],0,26
