,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Experience,1BncfTJAWxrsxyT9culBrj,Ludovico Einaudi,2uFUBdaVGtyMqckSeCl0Qj,In A Time Lapse,2013-01-01,315426,False,12,75,2024-11-06,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,4,"['compositional ambient', 'neo-classical']",80,3588414
1,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",61dYvvfIRtIDFuqZypPAta,Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,Bach: Unaccompanied Cello Suites (Remastered),1983,151733,False,1,62,2024-11-06,0.218,0.111,7,-21.375,1,0.0688,0.895,0.834,0.165,0.27,77.423,4,"['baroque', 'classical', 'early music', 'german baroque']",78,4491877
2,Adieux,1ymzdmQYjO3ThdlToYZnTq,Ludovico Einaudi,2uFUBdaVGtyMqckSeCl0Qj,Adieux,2024-01-05,175492,False,1,69,2024-11-06,0.225,0.00407,3,-37.107,1,0.0464,0.987,0.936,0.112,0.32,73.595,4,"['compositional ambient', 'neo-classical']",80,3588414
3,Gymnopédie No. 1,5NGtFXVpXSvwunEIGeviY3,Erik Satie,459INk8vcC0ebEef82WjIK,Erik Satie & Friends,2016-04-01,205866,False,3,67,2024-11-06,0.468,0.0127,7,-36.856,1,0.123,0.994,0.937,0.094,0.356,72.776,3,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",68,865419
4,Carnival of the Animals: The Swan,3U8Fx7zNTQrctytkj6Gqgd,Camille Saint-Saëns,436sYg6CZhNefQJogaXeK0,Saint-Saëns: Carnival of the Animals: The Swan,2020-09-25,150146,False,1,66,2024-11-06,0.213,0.0656,7,-24.81,1,0.0467,0.992,0.969,0.0699,0.0384,65.023,3,"['classical', 'french romanticism', 'late romantic era']",67,402879
5,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",3DNRdudZ2SstnDCVKFdXxG,Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,"Beethoven: Piano Sonatas, Vol.3",2007-09-25,315426,False,9,68,2024-11-06,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,3,"['classical', 'classical era', 'early romantic era', 'german romanticism']",73,5388573
6,River Flows In You,2agBDIr9MYDUducQPC1sFU,Yiruma,0fauHpmSHwodVYIjTqOGHz,First Love (The Original & the Very First Recording),2001-11-27,188786,False,4,69,2024-11-06,0.315,0.22,9,-21.343,1,0.0514,0.987,0.943,0.0802,0.116,145.195,4,"['korean instrumental', 'neo-classical', 'new age piano']",67,1166037
7,"Suite bergamasque, L. 75: III. Clair de lune",1cmigB9I6IRpFqjIbzvSQB,Claude Debussy,1Uff91EOsvd99rtAupatMP,"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",2018-07-27,294960,False,1,64,2024-11-06,0.32,0.00501,1,-33.366,1,0.0455,0.993,0.919,0.0618,0.0383,68.947,5,"['classical', 'impressionism', 'post-romantic era']",70,1570540
8,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",2xizRhme7pYeITbH1NLLGt,Pyotr Ilyich Tchaikovsky,3MKCzCnpzw3TjUYs2v7vDA,Tchaikovsky: Swan Lake,1976-01-01,166866,False,10,68,2024-11-06,0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,4,"['classical', 'late romantic era', 'russian romanticism']",71,1402497
9,Merry-Go-Round of Life - from 'Howl's Moving Castle',39uLYYZytVUwcjgeYLI409,Joe Hisaishi,7nzSoJISlVJsn7O0yTeMOB,FREEDOM PIANO STORIES 4,2005-01-26,311106,False,1,66,2024-11-06,0.239,0.287,7,-12.565,0,0.0388,0.876,0.644,0.122,0.185,71.608,3,"['anime', 'anime score', 'japanese classical', 'japanese soundtrack', 'orchestral soundtrack']",71,1303643
