,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Preludes: La colombe (The Dove),0a9mUPCyu1R2kxRqDoO9Q3,Olivier Messiaen,6CS9O2pE67oq44GZuBEBuD,Messiaen: Preludes / 4 Rhythmic Studies / Canteyodjaya,1999-09-28,124293,False,1,35,2024-11-06,0.421,0.00391,6,-34.993,0,0.0688,0.994,0.966,0.162,0.177,135.028,1,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'laboratorio']",34,53303
1,Six Etudes for Piano - q = 108,1pNVPDpgKtYZuGmVtu7mu7,Philip Glass,69lxxQvsfAIoQbB20bEPFC,Time Curve: Music for Piano by Philip Glass and William Duckworth,2009-06-16,411560,False,2,25,2024-11-06,0.104,0.00396,0,-35.954,1,0.0425,0.987,0.872,0.0741,0.0348,171.9,4,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",61,650953
2,Children's Song No. 1 (Arr. for guitar by Forbes Henderson) - Classical Session,6rpfMfLTgzfw7VzebK5Q9u,Chick Corea,5olDKSsFhhmwh8UCWwKtpq,Corea: Children's Song No. 1,2024-04-19,111178,False,1,42,2024-11-06,0.318,0.00324,6,-32.644,0,0.039,0.993,0.895,0.0924,0.377,87.14,4,"['bebop', 'contemporary post-bop', 'ecm-style jazz', 'electric bass', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano']",52,380573
3,Humility,1f7He1jVCO2knQ1nwTAt8U,Wim Mertens,7zW6wPmVLv4JDJM271gbFc,Classical Piano Sessions,2021-10-04,167444,False,50,29,2024-11-06,0.329,0.087,2,-20.78,0,0.0405,0.98,0.904,0.105,0.0876,122.409,3,"['belgian contemporary classical', 'compositional ambient', 'minimalism', 'post-minimalism']",46,110118
4,The Heart Asks Pleasure First,63Aid0XcaOiEzr1Ui8lUxB,Michael Nyman,2LvhyFvUCDJ7gFuEBOcrM8,Soft Classical Music for Sleeping,2019-05-24,187426,False,7,40,2024-11-06,0.215,0.172,9,-21.399,0,0.0454,0.989,0.822,0.0949,0.0997,168.758,3,"['british contemporary classical', 'british soundtrack', 'compositional ambient', 'minimalism', 'post-minimalism']",52,214535
5,Spiegel im Spiegel,719tuoJDLgQJAJskeT5E64,Arvo Pärt,2P6ygesd9xg5DPOBnda2jg,Soft Classical Music for Sleeping,2019-05-24,494760,False,11,39,2024-11-06,0.126,0.0135,5,-33.232,1,0.0427,0.986,0.378,0.0472,0.084,89.042,3,"['baltic classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",54,269764
6,Pärt: Spiegel im Spiegel (Excerpt),2KMr9cGZCqmc7CArKuqnK6,Arvo Pärt,2P6ygesd9xg5DPOBnda2jg,Classical Chillout,2019-07-05,244906,False,5,32,2024-11-06,0.195,0.015,5,-31.367,1,0.0415,0.991,0.195,0.059,0.0735,139.402,3,"['baltic classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",54,269764
7,Remembering - Classical Session,54SpVjN6DmfQ62ggolv7m8,Avishai Cohen,5wu05jGsVMAFHYMYHqCB9l,Campanella,2024-07-05,167220,False,1,21,2024-11-06,0.268,0.0287,4,-29.28,0,0.0649,0.995,0.851,0.0839,0.266,84.653,3,"['contemporary jazz', 'israeli jazz', 'jazz', 'jazz double bass', 'jazz trumpet']",49,210377
8,"Mozart a 9 anni - Elaborazioni per orchestra d'epoca: 5. Allegro in D Minor (Londoner Skizzenbuch n.20, K.15u)",0FbqRe84rSH6fq4sFuMSYE,Salvatore Sciarrino,3X2fwmmbjJ9V42SLAtl12X,"Classical Sound, Vol. I",2024-06-25,112000,False,42,11,2024-11-06,0.479,0.00999,5,-24.888,1,0.0545,0.909,0.486,0.209,0.63,75.532,4,"['21st century classical', 'avant-garde', 'contemporary classical', 'italian contemporary classical']",17,5106
9,"Requiem, K. 626: Lacrimosa",0WSAD2SlfqVQyhHD62XvEu,Michael Finnissy,2tsOm9CPRD4SbZagsqAhj4,Mozart: Requiem Realisations,2013-04-08,188000,False,20,20,2024-11-06,0.193,0.118,2,-23.74,1,0.041,0.939,0.000856,0.314,0.0381,81.454,4,"['british contemporary classical', 'contemporary classical']",44,1636
10,Glass: Façades,3nlSXYClkqf41jNftMvIwG,Philip Glass,69lxxQvsfAIoQbB20bEPFC,Classical Chillout,2019-07-05,469906,False,3,31,2024-11-06,0.214,0.0424,10,-26.498,1,0.0465,0.977,0.978,0.094,0.034,66.257,4,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",61,650953
11,"5 Meditations for Orchestra: No. 4, Lord, Make Me an Instrument of Thy Peace",2KdBceNLoAjmBjLA1usHZD,John Rutter,0qlhpgr87PEG89Jd5iRpxe,Classical Tranquillity,2023-11-03,183440,False,5,18,2024-11-06,0.19,0.0527,4,-22.738,1,0.0379,0.979,0.883,0.105,0.0356,102.318,4,"['anglican liturgy', 'british contemporary classical', 'choral']",55,47768
12,"Górecki: Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"": II. Lento e largo (Excerpt)",0Ks6oG5Ic7X8gKtn34yi3E,Henryk Górecki,5PIshNx38qyLggwpqRhRRI,Classical Chillout,2019-07-05,323360,False,16,28,2024-11-06,0.0914,0.0402,1,-23.502,1,0.0384,0.928,0.441,0.117,0.0366,72.31,3,"['compositional ambient', 'contemporary classical', 'minimalism', 'polish contemporary classical']",38,44415
13,"Gottes Zeit ist die allerbeste Zeit, BWV 106 (Arr. G. Kurtag for Piano Duo)",5FHDGoO8MF9txy89VczxfY,György Kurtág,1ygboTdafDwlY7TUYEj37E,The Art of Bach,2015-01-13,150093,False,1,17,2024-11-06,0.533,0.00805,3,-34.339,1,0.0397,0.995,0.92,0.0726,0.0679,69.354,4,"['avant-garde', 'contemporary classical', 'hungarian contemporary classical']",38,9768
14,"Mozart a 9 anni - Elaborazioni per orchestra d'epoca: 7. Andantino in E Flat Major (1790, K.236, 588b)",3duCbV7tR6niuK6oog3TG1,Salvatore Sciarrino,3X2fwmmbjJ9V42SLAtl12X,An Orchestral Weekend,2024-06-15,101000,False,27,10,2024-11-06,0.261,0.00515,3,-31.86,1,0.0424,0.992,0.122,0.236,0.138,74.274,5,"['21st century classical', 'avant-garde', 'contemporary classical', 'italian contemporary classical']",17,5106
15,"Gottes Zeit ist die allerbeste Zeit, BWV 106 (arr. by G. Kurtag)",7IQzFojvwe69XAMLLpepwE,György Kurtág,1ygboTdafDwlY7TUYEj37E,Bach to the Future,2013-09-01,147973,False,15,21,2024-11-06,0.349,0.00884,3,-33.344,1,0.0375,0.995,0.931,0.107,0.12,72.818,4,"['avant-garde', 'contemporary classical', 'hungarian contemporary classical']",38,9768
