,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Rock and A Hard Place,1TE8AAk9koG0UJco6ZAUfx,Bailey Zimmerman,3win9vGIxFfBRag9S63wwf,Religiously. The Album.,2023-01-11,207540,False,9,76,2024-11-06,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,"['contemporary country', 'modern country pop']",77,1402089
1,Rumor,56eGOeSsqdg3FLxdo83TwV,Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Lee Brice,2017-11-03,198440,False,8,74,2024-11-06,0.655,0.56,9,-6.857,1,0.0486,0.749,0.0,0.115,0.599,140.975,4,"['contemporary country', 'country', 'country road', 'modern country rock']",71,2300286
2,Religiously,0bILU0UiNDmA5Ff6whhb2R,Bailey Zimmerman,3win9vGIxFfBRag9S63wwf,Religiously. The Album.,2023-01-11,178723,False,1,74,2024-11-06,0.57,0.67,1,-6.519,1,0.0274,0.426,0.0,0.108,0.593,140.924,4,"['contemporary country', 'modern country pop']",77,1402089
3,Ride Wit Me,3Gf5nttwcX9aaSQXRWidEZ,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Country Grammar,2000-06-27,291781,True,7,75,2024-11-06,0.85,0.7,7,-6.49,1,0.0478,0.0607,1.66e-06,0.244,0.724,101.875,4,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",76,3095032
4,Reminder,37F0uwRSrdzkBiuj0D5UHI,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,2016-11-25,218880,True,4,80,2024-11-06,0.705,0.505,8,-6.923,1,0.193,0.142,0.0,0.164,0.388,160.053,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,93895335
5,Rude Boy,60jzFy6Nn4M0iD1d94oteF,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Rated R,2009-11-20,222920,True,8,77,2024-11-06,0.563,0.75,11,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.909,4,"['barbadian pop', 'pop', 'urban contemporary']",92,63500760
6,Love On The Brain,5oO3drDxtziYU2H1X23ZIp,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,ANTI (Deluxe),2016-01-28,224000,True,11,83,2024-11-06,0.509,0.637,4,-4.83,0,0.047,0.0717,1.08e-05,0.0789,0.379,172.007,3,"['barbadian pop', 'pop', 'urban contemporary']",92,63500760
7,red (feat. Morgan Wallen),6GBXOabwqSAI5A75F3FruX,HARDY,5QNm7E7RU2m64l6Gliu8Oy,the mockingbird & THE CROW,2023-01-20,205767,False,2,68,2024-11-06,0.58,0.88,11,-4.581,1,0.0404,0.0302,0.0,0.0795,0.589,140.028,4,"['contemporary country', 'modern country pop']",76,1154464
8,Recognize (feat. Drake),1DMYEiuAgz1OKvANXiNFrN,PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR TWO,2014-07-29,311197,True,8,70,2024-11-06,0.644,0.541,2,-5.801,1,0.0426,0.0102,0.0,0.102,0.165,119.513,4,"['r&b', 'rap', 'urban contemporary']",84,7386330
9,Love,0W4NhJhcqKCqEP2GIpDCDq,Keyshia Cole,1vfezMIyCr4XUdYRaKIKi3,The Way It Is,2005-01-01,255333,False,6,79,2024-11-06,0.688,0.518,5,-4.285,1,0.0283,0.0642,0.0,0.1,0.314,116.714,4,"['hip pop', 'r&b', 'urban contemporary']",71,4019488
10,Loveeeeeee Song,3DZQ6mzUkAdHqZWzqxBKIK,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Unapologetic (Deluxe),2012-12-11,256320,True,5,69,2024-11-06,0.711,0.599,5,-7.597,0,0.0317,0.507,0.0,0.0971,0.502,119.983,4,"['barbadian pop', 'pop', 'urban contemporary']",92,63500760
11,Rain Is A Good Thing,1YhFtqwcN138S6ng3MT1nN,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,Doin' My Thing,2009-01-01,176160,False,1,65,2024-11-06,0.622,0.931,11,-4.66,0,0.0507,0.106,2.45e-06,0.328,0.521,108.051,4,"['contemporary country', 'country', 'country road', 'modern country rock']",77,8914482
12,Record Year,5fSPbm5lcwtqwXkeQQswW8,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,Mr. Misunderstood,2015-11-11,179346,False,9,64,2024-11-06,0.587,0.641,5,-8.12,1,0.0941,0.205,0.0,0.0864,0.566,160.028,4,"['contemporary country', 'country', 'country road']",73,3928681
13,Red Dirt Road,3EZzghqykkfOB0Z8d0kTSt,Brooks & Dunn,0XKOBt59crntr7HQXXO8Yz,Red Dirt Road,2003-07-15,260360,False,5,63,2024-11-06,0.555,0.868,5,-3.798,1,0.0403,0.0664,0.000117,0.116,0.479,136.12,4,"['contemporary country', 'country', 'country road']",72,2995612
14,Rock Wit U (Awww Baby),6pWzCKTrKrwbUPzY8RLCoP,Ashanti,5rkVyNGXEgeUqKkB5ccK83,Chapter II,2003-01-01,209120,False,3,67,2024-11-06,0.71,0.797,4,-3.006,0,0.0583,0.409,0.0,0.16,0.849,94.998,4,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",73,3215441
15,Remember Him That Way,1YvT4ml5LQM8ZYcLvqsAkD,Luke Combs,718COspgdWOnwOFpJHRZHS,Fathers & Sons,2024-06-14,236055,False,6,66,2024-11-06,0.532,0.689,11,-8.12,1,0.035,0.405,4.39e-05,0.21,0.525,171.904,4,"['contemporary country', 'country']",87,11646874
16,Red Solo Cup,4YKAOXyqkKZ5gOZR0AmVMN,Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Clancy's Tavern,2011-10-21,223386,False,10,63,2024-11-06,0.535,0.56,4,-6.586,1,0.0901,0.287,0.0,0.209,0.785,164.17,4,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",72,2608261
