,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,2023-08-25,227195,False,11,86,2024-11-06,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4,['classic oklahoma country'],91,5437996
1,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Something in the Orange,2022-04-22,228013,False,1,85,2024-11-06,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,['classic oklahoma country'],91,5437996
2,Pink Skies,4ZJ4vzLQekI0WntDbanNC7,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Pink Skies,2024-05-24,194920,False,1,85,2024-11-06,0.525,0.488,0,-6.909,1,0.038,0.191,5.14e-05,0.135,0.253,84.999,4,['classic oklahoma country'],91,5437996
3,Cowgirls (feat. ERNEST),7fveJ3pk1eSfxBdVkzdXZ0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,One Thing At A Time,2023-03-03,181621,False,33,83,2024-11-06,0.621,0.779,8,-3.777,1,0.0361,0.216,8.62e-06,0.165,0.399,172.037,4,['contemporary country'],91,11032894
4,Lies Lies Lies,7Fzl7QaTu47WyP9R5S5mh5,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Lies Lies Lies,2024-07-05,198068,False,1,82,2024-11-06,0.486,0.702,1,-5.758,0,0.0298,0.239,7.54e-05,0.0912,0.382,81.053,4,['contemporary country'],91,11032894
5,Heading South,2Dct3GykKZ58hpWRFfe2Qd,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Heading South,2019-09-30,171692,True,1,83,2024-11-06,0.68,0.246,4,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23,4,['classic oklahoma country'],91,5437996
6,Ain't No Love In Oklahoma (From Twisters: The Album),6GG4yyk3UATdBfTHVgI8PB,Luke Combs,718COspgdWOnwOFpJHRZHS,Ain't No Love In Oklahoma (From Twisters: The Album),2024-05-16,210950,False,1,83,2024-11-06,0.487,0.658,5,-9.973,1,0.0296,0.00877,0.00777,0.1,0.282,142.18,4,"['contemporary country', 'country']",87,11646874
7,28,5iJKGpnFfvbjZJeAtwXfCj,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,The Great American Bar Scene,2024-07-04,233333,False,4,82,2024-11-06,0.492,0.519,7,-6.886,1,0.0288,0.227,8.47e-05,0.0693,0.435,80.868,3,['classic oklahoma country'],91,5437996
8,Sun to Me,1SjsVdSXpwm1kTdYEHoPIT,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,American Heartbreak,2022-05-20,163031,False,16,82,2024-11-06,0.505,0.27,9,-9.165,0,0.0333,0.593,0.0,0.133,0.557,98.721,4,['classic oklahoma country'],91,5437996
9,Thinkin’ Bout Me,0PAcdVzhPO4gq1Iym9ESnK,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,One Thing At A Time,2023-03-03,177387,False,25,82,2024-11-06,0.659,0.789,3,-5.723,0,0.0293,0.487,0.0,0.115,0.468,139.982,4,['contemporary country'],91,11032894
10,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,Luke Combs,718COspgdWOnwOFpJHRZHS,This One's for You,2017-06-02,240760,False,8,81,2024-11-06,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,4,"['contemporary country', 'country']",87,11646874
11,You Proof,5W4kiM2cUYBJXKRudNyxjW,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,One Thing At A Time,2023-03-03,157477,False,16,80,2024-11-06,0.728,0.818,9,-5.068,1,0.0329,0.323,0.0,0.582,0.681,119.706,4,['contemporary country'],91,11032894
12,Oklahoma Smokeshow,0OWhKvvsHptt6vnnNUSM9a,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Summertime Blues,2022-07-15,211739,False,4,80,2024-11-06,0.544,0.573,8,-5.694,1,0.0356,0.0958,0.0,0.104,0.233,122.977,4,['classic oklahoma country'],91,5437996
