,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Llorar,2f9XA7pBMjrHPO2cJW5XCu,Los Socios Del Ritmo,7bzt5lHL6bzLO3c9mkxNMW,Llorar,1999-01-01,223160,False,1,73,2024-11-06,0.783,0.591,5,-6.917,0,0.113,0.0577,0.0,0.0524,0.962,172.013,4,"['cumbia del sureste', 'cumbia sonidera', 'musica campechana', 'ranchera', 'tropical']",65,757403
1,Nunca Es Suficiente,63USmok1OioBzKuWGW9wAg,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,Esto Sí Es Cumbia,2018-06-08,266213,False,2,64,2024-11-06,0.789,0.521,5,-5.418,1,0.0403,0.396,0.0,0.0891,0.777,94.003,4,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",79,7820273
2,Piensa En Mí,1xKP7GVLY33i5jmx1bB1Kk,Grupo Mojado,28NFZuZbEm7yzMpv1q1Rb7,Sueño Y Realidad,1996-01-01,177040,False,6,73,2024-11-06,0.72,0.538,10,-8.874,1,0.0455,0.348,0.0,0.0654,0.805,80.096,4,"['banda', 'cumbia sonidera', 'grupera', 'gruperas inmortales', 'musica mexicana', 'musica tamaulipeca', 'norteno']",65,848665
3,Tiene Espinas El Rosal,1JO6kEdXrxBq9QobefZg0H,Grupo Cañaveral De Humberto Pabón,48zixAu4wMDZwpVbOenDU7,"Grupo Cañaveral, Vol. 3",1997-01-01,238236,False,4,72,2024-11-06,0.672,0.43,11,-11.113,0,0.151,0.0319,0.0,0.0902,0.787,169.193,4,"['chilena', 'cumbia sonidera', 'tropical']",64,256427
4,El Listón De Tu Pelo,5hrxAFrYbNTLjAYSrmbpgr,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,Una Lluvia De Rosas,1999-01-01,216106,False,1,70,2024-11-06,0.695,0.432,11,-8.195,0,0.0479,0.312,0.0,0.296,0.765,81.109,4,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",79,7820273
5,Tonta,1A1yn53ZypVPUcV4W54j8A,Grupo Mojado,28NFZuZbEm7yzMpv1q1Rb7,25 Exitos Vol. 1 (USA),2009-03-24,190173,False,5,60,2024-11-06,0.562,0.595,9,-12.875,1,0.077,0.181,0.00525,0.0472,0.871,205.059,4,"['banda', 'cumbia sonidera', 'grupera', 'gruperas inmortales', 'musica mexicana', 'musica tamaulipeca', 'norteno']",65,848665
6,Todo Me Gusta De Ti,5gUoppDphfYsIiguGr5drh,Aaron Y Su Grupo Ilusion,1zVxAFV8uL5V816dzdHvYQ,Destilando Amor,2000-01-01,247893,False,6,67,2024-11-06,0.64,0.505,10,-5.766,1,0.0362,0.176,0.0,0.0769,0.786,180.625,4,"['banda', 'cumbia sonidera', 'musica mexicana', 'norteno']",60,748883
7,El Indio Enamorado,77Yhcsal6ceWoLqYbDCeaZ,Grupo Laberinto,24z2EWgF5nVUKnbJHd9ku2,El Indio Enamorado,2003-06-30,188128,False,2,66,2024-11-06,0.65,0.427,9,-5.306,1,0.0515,0.742,2.15e-06,0.133,0.916,95.547,3,"['cumbia sonorense', 'musica sonorense', 'norteno', 'tecnobanda', 'tejano']",72,841192
8,Oye Mujer,37kCg5izHEMZ66xGdMVG5L,Raymix,0hHT2BH7XTm3ZdZb6CX064,Oye Mujer,2018-02-07,259239,False,1,67,2024-11-06,0.83,0.581,4,-6.0,0,0.0363,0.168,0.0,0.176,0.914,90.991,4,"['musica mexicana', 'nu-cumbia']",63,558558
9,17 Años,1Y372uxsCkKqNclj2ercap,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,Una Lluvia De Rosas,1999-01-01,181306,False,7,68,2024-11-06,0.738,0.483,0,-9.097,1,0.0526,0.467,0.0,0.086,0.774,90.941,4,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",79,7820273
10,Tus Jefes No Me Quieren,5ZkVnHs6BZViyXnl4LmRXh,Grupo Ensamble,4qDQBPUMcJUH7BQ9dfJnfI,Tus Jefes No Me Quieren. Llegó la Cumbia,2021-01-15,226346,False,2,68,2024-11-06,0.658,0.455,3,-11.705,0,0.137,0.181,2.61e-05,0.0671,0.968,179.991,4,['cumbia sonidera'],55,91007
11,Amor A Primera Vista,5Myb8S90Wg0yLec5kmrIGJ,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,De Buenos Aires Para El Mundo,2020-08-28,221346,False,14,57,2024-11-06,0.678,0.821,0,-6.017,1,0.0672,0.228,4.79e-05,0.147,0.96,170.164,4,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",79,7820273
12,Mi Potra,50aNYSEuvsp0p20elTwI8W,Grupo Laberinto,24z2EWgF5nVUKnbJHd9ku2,La Historia Continúa,2019-05-31,181401,False,3,64,2024-11-06,0.546,0.437,9,-5.915,1,0.24,0.356,0.0,0.0977,0.857,159.557,3,"['cumbia sonorense', 'musica sonorense', 'norteno', 'tecnobanda', 'tejano']",72,841192
13,Perdonarte ¿Para Qué?,5djlc1fMHiFsSpsQQtopLy,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,Perdonarte ¿Para Qué?,2024-05-23,193933,False,1,57,2024-11-06,0.672,0.701,11,-4.666,0,0.0315,0.171,0.0,0.0473,0.619,90.043,4,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",79,7820273
14,Guaracha Sabrosona,0p88CmD2dgRH9Y52unhHi3,Alberto Pedraza,3TQh6LXI9ADgyZJTT19TeR,Guaracha Sabrosona,2002-11-27,219026,False,1,66,2024-11-06,0.89,0.504,7,-8.819,1,0.0891,0.0275,0.00277,0.0519,0.578,90.454,4,"['cumbia sonidera', 'grupera', 'tropical']",58,224106
15,En La Barra,1SHmwHA6wc5IBECjCoFn8C,Grupo Laberinto,24z2EWgF5nVUKnbJHd9ku2,Para Vivir Contigo,2002-08-16,155144,False,5,65,2024-11-06,0.589,0.468,5,-7.852,1,0.0986,0.507,5.25e-06,0.0315,0.952,181.525,3,"['cumbia sonorense', 'musica sonorense', 'norteno', 'tecnobanda', 'tejano']",72,841192
16,Amor de Internet,0tAxedQQR6bPR26BlfZ8d2,Los Socios Del Ritmo,7bzt5lHL6bzLO3c9mkxNMW,Amor de Internet,2002,230226,False,1,66,2024-11-06,0.786,0.538,7,-8.106,1,0.0602,0.139,0.0,0.0557,0.915,162.833,4,"['cumbia del sureste', 'cumbia sonidera', 'musica campechana', 'ranchera', 'tropical']",65,757403
17,Cómo Te Voy A Olvidar,51dNexiESqcJLsGLrmg1Nv,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,Inolvidables,1996-01-01,267826,False,1,69,2024-11-06,0.672,0.453,11,-7.896,0,0.0557,0.269,2.44e-06,0.138,0.674,83.123,4,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",79,7820273
18,Cumbia Sampuesana,4AwgFDiynuu52p5xtpRlNG,La Luz Roja De San Marcos,5YeFdMPC50VCSc91uYLOGb,Los Exitos Mas Calientes,2010,233717,False,3,62,2024-11-06,0.757,0.666,4,-5.387,0,0.1,0.0418,0.0146,0.025,0.968,97.414,4,"['cumbia salvadorena', 'musica costena']",53,92360
19,El Cadete,0wWKTXhLBoUsq91iGoflqy,Grupo Laberinto,24z2EWgF5nVUKnbJHd9ku2,Pienso en Ti,2009-02-26,179346,False,5,63,2024-11-06,0.709,0.478,8,-4.025,1,0.0655,0.752,0.0,0.0776,0.962,72.546,3,"['cumbia sonorense', 'musica sonorense', 'norteno', 'tecnobanda', 'tejano']",72,841192
20,Afuera,3pJfnBjO3kjudEchcPEDxS,Caifanes,1GImnM7WYVp95431ypofy9,El Nervio Del Volcan,1994,288600,False,1,73,2024-11-06,0.487,0.553,6,-11.197,0,0.0425,0.209,2.81e-05,0.0992,0.699,126.043,4,"['latin alternative', 'latin rock', 'mexican rock', 'nu-cumbia', 'rock en espanol', 'rock urbano mexicano']",74,4048769
21,Tú Y Tú,5cIcX6Rvh34jNviAbGQYiU,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,Se Agradece,2024-04-12,217466,False,1,56,2024-11-06,0.619,0.702,0,-4.422,1,0.0325,0.139,0.0,0.283,0.721,83.972,4,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",79,7820273
22,Suavemente Amor,7bCNS79pv7K9iYtqAo0uIW,Los Yaguarú,1CajkwEgJac9j9alNJJxTQ,Entre Almohadas,2000-01-01,234945,False,5,68,2024-11-06,0.676,0.568,8,-5.398,1,0.0588,0.53,0.0,0.0816,0.867,155.813,4,"['cumbia sonidera', 'grupera', 'musica mexicana', 'tropical']",65,562642
23,Cómo Te Voy A Olvidar,1hxyzHlH7qS3AZdOj6GmIO,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,20 Kilates,2013-01-01,270893,False,1,56,2024-11-06,0.647,0.469,2,-7.63,1,0.0617,0.263,4.4e-06,0.213,0.673,83.037,4,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",79,7820273
24,"Tao, Tao",71J3ktUHU5n0EWAfD7VVFX,Control,69BX3Y0Y9rzA039eZX2hdx,Cumbias Sin Control,1999-01-01,172706,False,8,62,2024-11-06,0.854,0.848,7,-5.93,1,0.041,0.234,6.66e-05,0.0294,0.949,103.32,4,['cumbia sonorense'],57,64256
25,Rumba Cha-Cha-Cha,6Y0Z4tAyI5JwBPVbxKQpXe,Grupo Kual?,4r880LQXdnpTflv3uqV4kX,El Poder De La Cumbia,2006-06-12,283240,False,2,64,2024-11-06,0.826,0.569,10,-10.619,1,0.0409,0.00195,0.000189,0.0636,0.881,97.017,4,"['cumbia sonidera', 'grupera']",58,519055
26,Donde Estaras,3734uAibGyPgZEABdWFVtM,ICC,66UyAOM9ECEDzsfUm9UXeF,Donde Estaras,2016-12-01,223503,False,1,65,2024-11-06,0.738,0.684,0,-5.55,1,0.0343,0.129,6.4e-06,0.266,0.841,90.01,4,['cumbia sonidera'],59,103588
27,Felicidad,5BAbezIjIvHR4VOMECrIv9,Los Socios Del Ritmo,7bzt5lHL6bzLO3c9mkxNMW,Felicidad,2000-01-01,197640,False,1,63,2024-11-06,0.84,0.56,5,-6.173,0,0.0446,0.115,0.0,0.128,0.921,80.042,4,"['cumbia del sureste', 'cumbia sonidera', 'musica campechana', 'ranchera', 'tropical']",65,757403
28,Entrega De Amor,2SNP0sm56HwUvZh7bL66pi,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,Entrega De Amor,1993-01-01,176560,False,1,67,2024-11-06,0.654,0.545,3,-7.322,1,0.0433,0.218,5.08e-05,0.147,0.834,85.795,4,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",79,7820273
29,Viento,6QJCZyJv1fhkCyZA3lRoAD,Caifanes,1GImnM7WYVp95431ypofy9,Caifanes,1988-05-15,236333,False,6,74,2024-11-06,0.586,0.855,11,-5.947,0,0.0327,0.304,0.0,0.129,0.448,124.917,4,"['latin alternative', 'latin rock', 'mexican rock', 'nu-cumbia', 'rock en espanol', 'rock urbano mexicano']",74,4048769
30,El Amor De Mi Vida,3pCkC3Ahgl7MShJbafchZz,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,Se Agradece,2024-04-12,184866,False,2,55,2024-11-06,0.615,0.77,11,-4.067,0,0.0495,0.144,0.0,0.083,0.675,87.992,4,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",79,7820273
31,Otra Noche,6YUYwOLhR01HusDZkttH7k,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,Cumbia Del Corazón,2022-12-02,199266,False,1,55,2024-11-06,0.607,0.715,8,-4.135,1,0.0397,0.378,0.0,0.0433,0.683,92.026,4,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",79,7820273
