,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Metal Storm / Face the Slayer,4C74AnY1AehCfsDaoPfsGs,Slayer,1IQ2e1buppatiN1bxUVkrk,Show No Mercy,1983-12-03,293133,False,5,37,2024-11-06,0.13,0.857,9,-8.366,0,0.0678,1.71e-05,0.563,0.105,0.161,166.231,4,"['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",68,4087110
1,Black Metal,3867OELXCNpXgtLMPRRlNd,Venom,5fwaejlOHVBAw1KhIPPaQe,In League With Satan,1981-01-01,224160,False,12,45,2024-11-06,0.265,0.756,1,-12.136,1,0.0571,0.000939,1.32e-05,0.201,0.444,80.076,4,"['black metal', 'black thrash', 'british black metal', 'death metal', 'metal', 'nwobhm', 'old school thrash', 'speed metal', 'thrash metal']",46,547117
2,Metal Command,0iNQAtJ1hquiS5SnmXJfox,Exodus,76S65NHJHrNy4JTrXHP2BH,Bonded by Blood,1985,253333,False,5,31,2024-11-06,0.183,0.988,0,-5.077,1,0.24,7.05e-05,2.25e-05,0.123,0.0842,154.302,4,"['death metal', 'hard rock', 'metal', 'old school thrash', 'speed metal', 'thrash metal']",52,777262
3,Metall Heiligenschein,7MnfPPqW1gR8RVIdaj0ECx,Scarlet's Remains,0dHj7e9CDSgk0VfA9ViTTH,Scarlet's Remains,2005-01-01,215893,False,4,20,2024-11-06,0.16,0.914,4,-8.044,0,0.0506,2.5e-05,0.183,0.351,0.569,170.183,4,"['deathrock', 'gothic rock']",26,23829
4,Death Metal,4BIxY4hmAvaJJBqGGxfHdJ,Possessed,0ZEpcKtaM4ItvzHJCg5udc,Seven Churches,1985,194666,False,10,34,2024-11-06,0.204,0.989,11,-4.866,1,0.103,3.76e-05,0.000466,0.112,0.0312,100.954,4,"['black metal', 'brutal death metal', 'death metal', 'deathgrind', 'deathrash', 'metal', 'speed metal', 'thrash metal']",37,202227
5,Black Metal,3GlVq6iVOxZJQ8gPm84avl,Venom,5fwaejlOHVBAw1KhIPPaQe,Black Metal,1982-11-01,221693,False,1,35,2024-11-06,0.291,0.758,1,-12.103,1,0.0556,0.000918,6.84e-06,0.291,0.446,80.601,4,"['black metal', 'black thrash', 'british black metal', 'death metal', 'metal', 'nwobhm', 'old school thrash', 'speed metal', 'thrash metal']",46,547117
6,Metallic Crucifixion,5fFMnpqk6NkczDRy6b6YNA,Toxic Holocaust,0WVXlaglIOtQueNbucPjZ0,Hell on Earth,2005-09-10,107920,True,2,21,2024-11-06,0.399,0.995,10,-2.381,0,0.209,1.74e-05,0.000413,0.106,0.136,99.226,4,"['black thrash', 'crossover thrash', 'death metal', 'metal', 'portland metal', 'speed metal', 'thrash metal']",39,153004
7,Metalwrath,49GrAZAi7sxhTa65uwmFJR,Amon Amarth,3pulcT2wt7FEG10lQlqDJL,The Avenger (Bonus Edition),1999,229946,False,6,19,2024-11-06,0.343,0.998,11,-3.464,1,0.0714,5.04e-06,0.727,0.443,0.0458,150.08,4,"['groove metal', 'melodic death metal', 'metal', 'power metal', 'speed metal', 'swedish death metal', 'swedish melodeath', 'swedish metal', 'tolkien metal', 'viking metal']",61,1165243
8,Metal-Step Mayhem Vol.1 [Sample Pack Demo],0e2A2M1U4EmxmTvtDIv5Al,PhaseOne,0mO3Yf5XIPHfAbHh8yWLFk,Metal-Step Mayhem Vol. 1 [Sample Pack Demo],2020-12-09,130800,False,1,12,2024-11-06,0.413,0.931,11,-2.49,0,0.201,0.00033,0.019,0.67,0.425,75.293,4,"['deathstep', 'dubstep', 'filthstep', 'gaming dubstep']",45,124209
9,Metal Heart,2gWvDFPsXwX0fzwxPaTbQk,Dimmu Borgir,6e8ISIsI7UQZPyEorefAhK,Godless Savage Garden,1998-07-13,277200,False,5,24,2024-11-06,0.19,0.948,7,-4.921,1,0.0761,0.00314,0.0273,0.163,0.212,132.035,4,"['black metal', 'gothic metal', 'melodic death metal', 'metal', 'norwegian black metal', 'norwegian metal', 'power metal', 'speed metal', 'symphonic black metal', 'symphonic metal', 'viking metal']",52,536140
10,Metal Command,1DO8TQ9AwwLolxAXcnb7ja,Exodus,76S65NHJHrNy4JTrXHP2BH,Let There Be Blood,2008-10-28,252466,False,5,10,2024-11-06,0.431,0.995,0,-3.974,1,0.171,2.09e-05,0.365,0.408,0.31,155.869,4,"['death metal', 'hard rock', 'metal', 'old school thrash', 'speed metal', 'thrash metal']",52,777262
11,Samurai Metal,7aSY5h1LD6mCm98njuYfsG,RYUJIN,3SUKO4vAKUtulR6t99R1Zk,Samurai Metal,2021-01-27,268181,False,1,27,2024-11-06,0.236,0.976,1,-1.74,1,0.119,7.6e-06,0.872,0.344,0.325,170.002,4,['japanese death metal'],28,27893
12,Solitude,0v3WyEt2g04WFpfVwcnfXm,Candlemass,7zDtfSB0AOZWhpuAHZIOw5,Epicus Doomicus Metallicus,1986,338440,False,1,48,2024-11-06,0.229,0.704,9,-4.692,1,0.0342,0.000135,0.000384,0.15,0.179,74.6,4,"['death metal', 'doom metal', 'epic doom', 'metal', 'opera metal', 'speed metal', 'stoner metal', 'swedish doom metal', 'swedish metal']",46,252946
13,Sheet Metal Girl,5rtuwWOYLg4ptqGOjLlHZw,Pig Destroyer,4raqfuxaWjPjrOQGb6zoa7,Prowler In the Yard,2001-07-24,69080,True,13,21,2024-11-06,0.26,0.999,10,-1.617,0,0.124,8.93e-06,0.000225,0.0686,0.0381,128.369,4,"['american grindcore', 'death metal', 'deathgrind', 'grindcore', 'sludge metal', 'virginia metal']",40,107840
14,Metal Heart,3A0LMdGW7KtHpMfLUzHRII,Dimmu Borgir,6e8ISIsI7UQZPyEorefAhK,Inspiratio Profanus,2023-12-08,278864,False,7,20,2024-11-06,0.186,0.922,7,-6.375,1,0.0669,0.00125,0.00834,0.111,0.261,132.639,4,"['black metal', 'gothic metal', 'melodic death metal', 'metal', 'norwegian black metal', 'norwegian metal', 'power metal', 'speed metal', 'symphonic black metal', 'symphonic metal', 'viking metal']",52,536140
15,Don't Burn the Witch,7rLqQQUXxvxqjuXbf7fVVw,Venom,5fwaejlOHVBAw1KhIPPaQe,Black Metal,1982-11-01,197906,False,10,43,2024-11-06,0.39,0.752,1,-11.051,1,0.0385,0.0117,8.91e-05,0.377,0.269,97.549,4,"['black metal', 'black thrash', 'british black metal', 'death metal', 'metal', 'nwobhm', 'old school thrash', 'speed metal', 'thrash metal']",46,547117
16,Metal Church,5Zp0bCVkDS8W6onwYhIx5P,Panzerchrist,3Fh6l5AkN3JYmUMIRw86PI,Room Service,2003,288288,False,7,14,2024-11-06,0.487,0.94,3,-6.229,1,0.0651,8.09e-06,0.875,0.098,0.0731,109.99,4,"['danish death metal', 'danish metal']",18,10003
17,Metal Malóka,3pGjdNmcVEbSzsyv86ssvV,Claustrofobia,6qQ1oR8882plR1Iwfuh179,Peste,2011,212400,True,2,17,2024-11-06,0.214,0.998,4,-1.78,0,0.324,0.228,7.83e-06,0.342,0.055,74.602,4,"['brazilian death metal', 'brazilian metal', 'brazilian thrash metal']",24,22181
18,Black Metal,4I9cPT95zFZxQASHIIDOyt,Vader,2s5DSt9VBNzAn2TbtDHzFZ,Necropolis,2009-08-21,193693,False,12,27,2024-11-06,0.423,0.993,11,-2.664,1,0.145,1.32e-05,0.0144,0.919,0.32,169.826,4,"['black metal', 'brutal death metal', 'death metal', 'deathgrind', 'deathrash', 'melodic death metal', 'metal', 'polish death metal', 'polish metal', 'polish thrash metal', 'speed metal', 'technical death metal']",42,244004
19,Metal Attack,56rD3xUqcoNCcg6UDOwQIG,Toxic Holocaust,0WVXlaglIOtQueNbucPjZ0,From the Ashes of Nuclear Destruction,2013-06-06,220656,True,2,11,2024-11-06,0.226,0.983,4,-7.62,1,0.117,0.00452,0.061,0.755,0.135,182.022,4,"['black thrash', 'crossover thrash', 'death metal', 'metal', 'portland metal', 'speed metal', 'thrash metal']",39,153004
20,Black Metal,7EOQkhF7XjesdoSFn9x10Y,Dimmu Borgir,6e8ISIsI7UQZPyEorefAhK,Inspiratio Profanus,2023-12-08,205115,False,1,27,2024-11-06,0.119,0.979,6,-6.516,0,0.118,0.000118,0.00168,0.393,0.04,169.625,4,"['black metal', 'gothic metal', 'melodic death metal', 'metal', 'norwegian black metal', 'norwegian metal', 'power metal', 'speed metal', 'symphonic black metal', 'symphonic metal', 'viking metal']",52,536140
