,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Build My Life,0QatL1szZzMTAfZoJKWo0s,Housefires,6egyCFgiJ1j941PaxKoWJD,Housefires III,2016-08-12,491690,False,8,62,2024-11-06,0.303,0.478,7,-7.851,1,0.035,0.371,0.0,0.131,0.117,139.838,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
1,I Thank God,7GJeMVJbLzRgNuabsQ8RXt,Housefires,6egyCFgiJ1j941PaxKoWJD,How To Start A Housefire (Pt. II),2023-04-21,232855,False,2,62,2024-11-06,0.504,0.818,1,-5.002,1,0.0411,0.0158,0.0,0.046,0.192,129.066,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
2,"The House Of God, Forever",11DoHAnnLO1kK2FTyzs5Uv,Jon Foreman,5D3h9ZoobhetjXw3dKhcaq,Limbs & Branches,2008-10-28,283986,False,7,42,2024-11-06,0.646,0.2,0,-14.412,1,0.0359,0.899,0.00182,0.0726,0.238,121.064,4,"['acoustic pop', 'christian uplift', 'deep ccm', 'indiecoustica']",46,138338
3,The Father's House (Studio),79b4FaEBPxwG2lVzYpvKoy,Cory Asbury,2gXmjQIxCO8lMnSncluZaU,The Father's House (Studio),2020-01-31,253640,False,1,59,2024-11-06,0.403,0.705,1,-5.401,1,0.0354,0.191,0.0,0.626,0.335,161.958,4,"['ccm', 'deep ccm', 'worship']",64,636317
4,House on a Hill,0PdB0aUkR6u5Dkgtqz8Hjk,Amanda Cook,53Gnd3lGlcL8ua9Yyu9xDP,House on a Hill,2019-03-29,364480,False,5,40,2024-11-06,0.48,0.0729,10,-14.602,1,0.0559,0.957,0.0,0.0965,0.234,111.973,4,"['canadian ccm', 'ccm', 'deep ccm', 'world worship', 'worship']",52,129677
5,House Of Cards,6dCF9KJngOrJCmMuxFmBx1,Lucas Estrada,2tndYCXQneCV4jtoWRwVpz,House Of Cards,2023-11-03,156885,False,1,49,2024-11-06,0.749,0.739,9,-6.669,0,0.0303,0.025,4.48e-05,0.215,0.833,120.021,4,"['deep pop edm', 'swedish tropical house']",64,127660
6,Doll House,6U8ckPIrR0xi2a4BdtHDJk,Del Water Gap,0xPoVNPnxIIUS1vrxAYV00,I Miss You Already + I Haven’t Left Yet,2023-09-29,191000,False,5,53,2024-11-06,0.689,0.644,9,-8.026,1,0.031,0.29,5.47e-05,0.0842,0.506,119.971,4,"['deep new americana', 'indie pop', 'pov: indie']",63,226416
7,Household Name,4tY2meWC8nEiPWfQfq8QOm,Token,4cUfFbVZGSsJWdbfmkdxYq,Between Somewhere,2018-12-07,198522,True,2,41,2024-11-06,0.779,0.642,5,-8.019,0,0.333,0.165,2.52e-06,0.181,0.608,112.892,4,"['boston hip hop', 'deep underground hip hop', 'indie pop rap']",51,465915
8,Yes and Amen,4I0sFRRo4yrb86f4hD5V3B,Housefires,6egyCFgiJ1j941PaxKoWJD,Housefires III,2016-08-12,426715,False,5,51,2024-11-06,0.494,0.521,2,-6.721,1,0.029,0.319,0.0,0.67,0.188,72.011,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
9,I Thank God,2ALhy6p03JCxOy8UD29E9F,Housefires,6egyCFgiJ1j941PaxKoWJD,I Thank God,2023-04-07,232855,False,1,54,2024-11-06,0.504,0.818,1,-5.002,1,0.0411,0.0158,0.0,0.046,0.192,129.066,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
10,On and On,3AYEtQccJCFiOQVTD8bazY,Housefires,6egyCFgiJ1j941PaxKoWJD,Housefires III,2016-08-12,481629,False,11,48,2024-11-06,0.389,0.629,2,-6.451,1,0.0343,0.454,1.55e-06,0.519,0.25,138.016,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
11,The Father's House,6rSn6oKu6TWrJPPJBXOZ2M,Cory Asbury,2gXmjQIxCO8lMnSncluZaU,To Love a Fool,2020-07-31,245740,False,10,53,2024-11-06,0.539,0.522,1,-7.315,1,0.0456,0.207,5.34e-06,0.0768,0.53,162.065,4,"['ccm', 'deep ccm', 'worship']",64,636317
12,Good Good Father,4OjHgLCOPInkqtGEzRbEhH,Housefires,6egyCFgiJ1j941PaxKoWJD,Housefires II,2014-09-09,485698,False,7,46,2024-11-06,0.258,0.571,9,-8.081,1,0.0414,0.635,0.0,0.141,0.178,144.837,3,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
13,Lift You High - Live,39ssH6XDc7GGq6FDnENkjf,Housefires,6egyCFgiJ1j941PaxKoWJD,Housefires + Friends (Live),2020-07-03,477513,False,1,47,2024-11-06,0.274,0.534,9,-8.44,1,0.0434,0.385,6.17e-05,0.0984,0.162,143.832,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
14,House Of The Blue Green Buddha,6xRx2qldUgn5IZVtsBNf9W,Susto,7foyQbi7GKriLiv1GPVEwt,Ever Since I Lost My Mind,2019-02-22,172853,False,7,32,2024-11-06,0.619,0.535,10,-7.831,1,0.0265,0.101,0.536,0.112,0.367,76.967,3,"['deep new americana', 'south carolina indie']",47,48703
15,Praise Is The Breakthrough,6XtE7xTr9ME1EMw5aqcPzu,Housefires,6egyCFgiJ1j941PaxKoWJD,Chapel Sessions (Vol. 1),2024-10-25,321859,False,1,45,2024-11-06,0.384,0.555,9,-4.178,1,0.0336,0.749,0.0,0.131,0.387,139.324,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
16,Open Space,2PR4j0Rf0LufyEjYQhe9bY,Housefires,6egyCFgiJ1j941PaxKoWJD,We Say Yes,2017-06-02,456981,False,12,50,2024-11-06,0.319,0.229,2,-10.504,1,0.0323,0.889,0.000165,0.11,0.146,123.832,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
17,Come to the River,3EcEIEte6NIaZuB837v3Ox,Housefires,6egyCFgiJ1j941PaxKoWJD,Housefires II,2014-09-09,560963,False,2,43,2024-11-06,0.267,0.585,7,-7.433,1,0.0366,0.527,2.41e-05,0.524,0.215,139.071,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
18,Holy Forever,3tyEyB50j68AgMz9PBkLdQ,Housefires,6egyCFgiJ1j941PaxKoWJD,Chapel Sessions (Vol. 1),2024-10-25,390000,False,4,41,2024-11-06,0.36,0.318,3,-4.674,1,0.0332,0.757,0.0,0.108,0.283,101.073,3,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
19,Authority (In The Name of Jesus),5gbqqHkccI0f5NucWRbACG,Housefires,6egyCFgiJ1j941PaxKoWJD,Chapel Sessions (Vol. 1),2024-10-25,333747,False,2,40,2024-11-06,0.521,0.557,8,-2.913,1,0.0295,0.448,0.0,0.112,0.217,156.09,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
20,Trust In God,71RvX0YIxJTiOebVvFEkWk,Housefires,6egyCFgiJ1j941PaxKoWJD,Chapel Sessions (Vol. 1),2024-10-25,319169,False,3,40,2024-11-06,0.367,0.465,0,-4.205,1,0.0332,0.613,0.0,0.108,0.238,106.577,3,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
21,Jesus What a Savior,6DVYgiooZWKcpPljw8cfLu,Housefires,6egyCFgiJ1j941PaxKoWJD,We Say Yes,2017-06-02,417558,False,6,47,2024-11-06,0.503,0.334,11,-7.356,1,0.0266,0.817,1.73e-06,0.202,0.193,138.004,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
22,Holy Forever - Spontaneous,2DFszDJT2nP0ffuCYtFF9F,Housefires,6egyCFgiJ1j941PaxKoWJD,Chapel Sessions (Vol. 1),2024-10-25,218333,False,5,40,2024-11-06,0.346,0.313,3,-5.737,1,0.0314,0.783,0.0,0.143,0.265,141.886,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
23,The Story I'll Tell,3auFpz0SEnb0NypnCPp41n,Housefires,6egyCFgiJ1j941PaxKoWJD,Chapel Sessions (Vol. 1),2024-10-25,398967,False,6,38,2024-11-06,0.337,0.325,7,-6.504,1,0.0307,0.721,0.0,0.0966,0.232,72.008,3,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
24,This Love,384rQPHdw9WlMVkf13RPQC,Housefires,6egyCFgiJ1j941PaxKoWJD,Housefires II,2014-09-09,589919,False,10,40,2024-11-06,0.292,0.395,5,-10.039,1,0.0377,0.524,0.0,0.122,0.224,134.125,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
25,If I Could Have Anything,7sH8zeRLZk4ub2SfUxKEwO,Housefires,6egyCFgiJ1j941PaxKoWJD,How To Start A Housefire,2023-01-27,430120,False,9,47,2024-11-06,0.295,0.325,10,-8.507,1,0.0308,0.459,0.0,0.0907,0.224,142.704,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
26,If I Could Have Anything,1Ujc3cNf2JxHHhoLjzHRbL,Housefires,6egyCFgiJ1j941PaxKoWJD,If I Could Have Anything,2023-01-06,430120,False,1,47,2024-11-06,0.295,0.325,10,-8.507,1,0.0308,0.459,0.0,0.0907,0.224,142.704,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
27,House Hunters,4Kl63vqz09p2BYoFad4L39,Kathleen Madigan,1pA1nRkXRM0pzpZ5BhTcOJ,Bothering Jesus,2022-08-26,121682,False,20,24,2024-11-06,0.483,0.878,6,-6.008,0,0.566,0.769,0.0,0.97,0.471,121.317,3,"['comedienne', 'comedy', 'deep comedy']",41,23823
28,Joy,6MW4jPhe9keeRbw80jJEbW,Housefires,6egyCFgiJ1j941PaxKoWJD,Housefires II,2014-09-09,375304,False,11,36,2024-11-06,0.465,0.96,2,-6.692,1,0.122,0.136,0.0,0.347,0.346,169.963,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
29,Look Around,45MwQxfmmHhYFGQuyPOpt3,Housefires,6egyCFgiJ1j941PaxKoWJD,How To Start A Housefire (Pt. II),2023-04-21,441106,False,3,42,2024-11-06,0.387,0.419,7,-8.701,1,0.032,0.669,0.0,0.21,0.387,137.799,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
30,The House Of The Rising Sun - The Voice Performance,4zlwJ9DZgPKAwwiaAlRlVz,Jacquie,0SuQEAJ7EMAipBdrAYO4XS,The Complete Season 5 Collection (The Voice Performance),2014-01-01,202257,False,2,25,2024-11-06,0.311,0.568,8,-3.891,1,0.0354,0.0561,1.93e-06,0.111,0.0891,108.74,3,['deep talent show'],33,29574
31,The Way (New Horizon),5KrewqDNRC9lNe3Aj9ameN,Housefires,6egyCFgiJ1j941PaxKoWJD,We Say Yes,2017-06-02,425184,False,1,42,2024-11-06,0.358,0.519,10,-6.144,1,0.0349,0.33,0.0,0.379,0.466,105.166,5,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
32,House Of Cards,3I5ruHyI6nLealSBcTgLsL,Steerner,1TMa2M8BSbJP1rqX83wALz,House Of Cards,2024-09-13,128703,False,1,43,2024-11-06,0.661,0.757,7,-8.152,1,0.0424,0.331,0.0,0.16,0.356,129.98,4,"['deep pop edm', 'progressive electro house']",39,29575
33,Only Jesus,5xMD8CYZ9VbQS43Yr8JlFC,Housefires,6egyCFgiJ1j941PaxKoWJD,Only Jesus,2022-10-21,624840,False,1,41,2024-11-06,0.333,0.31,11,-9.285,1,0.0319,0.829,0.0,0.0671,0.232,133.03,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
34,I’ll Give Thanks - Live,1ZKcVesXe4R24dE33vCbFc,Housefires,6egyCFgiJ1j941PaxKoWJD,Housefires V (Live),2019-07-12,536653,False,1,37,2024-11-06,0.424,0.636,4,-7.532,1,0.0451,0.372,0.0,0.105,0.225,75.046,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
35,House of Lords,7n7Eu0uVp0sVE1iLPMkrPr,Bart Skils,6iWBjg4b4ll4jLiParnWXT,Shades of Summer,2022-02-11,241832,False,2,38,2024-11-06,0.743,0.904,6,-6.647,1,0.107,0.105,0.844,0.0693,0.162,131.011,4,"['deep minimal techno', 'minimal techno']",46,58002
36,Housebroken Man,1LqsC52W6xIfohpYXYyhYA,Quiet Life,13MdjUqnWNyfY4qKYQ9OPl,Housebroken Man,2014-08-12,226373,False,1,25,2024-11-06,0.6,0.83,7,-5.641,1,0.0872,0.0735,2.24e-05,0.0923,0.643,77.529,4,"['deep new americana', 'new americana']",23,9370
37,Can't Nobody,4VHbqmB4SsC0CNxwywMYO9,Housefires,6egyCFgiJ1j941PaxKoWJD,How To Start A Housefire (Pt. II),2023-04-21,368000,False,1,43,2024-11-06,0.304,0.555,5,-7.003,1,0.0691,0.109,0.0,0.59,0.44,169.132,4,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
38,Aya - THEMBA's Herd Remix,3GpHjXjwvoohxCit270wwR,Infinity Ink,4aulLg9UvpHY9dIRqr30Qh,House Of Infinity,2021-12-17,171428,False,4,54,2024-11-06,0.713,0.637,4,-9.0,0,0.0359,0.167,0.849,0.158,0.46,120.992,4,"['deep disco house', 'house']",43,23516
39,See Your Face,24PBWL1YKsFgGcj4zGDjbL,Housefires,6egyCFgiJ1j941PaxKoWJD,Housefires II,2014-09-09,198646,False,9,35,2024-11-06,0.221,0.425,5,-9.492,1,0.0363,0.738,0.0,0.236,0.256,89.868,5,"['ccm', 'deep ccm', 'world worship', 'worship']",60,397939
40,House Of The Rising Sun - The Voice Performance,1WLyghilazKtpOTwJkskXC,Hannah Huston,4r8lFKdMmYGN1Ayywk9lce,The Complete Season 10 Collection (The Voice Performance),2016-05-25,203453,False,3,22,2024-11-06,0.447,0.765,6,-4.019,1,0.0334,0.144,0.0149,0.109,0.32,113.84,3,['deep talent show'],14,6554
