,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Green Machine,6nxHMqTNKWlQnx5AFxz1iX,Kyuss,3HCpwNmFp2rvjkdjTs4uxs,Blues for the Red Sun,1992-01-01,217906,False,2,51,2024-11-06,0.497,0.947,0,-8.802,1,0.0391,8.21e-05,0.000693,0.118,0.588,90.371,4,"['alternative metal', 'grunge', 'palm desert scene', 'sludge metal', 'stoner metal', 'stoner rock']",51,495148
1,Thumb,4G9nfjycMbM4beqEheM145,Kyuss,3HCpwNmFp2rvjkdjTs4uxs,Blues for the Red Sun,1992-01-01,281906,False,1,40,2024-11-06,0.29,0.604,0,-16.359,1,0.047,0.145,0.672,0.196,0.185,125.144,4,"['alternative metal', 'grunge', 'palm desert scene', 'sludge metal', 'stoner metal', 'stoner rock']",51,495148
2,Molten Universe,66i8MjAq8kyUobMzo8zYNc,Kyuss,3HCpwNmFp2rvjkdjTs4uxs,Blues for the Red Sun,1992-01-01,169573,False,3,38,2024-11-06,0.261,0.478,5,-17.875,1,0.0345,0.0299,0.928,0.22,0.131,167.494,4,"['alternative metal', 'grunge', 'palm desert scene', 'sludge metal', 'stoner metal', 'stoner rock']",51,495148
3,50 Million Year Trip (Downside Up),1rcdPPsFokyqj8KF51xCHV,Kyuss,3HCpwNmFp2rvjkdjTs4uxs,Blues for the Red Sun,1992-01-01,349133,False,4,37,2024-11-06,0.201,0.837,5,-10.53,0,0.039,0.000173,0.897,0.187,0.502,82.065,4,"['alternative metal', 'grunge', 'palm desert scene', 'sludge metal', 'stoner metal', 'stoner rock']",51,495148
4,Capsized,4NrOXecpvKxTkN4nbPQ6my,Kyuss,3HCpwNmFp2rvjkdjTs4uxs,Blues for the Red Sun,1992-01-01,55666,False,11,39,2024-11-06,0.66,0.275,8,-20.194,0,0.0889,0.656,0.718,0.0856,0.0435,123.363,4,"['alternative metal', 'grunge', 'palm desert scene', 'sludge metal', 'stoner metal', 'stoner rock']",51,495148
5,Writhe,0ZDXI91Cf66bJRs3oG12xt,Kyuss,3HCpwNmFp2rvjkdjTs4uxs,Blues for the Red Sun,1992-01-01,222293,False,10,33,2024-11-06,0.41,0.662,2,-15.201,0,0.0308,0.0164,0.627,0.436,0.602,86.25,4,"['alternative metal', 'grunge', 'palm desert scene', 'sludge metal', 'stoner metal', 'stoner rock']",51,495148
6,Blues,7qoLEjeevavXnQVSyyKJeD,Fatoumata Diawara,4G5ZJny3HvX6Il7eHVfnNC,London Ko,2023-05-12,161958,False,7,23,2024-11-06,0.52,0.728,8,-9.83,0,0.0318,0.108,0.23,0.152,0.963,150.017,4,"['afropop', 'desert blues', 'malian blues', 'mande pop', 'wassoulou', 'world']",53,269719
7,Thong Song,4K9umAd9TkXbPld2Bx4v8c,Kyuss,3HCpwNmFp2rvjkdjTs4uxs,Blues for the Red Sun,1992-01-01,227133,False,5,32,2024-11-06,0.365,0.465,0,-14.888,1,0.0434,0.00278,0.0219,0.222,0.453,93.688,4,"['alternative metal', 'grunge', 'palm desert scene', 'sludge metal', 'stoner metal', 'stoner rock']",51,495148
8,Phantasmagoria Blues,1UsUjgxG2nFa6GgG2KND5g,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,Blues Funeral,2012-02-06,195960,False,7,27,2024-11-06,0.562,0.47,5,-10.7,1,0.0299,0.533,0.0846,0.156,0.267,107.963,4,"['acoustic rock', 'garage rock', 'palm desert scene']",50,267241
9,Caterpillar March,7pZzHuO7AmnmJzw4iSR8Mb,Kyuss,3HCpwNmFp2rvjkdjTs4uxs,Blues for the Red Sun,1992-01-01,116066,False,7,31,2024-11-06,0.207,0.744,5,-15.347,0,0.0352,0.0134,0.748,0.104,0.654,120.496,4,"['alternative metal', 'grunge', 'palm desert scene', 'sludge metal', 'stoner metal', 'stoner rock']",51,495148
