,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,My Girl,745H5CctFr12Mo7cqa1BMH,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,The Temptations Sing Smokey,1965-03-22,165000,False,3,80,2024-11-06,0.574,0.418,0,-10.739,1,0.0345,0.636,0.0,0.0961,0.692,104.57,4,"['classic soul', 'disco', 'memphis soul', 'motown', 'soul']",69,3033408
1,September,3kXoKlD84c6OmIcOLfrfEs,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,September (sped up + slowed),1978-11-18,216022,False,1,82,2024-11-06,0.674,0.832,9,-7.892,1,0.0308,0.146,5.06e-06,0.138,0.981,125.996,4,"['disco', 'funk', 'jazz funk', 'motown', 'soul']",76,4507957
2,Super Freak,2dCmGcEOQrMQhMMS8Vj7Ca,Rick James,0FrpdcVlJQqibaz5HfBUrL,Street Songs (Deluxe Edition),1981-04-07,205466,False,5,76,2024-11-06,0.838,0.794,9,-8.245,0,0.0531,0.22,0.0,0.0575,0.962,132.446,4,"['disco', 'funk', 'motown', 'p funk', 'quiet storm', 'soul', 'synth funk']",65,1249414
3,Let's Groove,3koCCeSaVUyrRo3N2gHrd8,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,Raise!,1981-11-14,339320,False,1,75,2024-11-06,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,4,"['disco', 'funk', 'jazz funk', 'motown', 'soul']",76,4507957
4,Easy,1JQ6Xm1JrvHfvAqhl5pwaA,Commodores,6twIAGnYuIT1pncMAsXnEm,Commodores,1977-01-01,256426,False,9,75,2024-11-06,0.591,0.387,10,-15.077,0,0.0334,0.111,3.23e-05,0.0596,0.358,132.921,4,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",66,1940782
5,"I Can't Help Myself (Sugar Pie, Honey Bunch)",6b6IMqP565TbtFFZg9iFf3,Four Tops,7fIvjotigTGWqjIz6EP1i4,Four Tops - Second Album,1965,160280,False,1,74,2024-11-06,0.667,0.599,0,-8.894,1,0.0291,0.245,0.0,0.107,0.971,127.935,4,"['classic soul', 'disco', 'motown', 'quiet storm', 'soul']",65,1158653
6,Lady - Hear Me Tonight,49X0LAl6faAusYq02PRAY6,Modjo,0AkpPlFLnr0VQwZQeMGht0,Modjo (Remastered),2001,307153,False,3,77,2024-11-06,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4,"['disco house', 'filter house']",65,232158
7,More Than A Woman,49OMJ1prsRA7ZYgrAjz70c,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Greatest,1979-01-01,197213,False,4,76,2024-11-06,0.632,0.683,7,-6.434,1,0.0385,0.163,0.00013,0.847,0.701,105.959,4,"['disco', 'mellow gold', 'soft rock']",79,8283107
8,Best of My Love,2M2WJ7gBlcKNxdhyfPp9zY,The Emotions,64CuUOOirKmdAYLQSfaOyr,Rejoice,1977-06-10,220560,False,1,72,2024-11-06,0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,4,"['chicago soul', 'classic soul', 'disco', 'funk', 'girl group', 'motown', 'post-disco', 'quiet storm', 'soul', 'southern soul']",66,587635
9,Boogie Wonderland,6ztstiyZL6FXzh4aG46ZPD,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,I Am,1979-06,288293,False,5,76,2024-11-06,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,4,"['disco', 'funk', 'jazz funk', 'motown', 'soul']",76,4507957
10,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",3mRM4NM8iO7UBqrSigCQFH,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Greatest,1979-01-01,285373,False,5,75,2024-11-06,0.703,0.827,10,-7.179,0,0.0343,0.032,0.00636,0.179,0.944,103.564,4,"['disco', 'mellow gold', 'soft rock']",79,8283107
11,How Deep Is Your Love,2JoZzpdeP2G6Csfdq5aLXP,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Greatest,1979-01-01,245200,False,6,77,2024-11-06,0.633,0.357,5,-9.366,0,0.0264,0.107,0.0,0.133,0.672,104.938,4,"['disco', 'mellow gold', 'soft rock']",79,8283107
12,September,2grjqo0Frpf2okIBiifQKs,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,"The Best Of Earth, Wind & Fire Vol. 1",1978-11-23,215093,False,7,73,2024-11-06,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4,"['disco', 'funk', 'jazz funk', 'motown', 'soul']",76,4507957
13,Play That Funky Music,5uuJruktM9fMdN9Va0DUMl,Wild Cherry,4apX9tIeHb85yPyy4F6FJG,Wild Cherry,1976,300000,False,1,69,2024-11-06,0.814,0.672,9,-12.068,1,0.0619,0.0435,0.0,0.061,0.933,109.394,4,"['disco', 'funk rock']",56,182619
14,This Will Be (An Everlasting Love),0PDCewmZCp0P5s00bptcdd,Natalie Cole,5tTsrGPwQRWUsHR2Xf7Ke9,Inseparable,1975-01-01,171960,False,5,72,2024-11-06,0.685,0.623,8,-11.146,1,0.042,0.228,0.00234,0.0295,0.896,126.739,4,"['adult standards', 'disco', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",64,651843
15,"World, Hold On - FISHER Rework",6quGF3Kvzd5WYEEuCmvCe1,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,"World, Hold On (FISHER Rework)",2022-09-02,178304,False,1,65,2024-11-06,0.772,0.882,1,-5.242,0,0.0589,0.00614,0.00627,0.136,0.891,127.006,4,"['disco house', 'filter house']",73,657039
16,You Can't Hurry Love,1OppEieGNdItZbE14gLBEv,The Supremes,57bUPid8xztkieZfS7OlEV,The Supremes A' Go-Go (Expanded Edition),1966-08-25,167933,False,15,72,2024-11-06,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.915,4,"['adult standards', 'classic girl group', 'classic soul', 'disco', 'motown', 'soul']",64,1731553
17,"Night Fever - From ""Saturday Night Fever"" Soundtrack",5KgbyD2lQQlIupAaPjgiXg,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Greatest,1979-01-01,212253,False,2,72,2024-11-06,0.733,0.795,1,-7.224,0,0.0249,0.0263,0.000952,0.083,0.892,109.121,4,"['disco', 'mellow gold', 'soft rock']",79,8283107
18,I'm So Excited,1ot6jEe4w4hYnsOPjd3xKQ,The Pointer Sisters,2kreKea2n96dXjcyAU9j5N,So Excited! (Expanded Edition),1982-02-01,230640,False,1,74,2024-11-06,0.59,0.868,5,-5.832,0,0.048,0.0962,0.000322,0.442,0.798,184.348,4,"['disco', 'girl group', 'hi-nrg', 'motown', 'new wave pop', 'soft rock']",65,1072825
19,You Sexy Thing,714hERk9U1W8FMYkoC83CO,Hot Chocolate,72VzFto8DYvKHocaHYNWSi,Hot Chocolate,1975,244920,False,5,71,2024-11-06,0.791,0.733,5,-5.465,1,0.0633,0.523,0.0016,0.167,0.962,105.853,4,['disco'],60,298014
20,Never Walk Alone,4HB7ECLzrbgapiZyLlFbxz,BLOND:ISH,6zsJjoCtL1WByG0VsuFWzR,Never Walk Alone,2024-08-02,188360,False,1,71,2024-11-06,0.853,0.594,6,-6.823,0,0.0371,0.052,0.134,0.0469,0.83,129.995,4,"['deep disco house', 'melodic house']",64,122235
21,Stayin Alive,5ubvP9oKmxLUVq506fgLhk,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,How Can You Mend A Broken Heart,2020-12-11,285373,False,1,70,2024-11-06,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,4,"['disco', 'mellow gold', 'soft rock']",79,8283107
22,Boogie Shoes - 2004 Remaster,37d8O4cIq36tssCoJnhJxg,KC & The Sunshine Band,3mQBpAOMWYqAZyxtyeo4Lo,KC & the Sunshine Band,1975,132040,False,4,61,2024-11-06,0.931,0.801,4,-10.725,1,0.0548,0.496,0.379,0.0563,0.971,119.533,4,"['disco', 'mellow gold', 'new wave pop', 'soft rock', 'soul']",65,1056023
