,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,"December, 1963 (Oh What a Night!)",1hQFF33xi8ruavZNyovtUN,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,Who Loves You,1975,197146,False,6,74,2024-11-06,0.737,0.495,1,-13.489,1,0.027,0.0588,9.12e-06,0.0542,0.967,104.409,4,"['adult standards', 'bubblegum pop', 'doo-wop', 'lounge', 'northern soul', 'rock-and-roll', 'rockabilly']",65,662088
1,I Only Have Eyes for You,3YdKJzcoMZMacISlpY4QoP,The Flamingos,6iygtKnPG7TRvDaTYcLOd6,Flamingo Serenade,1959-08-11,202773,False,1,66,2024-11-06,0.552,0.313,5,-12.41,1,0.0296,0.916,0.0017,0.12,0.303,88.554,3,['doo-wop'],53,85228
2,Runaround Sue,1DndHckdH9m5rp6gYP086b,Dion,15FyiY3ChN0QRspHIQYq0W,Runaround Sue,1961,171600,False,1,67,2024-11-06,0.364,0.607,2,-9.791,1,0.125,0.451,0.0,0.251,0.598,79.987,4,"['doo-wop', 'rock-and-roll', 'rockabilly']",60,216426
3,Under the Boardwalk,65jrjEhWfAvysKfnojk1i0,The Drifters,1FqqOl9itIUpXr4jZPIVoT,Under the Boardwalk,1964-06-01,161960,False,2,66,2024-11-06,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792,4,"['adult standards', 'classic soul', 'doo-wop', 'rock-and-roll', 'rockabilly', 'soul']",61,558709
4,Sh-Boom,2drXvACELcvwryaFRiRPdA,The Chords,2iSZ41LUUYVcz5At9Xuz7T,Life Could Be a Dream: The Sh-Boom Sound of The Chords,2022-11-18,144493,False,1,61,2024-11-06,0.655,0.515,5,-7.726,1,0.0452,0.612,0.0,0.228,0.885,136.683,4,['doo-wop'],53,45346
5,Love Potion No. 9 - Remastered / Single Version,5ytPMYb6dkoli8sNSEsdmZ,The Clovers,0ckkj0a9CvIJr4h84B0OlN,The Best Of The Clovers (Love Potion No. 9),1991-08-10,113200,False,1,59,2024-11-06,0.738,0.451,7,-12.949,1,0.146,0.572,0.0,0.175,0.793,128.853,4,"['doo-wop', 'rhythm and blues', 'rock-and-roll']",49,49087
6,The Wanderer,3v8d3ku3kiTZVPxEt7a2dE,Dion,15FyiY3ChN0QRspHIQYq0W,Runaround Sue,1961,168640,False,5,62,2024-11-06,0.59,0.546,7,-10.213,1,0.0436,0.301,0.0,0.0936,0.855,114.04,4,"['doo-wop', 'rock-and-roll', 'rockabilly']",60,216426
7,Will You Love Me Tomorrow,4QMvxtZGcmvwWtmmoiRs5B,The Shirelles,0x83OBqixqdCHnStP5VMcn,Will You Still Love Me Tomorrow,2005,160320,False,1,64,2024-11-06,0.513,0.379,0,-9.679,1,0.0314,0.686,2.62e-05,0.417,0.509,135.756,4,"['classic girl group', 'classic soul', 'doo-wop', 'motown', 'rock-and-roll', 'soul']",54,322123
8,Sherry,7sqK6f8dHVx3Q1GjFrVyGl,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,Sherry and 11 Other Hits,1962-10-01,152160,False,12,60,2024-11-06,0.701,0.471,0,-8.072,1,0.0421,0.647,0.0,0.125,0.69,117.564,4,"['adult standards', 'bubblegum pop', 'doo-wop', 'lounge', 'northern soul', 'rock-and-roll', 'rockabilly']",65,662088
9,A Teenager In Love,0QGwOFQChzflLAmPq5NwKo,Dion & The Belmonts,2loYllWFfoWpoxC5YrJKc4,Presenting Dion And The Belmonts,1959-01-01,158253,False,7,61,2024-11-06,0.555,0.377,1,-9.123,1,0.0295,0.671,0.0,0.128,0.619,78.986,4,"['brill building pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",52,216598
