,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Metal Movie Marijuana Massacre Meltdown,2TModwRteQteAR5usUsNSa,Acid Witch,2oSfMWbje3XOK5QvxljrdB,Stoned,2011-01-18,203200,False,9,23,2024-11-06,0.392,0.884,6,-3.975,0,0.0693,9.78e-05,0.715,0.0779,0.413,119.404,4,"['black sludge', 'doom metal', 'sludge metal']",32,37435
1,House of Metal,4xTfQPuQR1VulbeAn63cgX,Chelsea Wolfe,6ZK2nrW8aCTg8Bid7I7N10,Pain Is Beauty,2013-09-03,300395,False,3,38,2024-11-06,0.518,0.543,4,-9.253,0,0.0291,0.0137,0.858,0.112,0.0347,122.991,4,"['dark pop', 'doomgaze', 'gaian doom', 'sacramento indie']",52,326868
2,Waiting for Black Metal Records to Come in the Mail,3uIA46kBcrbOII0DEXFfkI,Have A Nice Life,0FRKTwQSToXpCxYMhyUzYY,Deathconsciousness,2008-01-01,375000,False,8,39,2024-11-06,0.33,0.78,1,-6.512,0,0.0374,0.00344,0.407,0.363,0.0538,77.489,4,"['blackgaze', 'doomgaze', 'dream pop', 'nu gaze']",55,422228
3,Solitude,0v3WyEt2g04WFpfVwcnfXm,Candlemass,7zDtfSB0AOZWhpuAHZIOw5,Epicus Doomicus Metallicus,1986,338440,False,1,48,2024-11-06,0.229,0.704,9,-4.692,1,0.0342,0.000135,0.000384,0.15,0.179,74.6,4,"['death metal', 'doom metal', 'epic doom', 'metal', 'opera metal', 'speed metal', 'stoner metal', 'swedish doom metal', 'swedish metal']",46,252946
4,A Conversation with Death,0X6ph2SjyOCqfnN7rMDtXq,Khemmis,5Dejhd4zYKEUm6q1FLr1ik,Doomed Heavy Metal,2020-04-17,290459,False,3,43,2024-11-06,0.423,0.821,3,-4.866,0,0.0432,6.93e-05,0.0238,0.158,0.223,149.969,4,"['denver metal', 'post-doom metal', 'stoner metal']",35,59762
5,Demons Gate,6MbVyEVkHqDoxr8atiQKsT,Candlemass,7zDtfSB0AOZWhpuAHZIOw5,Epicus Doomicus Metallicus,1986,552106,False,2,38,2024-11-06,0.273,0.848,4,-5.742,1,0.0725,2.91e-05,0.0661,0.0789,0.191,126.932,4,"['death metal', 'doom metal', 'epic doom', 'metal', 'opera metal', 'speed metal', 'stoner metal', 'swedish doom metal', 'swedish metal']",46,252946
6,Endeavour,0HZpa8uOznXxk6uGirHHLo,Conjurer,38eUVFRyGFT6VnEbaFRScQ,Curse These Metal Hands,2019-08-16,141102,False,3,38,2024-11-06,0.248,0.822,5,-7.38,1,0.0596,3.19e-06,0.629,0.354,0.275,175.112,3,"['atmospheric post-metal', 'british death metal', 'chaotic hardcore', 'post-doom metal', 'post-metal', 'sludge metal', 'uk doom metal', 'uk post-metal']",31,36569
7,Crystal Ball,28fRiFQT4LPLqmBh1zgbC1,Candlemass,7zDtfSB0AOZWhpuAHZIOw5,Epicus Doomicus Metallicus,1986,323000,False,3,35,2024-11-06,0.217,0.893,2,-3.701,1,0.11,0.000452,0.000997,0.279,0.23,117.404,4,"['death metal', 'doom metal', 'epic doom', 'metal', 'opera metal', 'speed metal', 'stoner metal', 'swedish doom metal', 'swedish metal']",46,252946
8,Waiting for Black Metal Records to Come in the Mail - Demo,24pd2u7IVFeDouABvO9GDi,Have A Nice Life,0FRKTwQSToXpCxYMhyUzYY,Voids (2023 Remaster),2023-01-27,516200,False,2,20,2024-11-06,0.0869,0.6,9,-10.109,1,0.069,0.0144,0.819,0.347,0.098,76.416,4,"['blackgaze', 'doomgaze', 'dream pop', 'nu gaze']",55,422228
9,Between Sleipnir's Breaths,5PWWuVITa0SC49EFqyF8e8,sunn O))),2e7hYqRjL82c1nIoREHc4J,Life Metal,2019-04-26,758996,False,1,27,2024-11-06,0.136,0.311,10,-10.523,1,0.0382,0.39,0.908,0.147,0.0383,101.238,5,"['avant-garde metal', 'doom metal', 'drone', 'drone metal', 'post-metal']",33,167184
