,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Never Be Like You (feat. Kai),14gdERIqymApVn9vcsbmZ3,Flume,6nxWCVXbOlEVRexSbLsTer,Skin,2016-05-27,234909,True,2,69,2024-11-06,0.448,0.59,0,-4.359,1,0.0577,0.446,0.0,0.14,0.264,119.834,4,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,2465296
1,A New Kind Of Love - Demo,3fuyYaLhZ2RoP9eWpvfP1H,Frou Frou,6MUyqmIQ35inLjch0YzIEG,A New Kind Of Love (Demo),2022-04-08,259071,False,1,73,2024-11-06,0.674,0.487,9,-13.307,1,0.0331,0.169,0.00411,0.127,0.329,132.97,4,"['downtempo', 'etherpop', 'metropopolis']",62,232406
2,Angel,7uv632EkfwYhXoqf8rhYrg,Massive Attack,6FXMGgJwohJLUSr5nVlf9X,Mezzanine,1998-01-01,379533,False,1,71,2024-11-06,0.714,0.309,7,-10.796,1,0.0291,0.0157,0.807,0.0777,0.0671,107.346,4,"['downtempo', 'electronica', 'trip hop']",68,2315760
3,Intro,5VfEuwErhx6X4eaPbyBfyu,The xx,3iOvXCl6edW5Um0fXEBRXy,xx,2009-08-18,127920,False,1,62,2024-11-06,0.617,0.778,9,-8.872,0,0.027,0.459,0.925,0.128,0.152,100.363,4,"['downtempo', 'dream pop', 'indietronica']",68,3794247
4,Who Is She ?,1QxcWlk8PivolUaWcpAoNq,I Monster,1CcPlAmcnJjC4FnaPVzv2v,Neveroddoreven,2005-01-27,213373,False,6,69,2024-11-06,0.392,0.802,1,-4.014,0,0.0418,0.076,0.00908,0.0925,0.101,152.734,4,['downtempo'],60,271008
5,The Difference,5kJ4BWZ9Y1qFIwwTbMIxYX,Flume,6nxWCVXbOlEVRexSbLsTer,The Difference,2020-03-11,139662,False,1,66,2024-11-06,0.56,0.865,1,-1.148,1,0.0907,0.258,0.000162,0.083,0.424,159.963,4,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,2465296
6,Say It (feat. Tove Lo),4lAnj7Git7s2QrSTwUa54g,Flume,6nxWCVXbOlEVRexSbLsTer,Skin,2016-05-27,262521,True,5,60,2024-11-06,0.578,0.533,3,-6.831,0,0.0326,0.0679,3.61e-06,0.062,0.263,75.293,4,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,2465296
7,Teardrop,67Hna13dNDkZvBpTXRIaOJ,Massive Attack,6FXMGgJwohJLUSr5nVlf9X,Mezzanine,1998-01-01,330773,False,3,70,2024-11-06,0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,4,"['downtempo', 'electronica', 'trip hop']",68,2315760
8,Crystalised,33R3swWziWYmnDYvZqcZVS,The xx,3iOvXCl6edW5Um0fXEBRXy,xx,2009-08-18,201946,False,3,59,2024-11-06,0.762,0.484,11,-12.368,0,0.0311,0.812,0.389,0.0841,0.415,122.916,4,"['downtempo', 'dream pop', 'indietronica']",68,3794247
9,Wicked Games (feat. Anna Naklab) - Radio Edit,6JrAEmBFd61eYIGVOSPnT4,Parra for Cuva,238y1dKPtMeFEpX3Y6H1Vr,Wicked Games (feat. Anna Naklab) [Radio Edit],2013-09-19,195210,False,1,68,2024-11-06,0.801,0.641,11,-8.584,1,0.0455,0.0667,0.0244,0.172,0.701,124.979,4,"['deep euro house', 'downtempo', 'new french touch']",62,204242
10,aruarian dance,4sUTagdmyuyAxd7RvbygpQ,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,samurai champloo music record departure,2004-06-23,250433,False,3,64,2024-11-06,0.585,0.652,6,-8.357,1,0.0358,0.78,0.907,0.0653,0.877,198.448,4,"['downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']",66,1237874
11,Playground Love,052z2UsE2wPrHsBJ9tly0g,Air,1P6U1dCeHxPui5pIrGmndZ,The Virgin Suicides (Original Motion Picture Score),2000-02-25,211500,False,1,66,2024-11-06,0.33,0.423,7,-10.504,0,0.0279,0.265,0.731,0.347,0.117,143.086,4,"['ambient pop', 'downtempo', 'electronica', 'indietronica', 'trip hop']",64,1013120
12,Drop The Game,3wFFW1B6WAmAFGOwdEOOZR,Flume,6nxWCVXbOlEVRexSbLsTer,Lockjaw,2013-11-22,221894,False,1,64,2024-11-06,0.558,0.671,7,-4.984,1,0.0574,0.59,0.00018,0.171,0.432,78.93,4,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,2465296
13,Feather (feat. Cise Starr & Akin from CYNE),2ej1A2Ze6P2EOW7KfIosZR,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,Modal Soul,2005-11-11,175360,True,1,63,2024-11-06,0.565,0.749,10,-6.629,0,0.0769,0.655,0.432,0.106,0.881,180.598,4,"['downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']",66,1237874
14,Awake,5MhMXTuVODDF234VDvSxQx,Tycho,5oOhM2DFWab8XhSdQiITry,Awake,2014-03-18,283636,False,1,58,2024-11-06,0.552,0.877,1,-5.765,1,0.0353,0.0585,0.899,0.0746,0.597,176.05,4,"['chillwave', 'downtempo', 'electronica', 'indietronica', 'intelligent dance music']",58,698307
15,Say It - Illenium Remix,6ok03Y0wtCsaonlIuxAILR,Flume,6nxWCVXbOlEVRexSbLsTer,Skin: The Remixes,2017-04-07,267200,True,13,55,2024-11-06,0.487,0.768,6,-4.473,1,0.0545,0.0343,0.00496,0.0953,0.426,149.681,4,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,2465296
16,Insane feat. Moon Holiday,7gqKkrzG5OV1CLViOaXSay,Flume,6nxWCVXbOlEVRexSbLsTer,Flume,2012-11-09,213883,False,7,56,2024-11-06,0.487,0.535,5,-8.257,0,0.0328,0.0507,6.03e-05,0.121,0.0485,93.984,4,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,2465296
17,You Wish,6G6M4fl2I0eqEQnzyTwR8m,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0,In A Space Outta Sound,2006-02-20,209316,False,6,64,2024-11-06,0.781,0.25,9,-9.702,0,0.0297,0.708,0.91,0.375,0.454,103.478,4,"['bleep techno', 'downtempo', 'electronica', 'trip hop']",57,485831
18,Islands,6i5tYaGlOFDLILEB6HfJAa,The xx,3iOvXCl6edW5Um0fXEBRXy,xx,2009-08-18,160720,False,4,54,2024-11-06,0.871,0.472,4,-11.077,1,0.0756,0.74,0.269,0.145,0.707,124.04,4,"['downtempo', 'dream pop', 'indietronica']",68,3794247
19,Lady Brown (feat. Cise Starr from CYNE),0JL9TZip7mL7iwC5EOkALS,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,Metaphorical Music,2003-08-21,199160,False,3,60,2024-11-06,0.499,0.874,0,-4.586,1,0.097,0.611,0.000639,0.0703,0.861,97.317,4,"['downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']",66,1237874
20,Return To Innocence,2UKkLqST2xWpK8n1b0Xr5Z,Enigma,3DmG65yHQsMms7WAvrZOdt,The Cross Of Changes,1993-01-01,255466,False,3,64,2024-11-06,0.476,0.584,10,-12.357,1,0.038,0.119,0.0,0.274,0.417,88.026,4,"['downtempo', 'gregorian dance']",64,960819
21,Porcelain,19vUJwIaPAgDJyGZMBI9MG,Moby,3OsRAKCvk37zwYcnzRf5XF,Play: The Complete Recordings,1999-05-17,241173,False,3,53,2024-11-06,0.297,0.634,0,-7.927,0,0.0335,0.00141,0.175,0.247,0.331,94.733,4,"['downtempo', 'electronica']",70,1921896
22,Nobody Speak,7Gc9OoiYsUrByC8tzD7kYY,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,The Mountain Will Fall,2016-06-24,195965,True,2,57,2024-11-06,0.618,0.814,2,-5.937,1,0.157,0.0403,0.00236,0.263,0.301,160.078,4,"['downtempo', 'electronica', 'instrumental hip hop', 'trip hop']",63,637442
23,Lebanese Blonde,6k5VMHrwv7mgPpkQSRQtQr,Thievery Corporation,25KNo5GDS6ZpLkjasaecA3,Mirror Conspiracy,2000-08-09,288826,False,4,60,2024-11-06,0.808,0.837,9,-6.583,0,0.0459,0.238,0.862,0.0578,0.654,92.002,4,"['downtempo', 'electronica', 'livetronica', 'trip hop']",62,879603
24,Six Days - Remix,5j3QqRGflS4o5jbsFSwKW1,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),2006-06-20,232000,False,2,66,2024-11-06,0.641,0.943,5,-6.254,0,0.264,0.0351,0.000259,0.328,0.718,171.811,4,"['downtempo', 'electronica', 'instrumental hip hop', 'trip hop']",63,637442
25,The Buzz,5y5qNTyfvCQ6s230gLSjlv,Hermitude,3fmMaLC5jjf2N4EC2kTx0u,Dark Night Sweet Light,2015-08-28,221786,False,7,54,2024-11-06,0.735,0.583,0,-6.434,0,0.174,0.33,0.00137,0.122,0.497,140.969,4,"['australian dance', 'australian indie', 'downtempo', 'escape room']",50,261400
26,In The Waiting Line,5ARrtxJLVCeTv5TWo1oKgC,Zero 7,14H7ag1wpQOsPPQJOD6Dqr,Simple Things,2001,271520,False,8,59,2024-11-06,0.561,0.33,5,-13.51,1,0.0268,0.76,0.134,0.106,0.378,79.01,4,"['downtempo', 'electronica', 'trip hop']",57,532002
27,Let Go,3xKTpGCsafXzV4muM1Hpl3,Frou Frou,6MUyqmIQ35inLjch0YzIEG,Details,2002-01-01,253893,False,1,55,2024-11-06,0.524,0.559,5,-8.319,1,0.0298,0.185,5.94e-05,0.14,0.202,140.043,4,"['downtempo', 'etherpop', 'metropopolis']",62,232406
28,Daydream In Blue,5cjaDxaXyRlxGgGjRlte7m,I Monster,1CcPlAmcnJjC4FnaPVzv2v,Neveroddoreven,2005-01-27,223666,False,2,60,2024-11-06,0.547,0.508,5,-6.301,0,0.0273,0.0151,0.00116,0.116,0.382,153.822,4,['downtempo'],60,271008
29,Holdin On,6ERjyW3kpEZN9yHpLIRfxC,Flume,6nxWCVXbOlEVRexSbLsTer,Flume,2012-11-09,154414,False,2,52,2024-11-06,0.43,0.436,8,-4.818,1,0.118,0.172,1.02e-06,0.128,0.21,90.033,4,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,2465296
30,MANGO (feat. Adi Oasis),384TJj6XyHUyNlCbdgm6Sz,KAMAUU,3IAQ6JspwRCPY06WXnaguc,MANGO (feat. Adi Oasis),2020-09-04,245994,False,1,57,2024-11-06,0.668,0.605,2,-7.608,0,0.0454,0.336,0.000206,0.115,0.877,83.002,4,['downtempo bass'],51,199697
31,Quit (feat. Ariana Grande),4rwqrKdwlFWJ6LvPYaOtgn,Cashmere Cat,2LZDXcxJWgsJfKXZv9a5eG,9,2017-04-28,258188,True,5,60,2024-11-06,0.44,0.413,0,-7.365,0,0.0407,0.105,3.4e-05,0.0997,0.141,86.911,3,"['downtempo', 'electropop', 'shiver pop']",56,326771
32,Feel Your Weight - Poolside Remix,1hgX0ZmmP7IRRjUFCIBrnQ,Rhye,2AcUPzkVWo81vumdzeLLRN,Blood Remixed,2018-11-16,310133,False,4,60,2024-11-06,0.741,0.592,6,-9.059,0,0.0308,0.665,0.854,0.116,0.822,111.984,4,"['art pop', 'downtempo', 'electronica', 'indie soul', 'indietronica', 'shimmer pop']",62,671746
33,Sleepless feat. Jezzabell Doran,18ruQREwkjMJAcxbt2L4wR,Flume,6nxWCVXbOlEVRexSbLsTer,Flume,2012-11-09,209376,False,4,52,2024-11-06,0.53,0.689,9,-7.482,0,0.173,0.0341,5.04e-05,0.0886,0.394,175.132,4,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,2465296
34,Rushing Back (feat. Vera Blue),4uyYsLMnxzzIB6LE81g4OF,Flume,6nxWCVXbOlEVRexSbLsTer,Rushing Back (feat. Vera Blue),2019-09-27,231663,False,1,59,2024-11-06,0.574,0.611,0,-4.744,1,0.0763,0.357,0.0,0.158,0.375,136.047,3,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,2465296
35,Luv(sic.) pt3 (feat. Shing02),4xlpJ99yL9xYQtzG6c3hwk,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,Modal Soul,2005-11-11,336866,False,4,59,2024-11-06,0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,4,"['downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']",66,1237874
36,"Tom's Diner - 7"" Version",4QtScYyh6Yxio27udYPhh0,DNA,2rGm8R7YDTbqDCVlNssQyL,RetroSpective: The Best Of Suzanne Vega,2003-04-22,228533,False,2,52,2024-11-06,0.86,0.607,6,-6.706,0,0.042,0.0189,0.00816,0.0403,0.732,99.15,4,['downtempo'],52,4638
37,Luv (sic),6SNGzhVrisdq63Ndz58ovT,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,Luv(sic) Hexalogy,2015-12-09,286320,False,1,58,2024-11-06,0.906,0.677,1,-5.558,1,0.215,0.437,0.0272,0.652,0.869,93.016,4,"['downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']",66,1237874
38,Flower,5cqiMHGNO8zB4LO3kstn6e,Moby,3OsRAKCvk37zwYcnzRf5XF,Play: The Complete Recordings,1999-05-17,206293,False,19,51,2024-11-06,0.686,0.61,7,-5.902,1,0.0262,0.19,0.000966,0.071,0.767,80.567,4,"['downtempo', 'electronica']",70,1921896
39,Paradise Circus,2BndJYJQ17UcEeUFJP5JmY,Massive Attack,6FXMGgJwohJLUSr5nVlf9X,Heligoland,2010-02-08,297774,False,7,62,2024-11-06,0.81,0.591,8,-13.385,1,0.0638,0.414,0.799,0.072,0.297,136.028,4,"['downtempo', 'electronica', 'trip hop']",68,2315760
40,Breathe,0uKrhHBDUQ4w5fv4qwOubP,Télépopmusik,3aKCo8gLJfuPYtr88aWKjF,Genetic World,2001-01-01,282240,False,1,58,2024-11-06,0.684,0.684,1,-13.337,1,0.0418,0.385,0.29,0.106,0.616,113.988,4,"['downtempo', 'electronica', 'trip hop']",48,219403
41,Lust for a Vampyr,3KWQwppcl2EpUfbq3LXmt0,I Monster,1CcPlAmcnJjC4FnaPVzv2v,A Dense Swarm of Ancient Stars,2009-03-16,273506,False,5,54,2024-11-06,0.588,0.503,1,-12.58,1,0.0305,0.00143,0.187,0.417,0.395,95.734,4,['downtempo'],60,271008
42,Kong,7Cg3F9ZsZ2TYUnlza49NYh,Bonobo,0cmWgDlu9CwTgxPhf403hb,Black Sands,2010-03-29,237826,False,3,60,2024-11-06,0.542,0.749,6,-8.333,0,0.0277,0.173,0.942,0.315,0.674,94.031,4,"['downtempo', 'electronica', 'indietronica', 'instrumental hip hop', 'jazztronica', 'nu jazz', 'trip hop']",64,1415452
43,Satisfied (Ambient Reprise),2k5SEAK05D29ZkqbnFgIVL,Catching Flies,4zAOqBfNLyWFvj1e3yvypJ,Silver Linings Remixed,2020-04-17,195959,False,11,61,2024-11-06,0.386,0.304,4,-12.215,0,0.0531,0.892,0.749,0.102,0.057,122.001,4,"['downtempo', 'indie dream pop']",57,104129
44,Sexy Boy,6INLpBxo9F5QMer04VXEnd,Air,1P6U1dCeHxPui5pIrGmndZ,Moon Safari,1998-01-16,298466,False,2,62,2024-11-06,0.43,0.625,0,-6.201,1,0.0295,0.00142,0.66,0.125,0.164,111.88,4,"['ambient pop', 'downtempo', 'electronica', 'indietronica', 'trip hop']",64,1013120
45,Sadeness,57h06SZNL6LJ3YKZ1UGCeu,Enigma,3DmG65yHQsMms7WAvrZOdt,Love Sensuality Devotion: The Greatest Hits,2001-01-01,255533,False,10,62,2024-11-06,0.588,0.644,7,-9.547,1,0.0338,0.0928,0.0472,0.092,0.49,95.647,4,"['downtempo', 'gregorian dance']",64,960819
46,All That We Perceive,2knKUI1k57Q8Ox12Cxj8Pc,Thievery Corporation,25KNo5GDS6ZpLkjasaecA3,The Richest Man In Babylon,2003-01-14,226133,False,6,58,2024-11-06,0.698,0.832,5,-6.473,0,0.0342,0.0251,0.947,0.0811,0.951,90.479,4,"['downtempo', 'electronica', 'livetronica', 'trip hop']",62,879603
47,Booty Swing,3sMleqdCDalZ6xsAQe8xuY,Parov Stelar,65EXuYHVoehCKqp0kOS6px,"The Princess, Pt. Two",2012-04-20,197506,False,3,60,2024-11-06,0.85,0.669,0,-5.46,1,0.047,0.26,0.274,0.103,0.914,112.966,4,"['balkan beats', 'downtempo', 'electro swing', 'nu jazz']",63,1071656
48,Open,3JsA2sWDNR9oQogGAzqqtH,Rhye,2AcUPzkVWo81vumdzeLLRN,Woman,2013-01-01,217053,False,1,59,2024-11-06,0.551,0.324,0,-10.962,1,0.0314,0.896,0.0873,0.277,0.231,90.957,4,"['art pop', 'downtempo', 'electronica', 'indie soul', 'indietronica', 'shimmer pop']",62,671746
49,Extreme Ways,5dcUUklOiH01fVEH5pmWRs,Moby,3OsRAKCvk37zwYcnzRf5XF,18 & 18 B-Sides,2002,237640,False,9,50,2024-11-06,0.511,0.782,9,-7.934,0,0.0486,0.00112,0.000825,0.11,0.551,100.002,4,"['downtempo', 'electronica']",70,1921896
50,Cirrus,2lJ4d8MCT6ZlDRHKJ1br14,Bonobo,0cmWgDlu9CwTgxPhf403hb,The North Borders,2013-03-21,352246,False,3,57,2024-11-06,0.64,0.844,2,-8.412,0,0.0374,0.395,0.933,0.0827,0.364,119.042,4,"['downtempo', 'electronica', 'indietronica', 'instrumental hip hop', 'jazztronica', 'nu jazz', 'trip hop']",64,1415452
51,Hyperreal,66jq3XScOXM6d02xGkhG3v,Flume,6nxWCVXbOlEVRexSbLsTer,Hyperreal,2017-05-05,254062,False,1,50,2024-11-06,0.654,0.843,11,-5.204,0,0.309,0.0346,0.0656,0.151,0.537,109.937,4,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,2465296
52,A New Kind Of Love - Demo,2p1qmpFg41n0XMBNGuMzoE,Frou Frou,6MUyqmIQ35inLjch0YzIEG,Off Cuts,2022-06-03,260733,False,2,56,2024-11-06,0.673,0.481,9,-13.296,1,0.0334,0.16,0.00467,0.122,0.342,132.965,4,"['downtempo', 'etherpop', 'metropopolis']",62,232406
