,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Poppies,4oiZ494M5fJgMhdqew0n8p,La Luz,6QRlkjrHz5A62mqeNZz7t3,News of the Universe,2024-05-24,212075,False,4,38,2024-11-06,0.488,0.479,9,-10.255,0,0.0314,0.0932,0.201,0.119,0.371,134.956,4,"['chill dream pop', 'indie surf', 'neo-psychedelic']",47,103411
1,Pops,1rKe6NaaUhWlc1SG5Q7fHw,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,MY WOMAN,2016-09-02,281320,False,10,24,2024-11-06,0.364,0.147,0,-10.497,1,0.0295,0.932,0.000108,0.11,0.0905,100.521,4,"['alternative americana', 'art pop', 'chamber pop', 'countrygaze', 'dream pop', 'experimental pop', 'indie pop', 'indie rock', 'noise pop', 'singer-songwriter']",52,490684
2,Pope,2rhhsrZXeEAuNydBjb17Ot,Copeland,31HpswGOiF0Mc2wm11sIoN,Blushing,2019-02-14,295240,False,1,19,2024-11-06,0.393,0.449,7,-10.583,0,0.0371,0.71,0.00104,0.13,0.227,111.73,4,"['dreamo', 'piano rock']",38,98871
3,Banco Popular,1YNvSBSC475c8lKcFD1XNk,Drug Church,6q4AmzK3GzCuEzkurnYuEQ,Hit Your Head,2015-10-30,96934,False,1,32,2024-11-06,0.436,0.928,4,-3.438,1,0.0833,0.0436,0.0,0.464,0.529,129.967,4,"['dreamo', 'emo', 'indie punk', 'modern melodic hardcore']",49,84940
4,rainy poppy field - Remastered,5Ae8NzsNURuUT6iMmmn7TF,800 cherries,47mrO8UvhD1Qt6iAIy4fCO,romantico (2022 Remaster),1998-11-21,214266,False,3,31,2024-11-06,0.621,0.732,4,-8.684,1,0.0339,0.015,0.0481,0.107,0.885,102.023,3,"['dream pop', 'japanese indie pop', 'shibuya-kei']",41,43197
5,Popol,4xv1qOSmJrawnJbfg4Rhpz,Rhucle,0y0cl3t1UlQf0730g7Zjkl,Scenes,2020-12-01,274000,False,4,17,2024-11-06,0.122,0.0465,5,-25.568,1,0.0439,0.991,0.963,0.104,0.0332,67.941,4,"['dreampunk', 'drift', 'j-ambient']",34,3767
6,Poppy Day,0MPOlMKbVjDqQfRR4enyhw,Siouxsie and the Banshees,1n65zfwYIj5kKEtNgxUlWb,Join Hands,1979,122093,False,1,18,2024-11-06,0.498,0.313,2,-11.764,1,0.0369,0.153,0.786,0.21,0.0429,118.518,3,"['alternative rock', 'dream pop', 'new romantic', 'new wave', 'post-punk', 'punk', 'uk post-punk']",62,1185393
7,Blue Eyed Pop,29NctYvQKXdQ3i4ZGmYBQU,The Sugarcubes,1G0Xwj8mza6b03iYkVdzDP,Life's Too Good,1988-04-05,156440,False,7,26,2024-11-06,0.585,0.586,7,-11.826,1,0.0947,0.00292,0.0482,0.408,0.727,121.988,4,"['alternative rock', 'dream pop', 'icelandic pop', 'icelandic post-punk']",42,223794
8,Way It Was,1GFNP5nR40UvrWU0xfW0mo,TOLEDO,2xK3hBpuuHSxmHr96TzgDO,Popped Heart,2024-04-12,171381,False,5,26,2024-11-06,0.48,0.603,6,-11.898,1,0.0382,0.273,0.884,0.965,0.248,96.332,4,"['brooklyn indie', 'chill dream pop']",39,25716
9,Goon Pop,5oyPkQ8it3jJtlAejUnHD4,CASTLEBEAT,0k8UHfMqW86uvhmhHiYzj3,CASTLEBEAT,2016-01-01,172377,False,3,24,2024-11-06,0.63,0.62,4,-9.633,1,0.0331,0.274,0.852,0.15,0.585,109.983,4,"['bedroom pop', 'chill dream pop', 'indie surf']",49,163607
10,rainy poppy field,5gZ5YB5SryZdM0GV7mXzDJ,800 cherries,47mrO8UvhD1Qt6iAIy4fCO,Romantico,1999,214266,False,3,22,2024-11-06,0.636,0.699,4,-7.602,1,0.0332,0.0297,0.0174,0.098,0.964,102.019,3,"['dream pop', 'japanese indie pop', 'shibuya-kei']",41,43197
11,Pope,3s4IKvZdynEuvqSMkvEhmU,Copeland,31HpswGOiF0Mc2wm11sIoN,Revolving Doors,2022-09-16,278973,False,8,11,2024-11-06,0.542,0.394,7,-11.555,0,0.0382,0.817,0.00129,0.107,0.248,111.845,4,"['dreamo', 'piano rock']",38,98871
