,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,2055,4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,6EPlBSH2RSiettczlz7ihV,Still Sleep?,2021-06-02,123986,True,4,80,2024-11-06,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,4,"['brooklyn drill', 'nyc rap']",77,2190355
1,Embrace It,0io16MKpbeDIdYzmGpQaES,Ndotz,5HK6QtizXJzCmoYTkvFRik,Embrace It,2024-08-23,104418,True,1,88,2024-11-06,0.882,0.645,1,-7.233,1,0.0601,0.475,4.13e-05,0.057,0.788,114.933,4,['chill drill'],74,118636
2,Broadway Girls (feat. Morgan Wallen),7qTaDOcld0VmBWXnkbUj45,Lil Durk,3hcs9uc56yIGFCSy9leWe7,7220 (Reloaded),2022-03-10,185600,False,18,76,2024-11-06,0.659,0.745,10,-3.599,1,0.0347,0.0417,0.0,0.296,0.54,74.967,4,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",82,8160719
3,No Flockin',34oWbFBfGEElvgO0a5c9V4,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,No Flockin',2015-11-13,165290,True,1,75,2024-11-06,0.943,0.595,5,-8.372,0,0.191,0.0673,0.0,0.0839,0.815,117.532,4,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",82,11114760
4,Help Me,487JCvAXVblflZyDJn3fSp,Real Boston Richey,1iwUuIOKYjV7SKIg27v4zi,Help Me,2024-05-31,181165,True,1,74,2024-11-06,0.749,0.709,6,-6.385,1,0.259,0.155,0.0,0.329,0.564,78.53,4,"['florida drill', 'memphis hip hop']",67,208663
5,Love Sosa,01Lr5YepbgjXAWR9iOEyH1,Chief Keef,15iVAtD3s3FsQR4w1v6M0P,Finally Rich,2012-01-01,246213,True,1,77,2024-11-06,0.772,0.413,0,-8.194,0,0.0891,0.0361,0.0,0.111,0.211,131.964,4,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",78,5245691
6,Transportin',1WIZiOuNO3woKfdlSK2gNn,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Project Baby 2: All Grown Up,2017-08-18,169344,True,10,74,2024-11-06,0.804,0.66,10,-4.86,0,0.0726,0.0319,0.0,0.103,0.257,94.053,4,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",82,11114760
7,BAND4BAND (feat. Lil Baby),7iabz12vAuVQYyekFIWJxD,Central Cee,5H4yInM5zmHqpKIoMNAx4r,BAND4BAND (feat. Lil Baby),2024-05-23,140733,True,1,82,2024-11-06,0.882,0.764,11,-5.241,1,0.204,0.359,0.0,0.119,0.886,140.113,4,"['melodic drill', 'r&drill']",82,6823419
8,Shoot It Out,5hKzUzm3LjtWNnkrKbIw77,Jdot Breezy,0VSM8D7ibtXjJgukfVR0eZ,Almost There,2020-10-31,128146,True,7,70,2024-11-06,0.648,0.42,1,-9.728,1,0.328,0.292,3.89e-06,0.118,0.144,82.398,4,"['florida drill', 'florida rap']",64,241646
9,Kills,31HzVBCXNRgBWlD5bZg94O,Chief Keef,15iVAtD3s3FsQR4w1v6M0P,Dedication,2017-12-01,169600,True,12,72,2024-11-06,0.691,0.568,9,-11.798,1,0.0492,0.0178,0.0246,0.0904,0.344,149.995,4,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",78,5245691
10,What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Shoot For The Stars Aim For The Moon,2020-07-03,160000,True,15,76,2024-11-06,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4,"['brooklyn drill', 'hip hop', 'rap']",80,14664392
11,Faneto,6fL8iaSdwmSTQiUv9K6L4h,Chief Keef,15iVAtD3s3FsQR4w1v6M0P,Back from the Dead 2,2015-06-16,206654,True,4,71,2024-11-06,0.849,0.753,1,-7.399,0,0.357,0.346,0.0,0.0565,0.392,144.188,4,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",78,5245691
12,2 Slippery (feat. BossMan Dlow),62oLxos6R04SVYL1lXidvu,Luh Tyler,1K15GRZZATsCJyGJ4bYiEz,Mr. Skii,2024-08-22,159228,True,10,69,2024-11-06,0.608,0.4,1,-9.519,1,0.32,0.029,0.000327,0.119,0.089,106.682,5,['florida drill'],67,343382
13,Beckham,60lAoxcyDvRbcNY82VEoEA,Dee Billz,2fBU7rOViK7ywwHCIYEa7h,Beckham,2024-07-03,124931,True,1,72,2024-11-06,0.721,0.84,1,-4.994,0,0.324,0.0904,0.0,0.173,0.427,146.223,4,['new york drill'],63,71979
14,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Dying to Live,2018-12-14,228759,True,5,74,2024-11-06,0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,4,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",82,11114760
15,Roll in Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Project Baby 2: All Grown Up,2017-08-18,213132,True,3,70,2024-11-06,0.747,0.524,10,-6.807,0,0.245,0.0306,0.0,0.2,0.363,140.053,4,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",82,11114760
16,Dior,79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Meet The Woo,2019-07-26,216386,True,6,76,2024-11-06,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,4,"['brooklyn drill', 'hip hop', 'rap']",80,14664392
17,Stand By Me (feat. Morgan Wallen),1fXnu2HzxbDtoyvFPWG3Bw,Lil Durk,3hcs9uc56yIGFCSy9leWe7,Almost Healed,2023-05-26,219173,True,20,69,2024-11-06,0.71,0.701,11,-5.415,1,0.0317,0.0105,0.0,0.178,0.564,134.039,4,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",82,8160719
18,Tunnel Vision,4Q3N4Ct4zCuIHuZ65E3BD4,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Painting Pictures,2017-03-31,268186,True,10,70,2024-11-06,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,4,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",82,11114760
19,Hate Bein' Sober,2oHM9KAdFdFvDCaE4V6RST,Chief Keef,15iVAtD3s3FsQR4w1v6M0P,Finally Rich,2012-01-01,280173,True,5,72,2024-11-06,0.82,0.47,8,-7.181,1,0.0458,0.00425,0.0,0.141,0.314,132.003,4,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",78,5245691
20,Did It First (with Central Cee),57lsYy0OZLNb5OQ7fEa3Hs,Ice Spice,3LZZPxNDGDFVSIPqf4JuEf,Did It First (with Central Cee),2024-07-11,118002,True,1,76,2024-11-06,0.635,0.574,1,-7.453,1,0.322,0.229,0.0,0.126,0.592,153.938,4,['bronx drill'],75,4154166
21,F.N,0RLLvYBopDwooCyvnTwgYu,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,True 2 Myself,2019-10-11,224000,True,3,74,2024-11-06,0.567,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1,1,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",79,9122234
22,I Don't Like,1h6kgem1ai8vUgO1rZOwfB,Chief Keef,15iVAtD3s3FsQR4w1v6M0P,Finally Rich,2012-01-01,293840,True,3,71,2024-11-06,0.742,0.844,2,-4.622,1,0.0479,0.000634,0.0,0.0659,0.416,131.995,4,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",78,5245691
23,Calling My Phone,3J8EOeKLTLXORtWPpOU5bE,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,Destined 2 Win,2021-04-02,205458,True,3,74,2024-11-06,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,4,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",79,9122234
