,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Poison Tree,6Q5uDNuuFYa8ToL3CCoHPC,Grouper,31uyAcnY0kjjKKIQZMKX4i,Inca Ore / Grouper,2008-06-03,196893,False,2,76,2024-11-06,0.224,0.139,11,-22.587,1,0.0354,0.961,0.913,0.108,0.213,111.316,4,"['ambient', 'ambient pop', 'art pop', 'dream pop', 'drone', 'electra', 'experimental ambient', 'experimental pop', 'modern dream pop', 'spectra']",63,307551
1,Ferme Les Yeux,1Kb2DqjHRvOcT5xeWtz3t5,Sylvain Chauveau,0IfkFoyLbsgahVvNfPnV2y,Des Plumes Dans La Tête,2004-04-15,68493,False,6,58,2024-11-06,0.0,0.0323,2,-23.636,0,0.0,0.994,0.973,0.0922,0.0,0.0,0,"['ambient', 'compositional ambient', 'drone', 'pop ambient']",51,31457
2,Alien Observer,35VfLKymw2iZKWnLTvm8Xv,Grouper,31uyAcnY0kjjKKIQZMKX4i,A I A: Alien Observer,2011-04-11,236480,False,2,52,2024-11-06,0.219,0.0825,9,-22.604,0,0.0421,0.994,0.602,0.278,0.168,76.03,3,"['ambient', 'ambient pop', 'art pop', 'dream pop', 'drone', 'electra', 'experimental ambient', 'experimental pop', 'modern dream pop', 'spectra']",63,307551
3,Avril 14th (Aphex Twin) - Vanessa Wagner Version,5KIOfWtUEKrxDNi4OnIpg2,Murcof,0liG9qD19eWrt5Ur4cnsYd,Avril 14th (Aphex Twin) [Vanessa Wagner Version],2017-11-03,165020,False,1,49,2024-11-06,0.395,0.0826,5,-18.982,0,0.0432,0.995,0.93,0.126,0.119,93.288,4,"['drone', 'glitch', 'mexican experimental', 'tijuana electronic']",42,42371
4,Dragonaut,6qLgGLeawKyhMFJ848XtYD,Sleep,4Mt6w4tDGiPgV5q6JWPlrI,Sleep's Holy Mountain,1993,343160,False,1,48,2024-11-06,0.352,0.65,5,-13.169,1,0.0415,0.00254,0.286,0.174,0.464,123.607,4,"['doom metal', 'drone metal', 'stoner metal', 'stoner rock']",43,295010
5,The Mighty Rio Grande,37HI0imp0t6a0MBS00lPkS,This Will Destroy You,0MG4LXIw7n4x0wjDc6WYXk,S/T,2007-01-08,676986,False,5,47,2024-11-06,0.263,0.171,1,-11.748,1,0.0338,0.241,0.87,0.0766,0.038,111.995,4,"['ambient post-rock', 'american post-rock', 'doomgaze', 'drone metal', 'instrumental post-rock', 'post-rock']",44,248082
6,Heavy Water/I'd Rather Be Sleeping,6IUwiHsyKAZtfBy37Wu4ij,Grouper,31uyAcnY0kjjKKIQZMKX4i,Dragging a Dead Deer Up a Hill,2008,173026,False,2,48,2024-11-06,0.458,0.309,2,-14.186,1,0.0283,0.909,0.956,0.118,0.0556,106.006,4,"['ambient', 'ambient pop', 'art pop', 'dream pop', 'drone', 'electra', 'experimental ambient', 'experimental pop', 'modern dream pop', 'spectra']",63,307551
7,Bathroom Dance,4WiqPbWvLbv317E8fB4SJC,Hildur Guðnadóttir,2lD1D6eEh7xQdBtnl2Ik7Y,Joker (Original Motion Picture Soundtrack),2019-10-02,128280,False,13,53,2024-11-06,0.167,0.0721,8,-19.221,0,0.0339,0.856,0.265,0.0758,0.0388,86.116,1,"['cello', 'compositional ambient', 'drone', 'icelandic classical', 'icelandic experimental', 'modern cello', 'orchestral soundtrack', 'soundtrack']",51,145691
8,Something on Your Mind,4cmCWVR8RlLYyASMarxU0e,Karen Dalton,5O5V29YvM6AzAQ0rNt59fy,In My Own Time (50th Anniversary Edition),2022-03-25,203397,False,1,49,2024-11-06,0.397,0.575,2,-9.689,1,0.0443,0.652,0.00261,0.12,0.284,76.118,4,"['ambient folk', 'drone folk', 'folk', 'native american traditional', 'new weird america', 'singer-songwriter']",46,146962
9,Little Bit Of Rain,09g4TuWLxMmrOTt1kzS47Z,Karen Dalton,5O5V29YvM6AzAQ0rNt59fy,It's So Hard To Tell Who's Going To Love You The Best,1969-01-01,156893,False,1,50,2024-11-06,0.432,0.0554,2,-22.279,1,0.0395,0.925,0.0749,0.101,0.361,173.944,3,"['ambient folk', 'drone folk', 'folk', 'native american traditional', 'new weird america', 'singer-songwriter']",46,146962
10,Words For Two,5eSoRa2cyxTtfpfbWV4bJu,Six Organs Of Admittance,5jX8L7D6vWHYlNj9k361vI,School of the Flower,2005-01-25,100400,False,2,46,2024-11-06,0.43,0.158,7,-20.897,1,0.0447,0.983,0.83,0.111,0.622,94.012,4,"['american primitive', 'drone folk', 'free folk', 'new weird america', 'pastoral']",39,27637
11,Living Room,1nJV1JGWf61WRJy851LO34,Grouper,31uyAcnY0kjjKKIQZMKX4i,The Man Who Died in His Boat,2013-02-04,142120,False,11,46,2024-11-06,0.425,0.0757,6,-21.707,1,0.0375,0.89,0.901,0.111,0.156,124.374,4,"['ambient', 'ambient pop', 'art pop', 'dream pop', 'drone', 'electra', 'experimental ambient', 'experimental pop', 'modern dream pop', 'spectra']",63,307551
12,wet,7mcEqWkIEoPdALxfu5BoXL,Taylor Deupree,4X3dUbGsTpVH6EbxtWnj6T,Small Winters,2022-06-14,89835,False,7,47,2024-11-06,0.328,0.0235,2,-30.307,1,0.0405,0.99,0.937,0.0848,0.266,66.046,3,"['ambient', 'drone', 'glitch', 'lowercase', 'mandible', 'nu age', 'sound art', 'tape music']",42,22339
13,Pour Les Oiseaux,16VVal7diuS4a6ONTUXtmy,Sylvain Chauveau,0IfkFoyLbsgahVvNfPnV2y,Des Plumes Dans La Tête,2004-04-15,76773,False,3,50,2024-11-06,0.389,0.0887,0,-19.771,0,0.0436,0.968,0.918,0.101,0.304,70.422,4,"['ambient', 'compositional ambient', 'drone', 'pop ambient']",51,31457
14,The Haunted Victorian Pencil,1onuiNSXonc5vOJU9igdFk,A Winged Victory for the Sullen,13CMfEeq8AC6ryGOPODqE1,The Undivided Five,2019-11-01,89968,False,3,49,2024-11-06,0.462,0.0171,7,-26.307,0,0.0418,0.987,0.899,0.104,0.153,85.287,3,"['ambient', 'compositional ambient', 'drone', 'pastoral']",44,77923
15,Headache,4EDj8GXOlI45vG4SOfswK3,Grouper,31uyAcnY0kjjKKIQZMKX4i,Paradise Valley,2016-12-21,304460,False,1,44,2024-11-06,0.282,0.154,9,-22.065,1,0.0444,0.833,0.88,0.0809,0.0383,138.131,4,"['ambient', 'ambient pop', 'art pop', 'dream pop', 'drone', 'electra', 'experimental ambient', 'experimental pop', 'modern dream pop', 'spectra']",63,307551
16,New Orleans Is the New Vietnam,2O1cAE5g9CNU5j9JWQs1fD,Eyehategod,3BRjxpDVT56Y2G5dS3xYZS,New Orleans Is the New Vietnam,2012-09-11,248453,False,1,42,2024-11-06,0.224,0.78,3,-8.62,1,0.0343,1.02e-05,0.848,0.0764,0.401,154.429,4,"['doom metal', 'drone metal', 'louisiana metal', 'sludge metal']",42,141822
17,Love Farewell,6cvKWfzh1NTJMWXaAIVt63,Jake Xerxes Fussell,40iG1d2wC4KdBLb8wXNq33,Good and Green Again,2022-01-21,238461,False,1,45,2024-11-06,0.509,0.218,8,-15.902,1,0.0348,0.877,0.842,0.115,0.37,87.204,4,"['alternative americana', 'drone folk', 'modern old-time', 'north carolina roots', 'pastoral']",42,33407
18,It Hurts Me Too,4wACv3JAUdAzmRdGat6ZuK,Karen Dalton,5O5V29YvM6AzAQ0rNt59fy,It's So Hard To Tell Who's Going To Love You The Best,1969-01-01,187280,False,7,47,2024-11-06,0.429,0.0581,9,-22.046,1,0.0374,0.935,0.62,0.11,0.281,180.659,3,"['ambient folk', 'drone folk', 'folk', 'native american traditional', 'new weird america', 'singer-songwriter']",46,146962
19,Steal Away - Remastered 2004,5tAb6fBqO5zgUKlhqMyxfr,Harold Budd,3uOCouLFR4bVx0XeiQJSbl,Ambient 2: The Plateaux Of Mirror (Remastered 2004),1980,89813,False,2,45,2024-11-06,0.494,0.00159,10,-37.57,1,0.0521,0.995,0.946,0.0785,0.0964,79.899,4,"['ambient', 'american contemporary classical', 'compositional ambient', 'drone', 'fourth world', 'minimalism']",59,104250
