,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,One More Time,2j19fCLE6ZJFIfTyURMmbj,Drumsound & Bassline Smith,1f6TTocyaqNFvwD4xsrDTh,One More Time,2024-08-09,208275,False,1,39,2024-11-06,0.485,0.982,4,-1.04,0,0.0559,0.0172,0.02,0.202,0.0875,173.948,4,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",39,65127
1,Caterpillar - Drumsound & Bassline Smith Remix,5Ycplzm1BPZYMQs9iMxNsB,Black Sun Empire,3PAXvY08KxX5HmCsmKw4x8,The Wrong Room Remixed,2018-01-26,286896,False,4,35,2024-11-06,0.484,0.992,0,-0.504,1,0.307,0.000356,1.11e-06,0.119,0.389,173.948,4,"['darkstep', 'drill and bass', 'drum and bass', 'dutch dnb', 'neurofunk']",40,116004
2,Through The Night,1TjRddOQEjuUs8YyPKQzY3,Drumsound & Bassline Smith,1f6TTocyaqNFvwD4xsrDTh,Wall of Sound,2013-07-14,172307,False,2,33,2024-11-06,0.36,0.877,10,-5.136,0,0.0311,0.000464,0.00298,0.593,0.342,174.862,4,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",39,65127
3,Straight from the Underground,1BJHrjIgMKHDQ2M54GZbHh,Drumsound & Bassline Smith,1f6TTocyaqNFvwD4xsrDTh,Booyaka EP,2018-12-14,256551,False,3,36,2024-11-06,0.48,0.99,1,-0.466,1,0.159,0.0167,0.846,0.196,0.176,173.977,4,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",39,65127
4,R U Ready - Dubstep Mix,46ncwmw7p7RQCUBsmHycBr,Drumsound & Bassline Smith,1f6TTocyaqNFvwD4xsrDTh,R U Ready / Steal My Heart,2010-02-01,389720,False,1,17,2024-11-06,0.482,0.954,10,-4.485,0,0.0966,0.000874,1.13e-06,0.111,0.0498,139.831,4,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",39,65127
5,Galaxy Dub,5fbmIwBwqA1A59lrgCnDkv,Drumsound & Bassline Smith,1f6TTocyaqNFvwD4xsrDTh,Galaxy Dub,2022-03-18,308965,False,1,28,2024-11-06,0.528,0.94,2,-2.045,0,0.0393,0.00066,0.747,0.105,0.0712,87.013,4,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",39,65127
6,Cold Turkey - Tantrum Desire Remix,7xnQjVelATRgiSLOG8hgjQ,Drumsound & Bassline Smith,1f6TTocyaqNFvwD4xsrDTh,20 Years of Technique - Remix LP,2019-11-04,258115,False,18,27,2024-11-06,0.505,0.976,2,-1.892,1,0.118,0.00231,0.811,0.397,0.206,173.994,4,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",39,65127
7,Through The Night - Club Mix,3COuniT07kL55ebAUg1TFa,Drumsound & Bassline Smith,1f6TTocyaqNFvwD4xsrDTh,Through The Night (feat. Tom Cane),2012-07-29,318452,False,2,22,2024-11-06,0.344,0.96,6,-3.975,1,0.036,7.42e-05,0.281,0.299,0.354,174.891,4,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",39,65127
8,Run Tings,0pTPFRllyljfjmAXRhmmNl,Drumsound & Bassline Smith,1f6TTocyaqNFvwD4xsrDTh,Run Tings,2020-09-11,275862,False,1,21,2024-11-06,0.611,0.888,2,-0.737,1,0.0303,0.00377,0.273,0.242,0.0541,86.984,4,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",39,65127
9,The Only Way,1LARjtDVfWPMsrK33XppkJ,Drumsound & Bassline Smith,1f6TTocyaqNFvwD4xsrDTh,Wall of Sound,2013-07-14,160880,False,12,15,2024-11-06,0.432,0.826,0,-5.156,1,0.035,0.00147,2.5e-06,0.0864,0.43,174.014,4,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",39,65127
10,Jungle Tekno,2JtW15bMqJev70Ab1MAQx7,Drumsound & Bassline Smith,1f6TTocyaqNFvwD4xsrDTh,Jungle Tekno,2023-09-15,231724,False,1,19,2024-11-06,0.543,0.974,9,-0.301,1,0.07,0.00401,0.68,0.2,0.132,174.117,4,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",39,65127
11,Home In That Bass,2WtlAPdL3vRvGijgwaAP4z,Andy C,75HK7rgkmDMTnWwwmcN53N,Home In That Bass,2024-09-13,189310,False,1,42,2024-11-06,0.43,0.984,8,0.053,1,0.324,0.00608,0.00374,0.176,0.113,174.053,4,"['drum and bass', 'jungle', 'uk dnb']",54,158805
12,Through The Night - Radio Edit,4GTBF2Kzd1K0axUgwmPZgQ,Drumsound & Bassline Smith,1f6TTocyaqNFvwD4xsrDTh,Through The Night (feat. Tom Cane),2012-07-29,172526,False,1,23,2024-11-06,0.36,0.892,10,-4.099,0,0.0327,0.000429,0.00186,0.649,0.286,174.771,4,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",39,65127
