,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,All That Really Matters,6cLrGfKIIRHYQw7S0mCDhA,ILLENIUM,45eNHdiiabvmbp4erw26rg,ILLENIUM,2023-04-28,244235,False,2,72,2024-11-06,0.352,0.666,1,-4.909,1,0.0512,0.117,1.81e-06,0.0934,0.227,169.965,4,"['edm', 'melodic dubstep', 'pop dance']",72,1540827
1,Good Things Fall Apart (with Jon Bellion),3LxG9HkMMFP0MZuiw3O2rF,ILLENIUM,45eNHdiiabvmbp4erw26rg,ASCEND,2019-08-16,216668,False,3,60,2024-11-06,0.643,0.603,2,-5.416,1,0.0311,0.012,0.0,0.118,0.42,144.01,4,"['edm', 'melodic dubstep', 'pop dance']",72,1540827
2,Crawl Outta Love,49o6YjBAnjwPKLcXwIH53Z,ILLENIUM,45eNHdiiabvmbp4erw26rg,Awake,2017-09-21,242011,True,2,58,2024-11-06,0.377,0.723,7,-2.951,1,0.046,0.181,0.0,0.0815,0.167,84.139,4,"['edm', 'melodic dubstep', 'pop dance']",72,1540827
3,Feel Something (With I Prevail),5dAtKXyrQoQW054LZqJ5dP,ILLENIUM,45eNHdiiabvmbp4erw26rg,Feel Something (With I Prevail),2020-04-03,221000,False,1,57,2024-11-06,0.428,0.877,5,-4.722,0,0.0835,0.00153,0.00372,0.0943,0.113,75.518,4,"['edm', 'melodic dubstep', 'pop dance']",72,1540827
4,Not Even Love,65s9dLrylbHp60IYIcUZEz,Seven Lions,6fcTRFpz0yH79qSKfof7lp,Not Even Love,2024-03-22,245538,False,1,56,2024-11-06,0.472,0.841,6,-4.236,0,0.052,0.0132,0.0,0.108,0.254,129.799,4,"['brostep', 'complextro', 'dubstep', 'edm', 'electro house', 'melodic dubstep', 'pop dance', 'progressive trance']",61,502876
5,Dreaming - Gibson Parker Remix,3nXFJJmhSKF4fTUNVcmAG2,Rootkit,01olvHW7uzIInQx9VTNuJm,Recursion (Remixes),2021-12-03,205714,False,8,56,2024-11-06,0.564,0.891,0,-5.794,0,0.0354,0.0618,0.522,0.134,0.434,126.064,4,"['chillstep', 'complextro', 'electro house', 'gaming edm', 'melodic dubstep']",49,59069
6,Fractures,6g4FbLU3XJmczmR1JjHnyg,ILLENIUM,45eNHdiiabvmbp4erw26rg,Awake,2017-09-21,245250,False,6,57,2024-11-06,0.406,0.711,4,-3.064,1,0.0436,0.373,0.00195,0.139,0.268,159.862,4,"['edm', 'melodic dubstep', 'pop dance']",72,1540827
7,Dopamine,7vFKcXQ39f74XNrZmXADIT,Wooli,1Uyqa2sdHm1bL5JK4IC4zc,Dopamine,2024-06-12,158896,False,1,54,2024-11-06,0.599,0.853,7,-1.936,0,0.0513,0.0358,3.87e-05,0.175,0.263,144.945,4,"['brostep', 'dubstep']",59,127373
8,First Time (feat. Dylan Matthew),27YD36FUikKxbp3bKSiKGZ,Seven Lions,6fcTRFpz0yH79qSKfof7lp,First Time (feat. Dylan Matthew),2018-10-12,297782,False,1,54,2024-11-06,0.422,0.677,11,-5.76,1,0.0365,0.251,3.55e-06,0.16,0.146,150.131,4,"['brostep', 'complextro', 'dubstep', 'edm', 'electro house', 'melodic dubstep', 'pop dance', 'progressive trance']",61,502876
9,Back To U,19m23w2ANVhtB7rApM6pbN,SLANDER,20DZAfCuP1TKZl5KcY7z3Q,Back To U,2020-04-24,214400,True,1,55,2024-11-06,0.586,0.499,4,-6.627,1,0.049,0.645,0.0,0.109,0.272,149.79,4,['dubstep'],66,531633
