,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Booty Swing,3sMleqdCDalZ6xsAQe8xuY,Parov Stelar,65EXuYHVoehCKqp0kOS6px,"The Princess, Pt. Two",2012-04-20,197506,False,3,60,2024-11-06,0.85,0.669,0,-5.46,1,0.047,0.26,0.274,0.103,0.914,112.966,4,"['balkan beats', 'downtempo', 'electro swing', 'nu jazz']",63,1071656
1,Swing Swing,1wRSOWVqpLIrMCo4vevEef,ayokay,4BzCdhJTyTS3gumq9xmymb,In the Shape of a Dream,2018-08-31,192546,False,2,37,2024-11-06,0.721,0.675,8,-6.465,1,0.0399,0.0684,0.000671,0.0546,0.439,98.021,4,"['electropop', 'indie electropop', 'indie pop rap', 'indie poptimism']",49,181924
2,Mi Swing es Tropical,3zK2IUdvnOaKWC3yCP0P3C,Nickodemus,4VNKVCluxMcjqwYJm3yuQ3,Endangered Species (Bonus Edition),2006-11-14,222920,False,1,55,2024-11-06,0.814,0.894,6,-9.225,1,0.0779,0.0213,6.94e-05,0.294,0.968,100.0,4,"['electro jazz', 'funky breaks', 'nu jazz']",48,50429
3,Swing Easy,7urzqvJq4EYiS2hIA2SZO8,Quantic,5ZMwoAjeDtLJ0XRwRTgaK8,Dog With a Rope,2010-07-19,172413,False,3,28,2024-11-06,0.739,0.679,2,-7.114,1,0.11,0.105,0.264,0.0607,0.961,171.352,4,"['downtempo', 'electronica', 'latin alternative', 'nu jazz', 'nu-cumbia', 'trip hop']",62,364594
4,Swing,0aKC4nygNhLyLzSwCVnaXb,Zero 7,14H7ag1wpQOsPPQJOD6Dqr,Yeah Ghost (Deluxe),2009-09-25,237600,False,3,33,2024-11-06,0.574,0.579,5,-7.806,1,0.0274,0.22,3.6e-06,0.0581,0.306,145.922,3,"['downtempo', 'electronica', 'trip hop']",57,532002
5,Swing Thing,1evyB64vrcp7O3DxU1Q7sB,Boogie Belgique,4TIrC99WSg0tOtBCGDjMRY,Time For A Boogie,2013-01-23,230400,False,7,37,2024-11-06,0.7,0.71,8,-8.5,1,0.0262,0.595,0.575,0.113,0.521,99.966,4,"['electro swing', 'nu jazz']",48,87213
6,Swing Thing (Radio Edit),7LHADBqlquMapUzCMHfdyD,11 Acorn Lane,3D8pAbIPK2aPh9VbWjett5,Swing Thing,2011-11-14,125926,False,1,32,2024-11-06,0.814,0.748,0,-5.267,0,0.0501,0.0127,0.564,0.0834,0.849,125.007,4,['electro swing'],37,29192
7,Swing It Like Roger,3OCotzyyYbf3vNBQ0tZqMR,Klischée,6qokeohfvbaNK1m0VfIEtB,Bend the Rules,2016-10-07,196586,False,3,34,2024-11-06,0.767,0.7,5,-8.253,1,0.184,0.268,0.736,0.105,0.548,127.973,4,['electro swing'],42,19823
8,Swingamajig,6as4CWzd1WiZ9L7AuryPiO,The Electric Swing Circus,3MUnAJMKx97SfTZYNB2iXY,The Electric Swing Circus,2013-07-22,231326,False,3,29,2024-11-06,0.828,0.683,2,-6.885,1,0.139,0.0935,0.000979,0.0859,0.414,119.993,4,['electro swing'],45,71257
9,Swingin' Together,1qTnMOQw3qHLBdMPAzRak5,Elle & The Pocket Belles,0MbDNDhsDB35CyvApzybJt,Swingin' Together,2015-03-11,180755,False,1,33,2024-11-06,0.656,0.553,1,-9.835,0,0.113,0.738,0.0,0.134,0.75,82.46,4,['electro swing'],31,2566
10,The Swing of Justice,73pvVseFgSu70cojlfErYw,Gramatik,179BpmLkQCRIoU68Co80f5,SB3,2010-07-29,340226,False,7,28,2024-11-06,0.757,0.693,10,-3.582,0,0.146,0.247,0.219,0.0302,0.701,62.96,4,"['downtempo', 'instrumental hip hop', 'jazz boom bap', 'jazztronica', 'livetronica', 'slovenian electronic', 'trip hop']",56,680507
11,Swinging Melodies,5I2GzwLoSJavzvYrfufjIx,Little Violet,6IPvyC9odisPFeT9Gc43EE,Code Red,2021-09-03,189495,False,8,26,2024-11-06,0.822,0.805,11,-6.228,0,0.0613,0.0462,0.0919,0.0723,0.808,124.072,4,['electro swing'],35,7323
12,Midnight,6TT9QrhtNpgWdrFGfjfV02,Swingrowers,3mp5zzEz1qTq7X5a2yOS2B,Remote,2014-08-14,223425,False,1,42,2024-11-06,0.731,0.921,8,-4.695,1,0.0849,0.38,1.78e-05,0.182,0.633,98.976,4,['electro swing'],43,57809
