,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Queen Of The Clouds,2014-01-01,209160,False,13,72,2024-11-06,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,4,"['dance pop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",75,3631867
1,I Love It (feat. Charli XCX),6HZ9VeI5IRFCNQLXhpF4bq,Icona Pop,1VBflYyxBhnDc9uVib98rw,THIS IS... ICONA POP,2013-08-27,157152,True,1,71,2024-11-06,0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,4,"['candy pop', 'dance pop', 'electropop', 'metropopolis', 'swedish electropop', 'swedish synthpop']",68,721770
2,Lush Life,1rIKgCH4H52lrvDcz50hS8,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,So Good,2017-03-17,201122,False,2,80,2024-11-06,0.694,0.712,7,-3.923,0,0.046,0.132,0.0,0.211,0.799,98.023,4,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",78,10584264
3,Never Be Like You (feat. Kai),14gdERIqymApVn9vcsbmZ3,Flume,6nxWCVXbOlEVRexSbLsTer,Skin,2016-05-27,234909,True,2,69,2024-11-06,0.448,0.59,0,-4.359,1,0.0577,0.446,0.0,0.14,0.264,119.834,4,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,2465296
4,Walking On A Dream,3HfhB8sYqLlVmpBPb7cc2x,Empire Of The Sun,67hb7towEyKvt5Z8Bx306c,Walking On A Dream,2008-01-01,198440,False,2,67,2024-11-06,0.87,0.699,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.727,126.967,4,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",78,1618868
5,Bad At Love,3OzCF9i6Ey7EkkAYJztmKp,Halsey,26VFTg2z8YR0cCuwLzESi2,hopeless fountain kingdom (Deluxe Plus),2017-06-02,181279,False,11,71,2024-11-06,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,4,"['electropop', 'etherpop', 'indie poptimism', 'pop']",83,21762055
6,Genesis,3cjvqsvvU80g7WJPMVh8iq,Grimes,053q0ukIDRgzwTr4vNSwab,Visions,2012-02-21,255320,False,2,66,2024-11-06,0.611,0.677,10,-6.745,0,0.034,0.0764,0.0698,0.241,0.233,166.04,4,"['art pop', 'canadian electropop', 'grave wave', 'indietronica', 'metropopolis', 'neo-synthpop']",70,2446722
7,Without Me,6FZDfxM3a3UCqtzo5pxSLZ,Halsey,26VFTg2z8YR0cCuwLzESi2,Manic,2020-01-17,201660,True,9,77,2024-11-06,0.752,0.488,6,-7.05,1,0.0705,0.293,9.2e-06,0.0936,0.533,136.07,4,"['electropop', 'etherpop', 'indie poptimism', 'pop']",83,21762055
8,Bulletproof,3kMrazSvILsgcwtidZd1Qd,La Roux,3K2zB87GZv1krx031en5VA,La Roux,2009,205733,False,4,71,2024-11-06,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.62e-05,0.068,0.682,123.017,4,"['alternative dance', 'electropop', 'indietronica', 'neo-synthpop']",65,656772
9,Panic Attack,5OKyVJq7nRnWfBbsiCiyfb,Halsey,26VFTg2z8YR0cCuwLzESi2,The Great Impersonator,2024-10-25,216006,True,5,68,2024-11-06,0.734,0.563,5,-5.86,1,0.0352,0.204,0.0,0.123,0.592,122.966,4,"['electropop', 'etherpop', 'indie poptimism', 'pop']",83,21762055
10,Oblivion,3LGsgpx4TfxhXbr07OFKqs,Grimes,053q0ukIDRgzwTr4vNSwab,Visions,2012-02-21,251266,False,3,65,2024-11-06,0.697,0.529,2,-8.838,1,0.0338,0.115,0.896,0.0895,0.486,155.974,4,"['art pop', 'canadian electropop', 'grave wave', 'indietronica', 'metropopolis', 'neo-synthpop']",70,2446722
11,Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,Empire Of The Sun,67hb7towEyKvt5Z8Bx306c,Walking On A Dream (10th Anniversary Edition),2008-10-03,198440,False,2,77,2024-11-06,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,4,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",78,1618868
12,Ego,7n75gXHoMH9H8MnGJwXRjU,Halsey,26VFTg2z8YR0cCuwLzESi2,The Great Impersonator,2024-10-25,198498,True,2,63,2024-11-06,0.59,0.961,7,-2.491,1,0.113,0.00508,0.0,0.339,0.349,104.969,4,"['electropop', 'etherpop', 'indie poptimism', 'pop']",83,21762055
13,Talking Body,2tpfxAXiI52znho4WE3XFA,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Queen Of The Clouds,2014-09-24,238426,True,4,65,2024-11-06,0.736,0.761,4,-5.449,0,0.0338,0.0966,0.0,0.0823,0.114,119.999,4,"['dance pop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",75,3631867
