,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Revenge,5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,17,2017-08-25,120026,True,5,85,2024-11-06,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,4,"['emo rap', 'miami hip hop', 'rap']",89,47330049
1,Fuck Love,7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,17,2017-08-25,146520,True,8,83,2024-11-06,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,4,"['emo rap', 'miami hip hop', 'rap']",89,47330049
2,Falling Down - Bonus Track,4jvjzW7Hm0yK4LvvE0Paz9,Lil Peep,2kCcBybjl3SAtIcwdWpUe3,"Come Over When You're Sober, Pt. 2",2018-11-09,196400,False,12,84,2024-11-06,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,4,"['cloud rap', 'emo rap', 'lgbtq+ hip hop']",85,13284816
3,The Middle,6GG73Jik4jUlQCkKg9JuGO,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,Bleed American,2001-07-17,165853,False,3,80,2024-11-06,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,4,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",70,1620701
4,nuts,4k3xDpAdBuM17mNNHhOZkK,Lil Peep,2kCcBybjl3SAtIcwdWpUe3,LIVE FOREVER,2015-12-02,85360,True,4,81,2024-11-06,0.51,0.739,2,-7.41,1,0.0415,0.00872,0.0,0.111,0.148,62.007,4,"['cloud rap', 'emo rap', 'lgbtq+ hip hop']",85,13284816
5,i was all over her,6mSnSuOhgHHohqeBw76jRV,salvia palth,0pg0Zm8FsGAYy5kdHuBnSo,melanchole,2013-05-06,161422,False,5,81,2024-11-06,0.537,0.366,7,-12.774,1,0.0303,0.775,0.883,0.113,0.0538,104.572,4,"['countrygaze', 'lo-fi emo', 'lo-fi indie', 'pov: indie', 'slowcore', 'small room']",72,1240885
6,Star Shopping,1WbhIxkn5ECsOwUm795iX1,Lil Peep,2kCcBybjl3SAtIcwdWpUe3,Star Shopping,2015-08-17,142000,True,1,81,2024-11-06,0.538,0.471,4,-9.84,0,0.0955,0.0946,0.0185,0.116,0.307,93.07,4,"['cloud rap', 'emo rap', 'lgbtq+ hip hop']",85,13284816
7,Misery Business,6SpLc7EXZIPpy0sVko0aoU,Paramore,74XFHRwlV6OrjEM0A2NCMF,Riot!,2007-06-11,211520,False,4,74,2024-11-06,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,4,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",80,8875735
8,(dream),17YNmMy03QLPirmBzWxFa6,salvia palth,0pg0Zm8FsGAYy5kdHuBnSo,melanchole,2013-05-06,84701,False,10,79,2024-11-06,0.316,0.318,0,-13.164,1,0.0339,0.918,0.861,0.119,0.135,147.275,4,"['countrygaze', 'lo-fi emo', 'lo-fi indie', 'pov: indie', 'slowcore', 'small room']",72,1240885
9,Hope,2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,?,2018-03-16,110886,True,16,82,2024-11-06,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4,"['emo rap', 'miami hip hop', 'rap']",89,47330049
