,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,What You Heard,3a3dQOO19moXPeTt2PomoT,Sonder,2ICR2m4hOBPhaYiZB3rnLW,What You Heard,2019-02-22,238242,True,1,76,2024-11-06,0.429,0.371,2,-9.017,0,0.0327,0.546,5.71e-06,0.104,0.135,137.134,4,['experimental r&b'],73,1411578
1,Always Forever,2enPRFda84VE2wtI8c86Uf,Cults,3Oim8XBPbznAa8Jj8QzNc8,Static,2013-10-15,223746,False,3,79,2024-11-06,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,4,"['experimental pop', 'indie surf', 'pov: indie']",73,976677
2,One Night Only,74fQgHleHZ4V7Gm1XYcGkj,Sonder,2ICR2m4hOBPhaYiZB3rnLW,One Night Only,2018-02-09,195909,False,1,74,2024-11-06,0.874,0.402,4,-5.786,1,0.0691,0.263,0.00094,0.147,0.764,119.99,4,['experimental r&b'],73,1411578
3,Gilded Lily,3Z0qLOS0cqWKPHXkbTXmNF,Cults,3Oim8XBPbznAa8Jj8QzNc8,Offering,2022-10-26,212736,False,11,76,2024-11-06,0.4,0.571,11,-6.534,0,0.0288,0.468,3.05e-05,0.519,0.146,61.859,4,"['experimental pop', 'indie surf', 'pov: indie']",73,976677
4,Poison Tree,6Q5uDNuuFYa8ToL3CCoHPC,Grouper,31uyAcnY0kjjKKIQZMKX4i,Inca Ore / Grouper,2008-06-03,196893,False,2,76,2024-11-06,0.224,0.139,11,-22.587,1,0.0354,0.961,0.913,0.108,0.213,111.316,4,"['ambient', 'ambient pop', 'art pop', 'dream pop', 'drone', 'electra', 'experimental ambient', 'experimental pop', 'modern dream pop', 'spectra']",63,307551
5,Care,3tkxfORwPo2zydAf25YFOc,Sonder,2ICR2m4hOBPhaYiZB3rnLW,Into,2017-01-27,164488,False,7,70,2024-11-06,0.36,0.182,10,-16.803,0,0.0388,0.889,7.53e-06,0.117,0.098,126.721,3,['experimental r&b'],73,1411578
6,I'm God,0FVuyC9RP5MACjp4lgU3qZ,Clams Casino,5vSQUyT33qxr1xAX2Tkf3A,Instrumental Relics,2020-04-24,277710,False,1,73,2024-11-06,0.529,0.641,2,-6.78,1,0.0336,0.0711,0.76,0.102,0.089,141.931,4,"['cloud rap', 'experimental hip hop', 'instrumental hip hop', 'psychedelic hip hop']",72,321752
7,Too Fast,0QyJXG36Q3Kta662XS8GhY,Sonder,2ICR2m4hOBPhaYiZB3rnLW,Into,2017-01-27,295800,False,4,69,2024-11-06,0.407,0.323,4,-11.076,0,0.041,0.281,2.42e-05,0.487,0.136,99.209,3,['experimental r&b'],73,1411578
8,Nobody But You,6VFKuuqSbA1GpMEosUgTwQ,Sonder,2ICR2m4hOBPhaYiZB3rnLW,Nobody But You,2021-04-09,213214,True,1,68,2024-11-06,0.637,0.299,7,-11.314,1,0.0366,0.742,0.0,0.359,0.364,83.872,4,['experimental r&b'],73,1411578
9,Mad Riches,0vA6Nhloi5UX2jmqX5Tvk9,Sonder,2ICR2m4hOBPhaYiZB3rnLW,Too Late To Die Young,2022-10-21,116129,True,2,65,2024-11-06,0.395,0.241,3,-11.555,0,0.045,0.948,0.000418,0.117,0.248,77.873,4,['experimental r&b'],73,1411578
10,Alesis,4u7vj352S98d9iA7ac1EVG,Mk.gee,7tr9pbgNEKtG0GQTKe08Tz,Two Star & The Dream Police,2024-02-09,198295,False,9,65,2024-11-06,0.833,0.687,11,-7.851,0,0.0651,0.58,0.00453,0.108,0.418,108.075,4,['experimental r&b'],66,228325
11,QKThr,4LIM4qmpHABufePRrLWbiM,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,Drukqs,2001-10-22,87466,False,19,68,2024-11-06,0.451,0.0223,1,-26.117,1,0.0461,0.993,0.768,0.13,0.0573,79.042,3,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",67,1512283
12,Andromeda,51EMSRpNm9Rg5rGViVCczv,Weyes Blood,3Uqu1mEdkUJxPe7s31n1M9,Titanic Rising,2019-04-05,280186,False,2,65,2024-11-06,0.467,0.461,1,-7.94,0,0.0274,0.368,0.00115,0.358,0.188,131.325,4,"['art pop', 'chamber pop', 'dream pop', 'experimental folk', 'experimental pop', 'indie pop']",59,490727
13,Pepper,1ng36571Iyov4HBxUClySn,Butthole Surfers,62BcWP4fzR8axESibNQEhs,Electriclarryland,1996-01-01,297266,False,3,61,2024-11-06,0.631,0.804,7,-5.492,1,0.166,0.00589,0.00116,0.16,0.671,79.898,4,"['alternative rock', 'experimental rock', 'grunge', 'noise rock', 'psychedelic punk', 'punk']",52,378876
14,Are You Looking Up,1sWYVBg7ix2WAq43J9nY7E,Mk.gee,7tr9pbgNEKtG0GQTKe08Tz,Two Star & The Dream Police,2024-02-09,166179,False,3,64,2024-11-06,0.653,0.513,11,-8.972,1,0.0724,0.964,0.693,0.148,0.844,153.683,4,['experimental r&b'],66,228325
15,either on or off the drugs,3EWaU5exMayFzQMkIfTX7w,JPEGMAFIA,6yJ6QQ3Y5l0s0tn7b0arrO,I LAY DOWN MY LIFE FOR YOU,2024-08-01,140593,True,11,65,2024-11-06,0.505,0.605,6,-5.564,0,0.191,0.15,0.0,0.785,0.631,184.473,3,"['alternative hip hop', 'experimental hip hop', 'industrial hip hop']",68,881424
16,Feel,1uverlfbbG8InEPioAwB8y,Sonder,2ICR2m4hOBPhaYiZB3rnLW,Into,2017-01-27,232502,False,1,63,2024-11-06,0.455,0.255,6,-14.512,0,0.0377,0.525,0.00176,0.382,0.195,131.959,4,['experimental r&b'],73,1411578
17,Eusexua,7FdDBpqrdpWtdAromLpv4V,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,Eusexua,2024-09-13,263693,False,1,65,2024-11-06,0.645,0.559,9,-14.292,1,0.0763,0.599,0.162,0.113,0.106,142.934,4,"['afrofuturism', 'alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'trip hop']",66,1279252
18,Creme's Interlude,5kYaWgEAb5WTI0x97T5Kh1,Pink Siifu,40ZElxHldNyvn7x8WRC6fh,FlySiifu's,2020-11-13,140464,True,16,63,2024-11-06,0.328,0.314,10,-15.512,0,0.162,0.904,0.000485,0.631,0.603,177.386,3,"['drumless hip hop', 'experimental hip hop']",53,78623
19,Baldwin Park,2fadrikKAPlypHJWhvv8CM,Sonder,2ICR2m4hOBPhaYiZB3rnLW,Into,2017-01-27,95108,False,5,62,2024-11-06,0.724,0.297,5,-11.687,0,0.0508,0.612,0.797,0.191,0.388,125.003,3,['experimental r&b'],73,1411578
20,100,784VjdNkpXhFV0RHquzsi2,Dean Blunt,5CFSYjc0PAiQvndFjafabk,BLACK METAL,2014-11-03,200906,False,4,63,2024-11-06,0.613,0.807,10,-6.47,0,0.0246,0.000406,0.065,0.267,0.482,102.205,4,"['collage pop', 'hypnagogic pop', 'uk experimental electronic']",62,254428
21,Break You Off,3ijLtvQmoX17q1wTgU7SiI,Sonder,2ICR2m4hOBPhaYiZB3rnLW,Too Late To Die Young,2022-10-21,127142,True,4,62,2024-11-06,0.788,0.394,11,-9.519,1,0.0929,0.797,0.0,0.535,0.471,105.002,4,['experimental r&b'],73,1411578
22,Searchin,2WcPWXOjoDKDVouyyWV8Eq,Sonder,2ICR2m4hOBPhaYiZB3rnLW,Into,2017-01-27,264242,False,6,61,2024-11-06,0.718,0.396,10,-12.539,0,0.0357,0.148,1.08e-05,0.176,0.338,103.994,4,['experimental r&b'],73,1411578
23,All In,3usWHldhgpQvKVaW5uC9Ke,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,Freewave 3,2019-02-15,105743,True,13,60,2024-11-06,0.846,0.555,6,-10.314,0,0.315,0.348,0.178,0.274,0.823,118.115,4,"['alternative hip hop', 'drumless hip hop', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']",71,2295049
24,Limerence,2wiV5iKq5F5A0KUee4OrlK,Yves Tumor,0qu422H5MOoQxGjd4IzHbS,Mono No Aware,2017-03-17,329361,True,3,64,2024-11-06,0.325,0.322,8,-16.613,1,0.03,0.887,0.214,0.118,0.724,182.073,3,"['art pop', 'escape room', 'experimental pop', 'experimental r&b', 'hypnagogic pop']",58,402236
25,These Days,3uCkIqD0VzQUijbs8WIizs,Nico,0IwlY33zbBXN7zlS9DP2Cj,Chelsea Girl,1967-10-09,210653,False,2,63,2024-11-06,0.401,0.13,5,-17.638,1,0.0312,0.989,0.305,0.101,0.213,93.091,4,"['experimental', 'melancholia', 'singer-songwriter']",61,346470
26,9,5JXtkWtuqS8Dm8sKbtPGWa,Dean Blunt,5CFSYjc0PAiQvndFjafabk,ZUSHI,2020-03-27,87115,False,9,61,2024-11-06,0.491,0.307,5,-14.502,0,0.0395,0.275,0.000171,0.101,0.0849,112.723,5,"['collage pop', 'hypnagogic pop', 'uk experimental electronic']",62,254428
27,Indonesian Fantasies,3NktF1rRdORH8FH3p8wKp3,Sonder,2ICR2m4hOBPhaYiZB3rnLW,Too Late To Die Young,2022-10-21,119505,True,3,61,2024-11-06,0.789,0.521,1,-7.923,0,0.115,0.0657,0.000155,0.0918,0.529,91.018,4,['experimental r&b'],73,1411578
