,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Mi Luz (ft. Rels B),0TkIQ2I48rz4kpk1XpfyHq,Rvfv,2CCgb0KApjfQDuTppovpf8,NASTU,2022-01-28,168000,False,4,74,2024-11-06,0.705,0.526,6,-6.359,1,0.327,0.509,0.000106,0.0742,0.671,200.031,4,"['drill espanol', 'flamenco urbano', 'urbano espanol', 'urbano latino']",75,758058
1,Mirándote,6wywJ7RutAY0JL7cMP7uFN,Rvfv,2CCgb0KApjfQDuTppovpf8,Mirándote,2019-06-18,135914,True,1,72,2024-11-06,0.689,0.739,0,-5.566,1,0.112,0.236,0.000147,0.111,0.473,106.447,4,"['drill espanol', 'flamenco urbano', 'urbano espanol', 'urbano latino']",75,758058
2,Bamboleo,5siwoDxCGDYnmfWV5SlUpE,Gipsy Kings,3jc496ljiyrS3ECrD7QiqL,Gipsy Kings,1988-11-08,203173,False,1,49,2024-11-06,0.671,0.884,6,-9.267,0,0.0586,0.414,0.00015,0.0701,0.933,119.574,4,"['flamenco', 'rumba', 'world']",67,951724
3,The Ketchup Song (Aserejé) - Spanish Version,6NG2IIXZfC5Notpz0GIODU,Las Ketchup,1e8GEl48ktvfDpruMKB6Oe,Aserejé (The Ketchup Song),2002,213000,False,1,60,2024-11-06,0.602,0.947,1,-5.642,1,0.115,0.00842,6.41e-05,0.123,0.883,184.976,4,['flamenco electronica'],55,56811
4,Volare,06UAZUY5qyFy50poO0nLBY,Gipsy Kings,3jc496ljiyrS3ECrD7QiqL,Mosaique,1989-11-17,218466,False,7,47,2024-11-06,0.612,0.876,4,-8.323,1,0.0515,0.644,1.2e-05,0.383,0.909,116.104,4,"['flamenco', 'rumba', 'world']",67,951724
5,Bamboleo,4EveU9Zb50mjgi5avDNqlK,Gipsy Kings,3jc496ljiyrS3ECrD7QiqL,!Volare! The Very Best of the Gipsy Kings,2000-09-05,203173,False,2,47,2024-11-06,0.671,0.884,6,-9.267,0,0.0586,0.414,0.00015,0.0701,0.933,119.574,4,"['flamenco', 'rumba', 'world']",67,951724
6,Goteras,4sykJxUsqdXZRqRv1J9fEQ,Omar Montes,3lY9Fxceu60W1rbon7PkuF,Goteras,2024-06-27,216450,False,1,73,2024-11-06,0.633,0.815,6,-2.94,0,0.0635,0.406,0.0,0.16,0.353,95.953,4,"['flamenco urbano', 'urbano espanol']",73,828373
7,Salitre,6NXPhNtKgDn7OJaLaELuSH,Manuel Carrasco,7qAoXV4U0qDxQAUqhszjAA,Salitre,2023-11-10,220872,False,1,67,2024-11-06,0.728,0.759,4,-4.459,1,0.348,0.625,0.0,0.0737,0.664,93.984,4,"['carnaval cadiz', 'pop flamenco', 'spanish pop']",67,2247240
8,The Ketchup Song (Aserejé) - Spanglish Version,6UEfyhyfhYQsyipxOd95Ie,Las Ketchup,1e8GEl48ktvfDpruMKB6Oe,Hijas del Tomate,2002,213973,False,1,65,2024-11-06,0.607,0.923,1,-6.777,1,0.0948,0.0193,1.1e-06,0.0924,0.868,184.819,4,['flamenco electronica'],55,56811
9,Hotel California (Spanish Mix),4Rvhe8O90hFIExTJkdrRPM,Gipsy Kings,3jc496ljiyrS3ECrD7QiqL,!Volare! The Very Best of the Gipsy Kings,2000-09-05,346760,False,37,44,2024-11-06,0.456,0.822,11,-9.069,0,0.0488,0.533,3.05e-05,0.103,0.531,102.131,4,"['flamenco', 'rumba', 'world']",67,951724
10,Summer Rain,5IdhVFJKEU4JNi7cwDnc6h,Le Parody,7ls2WeFdaXVNgCq5zWKDjF,Summer Rain,2015-07-14,190111,False,1,56,2024-11-06,0.738,0.877,0,-4.997,1,0.0299,0.378,0.0474,0.106,0.747,134.951,4,"['flamenco electronica', 'spanish indie pop']",43,11756
11,YOTULOKO,49kkoKoXAnjNRlxot1ZnlW,Omar Montes,3lY9Fxceu60W1rbon7PkuF,YOTULOKO,2024-07-11,213699,False,1,72,2024-11-06,0.807,0.729,1,-4.077,0,0.0683,0.0794,2.53e-06,0.039,0.666,97.02,4,"['flamenco urbano', 'urbano espanol']",73,828373
12,Allegria,4TPAEAfhLcGvOK6iNzgOZm,Gipsy Kings,3jc496ljiyrS3ECrD7QiqL,Allegria,2013-02-24,167000,False,2,55,2024-11-06,0.574,0.58,6,-16.536,0,0.0349,0.846,0.571,0.714,0.901,107.044,4,"['flamenco', 'rumba', 'world']",67,951724
