,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,Strange Trails,2015-04-07,208211,False,14,78,2024-11-06,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,3,"['indie folk', 'stomp and holler']",78,1756416
1,Evergreen,6me7F0aaZjwDo6RJ5MrfBD,Richy Mitch & The Coal Miners,4qU7IJSReZnsLy5907Mtau,RMCM,2017-05-17,87000,False,1,84,2024-11-06,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,3,['modern folk rock'],74,231435
2,Riptide,2uXlHCUbq9OMUwx3hrk06o,Vance Joy,10exVja0key0uqUkk6LJRT,Dream Your Life Away (Deluxe Edition),2014-08-05,204280,False,4,85,2024-11-06,0.483,0.731,1,-6.696,1,0.0381,0.436,0.0,0.151,0.484,101.654,4,"['folk-pop', 'modern rock']",78,3192867
3,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,Blowin' Your Mind!,1967-09,183306,False,1,82,2024-11-06,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,4,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",75,3306696
4,Ophelia,14AyWf6y7KlWWLfAjdKMKI,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,Cleopatra,2016-04-08,160097,False,2,80,2024-11-06,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']",79,5528113
5,ceilings,2L9N0zZnd37dwF0clgxMGI,Lizzy McAlpine,1GmsPCcpKgF9OhlNXjOsbS,five seconds flat,2022-04-08,182887,False,8,80,2024-11-06,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,3,"['alt z', 'boston folk', 'indie pop', 'singer-songwriter pop']",75,1094123
6,Budapest,2ixsaeFioXJmMgkkbd4uj1,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Wanted on Voyage (Expanded Edition),2014-06-30,200733,False,2,82,2024-11-06,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,4,"['folk-pop', 'neo-singer-songwriter']",75,4243574
7,Ho Hey,0DwClY2t9YAWHBROMIgrXb,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,2012-04-03,163133,False,5,80,2024-11-06,0.685,0.466,0,-9.074,1,0.0304,0.791,2.06e-06,0.0914,0.353,79.936,4,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']",79,5528113
8,Big Black Car,3Kj2EWpIBnvETsYq4cq0IH,Gregory Alan Isakov,5sXaGoRLSpd7VeyZrLkKwt,This Empty Northern Hemisphere,2009-01-01,217466,False,6,76,2024-11-06,0.6,0.186,3,-15.926,1,0.0317,0.909,0.00102,0.104,0.468,110.044,4,"['indie folk', 'pop folk', 'stomp and flutter', 'stomp and holler']",73,973833
9,Je te laisserai des mots,44A0o4jA8F2ZF03Zacwlwx,Patrick Watson,7bPs6jf983f0bjRAt1yxDM,Je te laisserai des mots,2010-09-10,160853,False,1,83,2024-11-06,0.303,0.187,2,-16.757,1,0.0356,0.989,0.499,0.102,0.212,132.679,4,"['indie folk', 'indie quebecois']",74,787273
10,Listen to the Music,7Ar4G7Ci11gpt6sfH9Cgz5,The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,Toulouse Street,1972,227266,False,1,76,2024-11-06,0.645,0.598,1,-13.18,0,0.0334,0.221,3.53e-06,0.0721,0.913,105.929,4,"['album rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",69,2598210
11,Bloom - Bonus Track,1HMQmOWrkieKYWlFsjUP3D,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,Woodland,2013-03-05,210080,False,6,76,2024-11-06,0.591,0.416,1,-9.794,1,0.0246,0.882,0.000641,0.112,0.415,96.003,4,"['acoustic pop', 'australian indie folk', 'indie anthem-folk', 'indie folk', 'stomp and flutter', 'stomp and holler']",71,818300
12,Rosyln,4k7x3QKrc3h3U0Viqk0uop,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,The Twilight Saga: New Moon (Original Motion Picture Soundtrack),2009-10-16,289560,False,8,75,2024-11-06,0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719,3,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']",79,3718151
13,For What It's Worth,1qRA5BS78u3gME0loMl9AA,Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Buffalo Springfield,1966-12-05,153693,False,1,76,2024-11-06,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,4,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'southern rock']",64,847413
14,Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,Dr. Dog,4mLJ3XfOM5FPjSAWdQ2Jk7,"Shame, Shame (Deluxe Edition)",2010-11-02,234800,False,5,77,2024-11-06,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4,"['chamber pop', 'indie rock', 'modern folk rock', 'philly indie', 'pov: indie', 'seattle indie', 'stomp and holler']",65,566460
15,Flowers In Your Hair,5PbdVk09VHHcvGa0pX86RP,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,2012-04-03,109735,False,1,73,2024-11-06,0.67,0.609,7,-10.088,1,0.0333,0.75,6.74e-05,0.227,0.573,127.463,4,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']",79,5528113
16,Let Her Go,1KxwZYyzWNyZSRyErj2ojT,Passenger,0gadJ2b9A4SKsB1RFkBb66,All The Little Lights,2012-08-28,252733,False,2,72,2024-11-06,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,4,"['folk-pop', 'neo mellow']",72,3414063
