,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Village Blues,4TxMemoctTNQA185RVwWEo,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Coltrane Jazz,1961-02,324493,False,2,40,2024-11-06,0.494,0.222,5,-19.635,1,0.0358,0.755,0.00574,0.111,0.367,108.397,4,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
1,Stormy Weather,5xc4Wm7b5Hrl4fACGs1ZWv,Charles Mingus,1W8TbFzNS15VwsempfY12H,Jazzical Moods,1955,195200,False,2,28,2024-11-06,0.274,0.178,10,-11.946,0,0.0294,0.836,0.92,0.109,0.126,75.398,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
2,I'll Wait and Pray,1Rph9i0FWKDa9Aq9H4iiMx,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Coltrane Jazz,1961-02,206360,False,7,42,2024-11-06,0.475,0.0588,5,-17.464,0,0.0418,0.89,0.0238,0.129,0.241,115.642,4,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
3,Goodbye Pork Pie Hat,3PJMsxg6rz9FOo6xNiASXz,Charles Mingus,1W8TbFzNS15VwsempfY12H,Mingus Ah Um,1959,342373,False,2,52,2024-11-06,0.356,0.0937,8,-16.64,0,0.0353,0.957,0.096,0.209,0.278,86.669,3,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
4,Jazz,14RIOUO6Eb8NmwX8BeVMpm,Bobby Hutcherson,3uO6HG2JwyP744sg4PMmg5,San Francisco,1971-05-01,326333,False,3,10,2024-11-06,0.443,0.682,2,-9.501,0,0.0302,0.869,0.00576,0.162,0.62,112.16,4,"['contemporary post-bop', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz vibraphone', 'mallet']",39,50813
5,"Alabama - Live At Birdland Jazzclub, New York City, NY, 10/18/1963",013grywiX7Qu6WVfnJ1opa,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Live At Birdland,1963-01-01,308933,False,4,31,2024-11-06,0.428,0.0768,0,-17.412,0,0.0413,0.774,0.0487,0.123,0.112,107.712,4,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
6,"Afro-Blue - Live At Birdland Jazzclub, New York City, NY, 10/8/1963",5QblyNjAyOs0AJBQHJQkrn,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Live At Birdland,1963-01-01,649466,False,1,29,2024-11-06,0.323,0.703,5,-8.512,0,0.0394,0.149,0.012,0.595,0.597,131.553,4,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
7,Thème De Yoyo,5IlIAiAgrGmXzCa5iNoUx0,Art Ensemble Of Chicago,0LTIwNcvI31Zf5wwFVRHyu,Jazz Party,2017-09-18,541053,False,9,17,2024-11-06,0.48,0.603,0,-12.281,0,0.0824,0.257,0.00116,0.107,0.619,129.849,4,"['avant-garde jazz', 'free improvisation', 'free jazz']",22,35213
8,Free Jazz - Pts. 1 & 2,6V8P6r0oHuTorKcoDYN0mv,Ornette Coleman,47odibUtrN3lnWx0p0pk2P,Free Jazz,2005-03-22,2223760,False,1,20,2024-11-06,0.442,0.379,2,-18.75,1,0.0719,0.616,1.32e-05,0.381,0.418,93.492,4,"['avant-garde jazz', 'contemporary post-bop', 'free jazz', 'jazz', 'jazz saxophone']",35,137489
9,Mood Indigo,2Z7ktNuO2YsY2wS5FC62k4,Charles Mingus,1W8TbFzNS15VwsempfY12H,Mingus Mingus Mingus Mingus Mingus,1963,285933,False,4,46,2024-11-06,0.348,0.107,0,-22.793,0,0.0306,0.933,0.887,0.1,0.115,58.801,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
10,Better Git It in Your Soul,16nJl8NnriCJxraco5Zssm,Charles Mingus,1W8TbFzNS15VwsempfY12H,Mingus Ah Um,1959,440840,False,1,45,2024-11-06,0.457,0.548,5,-12.486,0,0.0551,0.111,0.00016,0.103,0.76,88.8,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
11,I'm Old Fashioned,0y2Z1qzifsFGfV27cxFimW,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Jazz,2017-05-26,477512,False,5,20,2024-11-06,0.5,0.204,0,-11.788,0,0.0326,0.94,0.378,0.0765,0.372,79.542,4,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
12,Cigarros - Guitar Hip Hop Beat Mix,0egsD1TubmEQVcluUejqKg,Fx-M Black Beats,0m2LdWJiefuo3J12oj2kmZ,Jazz Beats & Chill Rap Instrumentals,2016-10-08,208224,False,8,28,2024-11-06,0.734,0.701,7,-7.195,1,0.0481,0.0118,0.949,0.109,0.781,82.973,4,"['bases de freestyle', 'jazz boom bap']",23,12169
13,Nostalgia In Times Square - 1994 Remaster,5p1SjSgqgODz1rIbNyLzwB,Charles Mingus,1W8TbFzNS15VwsempfY12H,Jazz Portraits-Mingus In Wonderland,1959,738023,False,1,17,2024-11-06,0.538,0.381,8,-14.739,1,0.121,0.832,0.0971,0.713,0.389,145.085,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
14,Moanin',3rFzc8CLVDZ7OOtFa2jPYP,Charles Mingus,1W8TbFzNS15VwsempfY12H,Blues & Roots,1960-03,482959,False,3,41,2024-11-06,0.488,0.476,5,-10.316,0,0.0497,0.438,0.000279,0.11,0.583,110.951,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
15,I Can See - Haus-A-Holics Mix,7sLnjUyZaBceo3c5YYnCYJ,Sf Spanish Fly,3Btbb0uXxFOOmeWrVsyKOU,Digging In The Crates: 1997 Vol. 1,2007-01-30,220513,False,2,12,2024-11-06,0.758,0.883,9,-5.265,1,0.0838,0.0625,4.31e-05,0.0345,0.921,128.995,4,"['deep freestyle', 'freestyle']",23,5120
16,My Shining Hour,38DgLl4Cm6tU7wKyB6ZykE,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Coltrane Jazz,1961-02,288986,False,3,29,2024-11-06,0.65,0.345,9,-12.921,0,0.0484,0.72,5.18e-05,0.321,0.658,112.766,4,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
17,II B.S.,2EaZbxVX7h717dXZC6x7Gt,Charles Mingus,1W8TbFzNS15VwsempfY12H,Jazz,2017-05-26,287771,False,12,19,2024-11-06,0.425,0.467,0,-13.026,1,0.0547,0.605,0.112,0.109,0.683,106.77,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
18,Morning,7yWLnSnFuDfCZZ6lku2IL5,Yusef Lateef,33XkS6h90eeK7e6OJHw0mq,Jazz Mood,1957-04-09,638000,False,4,20,2024-11-06,0.634,0.136,0,-20.997,0,0.0714,0.957,0.0848,0.06,0.544,126.712,4,"['avant-garde', 'bebop', 'free jazz', 'jazz', 'jazz saxophone']",51,143241
19,"I Want To Talk About You - Live At Birdland Jazzclub, New York City, NY, 10/8/1963",0Gyk86QWZXG45SvjpLbu6D,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Live At Birdland,1963-01-01,490533,False,2,22,2024-11-06,0.459,0.254,8,-12.848,1,0.0753,0.65,0.000619,0.0567,0.793,98.866,1,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
20,Little Old Lady,6yEiLheybRkNWSgyp7HyBg,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Coltrane Jazz,1961-02,268440,False,1,27,2024-11-06,0.583,0.192,3,-17.839,1,0.0523,0.633,0.00265,0.105,0.506,93.623,4,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
21,"Ye Hypocrite, Ye Beelzebub",3Xxe4i01ZT533MHIVL3ixm,George Russell,1CkthcIyaPjnbHLcwhbU7c,The Jazz Workshop,1957-01-01,230866,False,1,15,2024-11-06,0.599,0.496,10,-12.292,0,0.0403,0.753,0.484,0.135,0.647,118.3,3,['free jazz'],14,8669
22,Blue Train,7aKteb8E3Y90CSSfS6Illt,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Jazz,2017-05-26,641663,False,20,17,2024-11-06,0.508,0.404,8,-10.786,1,0.0472,0.819,0.0151,0.244,0.607,134.666,4,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
23,Jazz from an Unknown Planet,17kB4VSMkC9bmuTDMTGGap,Sun Ra & His Arkestra,1hATsMMFoS9KKP7yI6ENFw,Cosmos,2016-03-04,428343,False,7,3,2024-11-06,0.366,0.249,5,-15.935,0,0.0343,0.406,0.858,0.113,0.372,99.16,4,"['experimental big band', 'free jazz']",31,17045
24,Boogie Stop Shuffle,11cHTwgw5L3qrNcv5Ugv0O,Charles Mingus,1W8TbFzNS15VwsempfY12H,Mingus Ah Um,1959,298960,False,3,36,2024-11-06,0.574,0.541,10,-12.369,0,0.0566,0.387,0.00183,0.301,0.679,129.335,4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass']",49,480233
25,"My Favorite Things - Live At Newport Jazz Festival, Newport, RI, 7/7/1963",18zMsNzloLbwwLIkXae9mn,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Newport '63,1993-01-01,1046666,False,2,20,2024-11-06,0.431,0.687,11,-10.638,0,0.0371,0.291,0.125,0.686,0.69,96.148,3,"['bebop', 'free jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",66,1703313
