,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Scar Tissue,1G391cbiT3v3Cywg8T7DM1,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Californication (Deluxe Edition),1999-06-08,215906,False,3,83,2024-11-06,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,4,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",84,21549023
1,Break Stuff,5cZqsjVs6MevCnAkasbEOX,Limp Bizkit,165ZgPlLkK7bf5bDoFc6Sb,Significant Other,1999,166706,True,4,80,2024-11-06,0.432,0.884,8,-6.657,1,0.128,0.0128,0.000457,0.166,0.619,108.835,4,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",78,6499805
2,September,3kXoKlD84c6OmIcOLfrfEs,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,September (sped up + slowed),1978-11-18,216022,False,1,82,2024-11-06,0.674,0.832,9,-7.892,1,0.0308,0.146,5.06e-06,0.138,0.981,125.996,4,"['disco', 'funk', 'jazz funk', 'motown', 'soul']",76,4507957
3,Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,By the Way (Deluxe Edition),2002-07-09,269000,False,7,82,2024-11-06,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,4,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",84,21549023
4,Lovely Day,0bRXwKfigvpKZUurwqAlEh,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,Menagerie,1977-10-29,254560,False,1,80,2024-11-06,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,4,"['classic soul', 'funk', 'quiet storm', 'soul']",75,1793938
5,It Was A Good Day,2qOm7ukLyHUXWyR4ZWLwxA,Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,The Predator,1992-11-17,260000,True,7,78,2024-11-06,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",76,9283278
6,Gangsta's Paradise,1DIXPcTDzTj8ZMHt3PDt8p,Coolio,3y24n3XhZ96wgwRXjvS17T,Gangsta's Paradise,1995-11-07,240693,False,2,84,2024-11-06,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']",71,1283759
7,Drive,7nnWIPM5hwE3DaUBkvOIpy,Incubus,3YcBF2ttyueytpXtEzn1Za,Make Yourself,1999-10-26,232453,False,8,77,2024-11-06,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,4,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'post-grunge', 'rock']",71,3363502
8,Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24,264306,False,11,80,2024-11-06,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",84,21549023
9,Psycho Killer - 2005 Remaster,1i6N76fftMZhijOzFQ5ZtL,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads '77 (Deluxe Version),1977-09-16,261413,False,10,78,2024-11-06,0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,4,"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",72,2571329
