,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Baby I'm Yours,0tZkVZ9DeAa0MNK2gY5NtV,Breakbot,0iui2Be5CP8EWxvHYsVspL,By Your Side,2012-09-17,215506,False,10,65,2024-11-06,0.829,0.792,2,-3.755,0,0.0668,0.726,5.83e-06,0.122,0.758,118.05,4,"['filter house', 'funktronica', 'nu disco']",56,459567
1,Baby I'm Yours,5jr6pG3khBcBXZRm8NogSe,Breakbot,0iui2Be5CP8EWxvHYsVspL,Baby I'm Yours,2010-02-15,215786,False,1,57,2024-11-06,0.831,0.794,2,-3.701,0,0.0752,0.705,3.4e-05,0.0978,0.735,118.075,4,"['filter house', 'funktronica', 'nu disco']",56,459567
2,Silver Lining,0ieqq1wbtso2UjJWPqJ5Xc,Rilo Kiley,2cevwbv7ISD92VMNLYLHZA,Under The Blacklight (Standard Version),2007-08-20,216973,False,1,49,2024-11-06,0.709,0.53,7,-4.985,1,0.0288,0.289,4.54e-05,0.0929,0.692,117.11,4,"['chamber pop', 'funktronica', 'indie pop', 'indie rock', 'la indie', 'lilith']",47,234039
3,Dopamine,38MS1Ch2ckFL4O29UVg7Nh,Franc Moody,10GT4yz8c6xjjnPGtGPI1l,Dance Moves,2018-03-27,243945,False,7,54,2024-11-06,0.817,0.564,10,-7.779,0,0.0354,0.0984,0.803,0.356,0.558,125.034,4,"['funktronica', 'indie soul']",56,168806
4,Portions for Foxes,4yY8JqTOQyi7K4O1QcQtBG,Rilo Kiley,2cevwbv7ISD92VMNLYLHZA,More Adventurous (U.S. Release),2004-07-27,284640,False,3,47,2024-11-06,0.474,0.807,2,-3.635,1,0.035,0.000938,0.0121,0.154,0.302,138.913,4,"['chamber pop', 'funktronica', 'indie pop', 'indie rock', 'la indie', 'lilith']",47,234039
5,Skin on Skin,3OGSGJCdO1nbOrByhEuDus,Franc Moody,10GT4yz8c6xjjnPGtGPI1l,Dream in Colour,2020-02-28,183896,False,3,51,2024-11-06,0.872,0.748,6,-5.759,1,0.0955,0.361,0.00748,0.362,0.963,131.973,4,"['funktronica', 'indie soul']",56,168806
6,Dream in Colour,6p0Gf4bNKRjoKY4PC3Pvyp,Franc Moody,10GT4yz8c6xjjnPGtGPI1l,Dream in Colour,2020-02-28,198584,False,1,49,2024-11-06,0.735,0.793,7,-3.947,1,0.0445,0.0259,0.048,0.421,0.943,116.725,4,"['funktronica', 'indie soul']",56,168806
7,A Better Son/Daughter,1OrBPFs8yLkT02aLiloHQs,Rilo Kiley,2cevwbv7ISD92VMNLYLHZA,The Execution Of All Things,2002-10-01,279066,True,6,43,2024-11-06,0.479,0.424,4,-10.919,1,0.0404,0.0742,0.914,0.184,0.0474,113.93,3,"['chamber pop', 'funktronica', 'indie pop', 'indie rock', 'la indie', 'lilith']",47,234039
8,Driving On The Wrong Side Of The Road,4FIlqMK5BlM1srbvDdOdXk,Franc Moody,10GT4yz8c6xjjnPGtGPI1l,Driving On The Wrong Side Of The Road,2024-10-23,191898,False,1,45,2024-11-06,0.639,0.811,6,-7.464,1,0.0377,0.0183,0.341,0.153,0.496,110.995,4,"['funktronica', 'indie soul']",56,168806
9,Black & Gold,3V45D1XTTyVZFN3liYuik6,Sam Sparro,0H0rBbf7vHXO3qh50Wap7y,Black & Gold,2008-01-01,274426,False,1,56,2024-11-06,0.614,0.696,4,-6.628,0,0.036,0.00472,6.79e-05,0.113,0.329,135.989,4,"['australian dance', 'funktronica']",48,86776
