,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Santeria,2hnMS47jN0etwvFPzYk11f,Sublime,0EdvGhlC1FkGItLOWQzG4J,Sublime,1996-07-30,182746,False,6,77,2024-11-06,0.682,0.765,1,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
1,What I Got,3B4q6KbHbGV51HO3GznBFF,Sublime,0EdvGhlC1FkGItLOWQzG4J,Sublime,1996-07-30,170906,True,2,74,2024-11-06,0.804,0.696,7,-7.47,1,0.0899,0.00877,0.000985,0.314,0.657,95.721,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
2,Rude,6RtPijgfPKROxEzTHNRiDp,MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,Don't Kill the Magic,2014-06-25,224840,False,1,82,2024-11-06,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,4,"['pop', 'reggae fusion']",70,1380607
3,It Wasn't Me,3WkibOpDF7cQ5xntM1epyf,Shaggy,5EvFsr3kj42KNv97ZEnqij,Hot Shot,2000-08-08,227600,False,3,77,2024-11-06,0.853,0.606,0,-4.596,1,0.072,0.0561,0.0,0.313,0.653,94.753,4,"['dance pop', 'pop rap', 'reggae fusion']",74,2287672
4,Wrong Way,2PdIo7ewQPuAsP99LVg9uy,Sublime,0EdvGhlC1FkGItLOWQzG4J,Sublime,1996-07-30,136146,True,3,69,2024-11-06,0.69,0.681,9,-5.653,1,0.0379,0.0623,0.0,0.137,0.911,75.034,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
5,Doin' Time,4eamJr2k9YDH8j58RSTmSc,Sublime,0EdvGhlC1FkGItLOWQzG4J,Sublime,1996-07-30,253840,False,17,67,2024-11-06,0.708,0.757,7,-5.121,1,0.0791,0.0362,0.0,0.17,0.552,80.976,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
6,Badfish,4paJ10JPNCyOaLtz2cY928,Sublime,0EdvGhlC1FkGItLOWQzG4J,Jah Won't Pay The Bills,1991,188085,False,2,67,2024-11-06,0.801,0.548,11,-5.482,0,0.0516,0.0854,0.000232,0.387,0.627,92.059,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
7,Cheerleader - Felix Jaehn Remix Radio Edit,023OVLNzXhX0j7CxswUt6D,OMI,5MouCg6ta7zAxsfMEbc1uh,Me 4 U,2015-10-16,180560,False,1,64,2024-11-06,0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,4,['reggae fusion'],68,640544
8,Red Red Wine,4uOKFydzAejjSFqYbv1XPt,UB40,69MEO1AADKg1IZrq2XLzo5,The Very Best Of,2000,183733,False,5,71,2024-11-06,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,4,"['reggae fusion', 'uk reggae']",70,2431342
9,Angel,7FDV5ELOJHCGLe52AnttEd,Shaggy,5EvFsr3kj42KNv97ZEnqij,Hot Shot,2000-08-08,235133,False,6,74,2024-11-06,0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,4,"['dance pop', 'pop rap', 'reggae fusion']",74,2287672
