,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Bassdrop Freaks - Long Ver.,2PZW9axL9ycEUGycWITnZD,Nanahira,0bkkiFN0ghGl4j9aLi3oQx,Meltical Sugar Wave,2015-10-14,289093,False,6,29,2024-11-06,0.447,0.977,4,-3.058,0,0.135,0.000411,0.0117,0.24,0.224,178.992,4,"['denpa-kei', 'kawaii future bass', 'touhou']",43,92955
1,Bassline Rumble,2D5LwVpW4D8BhEHjWGxofw,Curbi,2XiiUuK68XNdHaHOAF5hnT,Bassline Rumble,2023-01-13,175969,False,1,28,2024-11-06,0.651,0.855,1,-5.214,1,0.0434,0.0104,0.769,0.146,0.326,127.036,4,"['dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']",53,177717
2,Can I friend you on Bassbook? lol,5wEy787VwmAnA7GGhEzjHR,Nanahira,0bkkiFN0ghGl4j9aLi3oQx,4orce!,2017-12-29,286946,False,4,40,2024-11-06,0.634,0.974,1,-2.279,0,0.26,0.067,3.58e-06,0.602,0.658,127.997,4,"['denpa-kei', 'kawaii future bass', 'touhou']",43,92955
3,Bass Alert,1WUFQHi38CARXRr8TNPOMy,Modulate,6pvXzTkaj4xCVGxVkhM8Wb,Detonation,2008-09-23,268400,False,9,11,2024-11-06,0.619,0.951,8,-5.998,1,0.035,0.00162,0.909,0.074,0.141,132.992,4,"['aggrotech', 'futurepop', 'power noise']",17,7015
4,Bass On Fire,3ettn3iUQxSPS1b9eTMSUv,MADZI,3TfYPq0TUpyzE2QR4iEU8K,Bass On Fire,2023-06-09,155976,False,1,15,2024-11-06,0.632,0.957,2,-3.252,1,0.0806,0.00117,0.0101,0.225,0.209,128.034,4,['future bounce'],32,3732
5,Bassline 5000,2RtYLJtfxjCqmMK6Oce4yS,Android52,3D4WFT29xe0sfSkXNvpmRG,Collect (Selected Original Tracks 2013 - 2018),2020-06-01,182439,False,8,11,2024-11-06,0.884,0.736,10,-2.714,0,0.418,0.0112,0.000361,0.786,0.783,128.0,4,"['future funk', 'kawaii future bass']",33,51204
6,Bass Attack,5cOe5lqdUCZFU0ACYTOjQ7,Sonic Mayhem,4q2KeruDOYFXarHwsLA2eK,Quake 3 Arena Noise,2018-09-20,215213,False,7,11,2024-11-06,0.539,0.747,10,-10.196,0,0.0495,0.00811,0.781,0.111,0.25,170.026,4,['future rock'],24,10198
7,ILY,3vE4BK9rlQRRCnuguRTCuT,Merow,43goRyUiLUUbt0QXpfcU8p,BASS RELATED VOL. 1,2024-10-11,168281,False,1,35,2024-11-06,0.702,0.854,2,-5.487,1,0.0325,0.0249,0.818,0.357,0.038,127.953,4,['future bounce'],33,4558
8,Revolving (feat. Marc E. Bassy),2bo4n2JP6aPLAvEO1Yie1B,Yung Bae,30FDJPN3RtwJZ20g5YGCRX,Revolving (feat. Marc E. Bassy),2020-09-25,174881,False,1,28,2024-11-06,0.535,0.735,0,-5.405,1,0.0648,0.00691,0.0,0.113,0.362,105.09,4,['future funk'],52,194777
9,Spiritual Basslines - Club Mix,57lT6Wi7X9OyASYUSpyOOz,Frits Wentink,6RU8a6xLRtKJckACb5wf5D,Spiritual Basslines,2024-04-05,366809,False,1,25,2024-11-06,0.872,0.769,6,-7.059,0,0.1,0.00818,0.242,0.064,0.796,121.016,4,"['deep soul house', 'dutch tech house', 'float house', 'future garage', 'minimal tech house']",32,15769
