,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Return to Zero Возвращайся Beztebya - Slowed Reverb,5INzvllYMlajboTg4dcTIw,Marc Acardipane,2hyRTXUyfd56j4siLF4zJx,Return to Zero Возвращайся Beztebya,2023-12-22,136000,False,2,59,2024-11-06,0.654,0.863,11,-7.695,0,0.0401,0.649,0.918,0.426,0.327,120.073,4,['gabber'],54,21517
1,Return to Zero Beztebya - Super Slowed Reverb Instr.,1XmrkcwlWxEHR0g7rHNtEG,Marc Acardipane,2hyRTXUyfd56j4siLF4zJx,Return to Zero Beztebya (Mixes),2023-10-27,163200,False,3,56,2024-11-06,0.605,0.662,1,-7.604,1,0.0319,0.0016,0.933,0.121,0.0351,100.008,4,['gabber'],54,21517
2,Return to Zero Beztebya - Slowed Reverb Instr.,0lMtrRpnlwpnMfCJMSRSRJ,Marc Acardipane,2hyRTXUyfd56j4siLF4zJx,Return to Zero Beztebya (Mixes),2023-10-27,136000,False,1,57,2024-11-06,0.671,0.749,9,-7.046,0,0.0401,0.00352,0.816,0.12,0.0659,119.976,4,['gabber'],54,21517
3,Wanna Play?,6iBL6TOzsO75Yz0cG1MO0o,The Prophet,2iRqqPkOyIvvb7qFZN1Onz,Wanna Play?,2019-05-22,201451,False,1,60,2024-11-06,0.569,0.996,5,-0.45,1,0.224,0.198,0.0114,0.707,0.461,100.02,3,"['classic hardstyle', 'euphoric hardstyle', 'gabber']",55,131290
4,Romantika,4nOOoo9OJbgnTBNHe5b6nD,Brutalismus 3000,6LtXxYMIiKSy2EGHnz1f5j,Eros Massacre,2022-04-29,250145,False,5,60,2024-11-06,0.557,0.993,0,-4.888,1,0.0468,3.02e-05,0.855,0.166,0.941,160.034,4,['nu gabber'],59,362299
5,Boy's Interface - Dark Headz Refix,3rB7q0Pzwx5c5CyOvte04Y,DJ Rob,1sdnBnX93VaNXyorAiwXzO,Boy's Interface (Dark Headz Refix),2022-07-01,179294,False,1,57,2024-11-06,0.652,0.94,1,-4.426,1,0.115,0.000873,0.111,0.128,0.0784,169.984,4,"['gabber', 'happy hardcore']",48,7352
6,Satan Was A Babyboomer,3IVrlcM5gDoj3lghHY9m7I,Brutalismus 3000,6LtXxYMIiKSy2EGHnz1f5j,Satan Was A Babyboomer,2021-04-16,427000,False,1,58,2024-11-06,0.628,0.999,0,-6.841,1,0.0762,0.000297,0.854,0.0869,0.439,155.013,4,['nu gabber'],59,362299
7,Boy's Interface - Dark Headz Refix,5Q5vevUyjUvLBUy20ddAC0,DJ Rob,1sdnBnX93VaNXyorAiwXzO,Boy's Interface,1993-01-01,179294,False,1,54,2024-11-06,0.652,0.94,1,-4.426,1,0.115,0.000873,0.111,0.128,0.0784,169.984,4,"['gabber', 'happy hardcore']",48,7352
8,DIE LIEBE KOMMT NICHT AUS BERLIN,2quJCirmxL0onIdjhmX5ml,Brutalismus 3000,6LtXxYMIiKSy2EGHnz1f5j,ULTRAKUNST,2023-04-07,206626,False,7,55,2024-11-06,0.552,0.882,6,-5.292,1,0.0403,5.01e-05,0.787,0.0484,0.484,165.009,4,['nu gabber'],59,362299
9,Return to Zero Beztebya - Original Speed Reverb Instr.,1dPJqXirjAlRgPN5ZcSAVK,Marc Acardipane,2hyRTXUyfd56j4siLF4zJx,Return to Zero Beztebya (Mixes),2023-10-27,111020,False,2,45,2024-11-06,0.599,0.949,8,-6.147,1,0.0675,0.00481,0.802,0.138,0.257,147.1,4,['gabber'],54,21517
10,Get Shaky,267DliVFe67u89luc9v6UD,KXXMA,6AFA7y2tNohNcpaLwDRyxx,Get Shaky,2022-09-30,237194,False,1,60,2024-11-06,0.711,0.468,5,-17.63,1,0.15,0.0129,0.0562,0.714,0.556,169.974,4,"['hypertechno', 'nu gabber']",62,31219
11,badthiings (rip avicii),5DfmnhUS1s3m87fsDSedoe,Brutalismus 3000,6LtXxYMIiKSy2EGHnz1f5j,GOODBYE SALÒ,2024-07-19,211179,False,6,52,2024-11-06,0.691,0.876,1,-4.78,1,0.0396,0.000207,0.925,0.251,0.261,149.992,4,['nu gabber'],59,362299
12,Europaträume,0PYX7X0wTBT5WvKzNCWtk2,Brutalismus 3000,6LtXxYMIiKSy2EGHnz1f5j,Europaträume,2024-01-25,216592,True,1,53,2024-11-06,0.612,0.844,9,-5.32,0,0.0875,0.00016,0.646,0.641,0.551,165.001,4,['nu gabber'],59,362299
