,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,"Rocket Man (I Think It's Going To Be A Long, Long Time)",3gdewACMIVMEWVbyb8O9sY,Elton John,3PhoLpVuITZKcymswpck5b,Honky Chateau,1972-05-19,281613,False,5,79,2024-11-06,0.601,0.532,10,-9.119,1,0.0286,0.433,5.95e-06,0.0925,0.342,136.576,4,"['glam rock', 'mellow gold', 'piano rock', 'rock']",84,13975634
1,Rock And Roll All Nite,6KTv0Z8BmVqM7DPxbGzpVC,KISS,07XSN3sPlIlB2L2XNcTwJw,Dressed To Kill,1975-03-19,168840,False,10,72,2024-11-06,0.654,0.929,1,-5.906,1,0.0998,0.0474,0.0,0.0538,0.902,144.769,4,"['glam rock', 'hard rock', 'rock']",73,9871427
2,Rock Of Ages,2AmEv442DGwSxMGZ9XEvBA,Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,Pyromania (Deluxe),1983-01-20,247828,False,7,61,2024-11-06,0.706,0.785,11,-7.666,0,0.041,0.00802,0.0319,0.195,0.636,105.893,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'nwobhm', 'rock']",71,5179437
3,Rock & Roll Band,5E89Izp4YhPyNShoxiOJ1u,Boston,29kkCKKGXheHuoO829FxWK,Boston,1976,180346,False,4,54,2024-11-06,0.487,0.838,4,-6.153,1,0.0431,0.00351,2.92e-05,0.377,0.655,136.741,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock']",67,2853052
4,Don't Go Breaking My Heart,7HW5WIw7ZgZORCzUxv5gW5,Elton John,3PhoLpVuITZKcymswpck5b,Rock Of The Westies,1975-10-24,275440,False,10,78,2024-11-06,0.729,0.844,5,-8.824,1,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,4,"['glam rock', 'mellow gold', 'piano rock', 'rock']",84,13975634
5,Rock 'n' Roll Fantasy - 2009 Remaster,71GMl3Q7U4JnrTqI9kfcoN,Bad Company,5AEG63ajney2BoDXi0Vb84,Desolation Angels (2009 Remaster),1979,197466,False,1,53,2024-11-06,0.605,0.716,2,-5.471,1,0.0285,0.0261,5.82e-06,0.13,0.868,112.302,4,"['album rock', 'classic rock', 'country rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'southern rock']",59,1237033
6,Crocodile Rock,6WCeFNVAXUtNczb7lqLiZU,Elton John,3PhoLpVuITZKcymswpck5b,Don't Shoot Me I'm Only The Piano Player,1973-01-22,235440,False,9,72,2024-11-06,0.621,0.8,4,-7.284,0,0.0344,0.0264,1.53e-05,0.059,0.968,149.908,4,"['glam rock', 'mellow gold', 'piano rock', 'rock']",84,13975634
7,Rocket,0RVeadY2MbHz4Pe4MreLNw,Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,Hysteria,1987-08-03,396823,False,2,54,2024-11-06,0.521,0.916,11,-6.822,1,0.0467,0.000249,0.00116,0.948,0.398,81.998,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'nwobhm', 'rock']",71,5179437
8,We Will Rock You - Remastered 2011,54flyrjcdnQdco7300avMJ,Queen,1dfeR4HaWDbWqFHLkxsg1d,News Of The World (Deluxe Remastered Version),1977-10-28,122066,False,1,69,2024-11-06,0.693,0.497,2,-7.316,1,0.119,0.679,0.0,0.258,0.473,81.308,4,"['classic rock', 'glam rock', 'rock']",86,51780183
9,I Love Rock 'N Roll,2Cdvbe2G4hZsnhNMKyGrie,Joan Jett & the Blackhearts,1Fmb52lZ6Jv7FMWXXTPO3K,I Love Rock 'N' Roll (Expanded Edition),1981-11-18,175173,False,1,77,2024-11-06,0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,4,"['glam punk', 'rock']",66,902262
10,Rockin' Into The Night,1rWqtf1rOYiPEb9puv2bYd,38 Special,3zXw2Eh96iTT51pytzHdZi,Rockin' Into The Night,1979-01-01,241226,False,1,49,2024-11-06,0.659,0.505,0,-12.773,1,0.0302,0.053,0.0,0.0544,0.879,128.295,4,"['album rock', 'classic rock', 'country rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",58,1262927
11,Rocket Queen,0xaNdYwK8ZF3cHSjraQGC0,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,Appetite For Destruction,1987-07-21,373266,False,12,59,2024-11-06,0.446,0.978,5,-5.275,0,0.0443,0.0305,0.162,0.0377,0.399,111.795,4,"['glam metal', 'hard rock', 'rock']",81,32148465
12,Rock! Rock! (Till You Drop),1RBQR8HjZUPLikoIjD67Ep,Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,Pyromania,1983-01-20,234753,False,1,51,2024-11-06,0.557,0.94,2,-5.692,1,0.0538,0.000478,0.0176,0.074,0.45,133.302,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'nwobhm', 'rock']",71,5179437
13,Rock Me,0OhusLY3xIViFynFjTi4EA,Great White,6ZPbX2Lxd40e2UVkXpyxvI,Once Bitten,1987-01-01,439000,False,3,47,2024-11-06,0.558,0.415,6,-14.008,0,0.0405,0.158,0.0752,0.112,0.134,140.723,4,"['album rock', 'glam metal', 'hard rock']",50,959285
14,Rock 'n' Roll Suicide - 2012 Remaster,1k5iH4KDKi56MFvlnrALNV,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),1972-06-06,178265,False,11,55,2024-11-06,0.457,0.308,0,-11.474,1,0.0398,0.309,1.64e-06,0.107,0.271,103.11,3,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",78,10858596
15,Detroit Rock City,4Q9WS9ARvL7rkokSbnhM96,KISS,07XSN3sPlIlB2L2XNcTwJw,Double Platinum,1978-04-02,215933,False,13,66,2024-11-06,0.546,0.9,5,-6.728,1,0.0691,0.0421,4.57e-05,0.292,0.447,90.591,4,"['glam rock', 'hard rock', 'rock']",73,9871427
16,Rock the Night,3J9NEWkd9Cx1MwSSvDySkL,Europe,7Js6Lde8thlIHXggv2SCBz,The Final Countdown (Expanded Edition),1986,247306,False,2,58,2024-11-06,0.57,0.931,4,-5.78,0,0.0503,0.0429,0.0,0.375,0.4,105.37,4,"['album rock', 'glam metal', 'hard rock', 'rock', 'swedish hard rock', 'swedish melodic rock']",65,1668198
17,Rock Me Tonite,12c1PXyghlSuNVO9GZi0DH,Billy Squier,3Fz2GbraVXhcpXnoi2Oe1r,Signs Of Life,1984,297266,False,2,44,2024-11-06,0.472,0.724,9,-5.061,0,0.0522,0.0987,0.0,0.239,0.673,127.36,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'rock', 'soft rock', 'southern rock']",59,834436
18,Rock Of Ages,4eXGF4fOubY0IhWieQ0OoF,Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,Pyromania,1983-01-20,247828,False,7,46,2024-11-06,0.706,0.785,11,-7.666,0,0.041,0.00802,0.0319,0.195,0.636,105.898,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'nwobhm', 'rock']",71,5179437
19,Rock Candy,6mpAOrpdrq5mJTGo8nrvSO,Montrose,0VdoLGGpWcDZnzep6SSTdP,Montrose,1973,303800,False,6,44,2024-11-06,0.393,0.633,9,-9.343,1,0.0303,0.00405,0.00188,0.151,0.752,78.715,4,"['album rock', 'blues rock', 'country rock', 'glam metal', 'hard rock', 'southern rock']",39,222223
20,Rock Bottom - 2007 Remaster,719muV16yNGh6AxmCeMby1,UFO,2Omy3P5hFZym7FKum1JA1s,Phenomenon (2007 Remaster),1974-01-01,389333,False,5,50,2024-11-06,0.256,0.863,5,-6.582,1,0.106,3.49e-05,0.00408,0.364,0.519,158.936,4,"['album rock', 'glam metal', 'hard rock', 'metal', 'progressive rock']",56,592059
21,I Wanna Rock,70Z9t1qhytWtG4cCmmi7mU,Twisted Sister,7b85ve82Sh36a3UAx74wut,Stay Hungry,1984-05-10,179760,False,5,66,2024-11-06,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",62,2749493
22,Rockaria!,7vUfTjiMjFfXe7Brz62tXH,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,A New World Record,1976-09-01,192840,False,3,45,2024-11-06,0.45,0.689,2,-6.686,1,0.0342,0.338,3.68e-06,0.119,0.665,146.736,4,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",73,4154969
23,Rockin' All Over The World,1ydpGKWD5D8tvTHWN8h58q,Status Quo,4gIdjgLlvgEOz7MexDZzpM,Rockin' All Over The World,2005-01-01,217453,False,7,43,2024-11-06,0.617,0.962,0,-5.314,1,0.0449,0.129,0.00171,0.511,0.968,131.434,4,"['blues rock', 'british blues', 'glam rock']",60,810126
24,Detroit Rock City,3uz0O62HqYoyRiWZjS61KK,KISS,07XSN3sPlIlB2L2XNcTwJw,Smashes Thrashes & Hits,1988-01-01,228560,False,4,53,2024-11-06,0.479,0.847,0,-11.036,0,0.0986,0.00891,0.000208,0.144,0.318,90.654,4,"['glam rock', 'hard rock', 'rock']",73,9871427
25,Rockin' The Paradise,3jZF3C8VxTSnteO3V6lVXz,Styx,4salDzkGmfycRqNUbyBphh,Paradise Theatre,1981-01-01,214840,False,2,39,2024-11-06,0.533,0.831,9,-10.354,1,0.0363,0.0011,0.000522,0.105,0.755,149.112,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock']",62,2031831
26,Rock 'N' Roll Is King,6s30tYL0EJbROLV4Yzsw0D,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,Secret Messages,1983-06-15,193906,False,13,50,2024-11-06,0.403,0.88,9,-6.089,1,0.0939,0.356,0.0,0.165,0.882,160.443,4,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",73,4154969
