,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,"Maldek - Remix, Goa Trance 2019 Dj Mixed",04usMfUInP42b7KNCGY0TC,Pleiadians,7q0UtxuyDk2KiwSCKEByMF,Goa Trance 2019 (3 Hr DJ Mix),2019-07-14,222466,False,7,33,2024-11-06,0.766,0.906,6,-7.2,0,0.0631,0.000236,0.852,0.133,0.143,142.415,4,"['goa trance', 'psychedelic trance']",23,9819
1,Trancelestial Psychobabas,6IaZzF0jtlwqtRrvXuS87m,Elysium,71n7d2U2ywIS11teKRntPi,Dance for the Celestial Beings,1995-02-20,552000,False,2,14,2024-11-06,0.695,0.927,8,-9.729,1,0.047,0.0126,0.923,0.201,0.796,142.842,4,['goa trance'],8,2379
2,River Trance - Original Mix,3Op4lmRPeV6zZjtY9LyCIL,1200 Micrograms,2opB8qXyAmLYSGEZxp7X3U,1200 Mic's,2013-11-29,344275,False,9,13,2024-11-06,0.45,0.933,9,-7.34,1,0.0517,0.000121,0.911,0.328,0.148,145.006,4,"['goa psytrance', 'psychedelic trance']",39,132410
3,Plasma Light (Imaginarium Remix),0vXviHxfxYEctg2r5myWiQ,Etnica,2uY6n7zcOlm2yugy9ItRW7,Trancefusion Chapter 2 (Compiled by Boom Shankar),2017-02-13,417605,False,3,13,2024-11-06,0.619,0.958,0,-6.207,1,0.0521,0.000205,0.82,0.0619,0.608,141.974,4,"['goa psytrance', 'goa trance', 'italian trance', 'nitzhonot', 'psychedelic trance', 'psychill']",30,25267
4,Trance Forms - Original,1NJ5FnSd2PdawuVSppdBLW,Lunatica,3VpE0TMjNGF5TQHnFOCVxU,Radio Technology,2019-04-15,470068,False,2,8,2024-11-06,0.633,0.843,9,-5.482,1,0.0564,0.000203,0.886,0.345,0.225,145.0,4,"['goa psytrance', 'indie cantabria', 'psychedelic trance']",21,7465
5,Trancemission,7sBDCGQALUoVyKRRj1AH8Y,Artifact303,18zbe0nAgSU0XiJB0g0I4D,Back To Space,2011-05-12,511346,False,2,2,2024-11-06,0.472,0.987,1,-7.042,1,0.0561,0.000215,0.874,0.0936,0.701,143.973,4,['goa trance'],10,3318
6,Trance Asian Express,4gqjGF0Ou0bK71cwsMKLHL,Sky Technology,16V21MkRjsv55m38ynZJ9h,Spirituality,2016-10-31,436469,False,8,1,2024-11-06,0.59,0.756,0,-7.775,1,0.0378,0.104,0.77,0.111,0.761,110.008,4,['goa trance'],3,1860
7,Souls In Trance - Original Mix,37uVhFiUnEeQn795wdxAIR,Ephedra,5zDFjsDtK2kdgVghG3xaCq,Journey Through My Head,2014-10-28,442320,False,4,10,2024-11-06,0.595,0.987,1,-4.936,0,0.0419,0.000149,0.872,0.777,0.469,145.003,4,"['goa trance', 'nitzhonot']",10,2549
8,Sex Drugs Goa Trance,0VCB3fiBkzu9mkOM5ggzCC,Crocoloko,14rJsXfdDhM68msOhfXgSH,The Crocodile Come Alive,2018-01-11,523034,False,1,27,2024-11-06,0.659,0.847,8,-6.175,0,0.0973,0.000217,0.458,0.104,0.337,145.036,4,['goa psytrance'],24,7548
9,Dolphins In Space - Goa Trance Party 2021 DJ Remixed,2hEwRGb0VGmwKPYcDAwEhs,Siam,71T6q8bL0dGGHwtfTBuDEI,"Goa Trance Party 2021 Top 40 Chart Hits, Vol. 5 + DJ Mix 3Hr",2021-04-03,315613,False,4,7,2024-11-06,0.593,0.986,10,-6.37,0,0.0404,0.000187,0.921,0.175,0.516,145.997,4,['goa trance'],5,137
10,Goaway,3X8AktOEb5IHNVM6yFODUe,Power Source,5eHRWvdjayp8MwwOuKFIOz,A Dose Of Psychedelic Trance,2010-05-01,544560,False,5,22,2024-11-06,0.57,0.953,11,-8.373,0,0.0473,0.000579,0.802,0.121,0.171,145.076,4,"['goa trance', 'psychedelic trance']",17,4814
11,Intense Visitation,0xI0srDizFYWhZvZmsyTN5,Etnica,2uY6n7zcOlm2yugy9ItRW7,Spiritual Trance,1995-09-20,309013,False,5,10,2024-11-06,0.6,0.746,7,-20.218,1,0.0428,7.11e-05,0.833,0.0878,0.47,142.934,4,"['goa psytrance', 'goa trance', 'italian trance', 'nitzhonot', 'psychedelic trance', 'psychill']",30,25267
12,Alien Airport,4j14J2hhr8Ispl6OKFe5rD,The Infinity Project,3MSq3HlSCnY9LNSlkDaEMx,Spiritual Trance,1995-09-20,288226,False,4,11,2024-11-06,0.563,0.938,2,-14.63,1,0.0512,7.93e-05,0.845,0.0806,0.658,143.017,4,"['goa trance', 'psychedelic trance', 'psychill']",20,17768
13,Chemical Trance,1r9oeY9SmBJKkd2w8vRaf8,Etnica,2uY6n7zcOlm2yugy9ItRW7,Single Collection 1,2024-01-02,541586,False,2,2,2024-11-06,0.618,0.995,11,-9.068,1,0.0492,0.000116,0.912,0.366,0.583,132.589,4,"['goa psytrance', 'goa trance', 'italian trance', 'nitzhonot', 'psychedelic trance', 'psychill']",30,25267
14,River Trance - Original Mix,0feSsG3EwtI4MOwbQCBDsM,1200 Micrograms,2opB8qXyAmLYSGEZxp7X3U,96%,2012-02-07,344275,False,2,2,2024-11-06,0.452,0.933,9,-7.333,1,0.0518,0.000118,0.913,0.333,0.144,145.003,4,"['goa psytrance', 'psychedelic trance']",39,132410
15,The Calling,0MAIXNcME4sWybWIVRYduz,Power Source,5eHRWvdjayp8MwwOuKFIOz,"Trance Mix, Vol.4",1994-01-01,497826,False,1,5,2024-11-06,0.653,0.789,4,-14.222,0,0.0462,0.000114,0.874,0.0835,0.583,150.089,4,"['goa trance', 'psychedelic trance']",17,4814
16,Everest,2fyfrK5W0Et4xttqYBfIy3,Power Source,5eHRWvdjayp8MwwOuKFIOz,"Trance Mix, Vol.4",1994-01-01,589546,False,6,3,2024-11-06,0.531,0.814,4,-13.947,0,0.0395,1.16e-05,0.795,0.265,0.861,160.067,4,"['goa trance', 'psychedelic trance']",17,4814
17,Vorlan,7wB0ScsJ2CaW4yvESJSbkD,Power Source,5eHRWvdjayp8MwwOuKFIOz,Trance Mix vol.9,1998-01-01,582973,False,1,7,2024-11-06,0.548,0.788,1,-11.171,1,0.0417,0.00492,0.88,0.11,0.222,143.037,4,"['goa trance', 'psychedelic trance']",17,4814
18,Police 106,24LDUSEE3QWUslNLYiGWrS,Children Of The Doc,4avVwVzIfa6FVWCoFV0fUz,Trance Mix vol.9,1998-01-01,584466,False,5,2,2024-11-06,0.522,0.936,7,-10.195,1,0.0388,0.0283,0.597,0.098,0.464,143.472,4,['goa trance'],4,629
19,Granada - Remix - 98,2kE6fyb48vTp7gaR6wM84p,Power Source,5eHRWvdjayp8MwwOuKFIOz,Trance Mix vol.9,1998-01-01,534826,False,4,3,2024-11-06,0.537,0.943,0,-11.061,1,0.0373,0.00398,0.874,0.578,0.385,147.022,4,"['goa trance', 'psychedelic trance']",17,4814
20,Alala,6l2XGEchldRyBgTGKzN68x,California Sunshine,2lMUJGpGD29uvhezVbcwf9,Trance,1997-04-01,543013,False,2,10,2024-11-06,0.682,0.984,1,-7.35,1,0.0482,0.225,0.848,0.557,0.765,147.992,4,"['goa trance', 'psychedelic trance']",26,10252
21,Summer 89,2eZb6UczLoWaaXgoHnsFoD,California Sunshine,2lMUJGpGD29uvhezVbcwf9,Trance,1997-04-01,664200,False,1,6,2024-11-06,0.654,0.955,5,-10.99,0,0.0423,0.0765,0.847,0.452,0.832,142.983,4,"['goa trance', 'psychedelic trance']",26,10252
22,California Sunshine,1msCal5l2OrdoHvb7WEjHn,California Sunshine,2lMUJGpGD29uvhezVbcwf9,Trance,1997-04-01,593973,False,4,2,2024-11-06,0.693,0.932,1,-11.906,1,0.0362,0.0081,0.933,0.11,0.716,144.995,4,"['goa trance', 'psychedelic trance']",26,10252
23,The New King,1kzRWl0CPOT2usi55E6DPm,California Sunshine,2lMUJGpGD29uvhezVbcwf9,Trance,1997-04-01,559386,False,8,1,2024-11-06,0.718,0.873,6,-12.838,1,0.0537,0.0323,0.902,0.117,0.653,144.987,4,"['goa trance', 'psychedelic trance']",26,10252
24,Canibali,1qPpXFyw9Y0az7JuDCNk03,California Sunshine,2lMUJGpGD29uvhezVbcwf9,Trance,1997-04-01,515493,False,5,1,2024-11-06,0.723,0.961,5,-11.766,1,0.0518,0.379,0.828,0.342,0.574,145.004,4,"['goa trance', 'psychedelic trance']",26,10252
25,Tears In My Eyes,4DHvZqRYtwZBnDcTGqjd9Y,California Sunshine,2lMUJGpGD29uvhezVbcwf9,Trance,1997-04-01,462893,False,3,3,2024-11-06,0.757,0.999,3,-10.755,0,0.0638,0.0299,0.863,0.0839,0.764,144.994,4,"['goa trance', 'psychedelic trance']",26,10252
26,Pleione (Progressive Trance 2021 Mix) - Mixed,2BFuVUMsvSomRf83W42XwS,Pleiadians,7q0UtxuyDk2KiwSCKEByMF,"Psychedelic Progressive Trance 2021, Vol. 5 (DJ Mix)",2022-09-09,283946,False,1,0,2024-11-06,0.665,0.822,11,-7.641,1,0.0395,3.03e-05,0.868,0.128,0.196,141.999,4,"['goa trance', 'psychedelic trance']",23,9819
27,Land Of Freedom [ASOT 680] - Liquid Soul Remix,6InDwygXRF6aRuQ6afiWiD,Transwave,1XvBR4zy1gyHBJSOJRcTzZ,A State Of Trance Episode 680 (Who's Afraid Of 138?! Special),2014-09-12,134562,False,5,17,2024-11-06,0.508,0.877,6,-13.44,0,0.0581,0.00286,0.92,0.379,0.482,138.065,4,"['goa trance', 'psychedelic trance']",21,10310
28,Sirius - Goa Trance 2019 Dj Mixed,76D2Eq4po7OUSyMLhzmtd1,Trinodia,1IcHpKPjF6f0xeiYKgUVGb,Goa Trance 2019 (3 Hr DJ Mix),2019-07-14,323120,False,10,1,2024-11-06,0.518,0.984,7,-5.976,1,0.0407,2.33e-05,0.907,0.646,0.785,142.586,4,['goa trance'],4,1699
29,Light Path - Psy Trance & Psychedelic Goa Dance DJ Mixed,4AyYQ8AsbtBGZIcagEuFRf,Astro-D,4vUwtT1nUTQjhHVOr2ojXZ,"Psy Trance & Psychedelic Goa Dance Music, Vol. 3 (DJ Mix)",2022-03-12,294960,False,3,7,2024-11-06,0.636,0.991,1,-7.496,1,0.0498,0.000436,0.851,0.369,0.575,144.01,4,['goa psytrance'],10,666
30,Cosmic Abduction - Psy Trance & Psychedelic Goa Dance DJ Mixed,1ldhVws8NJTkK2y6SsAAD3,Sixsense,1Ab1G36U813VoM5EiEYROb,"Psy Trance & Psychedelic Goa Dance Music, Vol. 3 (DJ Mix)",2022-03-12,246466,False,20,1,2024-11-06,0.62,0.974,10,-4.874,0,0.0451,0.000241,0.428,0.147,0.586,148.006,4,"['full on', 'goa psytrance']",20,2274
31,Night Birds - Psy Trance Fullon Power 2020 DJ Mixed,1c4o0RbIv600gt43yJPPZb,Skizologic,5VE5478wy8qtusbSL7DZNP,Psy Trance Fullon Power 2020 Top 40 Chart Hits V2 DJ Mix 3Hr,2019-11-15,216333,False,29,2,2024-11-06,0.538,0.902,7,-6.869,0,0.0449,2.84e-05,0.775,0.426,0.314,142.011,4,"['goa psytrance', 'goa trance', 'psychedelic trance']",19,5026
