,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,I Understand,28q2Y3ZTMLEUmzAt2XNhrw,Smokie Norful,0sD8Amms4kSxs5tBV4CUmR,Nothing Without You,2004-01-01,246466,False,5,47,2024-11-06,0.544,0.595,3,-7.846,1,0.0721,0.352,0.0,0.198,0.418,121.839,4,"['gospel', 'gospel r&b']",46,353218
1,I'm Getting Ready,5RjS5iW0FWn1U4ZaWjhLlP,Tasha Cobbs Leonard,5YxebzzreNswbtYC1td4cx,Heart. Passion. Pursuit.,2017-08-25,506200,False,8,51,2024-11-06,0.464,0.636,8,-5.063,1,0.0387,0.00906,0.0,0.137,0.268,93.994,4,"['gospel', 'naija worship']",61,1344614
2,Matthew 6:33,5mARaySmtSd60C7UHgQvuk,ALIA LARA,7LZtbcOzfx11Fhapw8iiOO,Matthew 6:33,2023-10-06,182019,False,1,51,2024-11-06,0.812,0.386,9,-12.366,0,0.276,0.466,0.0357,0.105,0.469,98.065,4,['gospel r&b'],49,30505
3,Praising You,3jVHTX7T17xOTNqUl9BoXP,ALIA LARA,7LZtbcOzfx11Fhapw8iiOO,Praising You,2021-06-04,218005,False,1,50,2024-11-06,0.753,0.214,7,-12.487,0,0.0505,0.52,0.0,0.121,0.089,117.032,4,['gospel r&b'],49,30505
4,Lord Do It For Me - Live,17WnVLXVM5qUT1z0YZN0Yw,Zacardi Cortez,1e5OohAPdgqCeMq3eegvqp,Imprint (Live in Memphis),2022-09-16,354161,False,10,50,2024-11-06,0.37,0.51,5,-12.686,1,0.0382,0.0536,0.0,0.189,0.32,96.149,4,"['gospel', 'gospel r&b']",45,111285
5,Let Go,3tQHbcDuZC0Zy323aODWPI,DeWayne Woods,324RKHiPLIE9eDklXEVXce,Introducing DeWayne Woods & When Singers Meet,2006-10-24,295746,False,2,46,2024-11-06,0.643,0.687,8,-6.221,1,0.0569,0.546,0.0,0.348,0.327,115.092,4,['gospel'],38,47213
6,My Life Is In Your Hands,507cZbBDV1mfcFeE81ukSj,Gods Property,3xtft29VZ2knyu7dEC9N7X,My Life Is In Your Hands,2024-01-16,335375,False,1,50,2024-11-06,0.559,0.416,1,-14.512,1,0.0363,0.445,0.0,0.0376,0.447,102.859,4,['gospel'],44,152130
7,Blessed & Highly Favored - Live,2BiCH1atqXX1OXOtL0PKHS,The Clark Sisters,6VUdDU44uo3KwSHc9lAEFE,Live: One Last Time,2007-01-01,319480,False,2,47,2024-11-06,0.502,0.759,5,-4.065,0,0.126,0.311,0.0,0.985,0.382,102.302,4,['gospel'],42,294619
8,Can't Give Up Now,5xxnE0Nm5v3L9tekNEWpCg,Mary Mary,12Kgt2eahvxNWhD5PnSUde,Thankful,2000-04-25,297960,False,5,49,2024-11-06,0.732,0.351,8,-8.916,1,0.0429,0.28,0.0,0.5,0.415,115.877,4,"['gospel', 'gospel r&b']",55,653475
9,Believe For It - Live,2kSt5gqwUhufhV3mDP38JK,CeCe Winans,3qfrrrSO7utFdJkM2tvMRb,Believe For It,2021-03-12,502333,False,3,46,2024-11-06,0.264,0.671,7,-5.069,1,0.0407,0.0494,0.0,0.319,0.181,157.953,4,['gospel'],65,1184318
10,Go Get It,1Iiv0n1xjwVYVf8NOTjoq0,Mary Mary,12Kgt2eahvxNWhD5PnSUde,Go Get It,2000,190760,False,1,47,2024-11-06,0.718,0.77,1,-5.077,1,0.0344,0.0217,1.46e-05,0.36,0.785,93.072,4,"['gospel', 'gospel r&b']",55,653475
11,"Brighter Day - Live at Lakewood Church, Houston, TX - June 16, 2000",5qFDlKHNb0v68YSghSY4GK,Kirk Franklin,4akybxRTGHJZ1DXjLhJ1qu,The Rebirth Of Kirk Franklin (Live),2002-02-19,340133,False,6,49,2024-11-06,0.6,0.875,5,-5.839,0,0.101,0.114,0.0,0.715,0.734,84.061,4,"['gospel', 'gospel r&b']",64,1757992
12,God Is Good,7uIR8E4J8aIPnN3HYJns1j,Jonathan McReynolds,5ItTHwcEtFh6DEOBheMub9,Make More Room,2018-09-07,208000,False,16,52,2024-11-06,0.388,0.154,10,-13.245,1,0.0367,0.751,0.0,0.71,0.279,121.095,4,"['gospel', 'gospel r&b']",52,310625
13,Nobody Greater,0njT9NV9xsV4hLkgZ8yOUD,VaShawn Mitchell,1Agf8ZtreYoKAXgpeAd7GA,Triumphant,2011-10-07,369160,False,2,46,2024-11-06,0.613,0.665,1,-6.438,1,0.089,0.233,0.00025,0.0618,0.595,143.856,4,"['gospel', 'praise']",41,316214
14,Wanna Be Happy?,7f3mNFQ9ue2uCWA8qmgEJo,Kirk Franklin,4akybxRTGHJZ1DXjLhJ1qu,Losing My Religion,2015-11-13,265893,False,6,48,2024-11-06,0.668,0.546,0,-7.479,1,0.0799,0.242,0.0,0.143,0.488,83.93,4,"['gospel', 'gospel r&b']",64,1757992
15,Look At God,396hOjvgaPh7XUfQDPsWTI,Koryn Hawthorne,03qM4LmPCrR7CuHTE0WAIW,On God,2024-02-09,219514,False,12,47,2024-11-06,0.629,0.522,0,-8.877,1,0.0422,0.0488,0.0,0.0857,0.395,116.857,4,"['gospel', 'gospel r&b']",52,215607
16,I Almost Let Go,7mg2zRCXpQG4kAGBlZrT7W,Kurt Carr & The Kurt Carr Singers,5yoZYhT8x7DXiFl0srkXLQ,Setlist: The Very Best of Kurt Carr & The Kurt Carr Singers,2011-12-27,340280,False,5,45,2024-11-06,0.448,0.504,5,-7.29,1,0.0593,0.674,0.0,0.943,0.382,109.679,4,['gospel'],43,177991
17,I Can Only Imagine,56kKjMF5IGXkOghyQuNlav,Tamela Mann,6ZyV955Ypf3JAKInn1a0dt,Gospel Independent Greats (GIG) Vol .1,2014-04-01,365426,False,1,47,2024-11-06,0.302,0.569,1,-6.181,1,0.0414,0.348,1.7e-05,0.139,0.194,126.138,4,['gospel'],49,644061
18,It's Working,6cfvKRVBkw0i6usuYwsYSI,William Murphy,1FQJqgKQDNLWfeLBQoQLmD,God Chaser,2013-02-01,292240,False,4,46,2024-11-06,0.488,0.389,7,-10.715,0,0.0672,0.322,0.0,0.299,0.353,108.314,4,"['gospel', 'naija worship']",45,243421
19,Union Dixie,0FJbyybRjxOyalg9M9q6IJ,Tennessee Ernie Ford,7u6FSuqT3SWE2kO8rNVjfp,Songs Of The Civil War,1961-07-10,142066,False,24,48,2024-11-06,0.794,0.671,5,-6.896,1,0.0332,0.644,0.0,0.343,0.978,105.683,4,"['bluegrass gospel', 'country boogie', 'country gospel', 'western swing', 'yodeling']",52,81810
20,Let The Church Say Amen - Radio Edit,66mi3OKkrYHZkV9T62Ytyy,Andrae Crouch,3pxLSxg8klHu1L9d93cpq7,Let The Church Say Amen (Radio Edit),2011-09-06,294813,False,1,46,2024-11-06,0.355,0.536,1,-7.202,1,0.0461,0.298,0.0,0.145,0.265,147.878,4,"['gospel', 'gospel r&b', 'jesus movement']",42,145453
21,Grateful,0vtvtxjSKV02DeQJNW217U,Hezekiah Walker,0pXt4sMs2oRnt528LTYgyd,The Essential Hezekiah Walker,1992,415640,False,2,47,2024-11-06,0.518,0.357,8,-11.548,1,0.0271,0.732,0.00161,0.13,0.189,90.184,4,"['gospel', 'israelite hip hop']",51,582144
22,Foggy Mountain Breakdown,29qFlNOssruDfoEN8vN2Uu,Flatt & Scruggs,1iNNWK8bYjc5EK0waLk1J1,Town and Country,1965-09-12,140413,False,1,47,2024-11-06,0.407,0.479,2,-14.781,1,0.0329,0.191,0.901,0.352,0.919,155.252,4,"['banjo', 'bluegrass', 'bluegrass gospel', 'traditional country']",41,73652
23,High Up,0drumuKkSeMz3CH5kGfOEl,Jonathan Traylor,7KcmdvVaaO7Y0pmHQjOEFo,High Up,2021-09-10,180986,False,1,48,2024-11-06,0.722,0.457,5,-6.737,0,0.069,0.379,0.0,0.096,0.551,141.933,4,"['contemporary gospel', 'worship']",49,75659
24,Listen,5950bEMaJuqOp0TB248yBa,Marvin Sapp,5r0KYGxdIZEHZ6z6XbkVbo,Close,2017-09-29,267146,False,3,47,2024-11-06,0.545,0.636,4,-7.288,1,0.0894,0.579,0.0,0.342,0.312,111.113,4,['gospel'],54,791700
25,Never Lost,31I8gxix4Go4Mui0WsWuku,CeCe Winans,3qfrrrSO7utFdJkM2tvMRb,Believe For It,2021-03-12,250733,False,14,45,2024-11-06,0.632,0.808,2,-5.239,1,0.0356,0.0999,0.0,0.0929,0.669,123.08,3,['gospel'],65,1184318
26,All About You,3et121qvxTfgnOOOp3Axxr,Anita Wilson,4rEGEwaOU6Mtdj4ylW0fjS,Worship Soul,2018-10-12,281826,False,3,48,2024-11-06,0.39,0.893,9,-5.306,1,0.0833,0.536,0.0,0.796,0.791,169.561,4,"['gospel', 'gospel r&b']",46,90487
27,Your Spirit,7qqfOOpaznhA6ufItfYovr,Tasha Cobbs Leonard,5YxebzzreNswbtYC1td4cx,Heart. Passion. Pursuit.,2017-08-25,471573,False,9,50,2024-11-06,0.281,0.503,6,-6.105,0,0.035,0.0225,0.0,0.0658,0.137,144.478,3,"['gospel', 'naija worship']",61,1344614
28,You Are The Living Word (Live),5X2jIyGY95YNF3kmeOg1V1,Fred Hammond,2ndyVAdV9UqF1XjyTJt484,Purpose By Design,2000-04-18,327386,False,12,45,2024-11-06,0.432,0.844,0,-4.243,0,0.0687,0.434,0.0,0.309,0.292,114.913,4,['gospel'],55,557238
29,Lord You Are Good,0qhPpRmzpRyRdXsEqViAvw,Todd Galberth,4EPtawsSClG1agy1MyVkMW,Decrease,2017-09-07,478153,False,6,47,2024-11-06,0.373,0.624,1,-5.886,1,0.0583,0.384,0.0,0.127,0.173,120.47,3,"['contemporary gospel', 'gospel']",52,126320
30,Fill Me Up - Live,4kWYHpCHIuyK3ivhlbdit7,Tasha Cobbs Leonard,5YxebzzreNswbtYC1td4cx,One Place Live,2015-08-21,358440,False,3,50,2024-11-06,0.401,0.515,8,-8.098,1,0.0334,0.0303,0.0,0.845,0.0974,72.895,4,"['gospel', 'naija worship']",61,1344614
31,Speak to My Heart,3nAwU0F5Tb3wdeSa2mAMe5,Donnie McClurkin,74IEeKcuS34kF2TjOigXra,Donnie McClurkin,1996-10-29,322973,False,6,46,2024-11-06,0.591,0.397,5,-11.571,1,0.051,0.695,8.79e-06,0.121,0.548,164.025,4,['gospel'],49,617309
32,You Are Great,3EJpSXWhfEmEzxGCmdpKXD,Juanita Bynum,7s6c1gQXQCakbFxmgKAQDV,A Piece of My Passion,2006-01-16,246040,False,4,51,2024-11-06,0.295,0.577,11,-5.723,1,0.0373,0.228,0.0,0.104,0.268,104.199,4,['gospel'],44,188332
33,"I Was Country When Country Wasn't Cool - Live At The Roy Acuff Theater Nashville, TN, 1981",2jQw7zMJO4fekTbP7iVA4v,Barbara Mandrell,67BqBdApdbZ0onglFqRoTg,"Barbara Mandrell Live (Live At The Roy Acuff Theater Nashville, TN, 1981)",1981-08-07,223000,False,11,46,2024-11-06,0.607,0.389,0,-17.901,1,0.0405,0.375,0.000193,0.953,0.509,105.01,4,"['classic country pop', 'country', 'country gospel', 'country rock']",45,280014
34,Change Me,14iF9JDX0AOxkoa8BL2WYB,Tamela Mann,6ZyV955Ypf3JAKInn1a0dt,One Way,2016-09-09,366319,False,9,46,2024-11-06,0.329,0.557,6,-6.952,1,0.0433,0.0453,1.25e-05,0.166,0.218,90.022,4,['gospel'],49,644061
35,Why We Sing - Live,3NBygJfkCX6zbEUljzh2gv,Kirk Franklin,4akybxRTGHJZ1DXjLhJ1qu,Kirk Franklin and the Family,1993,355160,False,1,46,2024-11-06,0.434,0.523,3,-10.71,1,0.0627,0.597,0.0,0.545,0.338,109.203,4,"['gospel', 'gospel r&b']",64,1757992
36,Holy Forever,2IvGZwxwZBuoTSToIaQnb2,CeCe Winans,3qfrrrSO7utFdJkM2tvMRb,More Than This,2024-04-26,307460,False,5,45,2024-11-06,0.443,0.604,5,-7.127,1,0.0357,0.00897,0.0,0.0749,0.229,143.898,4,['gospel'],65,1184318
37,Over and Over,2ewoOM2J797OZgRZ6HXGk8,Trin-I-Tee 5:7,6XFgX9kLg3pUAkLY0byY2I,Angel & Chanelle (Deluxe Edition),2011-05-31,247306,False,4,46,2024-11-06,0.518,0.445,8,-7.288,1,0.0449,0.601,0.0,0.0744,0.242,119.435,4,"['gospel', 'gospel r&b', 'praise']",40,122791
38,No Place That Far,0Rg5tIACULED7Jv2sEzWSd,Sara Evans,7qvsLYsYP0MHD7jkdv6DAG,No Place That Far,1998-10-26,217400,False,3,45,2024-11-06,0.547,0.373,0,-7.336,1,0.0273,0.504,0.0,0.176,0.182,132.741,4,"['contemporary country', 'country', 'country dawn', 'country gospel', 'country road']",54,1151703
39,Worth - Full Version,6gsTSmu6V9XO7INh2YRa4w,Anthony Brown & group therAPy,4sgW8IRub0jAU29ecct87w,Everyday Jesus,2015-07-17,346154,False,3,46,2024-11-06,0.412,0.741,2,-4.068,1,0.044,0.101,0.0,0.525,0.212,113.759,4,['gospel'],45,180057
40,Kingdom,5ZrVYQcBHz57P1kX7uWMe7,ALIA LARA,7LZtbcOzfx11Fhapw8iiOO,Kingdom,2024-08-16,186666,False,1,49,2024-11-06,0.631,0.415,4,-10.501,0,0.183,0.0153,2.81e-06,0.0573,0.651,98.782,4,['gospel r&b'],49,30505
41,Rocky Top,6se4sK4ZbkNgOJUkmszbxX,The Osborne Brothers,6gM87haEMrst4Eqdobf98c,From Rocky Top to Muddy Bottom: The Songs of Boudleaux and Felice Bryant,2008-05-30,161226,False,1,45,2024-11-06,0.551,0.557,4,-8.514,1,0.0298,0.14,0.000129,0.333,0.93,156.805,4,"['banjo', 'bluegrass', 'bluegrass gospel']",42,30234
42,Praise Is What I Do,3prZxvQe9PF1PKBZJM3L3u,Shekinah Glory Ministry,50DI0MpQBOtBO0PFtKVQRx,Praise Is What I Do,2007-07-03,552760,False,11,44,2024-11-06,0.321,0.481,8,-11.06,1,0.0844,0.04,0.0,0.102,0.157,105.325,4,['gospel'],41,232605
43,God in Me (feat. Kierra Sheard),1ZxwWrMNukjS8sb9TZ0HjU,Mary Mary,12Kgt2eahvxNWhD5PnSUde,Go Get It,2000,192680,False,12,45,2024-11-06,0.673,0.673,5,-5.824,0,0.0948,0.0336,0.0,0.214,0.428,176.088,4,"['gospel', 'gospel r&b']",55,653475
44,Make Me Over,3aBxpORyAIJSpsXifv0JTy,Bri Babineaux,6YedxQjw8pGzw9B8owaEnF,Make Me Over,2017-08-04,149816,False,1,46,2024-11-06,0.396,0.563,5,-6.834,0,0.0285,0.0113,0.273,0.122,0.203,78.615,4,"['contemporary gospel', 'gospel']",45,121003
45,"He Reigns / Awesome God - Live at Lakewood Church, Houston, TX - June 16, 2000",4mDkFfjm82m9goCcumFeL7,Kirk Franklin,4akybxRTGHJZ1DXjLhJ1qu,The Rebirth Of Kirk Franklin (Live),2002-02-19,265866,False,9,48,2024-11-06,0.771,0.894,2,-5.263,1,0.2,0.0691,0.0,0.641,0.578,104.965,4,"['gospel', 'gospel r&b']",64,1757992
46,Come Jesus Come,6WHe4Ilqwx9H5cY8V9glhr,CeCe Winans,3qfrrrSO7utFdJkM2tvMRb,Come Jesus Come,2024-03-15,298050,False,1,44,2024-11-06,0.301,0.372,11,-8.062,1,0.0296,0.5,0.0,0.255,0.284,135.231,3,['gospel'],65,1184318
47,Just Don't Wanna Know,4qawsTQMIjiRZvbJB0vp7i,Marvin Winans,2QuleHm5yBUYv3vjqWTM79,Alone But Not Alone,2007-01-01,262866,False,3,45,2024-11-06,0.627,0.397,6,-8.765,1,0.0292,0.238,2.73e-05,0.103,0.219,119.877,4,"['gospel', 'gospel r&b']",47,156580
48,You Are Good,3Rn2n87UEQV0YxDCxvqSI8,Israel Houghton,7pUnaNwiKa3p27L1EwB4X6,Decade,2012-03-06,322952,False,3,50,2024-11-06,0.523,0.854,9,-5.918,1,0.0707,0.00147,0.0,0.523,0.433,127.944,4,"['gospel', 'worship']",53,328979
49,We Gon’ Be Alright,0ErItBOhcHJahcQ8BGqk4V,Tye Tribbett,1xy9x7h2jKEg8iG22Sml32,We Gon’ Be Alright,2020-04-24,214973,False,1,45,2024-11-06,0.826,0.524,8,-5.559,0,0.109,0.282,0.0,0.098,0.284,110.041,4,"['gospel', 'praise']",52,459838
50,Blessings,01lwQQFxFuxOe2UToQBrwE,Yolanda Adams,47opbYEKDjXnRk9uLscp11,Sunny Days,2024-09-13,238174,False,4,46,2024-11-06,0.437,0.515,1,-7.027,1,0.0425,0.332,0.0,0.0885,0.347,135.093,4,"['gospel', 'gospel r&b']",52,778721
51,If He Did It Before....Same God - Live,3ubvpgBsJK96b4OSTo5DiC,Tye Tribbett,1xy9x7h2jKEg8iG22Sml32,Greater Than (Live),2013-08-06,245146,False,12,45,2024-11-06,0.612,0.796,3,-5.4,0,0.167,0.0335,2.93e-06,0.0592,0.669,159.356,4,"['gospel', 'praise']",52,459838
52,I Need You To Survive,1S3YUQ2QayTWO78iY3farE,Hezekiah Walker,0pXt4sMs2oRnt528LTYgyd,The Essential Hezekiah Walker,1992,451080,False,7,45,2024-11-06,0.35,0.285,1,-12.603,1,0.0343,0.472,0.0,0.386,0.155,90.846,5,"['gospel', 'israelite hip hop']",51,582144
53,Highway 40 Blues,47bhJ2T5HpcGajdjUPbmNJ,Ricky Skaggs,0uNC9XuH437fKCCMuzvSks,Super Hits,1981,188760,False,6,45,2024-11-06,0.652,0.66,4,-12.049,1,0.0317,0.0538,0.00165,0.332,0.952,117.995,4,"['bluegrass', 'bluegrass gospel', 'classic country pop', 'country rock', 'mandolin', 'old-time']",50,135097
54,Speechless,7kTI1q9gPBPY4YNbTGKgLj,Anita Wilson,4rEGEwaOU6Mtdj4ylW0fjS,Worship Soul,2018-10-12,376372,False,4,45,2024-11-06,0.465,0.641,0,-6.037,0,0.045,0.525,0.0,0.676,0.263,120.057,4,"['gospel', 'gospel r&b']",46,90487
55,Speak To Me,0CZmy9ctYRi2Ux5uFLGqSr,Koryn Hawthorne,03qM4LmPCrR7CuHTE0WAIW,I AM,2020-09-18,166963,False,1,45,2024-11-06,0.745,0.621,0,-6.109,0,0.314,0.389,0.0,0.174,0.63,82.51,4,"['gospel', 'gospel r&b']",52,215607
56,He's Able - Live,537bauuRZw1QMo3Ya4vZrz,Kirk Franklin,4akybxRTGHJZ1DXjLhJ1qu,Kirk Franklin and the Family,1993,245666,False,2,44,2024-11-06,0.528,0.805,5,-9.416,1,0.0759,0.655,0.0,0.677,0.499,80.57,4,"['gospel', 'gospel r&b']",64,1757992
57,He Walked on Water,2HXI4dO1IkdxzME613wgR0,Randy Travis,1pTuR132U5b4Rizal2Pr7m,No Holdin' Back,1989-09-26,205240,False,4,45,2024-11-06,0.606,0.339,2,-9.475,1,0.026,0.373,9.27e-06,0.157,0.446,90.306,4,"['contemporary country', 'country', 'country gospel', 'country road']",66,1825041
58,You Get The Glory,0BhYHmteTasqTgZa3V5G0h,Jonathan Traylor,7KcmdvVaaO7Y0pmHQjOEFo,The Unknown,2020-08-14,232012,False,8,46,2024-11-06,0.341,0.378,11,-10.416,1,0.0338,0.361,0.0,0.0896,0.171,171.9,4,"['contemporary gospel', 'worship']",49,75659
59,God's Grace,5yssJ3vVVA8IlNS2YFYtxW,Trin-I-Tee 5:7,6XFgX9kLg3pUAkLY0byY2I,Trin-i-tee 5:7,1998-07-14,261398,False,2,44,2024-11-06,0.79,0.419,5,-8.1,0,0.0273,0.477,0.0,0.123,0.69,111.942,4,"['gospel', 'gospel r&b', 'praise']",40,122791
60,The Presence of the Lord Is Here,3xbCCfFXSpbEIZ9b5Cp5IM,Byron Cage,1bxsoj9E6Z2GoHVIswbRez,Byron Cage,2003,422826,False,3,44,2024-11-06,0.651,0.907,1,-5.141,1,0.0707,0.0525,4.73e-06,0.386,0.314,143.028,4,['gospel'],40,248762
61,Sleeping Single In A Double Bed - Single Version,2bazs0jc6oxEEeFYQXXJxv,Barbara Mandrell,67BqBdApdbZ0onglFqRoTg,Moods,1978-09-20,139610,False,2,46,2024-11-06,0.706,0.661,0,-9.2,1,0.0297,0.554,0.0,0.0937,0.968,139.453,4,"['classic country pop', 'country', 'country gospel', 'country rock']",45,280014
62,Jehova,7c3KefV8XG2IyOW8OxHCuI,Ryan Ofei,1pQ5oAMGcFhkkuLqGJQUCd,Jehova,2020-11-02,234052,False,1,49,2024-11-06,0.416,0.414,9,-7.249,1,0.0283,0.801,0.0,0.072,0.341,81.905,4,['ghanaian gospel'],49,27434
63,Put A Praise On It - Live,3yhpA3U2Ki3W6UFSVfMYPS,Tasha Cobbs Leonard,5YxebzzreNswbtYC1td4cx,One Place Live,2015-08-21,376666,False,10,45,2024-11-06,0.444,0.91,10,-5.626,1,0.19,0.0486,0.0,0.452,0.155,149.801,4,"['gospel', 'naija worship']",61,1344614
64,I Won't Go Back,5jFdBLfttNFbs1wfGbnqvA,William McDowell,6PTGRlwNbg36Mu4boWlixN,Arise,2011-11-08,367680,False,9,47,2024-11-06,0.543,0.715,10,-5.088,1,0.0456,0.0144,0.0,0.423,0.153,123.86,4,['gospel'],53,483471
65,Alabaster Box,7FLPCH6fx9gJgrRJBoo5U5,CeCe Winans,3qfrrrSO7utFdJkM2tvMRb,Alabaster Box,1999-01-01,332973,False,4,47,2024-11-06,0.319,0.329,2,-7.433,1,0.0324,0.855,1.86e-06,0.0864,0.205,128.659,3,['gospel'],65,1184318
66,Thank You For It All,1uA4YKtkUT8wvFobwTtonp,Marvin Sapp,5r0KYGxdIZEHZ6z6XbkVbo,Thank You For It All,2020-06-12,264430,False,1,45,2024-11-06,0.535,0.432,0,-8.161,1,0.0321,0.387,0.0,0.113,0.285,102.168,4,['gospel'],54,791700
67,Actions,18aYzgauKEhZdjKzucPKPB,ALIA LARA,7LZtbcOzfx11Fhapw8iiOO,Actions,2020-10-01,186474,False,1,47,2024-11-06,0.536,0.376,10,-16.867,0,0.17,0.25,0.0,0.116,0.47,130.179,4,['gospel r&b'],49,30505
68,Put It On The Altar,2QVjnEpvbSeVhs1QZfwDOf,Jessica Reedy,53AfsMeg6Tr5kAejn7pON6,From The Heart,2011-09-27,246106,False,1,44,2024-11-06,0.641,0.689,1,-5.938,0,0.155,0.268,0.0,0.185,0.803,91.805,4,"['gospel', 'gospel r&b']",42,134489
69,Victory Belongs To Jesus (Live),0Bgd1ABS94lhwYDCEQHpsP,Todd Dulaney,41OAtBkqAXVdMlteKlhrZz,A Worshipper's Heart (Live),2016-04-15,344733,False,9,50,2024-11-06,0.359,0.586,3,-7.002,1,0.0368,0.422,5.49e-06,0.826,0.162,140.023,4,"['gospel', 'praise']",49,195365
