,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,We Bring You the Stars,0xZ75ORYh9uWtBkCDbV8YU,Metalite,18RXUrxy1BYOOvrW0XuFBg,We Bring You the Stars,2020-10-02,180373,False,1,45,2024-11-06,0.437,0.926,9,-6.056,1,0.0751,0.000586,7.69e-06,0.099,0.751,169.937,4,"['gothic symphonic metal', 'melodic metal', 'slayer', 'symphonic metal', 'symphonic power metal']",40,52331
1,Metal,1tKn8gj66mcRa5r1HgYhD6,Deathstars,4Tg06Sex4LzwcgVdfRrHlp,The Greatest Hits on Earth,2011-11-28,230133,False,2,23,2024-11-06,0.531,0.967,5,-4.506,0,0.0863,1.47e-05,0.883,0.116,0.345,146.0,4,"['cyber metal', 'gothic metal', 'industrial metal']",43,167068
2,Metall Heiligenschein,7MnfPPqW1gR8RVIdaj0ECx,Scarlet's Remains,0dHj7e9CDSgk0VfA9ViTTH,Scarlet's Remains,2005-01-01,215893,False,4,20,2024-11-06,0.16,0.914,4,-8.044,0,0.0506,2.5e-05,0.183,0.351,0.569,170.183,4,"['deathrock', 'gothic rock']",26,23829
3,Farewell,4Qe4jyrOpoUeph5U8gwwxA,Avantasia,1Ih0fEQQsy9EeAJbYEeQRa,"The Metal Opera, Pt. I",2001-01-22,392400,False,6,45,2024-11-06,0.457,0.645,11,-5.97,1,0.0267,0.00388,0.0,0.185,0.148,98.679,3,"['fantasy metal', 'german metal', 'german power metal', 'gothic symphonic metal', 'metal', 'opera metal', 'power metal', 'speed metal', 'symphonic metal']",55,461600
4,Metal Heart,2gWvDFPsXwX0fzwxPaTbQk,Dimmu Borgir,6e8ISIsI7UQZPyEorefAhK,Godless Savage Garden,1998-07-13,277200,False,5,24,2024-11-06,0.19,0.948,7,-4.921,1,0.0761,0.00314,0.0273,0.163,0.212,132.035,4,"['black metal', 'gothic metal', 'melodic death metal', 'metal', 'norwegian black metal', 'norwegian metal', 'power metal', 'speed metal', 'symphonic black metal', 'symphonic metal', 'viking metal']",52,536140
5,The Funeral Of Hearts,18n4e7z7RODmeFM1eUkkmN,HIM,74aLweE8FHHf4yN5TWv1GM,Love Metal (Deluxe Remastered Edition),2014-12-09,270170,False,2,40,2024-11-06,0.555,0.835,6,-5.096,0,0.0364,0.0186,1.59e-05,0.275,0.335,114.026,4,"['dark rock', 'finnish alternative rock', 'gothic metal']",62,786094
6,Far from the Sanctuary,23fuz8BNjGTANEMclfuIXp,Metalite,18RXUrxy1BYOOvrW0XuFBg,Biomechanicals,2019-10-25,257186,False,1,35,2024-11-06,0.461,0.94,11,-6.494,0,0.116,3.55e-05,0.0223,0.0992,0.337,95.001,4,"['gothic symphonic metal', 'melodic metal', 'slayer', 'symphonic metal', 'symphonic power metal']",40,52331
7,Heroes in Time,4zgkpHxyIkweE7MtsEEaeF,Metalite,18RXUrxy1BYOOvrW0XuFBg,Heroes in Time,2017-10-27,225146,False,5,28,2024-11-06,0.438,0.988,11,-4.48,0,0.253,0.000289,0.0,0.231,0.255,150.211,4,"['gothic symphonic metal', 'melodic metal', 'slayer', 'symphonic metal', 'symphonic power metal']",40,52331
8,Test Your Metal,0qkFmUk5GpjXoI0NXrUX7q,Unleash The Archers,6irKXFXk2sPNmHtKqmrfuU,Time Stands Still,2015-06-29,193707,False,5,28,2024-11-06,0.465,0.926,6,-5.617,0,0.156,0.000614,0.000552,0.456,0.45,199.913,4,"['gothic symphonic metal', 'melodic metal', 'power metal', 'symphonic metal', 'vancouver metal']",48,192320
9,The Sacrament,7qDSm1wocExvMUcI6oOjWv,HIM,74aLweE8FHHf4yN5TWv1GM,Love Metal (Deluxe Remastered Edition),2014-12-09,269986,False,6,36,2024-11-06,0.524,0.965,4,-4.214,0,0.0793,0.0302,0.0782,0.0736,0.215,140.97,4,"['dark rock', 'finnish alternative rock', 'gothic metal']",62,786094
