,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Hardcore Vibes,0yx5eBLk3AGOH5EruCqLDx,Dune,4u78tFtzvcrrs8kzkXsW4r,Dune,1995-08-01,213240,False,2,55,2024-11-06,0.578,0.631,4,-11.93,0,0.0415,0.0156,0.488,0.0578,0.484,163.883,4,"['bubble trance', 'eurodance', 'german techno', 'happy hardcore', 'hardcore techno']",48,61469
1,Hardcore Disco - Gabber Mix,4OyP6pFhJY2JzXiLxtYOvA,Bass-x,3NwwN6OQT7PDHtxVhtkbQf,Happy to be hardcore,2019-11-29,270440,False,12,35,2024-11-06,0.673,0.919,1,-11.126,1,0.0613,0.00438,0.47,0.887,0.326,180.014,4,"['gabber', 'happy hardcore']",25,2470
2,Bass Slut - Original Mix,4H2InPZwFZmEBS6hqTNvCq,S3RL,11aa081aKYUzmeFm0yHdT2,Hardcore Addiction 5,2014-08-25,252000,False,24,39,2024-11-06,0.436,0.992,7,-5.152,1,0.128,0.00205,0.000709,0.34,0.35,179.964,4,"['australian dance', 'freeform hardcore', 'happy hardcore']",62,427814
3,Happy Hardcore Tonight,4XexoLI5WWP2U5mmYZX0OD,S3RL,11aa081aKYUzmeFm0yHdT2,Happy Hardcore Tonight - Single,2011-11-03,201879,False,1,30,2024-11-06,0.44,0.996,2,-1.776,0,0.0483,0.00696,0.852,0.285,0.393,174.99,4,"['australian dance', 'freeform hardcore', 'happy hardcore']",62,427814
4,J'adore Hardcore,1BSwv4ckeRBwuIsYXRG5QV,Scooter,0HlxL5hisLf59ETEPM3cUA,20 Years Of Hardcore (Remastered),2013-10-11,227999,True,12,51,2024-11-06,0.469,0.946,7,-3.934,1,0.0753,0.00788,0.00615,0.691,0.213,149.942,4,"['eurodance', 'german techno', 'hamburg electronic', 'happy hardcore']",68,881524
5,One (Always Hardcore),04frI4TPBnmvaYXHeqELQL,Scooter,0HlxL5hisLf59ETEPM3cUA,Mind The Gap,2004-11-08,225026,False,2,56,2024-11-06,0.512,0.994,9,-4.497,1,0.0607,0.00134,0.009,0.14,0.681,143.986,4,"['eurodance', 'german techno', 'hamburg electronic', 'happy hardcore']",68,881524
6,Hardcore Vibes - South Bound Mix,4xZjdX6Lhab2iixRpPEsdc,Dune,4u78tFtzvcrrs8kzkXsW4r,Hardcore Vibes,1995-01-01,292040,False,1,39,2024-11-06,0.582,0.556,4,-13.998,0,0.0425,0.0159,0.381,0.0695,0.422,163.835,4,"['bubble trance', 'eurodance', 'german techno', 'happy hardcore', 'hardcore techno']",48,61469
7,Right In Your Face - Original Mix,3eq4QLc5gSj3bDbHUDRg0t,Ultravibes,1JVIVMK0PA0gYaRvEhBv3o,Hardcore Addiction 3,2014-08-11,90093,False,3,31,2024-11-06,0.476,0.978,6,-5.108,0,0.0735,0.000506,0.765,0.375,0.646,179.985,4,['deep happy hardcore'],19,1903
8,Hardcore (Album Version),6ADQmIA2jVDzLxNUsBY90U,3 Steps Ahead,2aSXpRYCcgBPTVCMX3qyjA,Junkie,2000-01-01,276253,False,17,30,2024-11-06,0.369,0.948,9,-3.036,0,0.0907,3.89e-05,0.79,0.675,0.502,193.075,4,"['gabber', 'happy hardcore', 'hardcore techno']",41,20758
9,Module - Original Mix,51nHdcfjCbzCCsjIk6KcBe,Fracus,2YfwTOT9y032E2VXJ8LUuZ,Hardcore Addiction 6,2014-09-01,125813,False,11,27,2024-11-06,0.417,0.991,11,-3.929,0,0.178,0.000435,0.887,0.224,0.227,181.235,4,['deep happy hardcore'],24,3195
10,Sahara - Original Mix,4bek6esXigPCDruujINYrk,Lumin8,4pmFSHWmuZmlwKvRlhyGB7,Hardcore Addiction 2,2014-08-04,115840,False,19,26,2024-11-06,0.416,0.995,1,-4.391,1,0.101,0.000626,0.735,0.149,0.809,181.316,4,['deep happy hardcore'],19,985
11,Hardcore Feelings,5dkrf6Z99aJfOtDWSDtafV,Charly Lownoise,29NIIAIq5CRkVuzkggpS0W,Paul Elstak Megamix 2011,2011-07-15,227344,False,28,34,2024-11-06,0.513,0.989,8,-6.978,1,0.069,0.301,0.00224,0.714,0.386,170.964,4,['happy hardcore'],44,14655
12,We Love Hardcore,4QEcp9HHE6pt1jhnbyslmB,Scooter,0HlxL5hisLf59ETEPM3cUA,God Save The Rave,2021-04-16,195387,False,4,43,2024-11-06,0.412,0.879,11,-3.929,1,0.071,0.000372,0.00649,0.424,0.176,146.23,4,"['eurodance', 'german techno', 'hamburg electronic', 'happy hardcore']",68,881524
13,Hardcore Power - Original Mix,7fRkpGDNIs4XNRPs7to2UF,Sc@r,7gKPdyujtZuGlS3l38CaXb,Hardcore Addiction 3,2014-08-11,266666,False,12,9,2024-11-06,0.437,0.986,11,-4.554,0,0.301,0.00036,0.736,0.547,0.489,179.964,4,['deep happy hardcore'],8,982
14,Hardcore Creators - Original Mix,3qzksR2X0Lm3DxQEz7IQXn,Bass-x,3NwwN6OQT7PDHtxVhtkbQf,Hardcore Creators,2016-08-16,237557,False,2,17,2024-11-06,0.684,0.995,2,-5.93,1,0.0871,2.48e-05,0.944,0.0448,0.225,169.842,4,"['gabber', 'happy hardcore']",25,2470
15,Surrender - S3RL Radio Edit,7ukWlv7RNZUOKTYLS0plXq,Al Storm,12CfGGtVpvaQVgoQaFy7kM,Surrender (S3RL Remix),2024-09-27,245485,False,1,40,2024-11-06,0.467,0.95,1,-1.473,0,0.0817,0.00548,0.0,0.622,0.235,175.03,4,['deep happy hardcore'],33,8253
16,Rivers Flow In You - S3RL Mix,5mq7j07cW1IrHMluxcmtHV,Lumin8,4pmFSHWmuZmlwKvRlhyGB7,Hardcore Addiction 3,2014-08-11,262093,False,39,23,2024-11-06,0.35,0.997,7,-4.43,1,0.195,0.000119,0.345,0.0462,0.179,181.047,4,['deep happy hardcore'],19,985
17,Feelin' Desire - Original Mix,7lSegD7rtMFh6KjKOY4cYm,Eufeion,7ykuX8JwiitjBbIMlGVH0B,Hardcore Addiction 2,2014-08-04,88986,False,13,22,2024-11-06,0.297,0.995,11,-4.521,1,0.176,0.00084,0.66,0.13,0.168,180.845,4,"['deep happy hardcore', 'freeform hardcore']",30,2879
18,Hardcore Vibes - The Viper Edit,5uMFxmqqpD2yfcLbjDbKbQ,Dune,4u78tFtzvcrrs8kzkXsW4r,Pussy Lounge 2016,2016-06-17,153600,False,58,29,2024-11-06,0.564,0.733,9,-11.109,0,0.039,0.361,0.167,0.118,0.437,166.069,4,"['bubble trance', 'eurodance', 'german techno', 'happy hardcore', 'hardcore techno']",48,61469
19,Jitter 0.5 - Original Mix,6eYKJw3osFDx1xhkid1oBg,Orbit1,1noYKCoX1ArywyakTsT1zT,Hardcore Addiction 4,2014-08-18,106653,True,16,20,2024-11-06,0.432,0.999,1,-4.59,1,0.343,0.000139,0.845,0.377,0.0392,179.952,4,['deep happy hardcore'],16,1243
20,One (Always Hardcore),2c0uWMyR2X5VKFv84192sM,Scooter,0HlxL5hisLf59ETEPM3cUA,20 Years Of Hardcore (Remastered),2013-10-11,230266,False,15,49,2024-11-06,0.464,0.998,1,-3.526,0,0.0809,0.000197,0.232,0.114,0.755,143.977,4,"['eurodance', 'german techno', 'hamburg electronic', 'happy hardcore']",68,881524
21,Disco Beat - Original Mix,0u0GFzMU7aC4mEeTlWRDlQ,Eufeion,7ykuX8JwiitjBbIMlGVH0B,Hardcore Addiction 3,2014-08-11,97333,False,29,19,2024-11-06,0.404,0.998,11,-4.667,0,0.335,0.000293,0.734,0.224,0.282,180.096,4,"['deep happy hardcore', 'freeform hardcore']",30,2879
22,Maria (I Like It Loud),4wlxXre2tjcc1INh2Z3i5b,Scooter,0HlxL5hisLf59ETEPM3cUA,20 Years Of Hardcore (Remastered),2013-10-11,222105,False,5,60,2024-11-06,0.532,0.995,8,-3.292,1,0.11,0.000411,0.131,0.938,0.467,142.959,4,"['eurodance', 'german techno', 'hamburg electronic', 'happy hardcore']",68,881524
23,Hardcore Heaven - The Hardcore Mix,5vd3INVl6TEj2CYgFEKapT,DJ Seduction,3QCLS2hkq3jpkJuPmJZHyD,Hardcore Heaven / You And Me,2004-05-01,298906,False,1,14,2024-11-06,0.735,0.84,1,-8.547,1,0.0341,0.000466,0.653,0.188,0.603,129.671,4,"['happy hardcore', 'hardcore breaks', 'hardcore techno', 'jungle']",23,9723
24,Eastern Sea - Original Mix,5f66NHwtvTQsEgLrmurLUj,Lumin8,4pmFSHWmuZmlwKvRlhyGB7,Hardcore Addiction 2,2014-08-04,211320,False,4,19,2024-11-06,0.469,0.972,6,-4.927,1,0.0919,7.01e-05,0.843,0.696,0.596,179.732,4,['deep happy hardcore'],19,985
25,Hardcore Feelings - Radio Edit,1OVPUa4JeXsB4Ta8qzmdDf,Charly Lownoise & Mental Theo,5GLFbwgiU1YyAoQD8C4nvC,The Best Of Charly Lownoise & Mental Theo - 25 Years Anniversary,2019-02-01,227573,False,4,37,2024-11-06,0.46,0.995,8,-3.89,1,0.16,0.359,0.000275,0.653,0.328,170.991,4,"['bubble trance', 'happy hardcore', 'hardcore techno']",47,31611
26,Hardcore Feelings - Club Mix,2tVDAduI0ZVtllzVQ3uUpu,Charly Lownoise,29NIIAIq5CRkVuzkggpS0W,On Air,1996-08-01,403093,False,1,30,2024-11-06,0.566,0.827,8,-10.576,1,0.0576,0.00486,0.0537,0.0681,0.868,170.957,4,['happy hardcore'],44,14655
27,I Wanna Be a Hippy,0AXrC57NnwkQ46kohoyniu,Technohead,3iPZvuMeJKouwPtkY2oRAZ,Happy Hardcore Top 100 (Best Ever),2010-05-17,196231,False,1,42,2024-11-06,0.702,0.947,8,-4.032,1,0.0537,0.131,0.63,0.112,0.417,177.383,4,"['gabber', 'happy hardcore', 'hardcore techno']",42,16958
28,J'adore Hardcore,3UBpcZF7tJgtgaKhEYAInw,Scooter,0HlxL5hisLf59ETEPM3cUA,Under The Radar Over The Top (The Dark Side Editon),2009-10-02,260693,True,2,34,2024-11-06,0.516,0.906,7,-5.515,1,0.0509,0.0153,0.0173,0.705,0.327,149.992,4,"['eurodance', 'german techno', 'hamburg electronic', 'happy hardcore']",68,881524
29,Addict - Exclusive Mix,408PehXFeYB2u84vnoXpvV,S3RL,11aa081aKYUzmeFm0yHdT2,Hardcore Energy 2,2011-03-31,334628,False,25,17,2024-11-06,0.57,0.955,6,-4.413,0,0.242,0.0019,0.0409,0.394,0.106,175.025,4,"['australian dance', 'freeform hardcore', 'happy hardcore']",62,427814
30,Orbit 2000 - Original Mix,1rzZobrc1dPIgSyYirTlK6,Orbit1,1noYKCoX1ArywyakTsT1zT,Hardcore Addiction 5,2014-08-25,196666,False,9,17,2024-11-06,0.376,0.98,2,-5.385,1,0.0981,3.44e-05,0.95,0.195,0.0975,180.015,4,['deep happy hardcore'],16,1243
31,Pitcha 2009 - Original Mix,4bgLZQUb33avX22j6nqHvp,Eufeion,7ykuX8JwiitjBbIMlGVH0B,Hardcore Addiction 3,2014-08-11,154693,False,2,17,2024-11-06,0.398,0.998,10,-5.797,0,0.504,0.0011,0.203,0.341,0.127,180.064,4,"['deep happy hardcore', 'freeform hardcore']",30,2879
