,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Out Of Nowhere,1MojYZKIaRNS47VIOo6f3t,Ronnie Cuber,0ugeHL6lEUsqwhHjTebNpV,Boplicity,2012-02-10,404933,False,8,2,2024-11-06,0.486,0.221,7,-18.982,1,0.0548,0.653,0.746,0.121,0.292,90.186,4,['hard bop'],21,3429
1,Boplicity,6dbwOE5tAZvL6oScvAektw,Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,"All That Jazz, Vol. 44: Miles Davis, Vol. 3 – Cool Boplicity in Hackensack (Remastered 2015)",2015-10-02,179707,False,9,1,2024-11-06,0.606,0.13,5,-14.476,1,0.0446,0.993,0.642,0.144,0.565,66.976,4,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']",64,2594975
2,Boppy's Back - Demo,3nPfkM7XrAz5znjYtgQtXX,Heart,34jw2BbxjoYalTp8cJFCPv,Strange Euphoria,2012,127853,False,7,1,2024-11-06,0.426,0.495,2,-8.507,1,0.0305,0.398,8.17e-06,0.43,0.481,107.234,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'new wave pop', 'rock', 'singer-songwriter', 'soft rock']",69,2695836
3,BOP,2UUUop2G1HIg5CBPzfVvJq,Raimundos,3CfJckVRuukdJSvK3r89yJ,Cantigas de Roda,2014-04-08,194586,False,2,16,2024-11-06,0.478,0.964,4,-5.492,1,0.16,0.201,0.0,0.166,0.53,171.922,4,"['brazilian punk', 'brazilian punk rock', 'brazilian reggae', 'brazilian rock', 'hard rock brasileiro', 'rock brasiliense', 'rock nacional brasileiro']",63,1543724
4,Bop Alley,6TRZUjNULoYe9ZekffbLv1,Art Blakey & The Jazz Messengers,6ykfXAed2KOLOMI3R0TZdz,New Sounds,1991-01-01,192000,False,11,2,2024-11-06,0.515,0.696,4,-11.396,0,0.149,0.874,0.0241,0.111,0.769,134.969,4,"['bebop', 'hard bop', 'jazz', 'jazz drums']",49,232386
5,BOP - SYEP015,7Ij4BKzDwSPx9ZNNBzOlkm,VIVEZ,6PYyQDk2Y7ybvYDzbM3qYM,Thermal (SYEP015),2023-07-14,368250,False,3,1,2024-11-06,0.759,0.931,7,-9.891,1,0.0915,0.00204,0.903,0.11,0.674,146.029,4,['hardgroove'],11,766
6,Bopsy,7sAHcmxc8w0Mnq6Db1msrc,Elvin Jones,4dUMhhUjQ2YcNTvab29hYF,IT DON'T MEAN A THING… (Remaster),2014-10-15,263026,False,7,0,2024-11-06,0.521,0.612,2,-10.489,1,0.0635,0.449,4.91e-05,0.204,0.484,131.29,4,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz drums']",35,52702
7,Boplicity,5NgpSYqoLZxkSqrRoaUwCv,Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,Jazz Legends: Miles Davis,2022-09-24,182293,False,18,1,2024-11-06,0.477,0.205,5,-13.356,1,0.0395,0.939,0.000287,0.123,0.425,135.133,4,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']",64,2594975
8,Bop Til You Drop - Single Version,4Eu7V4TvsYTPgqE2U4vmuV,Rick Springfield,6IFXsrXBpwbIqtOUOiAa3p,Written In Rock: The Rick Springfield Anthology,2005,241160,False,4,4,2024-11-06,0.688,0.957,10,-5.665,0,0.0535,0.0901,0.000378,0.132,0.721,118.384,4,"['album rock', 'australian rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']",64,860102
9,Boplicity,40fBvMJoJy2ltZwBIv8ujo,Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,Jazz Profile,1998-01-01,182293,False,2,1,2024-11-06,0.477,0.205,5,-13.356,1,0.0391,0.939,0.000287,0.123,0.424,135.158,4,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']",64,2594975
10,Boplicity - Live at Montreux; 2015 Remaster,6R9fj2eP1uMAvUp1JyGwCw,Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,The Last Word - The Warner Bros. Years,2002-08-20,220453,False,2,1,2024-11-06,0.493,0.321,5,-15.198,1,0.0533,0.686,0.0294,0.692,0.363,116.332,4,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']",64,2594975
11,"Bop 'Til You Drop - from ""Hard to Hold"" - Original Soundtrack",7iJ3uLcGqyzQWO6VNToqgN,Rick Springfield,6IFXsrXBpwbIqtOUOiAa3p,VH1 Music First: Behind The Music - The Rick Springfield Collection,2000-09-07,257466,False,14,0,2024-11-06,0.711,0.778,11,-8.133,0,0.0389,0.0456,5.26e-06,0.304,0.639,115.472,4,"['album rock', 'australian rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']",64,860102
12,BOP - Lysander Remix,3fglvIii5mR4YWAmrFbBvB,VIVEZ,6PYyQDk2Y7ybvYDzbM3qYM,Thermal (Remixes) [SYEP026],2024-07-05,413500,False,7,0,2024-11-06,0.725,0.884,10,-8.869,0,0.0984,0.208,0.844,0.17,0.234,146.003,4,['hardgroove'],11,766
13,Bop,7tDxBY2rLHUucJNlEO9vkp,Raimundos,3CfJckVRuukdJSvK3r89yJ,Cantigas de Garagem,2014-11-24,188440,False,2,17,2024-11-06,0.424,0.995,11,-2.189,1,0.16,0.0773,0.0,0.214,0.247,175.981,4,"['brazilian punk', 'brazilian punk rock', 'brazilian reggae', 'brazilian rock', 'hard rock brasileiro', 'rock brasiliense', 'rock nacional brasileiro']",63,1543724
14,Bop 'Til You Drop - Single Version,31ly5dBQPsTCYgXwKWXIC7,Rick Springfield,6IFXsrXBpwbIqtOUOiAa3p,We Are The '80s,2006,240280,False,11,1,2024-11-06,0.686,0.947,10,-6.229,0,0.0555,0.0857,0.000281,0.176,0.709,118.431,4,"['album rock', 'australian rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']",64,860102
15,Be-Bop,0x2A58sYZd8PgfNvsQ0Iza,Milt Jackson,23i8EixXKG0EWGRCfHlUGN,Heavyweight Champion: The Complete Atlantic Recordings,1995-08-15,480266,False,6,7,2024-11-06,0.418,0.345,5,-16.092,1,0.0546,0.724,2.2e-06,0.108,0.753,78.961,4,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz vibraphone', 'soul jazz']",40,38195
16,Stella by Starlight,4ywjeh9zq5fVGFd5zfqYwn,Art Blakey & The Jazz Messengers,6ykfXAed2KOLOMI3R0TZdz,Hard Bop (Expanded Edition),1957-04-01,534306,False,2,9,2024-11-06,0.744,0.477,8,-11.074,1,0.074,0.524,0.00439,0.107,0.725,97.678,4,"['bebop', 'hard bop', 'jazz', 'jazz drums']",49,232386
