,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Big Poppa - 2005 Remaster,2g8HN35AnVGIk7B8yMucww,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Ready to Die (The Remaster),1994-09-13,252746,True,13,80,2024-11-06,0.78,0.575,9,-7.247,0,0.273,0.43,0.0,0.143,0.773,84.492,4,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",79,10964643
1,Savior,1vcxF91pWs9uNwDROuiCPB,Rise Against,6Wr3hh341P84m3EI8qdn9O,Appeal To Reason,2008-01-01,242280,False,11,76,2024-11-06,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000139,0.425,0.478,112.488,4,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']",72,2764415
2,Hypnotize - 2014 Remaster,7KwZNVEaqikRSBSpyhXK2j,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Life After Death (2014 Remastered Edition),1997-03-04,229826,True,3,79,2024-11-06,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,4,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",79,10964643
3,Still Not a Player (feat. Joe) - Radio Version,3GKL13lkM5nRc4zC1lIOrR,Big Pun,2Xu7q46Hf02xOoEIm4E1Qs,Capital Punishment,1998-04-28,236800,False,5,72,2024-11-06,0.9,0.62,4,-6.518,0,0.312,0.2,0.00156,0.0647,0.867,94.121,4,"['bronx hip hop', 'east coast hip hop', 'hardcore hip hop']",64,1446958
4,Regulate,7nYvUtkQMx1v80S2FH2s9J,Warren G,2B4ZHz4QDWJTXPFPgO5peE,Regulate… G Funk Era,1994-06-07,248866,True,1,71,2024-11-06,0.849,0.521,11,-12.999,0,0.216,0.304,1.65e-06,0.115,0.763,95.265,4,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']",65,2487796
5,Party And Bullshit,5mqPg2dyqb1gBNyg9ycGcT,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Whos The Man ? Soundtrack,1993-04-20,219706,True,1,73,2024-11-06,0.672,0.704,1,-10.066,0,0.312,0.173,0.0,0.139,0.811,99.232,4,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",79,10964643
6,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,4INDiWSKvqSKDEu7mh8HFz,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Life After Death (2014 Remastered Edition),1997-03-04,257399,True,10,72,2024-11-06,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,4,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",79,10964643
7,Juicy - 2005 Remaster,5ByAIlEEnxYdvpnezg7HTX,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Ready to Die (The Remaster),1994-09-13,302760,True,10,73,2024-11-06,0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063,4,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",79,10964643
8,Prayer Of The Refugee,4OSbctVD37ycS0H3rwRm72,Rise Against,6Wr3hh341P84m3EI8qdn9O,The Sufferer & The Witness,2006-01-01,199386,False,6,66,2024-11-06,0.2,0.977,3,-3.494,0,0.159,0.00165,1.1e-05,0.259,0.39,195.711,4,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']",72,2764415
9,MakeDamnSure,6fTgbkBiMITtHUmik95ClX,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1,Louder Now (Deluxe Edition),2006-04-25,208280,False,3,67,2024-11-06,0.552,0.836,6,-5.608,1,0.0453,0.00942,0.0,0.372,0.432,140.496,4,"['emo', 'neon pop punk', 'pop punk', 'post-hardcore', 'screamo']",63,877107
10,C.R.E.A.M. (Cash Rules Everything Around Me),119c93MHjrDLJTApCVGpvx,Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09,252026,True,8,71,2024-11-06,0.512,0.514,11,-11.562,0,0.387,0.555,0.00958,0.126,0.565,181.033,4,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",68,3309117
11,"Shook Ones, Pt. II",33ZXjLCpiINn8eQIDYEPTD,Mobb Deep,6O2zJ0tId7g07yzHtX0yap,The Infamous,1995-04-25,325506,True,15,74,2024-11-06,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,4,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']",68,2193248
12,Vanished,4bQ7mjty0UVlKRalhizpGT,Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,Crystal Castles,2008-03-18,242960,False,10,69,2024-11-06,0.713,0.868,0,-6.644,0,0.0305,0.00206,9.26e-05,0.225,0.641,119.98,4,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']",73,2751897
13,What's Luv? (feat. Ja-Rule & Ashanti),2mKouqwAIdQnMP43zxR89r,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,Jealous Ones Still Envy (J.O.S.E),2001-12-04,267093,True,9,72,2024-11-06,0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,4,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",69,1866697
14,Notorious Thugs - 2014 Remaster,19FsxX4RthRMZGfXkImdCb,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Life After Death (2014 Remastered Edition),1997-03-04,366880,True,13,67,2024-11-06,0.704,0.873,11,-4.057,0,0.144,0.121,5.12e-06,0.24,0.742,154.914,4,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",79,10964643
15,Cute Without The 'E' (Cut From The Team) - Remastered 2019,6OyKBwLzq4h15XmxeWf5n4,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1,Tell All Your Friends (Remastered),2002-03-26,212937,False,3,65,2024-11-06,0.398,0.89,1,-2.248,0,0.0473,0.0252,0.0,0.0472,0.572,95.095,4,"['emo', 'neon pop punk', 'pop punk', 'post-hardcore', 'screamo']",63,877107
16,Ruff Ryders' Anthem,1BKT2I9x4RGKaKqW4up34s,DMX,1HwM5zlC5qNWhJtM00yXzG,It's Dark And Hell Is Hot,1998-05-01,214440,True,2,68,2024-11-06,0.88,0.577,10,-8.093,0,0.301,0.0564,1.02e-06,0.201,0.74,90.993,4,"['detroit hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",72,5359620
17,N.Y. State of Mind,0trHOzAhNpGCsGBEu7dOJo,Nas,20qISvAhX20dpIbOOzGK3q,Illmatic,1994-04-19,293973,True,2,70,2024-11-06,0.665,0.91,6,-4.682,0,0.223,0.0394,0.0,0.227,0.887,84.099,4,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",74,3942815
18,The Taste of Ink,5jZ1Z2GFTf2gwmFc3qiUxs,The Used,55VydwMyCuGcavwPuhutPL,The Used,2002-06-25,208693,True,2,64,2024-11-06,0.541,0.904,7,-3.001,1,0.0435,0.00143,0.0,0.193,0.541,98.122,4,"['alternative metal', 'neon pop punk', 'pop emo', 'post-grunge', 'post-hardcore', 'screamo']",63,1220595
19,Party Up,0LWkaEyQRkF0XAms8Bg1fC,DMX,1HwM5zlC5qNWhJtM00yXzG,...And Then There Was X,1999-12-21,268866,True,7,68,2024-11-06,0.51,0.931,11,-3.302,1,0.337,0.0738,0.0,0.5,0.533,201.932,4,"['detroit hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",72,5359620
20,Big Poppa - 2007 Remaster,63BcfK6YAzJYeISaTPr6IO,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Greatest Hits,2007-03-02,249866,True,2,70,2024-11-06,0.765,0.671,9,-5.249,0,0.278,0.344,0.0,0.0506,0.798,84.5,4,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",79,10964643
21,X Gon' Give It To Ya,1zzxoZVylsna2BQB65Ppcb,DMX,1HwM5zlC5qNWhJtM00yXzG,The Definition Of X: Pick Of The Litter,2007-06-12,217586,True,11,69,2024-11-06,0.761,0.899,10,-3.09,0,0.183,0.0137,0.0,0.0719,0.673,95.021,4,"['detroit hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",72,5359620
22,Feel so Good,7hfRrdFJgFKK3cJ4rmkecE,Mase,1wiBLzTI7z9RUwEpNPdFT6,Harlem World,1997,203626,True,12,65,2024-11-06,0.821,0.703,11,-8.464,0,0.24,0.192,0.0,0.0816,0.536,105.154,4,"['contemporary r&b', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",65,847687
23,The World Is Yours,7G3lxTsMfSx4yarMkfgnTC,Nas,20qISvAhX20dpIbOOzGK3q,Illmatic,1994-04-19,290573,True,4,66,2024-11-06,0.678,0.794,10,-6.186,0,0.14,0.274,1.68e-06,0.124,0.54,87.374,4,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",74,3942815
