,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,We Fell Apart - Slowed,2vsFAkp6P14vOjvmLdnBkb,ANGUISH,1oAtPfjSyQWY7rERuiYnpl,We Fell Apart,2023-07-25,155520,True,2,71,2024-11-06,0.644,0.944,3,-1.765,0,0.0372,0.0141,0.000304,0.626,0.352,95.004,4,['gym hardstyle'],65,32973
1,ННД,3X412wnMLKyqctlRfhPa7Q,Tomorrow,0mmG7ASfGRWIZVC492wpjs,ННД,2018-06-08,87259,False,1,64,2024-11-06,0.407,0.938,11,-3.263,1,0.0553,0.0339,0.00143,0.806,0.729,172.661,4,"['gym hardstyle', 'russian trap metal']",51,13862
2,Legend,05EG9LwFCVjkoYEWzsrHHO,Tevvez,3ZaPFQ05J5qSM5I3Smbp44,Phantom,2020-12-04,189679,False,9,62,2024-11-06,0.294,0.707,2,-5.418,1,0.0389,0.0408,0.106,0.0705,0.0395,149.94,4,['gym hardstyle'],57,259590
3,BANGARANG,2UEXRIn2kKNQ89cLTGElhI,KILLEDDY,52rXtc030Il0UaPWiBlvYl,BANGARANG,2020-07-10,97655,True,1,53,2024-11-06,0.557,0.939,6,-5.699,1,0.154,0.00345,0.406,0.735,0.569,145.023,4,['gym hardstyle'],43,14157
4,My Soldiers Rage,2uO6LTp2vi4VlgEH9Gaj3R,Maul,4xTRZ0A9NyJ8f1Nzm01vRU,My Soldiers Rage,2022-02-01,174785,False,1,55,2024-11-06,0.287,0.716,1,-6.263,1,0.237,0.444,0.0,0.329,0.669,170.104,1,['gym hardstyle'],48,26022
5,"they think you are a monster, prove them right",4tJwCrvDJRwy1muXuoElT5,killua katana,2SFgK7zXsLnMreq8T4rcP4,"they think you are a monster, prove them right",2023-10-05,86122,False,1,53,2024-11-06,0.484,0.57,10,-8.922,0,0.0882,0.000379,0.397,0.401,0.194,97.015,3,['anime hardstyle'],44,2221
6,We Fell Apart,60mpBwtytEh76AZU5W5u6V,ANGUISH,1oAtPfjSyQWY7rERuiYnpl,We Fell Apart,2023-07-25,138143,True,1,62,2024-11-06,0.671,0.919,1,-3.849,1,0.0407,0.0121,0.00911,0.251,0.577,106.953,4,['gym hardstyle'],65,32973
7,Wanna Play?,6iBL6TOzsO75Yz0cG1MO0o,The Prophet,2iRqqPkOyIvvb7qFZN1Onz,Wanna Play?,2019-05-22,201451,False,1,60,2024-11-06,0.569,0.996,5,-0.45,1,0.224,0.198,0.0114,0.707,0.461,100.02,3,"['classic hardstyle', 'euphoric hardstyle', 'gabber']",55,131290
8,Aot x Traitors,4Q5WZrfyCJOjWFe9pqoFuq,AniLifts,7nXuZRci9XAZRDaOx12bJu,Aot x Traitors,2022,151360,False,1,51,2024-11-06,0.435,0.911,5,-1.964,0,0.0912,0.311,3.26e-05,0.0949,0.957,150.035,4,"['anime hardstyle', 'gym hardstyle']",46,4180
9,Booyah,55SPQmrp0XawJSbBtPelaA,Showtek,3gk0OYeLFWYupGFRHqLSR7,Booyah,2013-08-19,311211,False,2,55,2024-11-06,0.739,0.953,11,-2.624,1,0.133,0.008,0.0105,0.0623,0.516,127.988,4,"['classic hardstyle', 'dutch house', 'edm', 'electro house', 'euphoric hardstyle', 'melbourne bounce', 'pop dance', 'progressive electro house']",62,475957
10,Anadrol,6EXi0RWDxqvxDEHFbqR7XB,Yosuf,0pceb68in41LfgvQbkvCzg,Anadrol,2022-03-17,139947,False,1,56,2024-11-06,0.3,0.966,7,-3.671,1,0.102,0.00106,0.333,0.574,0.17,89.72,4,['gym hardstyle'],54,69185
11,LIGHTS,3VmezKvkt5Tl8ZrmQaFIV4,HARDSTYLE CVNT,3TKwur6G4Q6z57u2ePEvuX,LIGHTS,2022-10-09,126943,False,1,61,2024-11-06,0.428,0.931,10,-4.51,0,0.0495,0.0103,0.000191,0.341,0.332,164.957,4,['gym hardstyle'],51,14085
12,Show Them Why You're Better,1FdItFeVjEibsoYomC5NBu,Rais Shaikh,7iv2BGEDbTiJoUcIXQzJd5,Show Them Why You're Better,2023-06-14,72000,False,1,51,2024-11-06,0.614,0.58,1,-6.76,1,0.0489,0.0291,0.103,0.114,0.0783,120.006,4,['anime hardstyle'],42,4200
13,Zombie,1TwbzKMxFBExaDEUWqQ832,Ran-D,7IeovKzVkfcG9mIJGNzTcT,Zombie,2018-06-04,289548,False,1,62,2024-11-06,0.434,0.87,4,-2.474,0,0.0612,0.0545,0.0,0.0978,0.0383,154.999,4,"['classic hardstyle', 'rawstyle', 'tekk']",59,246332
14,I Am Atomic,2xyHABFPVyyXDksVhseOyB,killua katana,2SFgK7zXsLnMreq8T4rcP4,I Am Atomic,2023-04-03,110074,False,1,50,2024-11-06,0.578,0.737,1,-9.261,1,0.0523,0.000177,0.433,0.209,0.117,130.038,4,['anime hardstyle'],44,2221
15,nas ne dogonyat,2JTgn48qg0Q8UBXXUwj5KE,Tatli,0Nn1YLqJpJVzJ5B21JWpLA,nas ne dogonyat,2022-07-02,194179,False,1,60,2024-11-06,0.573,0.739,2,-5.677,0,0.029,0.0145,0.0178,0.101,0.689,163.017,4,['gym hardstyle'],52,24246
16,they like the way i flirt!,4ju52aXv4KS8Dm2NULU3MI,Armut,72Jq4Qx7m1XizJTU5jv9Wj,they like the way i flirt!,2020-03-23,199187,True,1,48,2024-11-06,0.788,0.679,1,-5.766,1,0.261,0.163,1.45e-05,0.483,0.756,143.42,4,['gym hardstyle'],56,14059
