,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Love and Death,2EdcEOJf2V8xMOTO7q2gCN,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Love & Death,2010-10-25,415090,False,3,44,2024-11-06,0.741,0.896,0,-7.208,1,0.0502,0.135,0.461,0.12,0.871,102.453,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
1,Will You Promise,6Ted7KB5tLxmuxHMTOjzj9,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,My Love and Music,1975,226480,False,4,40,2024-11-06,0.589,0.681,0,-8.833,1,0.0454,0.142,5.44e-05,0.794,0.823,90.373,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
2,Gyae Su,3U9NVmsEdrTutU49F1ykvf,Pat Thomas,6bDPzH0ZXkaMcXYlcQ2yoy,Pat Thomas & Kwashibu Area Band,2015-06-15,252889,False,2,42,2024-11-06,0.781,0.818,1,-7.374,1,0.0429,0.131,0.00314,0.103,0.942,130.003,4,['old school highlife'],39,15230
3,Heaven,1XE4iQ35cADqpZeAOTmvOS,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Ebo Taylor,1977,365680,False,5,39,2024-11-06,0.641,0.768,9,-7.314,0,0.052,0.125,0.558,0.0881,0.384,99.513,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
4,Yen Ara,1DwuneE2dC5A0jqxe8Htlz,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Yen Ara,2018-04-06,190933,False,8,39,2024-11-06,0.638,0.872,8,-8.633,1,0.0361,0.261,0.467,0.0712,0.974,95.333,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
5,Victory - Instrumental,2jQ7PN66QI0qOUm4kvDY8T,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Love & Death,2010-10-25,204567,False,4,37,2024-11-06,0.848,0.887,7,-5.888,1,0.0548,0.124,0.852,0.196,0.795,100.885,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
6,Kwame - Instrumental,6EvqYkFZr168Rkxyst3ByJ,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Love & Death,2010-10-25,222441,False,6,35,2024-11-06,0.595,0.856,5,-5.241,1,0.0558,0.605,0.889,0.134,0.773,127.318,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
7,Culture,3oegVzbP73Tj20CZxMgg0Q,Umu Obiligbo,2d3JopSFur0Ywm6KQdkUeH,Culture,2019-04-09,237391,True,1,43,2024-11-06,0.755,0.893,1,-2.629,0,0.0379,0.516,0.000346,0.0671,0.934,138.726,3,"['afrobeats', 'highlife', 'igbo pop', 'igbo rap', 'nigerian pop']",46,111206
8,My Love and Music,62Wv19Em9TzGWBGIDztP0b,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,My Love and Music,1975,470613,False,2,32,2024-11-06,0.536,0.614,2,-7.377,0,0.0422,0.238,0.00219,0.0393,0.801,80.722,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
9,Eye Nyam Nam 'A' Mensuro - Henrik Schwarz Blend,3mNtJ94LS5gTrclSCE9w9r,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Ene Nyame (Henrik Schwarz Blend),2015-07-24,563866,False,1,42,2024-11-06,0.761,0.626,5,-12.634,1,0.0421,0.0172,0.634,0.0879,0.715,124.024,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
10,Awurade Mpaebo,4YMSrlVjrrw0LEBK6gwGMY,Pat Thomas,6bDPzH0ZXkaMcXYlcQ2yoy,Coming Home,2016-09-30,206346,False,5,33,2024-11-06,0.749,0.574,6,-8.671,1,0.0674,0.321,0.0575,0.0546,0.769,112.89,4,['old school highlife'],39,15230
11,You Monopolise Me,5I9ru11ZxYNG9XqixTQKOy,The Ogyatanaa Show Band,0AJM60aFXEl0tUmjZpSHSL,"Ghana Special: Modern Highlife, Afro Sounds & Ghanaian Blues 1968-81",2012-01-20,194426,False,16,25,2024-11-06,0.776,0.554,9,-6.865,1,0.223,0.276,0.0,0.278,0.719,95.482,4,"['afro psych', 'old school highlife']",22,2218
12,Obra Akyedzi,7qK7Bk0ksb05zFPUv8pgag,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Obra Akyedzi,2024-09-10,239360,False,1,31,2024-11-06,0.588,0.845,10,-5.924,0,0.0887,0.437,0.0436,0.0532,0.746,117.281,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
13,Feeling,68WxRXjtVXccZOfH69H44v,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Feeling,2024-10-18,220672,False,1,32,2024-11-06,0.442,0.628,5,-7.002,1,0.0603,0.436,0.036,0.443,0.786,91.856,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
14,Lagos Sisi,6yM82PxMywRHehdoQgQT8p,Bola Johnson,7CfyXrIeIEd05s0nEPvjW1,Man No Die,2010-10-04,203040,False,16,32,2024-11-06,0.718,0.626,10,-9.049,0,0.0604,0.147,0.00207,0.0994,0.662,107.288,4,"['afrobeat', 'classic afrobeat', 'highlife']",27,6981
15,E Ma S'eka,0PIYTzPh2aJoMUwpDFl5ia,Bola Johnson,7CfyXrIeIEd05s0nEPvjW1,"Nigeria 70 - Sweet Times: Afro-Funk, Highlife & Juju from 1970s Lagos",2011-05-09,184515,False,2,32,2024-11-06,0.725,0.496,9,-10.243,0,0.0358,0.655,0.000578,0.117,0.865,88.144,4,"['afrobeat', 'classic afrobeat', 'highlife']",27,6981
16,You Need Love,4P5PiEBtsUj7UTXqYE89xr,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Conflict,1980,429133,False,1,30,2024-11-06,0.724,0.828,7,-7.256,1,0.0679,0.547,0.342,0.0453,0.753,100.56,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
17,Saana,68LBPBEmXttBwc5XaKEjZv,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Ebo Taylor,1977,352226,False,1,30,2024-11-06,0.682,0.572,0,-12.693,1,0.055,0.595,0.288,0.0976,0.859,108.776,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
18,Atwer Abroba,4P7wLOCCB1kcjzA9gqKt1V,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Life Stories,1977,492339,False,1,34,2024-11-06,0.723,0.883,5,-6.595,0,0.0645,0.24,0.304,0.0951,0.847,109.533,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
19,Let's Think It Over,0MhLF7C1CoZyp3MXrWmEnb,Pat Thomas,6bDPzH0ZXkaMcXYlcQ2yoy,Coming Home,2016-09-30,236053,False,9,32,2024-11-06,0.797,0.734,2,-7.995,1,0.0503,0.308,5.7e-05,0.191,0.804,125.193,4,['old school highlife'],39,15230
20,Saana,2ULAGskxuv9oRp88TAG3JX,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Ebo Taylor,1978,349146,False,1,29,2024-11-06,0.689,0.758,0,-6.601,1,0.0557,0.613,0.18,0.104,0.825,108.438,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
21,Mber No Aso,62G009V9fb4jgbofkEyNYU,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Ebo Taylor and The Pelikans,2023-03-31,187350,False,5,28,2024-11-06,0.712,0.495,0,-11.486,1,0.0552,0.715,0.00615,0.164,0.876,99.543,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
22,Kyenkyen Bi Adi M'awu,5jCmqthHBgShD3rk9AVVxQ,K. Frimpong,2LDOr6fxXh2JPduLAHzztr,Afro-Rock Vol. 1,1974,414520,False,6,31,2024-11-06,0.506,0.673,2,-12.441,1,0.0502,0.0242,0.0267,0.226,0.795,101.175,4,"['afro psych', 'highlife', 'old school highlife']",25,6138
23,Aboa Kyirbin,07EDEiPEV8RD8m3HFD2oSa,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Yen Ara,2018-04-06,309426,False,4,31,2024-11-06,0.679,0.843,5,-10.505,0,0.0377,0.037,0.158,0.0727,0.953,105.355,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
24,Hot Pants,1w95kCIRyAeHcoCRGOH5ma,Bola Johnson,7CfyXrIeIEd05s0nEPvjW1,Black Man’s Cry: The Influence and Inspiration of Fela Kuti,2010-02-23,168372,False,4,28,2024-11-06,0.864,0.411,1,-7.684,1,0.226,0.953,0.134,0.0999,0.683,96.839,4,"['afrobeat', 'classic afrobeat', 'highlife']",27,6981
25,Nwanem Ebezina,2ftoLKEKA6zMI8qoWsSvah,Chief Stephen Osita Osadebe,3p5v42DQP2YtTAwWznBnpn,Kedu America,2006-03-16,450133,False,8,43,2024-11-06,0.603,0.658,8,-10.067,1,0.0363,0.468,0.054,0.0347,0.861,103.159,3,"['highlife', 'igbo pop', 'igbo traditional']",45,54577
26,Peace On Earth,3xm3OnerPVFh8X5l7skbLd,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Life Stories,1977,463702,False,5,28,2024-11-06,0.751,0.859,5,-6.789,0,0.0446,0.713,0.265,0.304,0.656,123.939,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
27,Maye Omama,1v73u3ptURy9srZJfmGWj9,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,My Love and Music,1975,282360,False,1,25,2024-11-06,0.632,0.694,2,-7.368,0,0.0369,0.293,0.000347,0.302,0.904,83.555,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
28,Osondi Owendi,1n21ku53K1pMOU9ib6bEdL,Chief Stephen Osita Osadebe,3p5v42DQP2YtTAwWznBnpn,Kedu America,2006-03-16,471200,False,7,41,2024-11-06,0.569,0.715,0,-9.765,1,0.0488,0.325,0.00261,0.172,0.511,100.21,4,"['highlife', 'igbo pop', 'igbo traditional']",45,54577
29,Ka-Anyi Jikota,4uYqFhMI64MDzxwdjPrbz5,Chief Stephen Osita Osadebe,3p5v42DQP2YtTAwWznBnpn,Kedu America,2006-03-16,306426,False,2,41,2024-11-06,0.463,0.533,0,-10.507,1,0.0549,0.265,0.00321,0.0998,0.882,81.865,4,"['highlife', 'igbo pop', 'igbo traditional']",45,54577
30,Odo Adaada,2mi21f0CUYggWZ575iItwB,Pat Thomas,6bDPzH0ZXkaMcXYlcQ2yoy,Pat Thomas & Kwashibu Area Band,2015-06-15,243752,False,6,27,2024-11-06,0.766,0.874,0,-6.193,1,0.0504,0.241,1.21e-05,0.472,0.93,133.947,4,['old school highlife'],39,15230
31,Joromi,5P79h7NLD3zIpkomzFaMWy,Sir Victor Uwaifo,2hCi6vXJyyTG9szd63b4LU,Big Sound,2009-03-16,187160,False,6,34,2024-11-06,0.709,0.495,10,-7.68,1,0.066,0.281,0.00416,0.0898,0.802,104.907,4,"['edo old school', 'highlife', 'juju']",29,20020
32,Odoo Be Ba,3Ga37vt269xlrzeyh4gnDH,Pat Thomas,6bDPzH0ZXkaMcXYlcQ2yoy,Pat Thomas & Kwashibu Area Band,2015-06-15,294544,False,3,27,2024-11-06,0.678,0.808,6,-7.563,0,0.038,0.512,0.0142,0.0584,0.922,110.992,4,['old school highlife'],39,15230
33,If You Care,4JCjGVuCYNfUgYFbCDTueQ,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Ebo Taylor and The Pelikans,2023-03-31,216243,False,7,25,2024-11-06,0.668,0.444,7,-14.167,1,0.0423,0.325,0.0131,0.107,0.919,173.358,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
34,Happy Day from Me to You,2knFLEmH9MvqejvIEIqkpo,Sir Victor Uwaifo,2hCi6vXJyyTG9szd63b4LU,Sir Victor Uwaifo: Guitar Boy Superstar 1970-76,2008-02-27,168653,False,18,19,2024-11-06,0.631,0.473,0,-6.967,0,0.0451,0.479,6e-06,0.0974,0.537,171.698,4,"['edo old school', 'highlife', 'juju']",29,20020
35,Nga Nga,4nKgXvyXyVwgaZNjtP3OTL,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Love & Death,2010-10-25,324087,False,1,26,2024-11-06,0.674,0.796,8,-6.991,1,0.0284,0.0337,0.00188,0.101,0.961,105.843,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
36,Highlife,7jAOs2vHIb2b1Qiwy7q3am,Gyedu-Blay Ambolley,3K7G8Czqv2acbaWlxFfjbj,Ambolley,1982,299713,False,1,30,2024-11-06,0.84,0.727,5,-11.973,0,0.0519,0.383,0.19,0.114,0.863,124.528,4,"['afrobeat', 'highlife']",34,16963
37,This Hustling World,2qWDv8zJ4xRQWMT6BSjCNk,Gyedu-Blay Ambolley,3K7G8Czqv2acbaWlxFfjbj,Simigwa,2012-10-15,258577,False,3,25,2024-11-06,0.697,0.534,7,-10.826,0,0.0567,0.721,1.29e-05,0.32,0.781,110.378,4,"['afrobeat', 'highlife']",34,16963
38,Rekpete,7MEUKbD90QymEPOdGHM9yO,Hedzoleh Soundz,7GCftuKAPtpukG1SW4FGF2,Hedzoleh Soundz,2010-04-10,212800,False,1,18,2024-11-06,0.672,0.759,0,-8.299,1,0.0514,0.351,6.42e-05,0.133,0.714,125.799,4,"['classic afrobeat', 'highlife']",17,2140
39,Iron Boy,3MA7sO9hG2Jx307ufi36P7,Amakye Dede,64kcBAG5ToQkhbefHzdlsj,Iron Boy,2015-07-10,369200,False,2,31,2024-11-06,0.808,0.579,9,-7.915,1,0.0593,0.208,0.00201,0.0335,0.696,98.021,4,"['highlife', 'hiplife', 'old school highlife']",31,67072
40,Okomfe Bone,5Ug0mO5hheqaVeyYR5hw6L,Pat Thomas,6bDPzH0ZXkaMcXYlcQ2yoy,Obiaa!,2019-10-04,229159,False,9,26,2024-11-06,0.841,0.784,2,-9.267,1,0.0763,0.623,0.0846,0.281,0.918,119.984,4,['old school highlife'],39,15230
41,Agbalu Aka Na Azo Ani,1wDQZRX0LOlC4a9dC1ZFkK,Chief Stephen Osita Osadebe,3p5v42DQP2YtTAwWznBnpn,Kedu America,2006-03-16,530893,False,6,39,2024-11-06,0.54,0.653,0,-10.379,1,0.0354,0.482,0.187,0.0757,0.937,100.559,4,"['highlife', 'igbo pop', 'igbo traditional']",45,54577
42,Onfa Nkosi Hwee,1G8h2BbHv7hobEGIrq7O7G,Pat Thomas,6bDPzH0ZXkaMcXYlcQ2yoy,Obiaa!,2019-10-04,306085,False,1,27,2024-11-06,0.785,0.85,9,-9.752,0,0.0583,0.291,0.00308,0.388,0.962,112.025,4,['old school highlife'],39,15230
43,Sweet Mother,4n2UrVNTtPaKHt9h6SQwr6,Prince Nico Mbarga & Rocafil Jazz International,4GwFsI0S9Eb90LjF97Xz04,Highlife Time Vol. 2,2011-08-16,594520,False,6,30,2024-11-06,0.713,0.901,5,-6.805,1,0.0648,0.604,0.00409,0.26,0.894,125.65,4,"['highlife', 'igbo traditional', 'old school highlife']",22,7485
44,Obra E Yebo Yi,3teIEL53Zcn0EanOSCLuih,Pat Thomas,6bDPzH0ZXkaMcXYlcQ2yoy,Coming Home,2016-09-30,201413,False,3,23,2024-11-06,0.538,0.826,3,-7.054,1,0.0497,0.163,0.00164,0.248,0.963,107.754,4,['old school highlife'],39,15230
45,Dondo,6qXsfvpsehSXQqPSS22DKg,Bradez,4NkWh677uYqY9rWwqThNEL,Dondo,2021-04-07,351100,False,1,31,2024-11-06,0.803,0.618,11,-11.846,1,0.0492,0.402,7.17e-05,0.0792,0.917,113.004,4,"['azonto', 'hiplife', 'old school highlife']",22,3267
46,Adwoa,7yuhgbf2e00hmHrM5eirnR,Gyedu-Blay Ambolley,3K7G8Czqv2acbaWlxFfjbj,Simigwa,2012-10-15,247246,False,5,27,2024-11-06,0.754,0.419,0,-16.103,1,0.106,0.701,0.0092,0.12,0.911,86.158,4,"['afrobeat', 'highlife']",34,16963
47,Onuigbo,5SVQizhdVp3zjAn3Ps0NeR,Chief Stephen Osita Osadebe,3p5v42DQP2YtTAwWznBnpn,Kedu America,2006-03-16,483133,False,1,38,2024-11-06,0.526,0.571,7,-9.399,1,0.0417,0.31,0.000304,0.267,0.842,124.273,4,"['highlife', 'igbo pop', 'igbo traditional']",45,54577
48,Disco Africa,54ePlltecObjpWttWOAJYg,The Ogyatanaa Show Band,0AJM60aFXEl0tUmjZpSHSL,Bukom Mashie / Disco Africa,2011-12-05,255520,False,3,18,2024-11-06,0.799,0.756,6,-7.377,0,0.0532,0.00581,0.701,0.0539,0.397,123.518,4,"['afro psych', 'old school highlife']",22,2218
49,Love And Death,3BOdGLbcBTSy1Hy376Zvzd,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Life Stories,1977,497741,False,9,24,2024-11-06,0.806,0.918,0,-7.463,1,0.0578,0.154,0.0888,0.0803,0.81,108.93,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
50,Come Along,6IfoCNGFf2hIO3LdZirObe,Ebo Taylor,2gR0iQTVBPHDKiNn1Kq8HI,Ebo Taylor and The Pelikans,2023-03-31,361430,False,6,22,2024-11-06,0.648,0.545,5,-10.542,0,0.0568,0.493,0.196,0.135,0.599,101.606,4,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']",44,97396
51,Iyogogo,66lUAgHdNjmOg0L93VGws4,Onyeka Onwenu,0AsoglRr6rQ8DZEKWnBPz7,Golden Songs Vol.2,1984-01-01,271438,False,5,27,2024-11-06,0.661,0.767,11,-8.347,0,0.033,2.6e-05,0.611,0.248,0.572,124.067,4,"['highlife', 'igbo pop']",25,30886
52,Sawale,5WyWNQZr7oiGoResxNSrj0,Cardinal Rex Jim Lawson,61HFskCqHEghNfZ1XYb8RI,Rex Lawson's Greatest Hits,1981-01-01,180386,False,9,28,2024-11-06,0.74,0.437,1,-10.016,1,0.228,0.079,2.83e-06,0.0961,0.59,105.737,4,"['highlife', 'igbo pop']",28,10882
53,Kofi Nkrabea,28qzI1EIXd0OapeG1L7jmY,Nana Kwame Ampadu,2tne5cj1SZrx1Xm1lNEWzb,"Evergreen Tunes, Vol. 4",1975-01-01,238028,False,48,27,2024-11-06,0.735,0.428,1,-14.481,0,0.0513,0.453,0.000278,0.111,0.694,93.846,4,['old school highlife'],28,20901
54,Onyeoma Nmadu Eji Egbuya,3YNbHIvOQsOPEg9jhjlEWp,Oriental Brothers International Band,6QhG8w3wc6fuCB1Uksgdvl,Super Hits,2011-10-17,404331,False,16,38,2024-11-06,0.558,0.504,9,-11.668,1,0.0601,0.92,0.734,0.0949,0.785,135.545,4,"['highlife', 'igbo pop', 'igbo traditional']",39,35645
